Bound,AvgDiscRet,J,VanillaAvgRet,VarRet,Delta,VarJ,EpsThisIter,MaxNormIw,MinVanillaIw,VarVanillaIw,AvgNormIw,MinNormIw,ESSRenyi,AvgVanillaIw,AvgRet,VarNormIw,BatchSize,MaxVanillaIw,eRenyi2,VarDiscRet,ESSClassic,AvgEpLen,IterType
-157.681,-74.5871864888,-73.9033,-74.5871864888,3804.99169114,0.2,57.8842,100,0.0114095,0.394445,0.0112845,0.01,0.00404552,99.1640818453,0.975017,-74.5871864888,1.18702e-06,100,1.11244,1.00843,3804.99169114,98.8385108948,105.59,1
-152.404,-69.2830007404,-68.6283,-69.2830007404,2587.79027732,0.2,45.9377,100,0.0120235,0.72759,0.00685352,0.01,0.00729526,99.1732613839,0.997346,-69.2830007404,6.89004e-07,100,1.19916,1.00834,2587.79027732,99.3224825718,98.4,1
-159.648,-77.0519677475,-75.4644,-77.0519677475,5000.87545468,0.2,63.621,100,0.0138993,0.74071,0.0178482,0.01,0.00736219,98.2113782303,1.0061,-77.0519677475,1.76324e-06,100,1.39841,1.01821,5000.87545468,98.2843565238,107.96,1
-151.347,-68.6460397777,-67.3838,-68.6460397777,2625.26927265,0.2,44.3887,100,0.0122459,0.592519,0.0127682,0.01,0.00599338,98.7303802598,0.988622,-68.6460397777,1.30638e-06,100,1.21066,1.01286,2625.26927265,98.7231812401,97.16,1
-161.433,-80.4599590017,-75.6413,-80.4599590017,6135.22937101,0.2,62.6243,100,0.0432619,0.777346,0.24849,0.01,0.00705702,94.5670606938,1.10152,-80.4599590017,2.04796e-05,100,4.7654,1.05745,6135.22937101,83.1429005777,111.45,1
-176.456,-93.4544090521,-92.6085,-93.4544090521,10540.3762142,0.2,100.217,100,0.0143117,0.812137,0.011333,0.01,0.00821538,99.0179308853,0.988558,-93.4544090521,1.15969e-06,100,1.41479,1.00992,10540.3762142,98.8649763618,126.56,1
-157.214,-74.6797127327,-72.8318,-74.6797127327,3741.66099196,0.2,51.1694,100,0.0132584,0.65474,0.0220891,0.01,0.00666624,97.7376219345,0.982173,-74.6797127327,2.28983e-06,100,1.3022,1.02315,3741.66099196,97.7833207677,105.44,1
-155.615,-72.4212570855,-71.9667,-72.4212570855,2560.46863877,0.2,48.1944,100,0.0129759,0.924533,0.00613506,0.01,0.00918842,99.4724240757,1.00619,-72.4212570855,6.05977e-07,100,1.30563,1.0053,2560.46863877,99.4036230261,102.84,1
-167.882,-85.6536776768,-83.2719,-85.6536776768,7204.3718362,0.2,75.0394,100,0.017883,0.710058,0.0349355,0.01,0.00707731,97.2256873716,1.00329,-85.6536776768,3.47069e-06,100,1.79418,1.02853,7204.3718362,96.6781760933,117.87,1
-166.254,-85.4674005181,-80.0846,-85.4674005181,7181.60138906,0.2,68.0132,100,0.0214022,0.326335,0.0788302,0.01,0.00327221,93.7400321831,0.99729,-85.4674005181,7.92592e-06,100,2.13442,1.06678,7181.60138906,92.724208557,118.15,1
-153.091,-69.9077607727,-69.4065,-69.9077607727,2617.02643092,0.2,48.121,100,0.0118623,0.788823,0.00480885,0.01,0.00789222,99.3906778823,0.999495,-69.9077607727,4.81371e-07,100,1.18563,1.00613,2617.02643092,99.5256999261,99.53,1
-160.395,-77.7149540126,-76.2147,-77.7149540126,4959.61655659,0.2,64.3355,100,0.0126343,0.634673,0.0163389,0.01,0.0063483,98.222107318,0.999753,-77.7149540126,1.6347e-06,100,1.26312,1.0181,4959.61655659,98.4074375437,108.53,1
-163.456,-81.362523838,-78.7758,-81.362523838,6130.78638239,0.2,68.4651,100,0.0316846,0.595545,0.0722356,0.01,0.00566546,97.0650368451,1.05119,-81.362523838,6.53721e-06,100,3.33064,1.03024,6130.78638239,93.9215507655,113.42,1
-162.55,-80.4994714621,-77.7439,-80.4994714621,6117.58763396,0.2,66.9685,100,0.0138947,0.701296,0.0240092,0.01,0.00684696,96.7750785087,1.02424,-80.4994714621,2.2886e-06,100,1.42316,1.03332,6117.58763396,97.7845150718,112.15,1
-156.131,-73.1568272993,-72.1635,-73.1568272993,3811.77307739,0.2,56.7439,100,0.0119277,0.439522,0.0117385,0.01,0.00435513,98.7157526589,1.00921,-73.1568272993,1.15254e-06,100,1.20375,1.01301,3811.77307739,98.8718748019,103.07,1
-159.11,-75.9887515995,-75.4169,-75.9887515995,3772.43776584,0.2,57.8488,100,0.0136302,0.872684,0.00860627,0.01,0.00872852,99.3633177646,0.999808,-75.9887515995,8.60959e-07,100,1.36275,1.00641,3772.43776584,99.1548665495,107.39,1
-162.862,-80.2590750316,-78.7579,-80.2590750316,6136.86087857,0.2,72.7358,100,0.0141094,0.567832,0.0235978,0.01,0.00567275,98.3989511441,1.00098,-80.2590750316,2.35515e-06,100,1.41233,1.01627,6136.86087857,97.7215531776,111.2,1
-155.67,-76.7556780623,-69.4028,-76.7556780623,4965.85566732,0.2,39.948,100,0.0137073,0.172549,0.0740194,0.01,0.00177656,93.5260117927,0.971252,-76.7556780623,7.84659e-06,100,1.33132,1.06922,4965.85566732,92.7918008886,107.59,1
-172.406,-91.4891713019,-86.984,-91.4891713019,9411.95961599,0.2,85.5762,100,0.0131217,0.328727,0.058905,0.01,0.00327638,95.3880795603,1.00332,-91.4891713019,5.85152e-06,100,1.31653,1.04835,9411.95961599,94.5242062779,124.76,1
-159.672,-77.3312409879,-75.2438,-77.3312409879,4993.93744372,0.2,63.612,100,0.0203038,0.592665,0.0272601,0.01,0.00595187,97.6446052181,0.995763,-77.3312409879,2.74926e-06,100,2.02178,1.02412,4993.93744372,97.3503353895,108.43,1
-153.219,-70.1481615552,-69.4341,-70.1481615552,2607.78997835,0.2,46.7748,100,0.0134486,0.832239,0.00903029,0.01,0.00835546,99.1488567032,0.996042,-70.1481615552,9.1022e-07,100,1.33953,1.00858,2607.78997835,99.1069107129,99.86,1
-169.166,-86.2365353367,-85.2801,-86.2365353367,7135.61255631,0.2,80.44,100,0.0139202,0.897829,0.00849778,0.01,0.00900762,98.9112649383,0.996744,-86.2365353367,8.55339e-07,100,1.38749,1.01101,7135.61255631,99.1603684698,118.96,1
-164.625,-83.1093808493,-79.3486,-83.1093808493,7292.45192649,0.2,74.1384,100,0.0220514,0.487595,0.0719815,0.01,0.004892,95.7126182487,0.996719,-83.1093808493,7.24562e-06,100,2.1979,1.04479,7292.45192649,93.3069346446,114.44,1
-152.607,-70.1070881663,-68.3191,-70.1070881663,2586.45622552,0.2,38.0725,100,0.0134481,0.555609,0.0230782,0.01,0.00547779,97.9105868479,1.01429,-70.1070881663,2.24324e-06,100,1.36404,1.02134,2586.45622552,97.8274164561,99.21,1
-78.1405,-61.221089009,-60.7771,-61.221089009,96.5727615817,0.2,9.81839,100,0.0195361,0.490837,0.0381143,0.01,0.00493847,97.3228638785,0.993906,-61.221089009,3.85832e-06,100,1.94171,1.02751,96.5727615817,96.3208200594,89.13,1
-158.682,-75.3372773479,-75.1753,-75.3372773479,3789.4099271,0.2,59.7103,100,0.0113734,0.932542,0.00171186,0.01,0.00935894,99.8094501086,0.996417,-75.3372773479,1.72419e-07,100,1.13326,1.00191,3789.4099271,99.829574308,106.69,1
-163.217,-81.6783589502,-77.4291,-81.6783589502,6099.23553261,0.2,63.1797,100,0.0120883,0.0917742,0.0497874,0.01,0.000871995,94.5728072153,1.05246,-81.6783589502,4.49477e-06,100,1.27224,1.05739,6099.23553261,95.7397694789,112.8,1
-157.301,-74.8179351386,-73.1019,-74.8179351386,3767.65823871,0.2,53.5552,100,0.0153885,0.618709,0.0202991,0.01,0.00614048,98.167462864,1.00759,-74.8179351386,1.99945e-06,100,1.55053,1.01867,3767.65823871,98.0589762933,105.78,1
-159.629,-76.5413568932,-75.8828,-76.5413568932,5005.51292294,0.2,68.0766,100,0.0125961,0.918336,0.00641832,0.01,0.00918869,99.2424732678,0.999419,-76.5413568932,6.42578e-07,100,1.25888,1.00763,5005.51292294,99.3678479834,106.55,1
-160.782,-77.6549980065,-77.0234,-77.6549980065,4950.07047812,0.2,66.9833,100,0.0127443,0.760474,0.00609378,0.01,0.00754399,99.2106653433,1.00805,-77.6549980065,5.99681e-07,100,1.28469,1.00796,4950.07047812,99.4098224257,108.76,1
-151.83,-71.8505552302,-66.4443,-71.8505552302,2577.73162249,0.2,18.6715,100,0.0136301,0.144787,0.0661382,0.01,0.00146565,95.4672611884,0.98787,-71.8505552302,6.77724e-06,100,1.34647,1.04748,2577.73162249,93.7124006267,102.74,1
