J,AvgEpLen,VanillaAvgRet,VarNormIw,ESSClassic,AvgVanillaIw,MaxNormIw,EpsThisIter,VarVanillaIw,MinNormIw,AvgRet,MaxVanillaIw,eRenyi2,VarRet,ESSRenyi,VarJ,AvgNormIw,BatchSize,MinVanillaIw,VarDiscRet,Delta,AvgDiscRet,IterType,Bound
4996.408,499.61,4995.8316454159585,7.8948226e-08,99.92188020199202,1.0008471,0.010421712,100,0.0007908202,0.008560732,4995.8316454159585,1.043054,1.0009143,1599.578607953392,99.90864999944023,34.11659,0.010000002,100,0.8567984,1599.578607953392,0.4,4995.8316454159585,1,4383.756
4999.8467,500.0,4999.845760149931,2.0360097e-11,99.99996948354175,1.0000365,0.010011014,100,2.0361497e-07,0.00999116,4999.845760149931,1.0011379,1.0000001,0.018427666726210438,99.99998807907247,0.1350491,0.010000002,100,0.9991524,0.018427666726210438,0.4,4999.845760149931,1,4387.474
4999.835,500.0,4999.834899715592,3.5044917e-18,100.0,1.0,0.01,100,,0.01,4999.834899715592,1.0,1.0,0.028479204131995218,100.0,0.16789912,0.009999998,100,1.0,0.028479204131995218,0.4,4999.834899715592,1,4387.4624
4999.835,500.0,4999.834174148974,2.7341585e-10,99.99970245718296,1.0000098,0.010017254,100,2.7342246e-06,0.009919559,4999.834174148974,1.0017352,1.000001,0.09044336650218629,99.99990463265931,0.29736078,0.010000002,100,0.99196553,0.09044336650218629,0.4,4999.834174148974,1,4387.4624
4994.4727,499.36,4993.33737664953,2.0376697e-07,99.79867341174929,0.99789274,0.01063033,100,0.002029091,0.008251217,4993.33737664953,1.0607929,1.0017747,4226.457354366788,99.82284751761023,53.467804,0.01,100,0.82338303,4226.457354366788,0.4,4993.33737664953,1,4381.557
4999.842,500.0,4999.841298855139,8.1362694e-11,99.99992369972408,0.99991643,0.010017252,100,8.1348213e-07,0.009969284,4999.841298855139,1.0016415,1.0000004,0.028268590475939638,99.99996423722592,0.16718854,0.01,100,0.9968451,0.028268590475939638,0.4,4999.841298855139,1,4387.469
4999.8345,500.0,4999.833851103173,4.2031042e-11,99.99996566800586,1.000008,0.010008487,100,4.2032218e-07,0.009977129,4999.833851103173,1.0008566,1.0000002,0.03497869433388228,99.99997615814777,0.18597119,0.01,100,0.99772084,0.03497869433388228,0.4,4999.833851103173,1,4387.462
4999.7817,500.0,4999.781343647659,6.15598e-12,99.99997711177842,0.99999815,0.010003356,100,6.155782e-08,0.009991663,4999.781343647659,1.0003338,1.0,0.06418200465640377,100.0,0.25197458,0.01,100,0.99916446,0.06418200465640377,0.4,4999.781343647659,1,4387.409
4999.836,500.0,4999.835204351425,1.0636328e-10,99.9998855562989,0.99997485,0.010024501,100,1.0635682e-06,0.009955651,4999.835204351425,1.0024248,1.0000005,0.030687993853004303,99.99995231630692,0.17416565,0.01,100,0.9955401,0.030687993853004303,0.4,4999.835204351425,1,4387.4634
4999.857,500.0,4999.85644136539,1.2324776e-11,99.99996566762606,0.9999969,0.01001295,100,1.2324254e-07,0.00999497,4999.85644136539,1.0012919,1.0000001,0.036282422752516086,99.99998807907247,0.18965472,0.01,100,0.99949384,0.036282422752516086,0.4,4999.85644136539,1,4387.4844
4999.8506,500.0,4999.8499076281805,2.660221e-10,99.99973299861531,1.0001007,0.010038262,100,2.6607697e-06,0.009946442,4999.8499076281805,1.0039274,1.0000012,0.029804897900839997,99.99988079085256,0.1714238,0.01,100,0.99474436,0.029804897900839997,0.4,4999.8499076281805,1,4387.4775
4999.834,500.0,4999.833430780091,5.917289e-13,100.00001907367823,0.9999901,0.010001184,100,5.9178022e-09,0.009996235,4999.833430780091,1.0001085,1.0,0.04853749068375392,100.0,0.21916236,0.009999999,100,0.9996136,0.04853749068375392,0.4,4999.833430780091,1,4387.4614
4999.8237,500.0,4999.822905742103,1.206064e-10,99.99988176073634,1.0001374,0.010007809,100,1.2063917e-06,0.00991787,4999.822905742103,1.0009184,1.0000004,0.03748907155053552,99.99996423722592,0.19207324,0.01,100,0.99192333,0.03748907155053552,0.4,4999.822905742103,1,4387.451
