Weights,EpisodesSoFar,ReturnStepMaxmin,EpRewMean,TimeElapsed,ESSRenyi,Bound,InitialReturnStd,EpLenMean,OptimizationReturnMean,LearnableVariance,TimestepsSoFar,J_sample_variance,StdIWNorm,InitialReturnMin,MeanEntropy,InitialBound,VarianceInit,MeanIWNorm,MeanIW,MaxIWNorm,InitialReturnMax,EmpiricalD2,Iteration,OptimizationReturnMin,EpThisIter,ReturnMeanIW,StdIW,ReturnStepMax,InitialReturnMean,OptimizationReturnMax,ESSClassic,MinIW,MaxIW,MinIWNorm
[-0.173  0.385],3900,0.8521301,-401.33124665826557,2792.6743211746216,4.8268275,-294.0981,6.531325,500.0,14.877306,,1950000,58856.344,0.009006574,-416.20856,0.4189424,-415.20486,-1.0,0.0057822727,0.57822734,0.048886843,-388.54425,20.71754,39,,100,-230.95021,0.90065736,0.8521301,-401.3312,27.664307,29.187078,0.0048036515,4.8886843,4.8036512e-05
[-0.137  0.42 ],4000,0.8521893,-394.1224765856564,2851.5909600257874,15.689532,-257.19446,7.987529,500.0,21.381,,2000000,54773.51,0.007406911,-415.50348,0.4189424,-407.9726,-1.0,0.0055962736,0.5596274,0.057560034,-371.9907,6.3736763,40,,100,-222.22824,0.74069107,0.8521893,-394.1225,43.512787,36.340282,0.016838837,5.7560034,0.00016838837
[-0.247  0.419],4100,0.85421103,-393.83482149153946,2913.7720642089844,6.1293364,-385.75305,6.4728556,500.0,17.517323,,2050000,125157.38,0.02224614,-411.35214,0.4189424,-407.54654,-1.0,0.008464601,0.84646016,0.20793289,-379.19177,16.31498,41,,100,-330.36887,2.2246137,0.85421103,-393.83484,32.16037,12.646852,0.011572699,20.79329,0.00011572699
[-0.241  0.449],4200,0.85307777,-388.0411463734508,2978.2308764457703,96.949745,-399.09344,11.164422,500.0,24.756617,,2100000,168891.64,0.0019284647,-412.79776,0.4189424,-401.80106,-1.0,0.009902697,0.9902697,0.014655295,-344.00012,1.0314622,42,,100,-385.11874,0.19284648,0.85307777,-388.0411,68.79764,96.34614,0.5029023,1.4655296,0.005029023
[-0.23   0.447],4300,0.8506459,-387.9537709742784,3055.2634556293488,82.61167,-392.4884,8.706388,500.0,18.296532,,2150000,160528.72,0.0054023922,-406.2503,0.4189424,-401.49545,-1.0,0.009797624,0.97976243,0.034531455,-357.4848,1.2104827,43,,100,-377.5896,0.5402393,0.8506459,-387.9538,48.765503,76.68477,0.34590077,3.4531455,0.0034590077
[-0.251  0.454],4400,0.85645986,-383.48314311027525,3124.052531480789,3.099445,-277.44934,13.708063,499.47,31.87165,,2199947,49606.07,0.008702097,-415.3548,0.4189424,-397.32828,-1.0,0.0052519077,0.52519083,0.06570443,-324.99103,32.26384,44,,100,-198.80707,0.8702097,0.85645986,-383.48315,90.36377,26.699062,0.0053502023,6.5704427,5.3502023e-05
[-0.281  0.483],4500,0.8610611,-373.01374642819167,3189.675060749054,6.2030025,-275.56992,23.983719,495.03,36.424885,,2249450,70820.04,0.014689794,-409.43863,0.4189424,-386.66168,-1.0,0.0061045517,0.61045504,0.11623652,-239.02786,16.121225,45,,100,-220.77168,1.4689792,0.8610611,-373.01376,170.41077,14.726227,0.003922032,11.623652,3.9220322e-05
[-0.286  0.509],4600,0.86135256,-330.98258306533097,3239.000812292099,78.79515,-325.7985,58.402782,452.86,74.73928,,2294736,160847.86,0.004621269,-405.72186,0.4189424,-344.50665,-1.0,0.009582291,0.9582291,0.023593111,-157.55185,1.2691137,46,,100,-310.56296,0.46212697,0.86135256,-330.98257,248.17001,81.13024,0.23595215,2.359311,0.0023595216
[-0.314  0.512],4700,0.86341786,-344.5002556324005,3289.070863723755,5.456136,-233.3646,48.15398,468.38,56.394886,,2341574,50924.9,0.010375435,-400.89514,0.4189424,-357.8634,-1.0,0.0052035223,0.5203523,0.073758274,-148.09,18.327988,47,,100,-176.15526,1.0375437,0.86341786,-344.50027,252.80515,20.097523,0.004121288,7.375828,4.121288e-05
[-0.215  0.514],4800,0.85977346,-334.7291041879356,3340.8316700458527,12.65676,-251.00906,54.122936,457.63,64.348595,,2387337,209860.36,0.01755762,-399.0777,0.4189424,-348.03168,-1.0,0.007603928,0.7603928,0.15730855,-151.64767,7.900916,48,,100,-213.61739,1.7557621,0.85977346,-334.7291,247.43002,15.793866,0.011335747,15.730855,0.00011335747
[-0.264  0.533],4900,0.8654778,-300.48282707303764,3396.7528023719788,5.941543,-215.16199,68.25357,413.81,105.716125,,2428718,176903.67,0.012346199,-406.19894,0.4189424,-314.0228,-1.0,0.006735748,0.67357475,0.10845716,-135.91443,16.830645,49,,100,-159.61404,1.23462,0.8654778,-300.48282,270.28452,22.93758,0.0024629163,10.845716,2.4629162e-05
[-0.261  0.559],5000,0.86146486,-260.4774242058396,3447.412849664688,14.759903,-196.31572,64.38273,360.65,134.74944,,2464783,167381.08,0.014707199,-395.22687,0.4189424,-273.65164,-1.0,0.0071162153,0.71162146,0.11342205,-125.83443,6.775112,50,,100,-162.02446,1.4707198,0.86146486,-260.47742,269.39246,18.970587,0.011858685,11.342205,0.000118586846
[-0.173  0.557],5100,0.86152935,-253.07941079229116,3498.956122159958,86.86611,-262.15115,65.7727,349.53,143.47101,,2499736,175450.2,0.0040253433,-396.5504,0.4189424,-266.29773,-1.0,0.0101517355,1.0151734,0.021371989,-138.56805,1.151197,51,,100,-247.96867,0.40253434,0.86152935,-253.0794,257.98236,86.41352,0.2417464,2.137199,0.0024174638
[-0.173  0.564],5200,0.862432,-255.821053506732,3545.575073480606,8.491297,-221.4599,60.316917,354.11,132.10062,,2535147,127265.75,0.009359818,-387.92166,0.4189424,-268.75177,-1.0,0.0079113515,0.7911352,0.056040898,-138.08513,11.776765,52,,100,-177.08517,0.93598175,0.862432,-255.82106,249.83653,41.67196,0.00036451648,5.6040897,3.6451647e-06
[-0.126  0.585],5300,0.8632162,-212.78721162602307,3583.380845785141,12.0362215,-179.35455,49.36958,295.63,138.4297,,2564710,109139.29,0.010700028,-351.21692,0.4189424,-224.49443,-1.0,0.0076190163,0.76190156,0.06536216,-117.326706,8.308255,53,,100,-145.60959,1.0700028,0.8632162,-212.7872,233.89021,33.644024,0.0017632457,6.5362163,1.7632456e-05
[-0.163  0.61 ],5400,0.85992014,-193.0610813844204,3611.887903690338,11.937232,-172.39064,45.08161,268.75,168.35742,,2591585,147710.95,0.011916643,-361.4185,0.4189424,-205.10837,-1.0,0.007844835,0.7844835,0.06862477,-106.45539,8.3771515,54,,100,-137.52182,1.1916643,0.85992014,-193.06108,254.9631,30.234388,0.0045618284,6.8624773,4.5618282e-05
[-0.153  0.637],5500,0.8653779,-175.14143824413418,3651.1789939403534,23.629112,-173.84386,43.895725,243.18,130.92796,,2615903,108896.586,0.011315722,-306.0694,0.4189424,-185.34377,-1.0,0.009226503,0.9226503,0.049011987,-93.54338,4.2320676,55,,100,-152.85567,1.1315721,0.8653779,-175.14142,212.52602,39.93376,0.041486524,4.901199,0.00041486524
[-0.113  0.658],5600,0.8649738,-165.32552289620043,3682.827938556671,18.789778,-156.37177,41.651703,229.34,136.9024,,2638837,87442.32,0.009812298,-302.22794,0.4189424,-175.39978,-1.0,0.008341615,0.8341615,0.04137796,-83.87169,5.322043,56,,100,-133.13089,0.9812299,0.8649738,-165.32553,218.35625,41.95163,0.011385493,4.1377964,0.00011385493
[-0.173  0.682],5700,0.86307305,-155.69321066990494,3710.987603187561,9.481972,-109.99408,38.760807,215.93,154.75967,,2660430,47356.625,0.008008261,-310.45288,0.4189424,-166.04163,-1.0,0.005220301,0.5220301,0.059531134,-92.40163,10.5463295,57,,100,-76.387436,0.80082625,0.86307305,-155.6932,218.05125,29.820976,0.0056740018,5.9531136,5.6740017e-05
[-0.298  0.681],5800,0.8659761,-161.20258491516114,3742.592129945755,12.65373,-127.25904,41.00589,223.3,113.88721,,2682760,79776.09,0.0129681695,-275.08978,0.4189424,-170.37224,-1.0,0.007136475,0.71364754,0.10345685,-94.31874,7.9028077,58,,100,-101.48135,1.2968171,0.8659761,-161.20259,180.77104,23.244478,0.015481583,10.345685,0.00015481582
[-0.362  0.708],5900,0.8626698,-148.82392648950218,3774.094437599182,14.1464405,-149.826,42.685635,206.68,209.7304,,2703428,128332.555,0.011290145,-358.55432,0.4189424,-160.77574,-1.0,0.007543199,0.7543199,0.07014521,-81.5672,7.068916,59,,100,-118.04921,1.1290146,0.8626698,-148.82393,276.98712,30.86224,0.022213317,7.0145216,0.00022213317
[-0.372  0.678],6000,0.8665067,-163.21519310966133,3811.6435520648956,13.721217,-137.38213,39.68317,226.19,90.52791,,2726047,52509.168,0.012864412,-253.7431,0.4189424,-171.67331,-1.0,0.0072955545,0.7295554,0.11559221,-92.77708,7.2879834,60,,100,-114.5484,1.2864412,0.8665067,-163.21518,160.96603,24.33501,0.009598552,11.559221,9.598552e-05
[-0.357  0.707],6100,0.8645964,-149.70323307290673,3844.555638074875,12.087034,-140.12654,36.7473,208.25,182.78159,,2746872,98189.75,0.010139207,-332.4848,0.4189424,-160.78606,-1.0,0.007432932,0.7432932,0.057330083,-82.47937,8.273328,61,,100,-108.24857,1.0139208,0.8645964,-149.70325,250.00543,34.955883,0.012157818,5.7330084,0.00012157818
[-0.343  0.737],6200,0.8584898,-146.1546144169569,3877.253730773926,18.100094,-137.05893,39.897163,202.74,120.33818,,2767146,83339.305,0.012494354,-266.4928,0.4189424,-155.0377,-1.0,0.00823793,0.82379293,0.067130126,-79.5321,5.524833,62,,100,-116.179245,1.2494354,0.8584898,-146.15462,186.9607,30.299932,0.015595412,6.7130127,0.00015595411
[-0.455  0.745],6300,0.86464816,-134.88777899220585,3906.0185379981995,6.574277,-104.708015,31.592506,188.15,93.66885,,2785961,24891.299,0.009281582,-228.55664,0.4189424,-142.50635,-1.0,0.0055588596,0.55588603,0.049632754,-81.22345,15.210798,63,,100,-74.99487,0.9281582,0.86464816,-134.88777,147.33319,26.400063,0.009130624,4.9632754,9.130624e-05
[-0.459  0.708],6400,0.86318654,-152.24337697401643,3939.4402277469635,73.59231,-147.13777,41.189976,210.46,142.7872,,2807007,79831.04,0.0062650214,-295.03058,0.4189424,-162.07771,-1.0,0.008988554,0.89885545,0.04194011,-81.70546,1.3588377,64,,100,-135.67395,0.6265022,0.86318654,-152.24338,213.32512,67.30341,0.17279369,4.194011,0.0017279368
[-0.439  0.719],6500,0.862514,-144.2398441542685,3964.278331041336,21.963053,-124.6337,42.526985,200.42,159.44327,,2827049,76119.8,0.009827341,-303.6831,0.4189424,-154.36261,-1.0,0.007348913,0.7348913,0.062474947,-80.61531,4.553101,65,,100,-103.03373,0.9827341,0.862514,-144.23984,223.0678,35.864918,0.009329255,6.2474947,9.329255e-05
[-0.537  0.732],6600,0.86331713,-143.8095938362181,3995.7938652038574,9.861011,-133.23701,38.809086,200.04,148.98195,,2847053,69700.484,0.009315862,-292.79153,0.4189424,-153.5693,-1.0,0.0073796334,0.7379633,0.041265093,-81.49725,10.140948,66,,100,-102.15733,0.9315862,0.86331713,-143.8096,211.29428,38.5566,0.0039211554,4.126509,3.9211554e-05
[-0.578  0.764],6700,0.85670143,-137.17050736874342,4024.5204758644104,10.8192215,-129.6075,37.06886,190.85,136.5356,,2866138,82331.02,0.012762777,-273.70612,0.4189424,-146.29405,-1.0,0.0075833662,0.75833666,0.106257096,-79.88544,9.242809,67,,100,-101.87013,1.2762777,0.85670143,-137.1705,193.82068,26.09279,0.00788367,10.62571,7.8836696e-05
[-0.608  0.798],6800,0.8649698,-126.24995702818036,4050.755913257599,47.781536,-122.31429,30.46304,175.94,83.055534,,2883732,45913.54,0.010121992,-209.3055,0.4189424,-133.2268,-1.0,0.009193426,0.9193426,0.0762602,-79.06668,2.0928586,68,,100,-112.221085,1.0121993,0.8649698,-126.24996,130.23882,45.203693,0.09048293,7.6260204,0.00090482924
