ReturnStepMax,EpisodesSoFar,OptimizationReturnMin,InitialReturnMin,J_sample_variance,MeanIW,OptimizationReturnMax,LearnableVariance,OptimizationReturnMean,Iteration,ReturnStepMaxmin,EpLenMean,MeanIWNorm,InitialReturnMean,StdIWNorm,Bound,MaxIW,InitialReturnMax,MinIW,EmpiricalD2,Weights,ReturnMeanIW,EpRewMean,TimeElapsed,VarianceInit,MinIWNorm,StdIW,MaxIWNorm,MeanEntropy,TimestepsSoFar,InitialBound,ESSClassic,InitialReturnStd,ESSRenyi,EpThisIter
0.85589737,3600,,-416.36682,45361.625,0.505741,40.559082,,26.025267,36,0.85589737,500.0,0.00505741,-390.34155,0.007868893,-276.77304,3.9316964,-375.80774,0.0022171638,33.269306,[-1.039  0.451],-196.7202,-390.3415537212789,2280.9251976013184,-1.0,2.2171638e-05,0.7868893,0.039316963,0.4189424,1800000,-404.22046,29.232357,6.7287807,3.0057735,100
0.8589604,3700,,-413.9087,88033.195,0.6988586,68.072784,,30.318876,37,0.8589604,500.0,0.006988587,-383.58975,0.015087527,-332.3616,9.598217,-345.8359,0.010431295,24.206614,[-1.089  0.482],-264.4803,-383.58981884375214,2345.326364517212,-1.0,0.00010431295,1.5087528,0.09598217,0.4189424,1850000,-397.38678,17.665447,9.874993,4.1311026,100
0.8579278,3800,,-408.51047,75126.15,0.6129409,173.47588,,36.271927,38,0.8579278,495.98,0.0061294083,-372.23853,0.01292112,-284.32452,10.406673,-235.03459,0.0106645655,23.818384,[-1.08   0.509],-217.86794,-372.2385452385247,2414.717897415161,-1.0,0.00010664565,1.292112,0.10406673,0.4189424,1899598,-385.85553,18.369226,23.37377,4.1984377,100
0.86013705,3900,,-382.36646,56858.89,0.57962245,166.46292,,29.694527,39,0.86013705,487.87,0.0057962253,-352.67197,0.011261686,-267.2807,7.9700613,-215.90353,0.0016440179,33.236362,[-1.103  0.535],-193.80136,-352.67192894488574,2487.5750226974487,-1.0,1.6440179e-05,1.1261685,0.07970061,0.4189424,1948385,-365.41748,20.94243,25.913635,3.0087528,100
0.8616705,4000,,-391.2719,125445.97,0.7815796,205.86172,,75.05923,40,0.8616705,440.85,0.007815796,-316.2127,0.01348806,-274.2777,8.28893,-185.41019,0.0009813968,14.583926,[-1.122  0.56 ],-224.47021,-316.2126906347275,2547.0619037151337,-1.0,9.813967e-06,1.3488059,0.082889296,0.4189424,1992470,-329.25507,25.137054,55.085358,6.856864,100
0.8608289,4100,,-386.1666,99313.61,0.7371749,224.05273,,96.678925,41,0.8608289,408.54,0.007371749,-289.48767,0.013640019,-271.61597,7.1541405,-162.11386,0.008028779,14.609938,[-1.121  0.583],-222.41455,-289.4876571457088,2597.104702234268,-1.0,8.028779e-05,1.364002,0.071541406,0.4189424,2033324,-302.35986,22.605785,53.615192,6.844656,100
0.8614718,4200,,-392.89084,148081.78,0.9659877,228.52724,,72.155525,42,0.8614718,449.92,0.009659876,-320.73532,0.00391033,-326.0715,2.2067769,-164.3636,0.45242944,1.1425134,[-1.135  0.56 ],-312.073,-320.73530783087017,2651.9109365940094,-1.0,0.0045242943,0.39103305,0.022067768,0.4189424,2078316,-333.83167,85.920685,49.370396,87.52633,100
0.87474006,4300,,-400.44022,69643.15,0.636918,215.64438,,67.12841,43,0.87474006,463.67,0.00636918,-333.3118,0.008875494,-257.72678,4.872261,-184.79584,0.006584983,8.718387,[-1.155  0.561],-218.31422,-333.3118113434315,2716.079924106598,-1.0,6.5849825e-05,0.88754946,0.04872261,0.4189424,2124683,-346.6598,33.992096,48.35622,11.470012,100
0.8622813,4400,,-394.93658,136971.61,0.6646729,188.90402,,51.844006,44,0.8622813,474.9,0.006646729,-343.0926,0.015733555,-242.64848,13.508301,-206.03256,0.0044641886,10.441531,[-1.097  0.545],-200.10939,-343.09257821798326,2773.2783143520355,-1.0,4.4641885e-05,1.5733552,0.135083,0.4189424,2172173,-356.25714,15.144126,41.293896,9.57714,100
0.8642293,4500,,-395.16165,99151.76,0.70101386,221.88367,,79.57119,45,0.8642293,439.39,0.007010138,-315.59045,0.009919586,-252.6944,6.3498716,-173.27798,0.005255143,17.65908,[-1.102  0.566],-197.34186,-315.59046117961407,2834.8767075538635,-1.0,5.255143e-05,0.9919587,0.06349871,0.4189424,2216112,-328.7625,33.307556,56.09702,5.662809,100
