Iteration,MeanEntropy,OptimizationReturnMean,ReturnMeanIW,TimestepsSoFar,ReturnStepMaxmin,InitialReturnMean,EpLenMean,Bound,MeanIW,StdIW,MeanIWNorm,EpThisIter,LearnableVariance,InitialBound,StdIWNorm,EmpiricalD2,MaxIW,TimeElapsed,MinIW,ESSRenyi,InitialReturnMax,ReturnStepMax,OptimizationReturnMin,MaxIWNorm,J_sample_variance,ESSClassic,EpRewMean,VarianceInit,MinIWNorm,Weights,EpisodesSoFar,OptimizationReturnMax,InitialReturnMin,InitialReturnStd
52,0.4189424,81.21861,-104.20174,1981935,0.86155164,-128.27937,179.47,-118.2896,0.8341187,1.1862661,0.008341187,100,,-135.26263,0.011862661,4.0697994,8.250599,2444.77627658844,0.020593887,24.571236,-73.48274,0.86155164,,0.082505986,44973.22,33.08418,-128.27937395974993,-1.0,0.00020593886,[0.18  0.748],5200,136.01524,-209.49799,30.423294
53,0.4189424,116.40656,-73.71071,1999785,0.8651151,-128.26805,178.5,-98.43396,0.6277448,1.1193751,0.006277448,100,,-136.42387,0.011193751,9.189159,6.8274264,2470.8547818660736,0.015565152,10.882388,-81.39473,0.8651151,,0.06827426,50544.566,23.925205,-128.26805191844701,-1.0,0.00015565152,[0.107 0.771],5300,163.27989,-244.67462,35.549755
54,0.4189424,66.73429,-67.475044,2016522,0.86677134,-120.17333,167.37,-90.85892,0.5687191,0.88712674,0.0056871907,100,,-126.40358,0.008871267,14.08709,4.6836843,2490.8948559761047,0.002989843,7.0986986,-72.73709,0.86677134,,0.04683684,15771.771,29.127443,-120.17332916006445,-1.0,2.9898429e-05,[0.11  0.806],5400,114.17053,-186.90762,26.744236
55,0.4189424,126.99889,-91.60241,2032935,0.85782224,-117.90616,164.13,-115.57472,0.7632048,0.9215534,0.0076320474,100,,-126.069664,0.009215534,8.62317,3.981434,2511.528265476227,0.0014757956,11.596663,-73.61415,0.85782224,,0.03981434,48536.324,40.683422,-117.9061602665484,-1.0,1.4757956e-05,[0.199 0.835],5500,171.29091,-244.90506,30.322536
56,0.4189424,97.88316,-94.571365,2047611,0.8603033,-104.84797,146.76,-105.73676,0.93188566,1.106585,0.0093188565,100,,-111.60568,0.01106585,2.7299204,7.7010603,2532.490529537201,0.037017338,36.631104,-62.300175,0.8603033,,0.0770106,48335.363,41.492374,-104.84797545880079,-1.0,0.00037017337,[0.243 0.868],5600,140.43097,-202.73114,26.305532
57,0.4189424,74.953674,-74.91364,2061973,0.8610929,-102.12065,143.62,-96.760445,0.71886003,1.1168562,0.0071885996,100,,-108.02313,0.011168563,13.699571,6.2105417,2557.5497086048126,0.003680489,7.299499,-71.54269,0.8610929,,0.062105417,22942.121,29.292652,-102.1206506113708,-1.0,3.680489e-05,[0.168 0.888],5700,105.53164,-177.07433,22.591179
58,0.4189424,67.894684,-52.989758,2078334,0.8545136,-117.88742,163.61,-78.93017,0.49514323,0.73728526,0.0049514323,100,,-124.08015,0.0073728524,17.546415,4.9890723,2581.342676639557,0.0039688544,5.6991696,-72.73958,0.8545136,,0.049890723,13737.228,31.082705,-117.88741884276271,-1.0,3.9688544e-05,[0.203 0.846],5800,113.04253,-185.7821,26.86152
59,0.4189424,86.241776,-77.08236,2093260,0.8684138,-106.39339,149.26,-94.7122,0.78928345,1.3736707,0.007892835,100,,-112.81456,0.013736707,7.5382066,9.738026,2605.725541114807,0.028215146,13.265755,-70.84267,0.8684138,,0.09738026,45839.55,24.820055,-106.39338501021265,-1.0,0.00028215145,[0.184 0.889],5900,121.792496,-192.63516,25.965132
60,0.4189424,87.14934,-71.162994,2107281,0.8613299,-99.96489,140.21,-91.40753,0.7202092,1.1272731,0.0072020916,100,,-106.202034,0.01127273,10.535249,6.277961,2626.081060886383,0.010246627,9.491945,-60.725975,0.8613299,,0.062779605,30544.225,28.986698,-99.96489194810391,-1.0,0.00010246627,[0.178 0.926],6000,126.38825,-187.11423,24.787418
61,0.4189424,67.686,-84.7393,2122129,0.86140484,-106.572235,148.48,-99.39521,0.84240305,1.5161827,0.00842403,100,,-112.38086,0.015161826,6.366213,11.773548,2649.0395488739014,0.011479947,15.707926,-62.602715,0.86140484,,0.117735475,37472.16,23.588293,-106.57224412873387,-1.0,0.00011479946,[0.21  0.885],6100,111.655525,-174.25824,23.74079
62,0.4189424,106.681786,-63.091988,2138053,0.8643216,-113.66001,159.24,-86.61113,0.6157163,0.8303903,0.0061571626,100,,-121.00473,0.008303902,10.253962,4.9352083,2672.6189692020416,0.0026874812,9.752328,-72.83826,0.8643216,,0.049352083,30283.252,35.475124,-113.66000938490033,-1.0,2.6874812e-05,[0.203 0.85 ],6200,147.50354,-220.3418,32.1022
63,0.4189424,110.16586,-105.353905,2153746,0.86434156,-112.26436,156.93,-116.19195,0.9851369,0.97236586,0.009851369,100,,-119.67869,0.009723659,2.1367638,7.215666,2694.4004969596863,0.123418465,46.799744,-62.393875,0.86434156,,0.07215666,64668.05,50.65239,-112.26435887739062,-1.0,0.0012341846,[0.157 0.888],6300,160.03633,-222.4302,29.016975
64,0.4189424,69.11812,-69.57059,2168448,0.86201966,-105.19518,147.02,-91.57965,0.64931524,0.99466085,0.0064931526,100,,-111.00563,0.009946608,14.3477745,6.300867,2716.646949529648,0.0021383602,6.969722,-63.2912,0.86201966,,0.063008666,17096.643,29.881086,-105.19518619030714,-1.0,2.1383601e-05,[0.156 0.91 ],6400,111.02211,-174.31331,24.86508
65,0.4189424,131.0596,-79.14511,2183790,0.8642531,-109.52043,153.42,-103.785995,0.6960685,0.94849026,0.0069606844,100,,-117.53975,0.009484902,9.441395,4.447866,2740.3342258930206,0.011076482,10.591656,-72.386154,0.8642531,,0.04447866,42310.812,35.00437,-109.52042316615581,-1.0,0.00011076482,[0.06 0.88],6500,168.19386,-240.58002,27.375916
