MinNormIw,AvgNormIw,VarVanillaIw,MaxVanillaIw,BatchSize,AvgRet,VarRet,SamplesThisIter,MinVanillaIw,AvgEpLen,J,AvgVanillaIw,VarJ,ESSClassic,IterType,AvgDiscRet,delta,VarNormIw,MaxNormIw,Bound,renyi2,VarDiscRet,VanillaAvgRet,EpsThisIter,ESSRenyi
5.32167e-05,5.55555e-05,0.000239311,1.14506,100,-410.039417936,0.196767524272,50000,0.959077,500.0,-73806.2,1.00123,5.96601,0.563063879745,1,-410.039417936,0.8,7.36804e-13,6.35363e-05,-430.569,inf,0.196767524272,-410.039417936,100,
4.84769e-05,5.55556e-05,0.00144009,1.09965,100,-409.612988137,0.970733310149,50000,0.880966,500.0,-73725.6,1.00961,13.183,0.575020957299,1,-409.612988137,0.8,4.36055e-12,6.05105e-05,-430.138,inf,0.970733310149,-409.612988137,100,
5.11361e-05,5.55556e-05,0.000926081,1.13121,100,-410.183465547,0.685812860671,50000,0.918823,500.0,-73829.7,0.998233,11.4383,0.576665005527,1,-410.183465547,0.8,2.8684e-12,6.29565e-05,-430.736,inf,0.685812860671,-410.183465547,100,
4.92037e-05,5.55556e-05,0.000659454,1.09025,100,-409.992323148,0.487968340962,50000,0.888314,500.0,-73796.3,1.00299,9.51758,0.570876951209,1,-409.992323148,0.8,2.02324e-12,6.0389e-05,-430.524,inf,0.487968340962,-409.992323148,100,
4.96848e-05,5.55556e-05,0.00124159,1.11728,100,-409.626828352,0.904721004305,50000,0.896409,500.0,-73728.3,1.00233,12.8056,0.569870318502,1,-409.626828352,0.8,3.8143e-12,6.19272e-05,-430.164,inf,0.904721004305,-409.626828352,100,
5.15117e-05,5.55556e-05,0.000768452,1.11147,100,-410.296411892,0.560614806979,50000,0.926703,500.0,-73850.6,0.999452,10.2624,0.57243436979,1,-410.296411892,0.8,2.37437e-12,6.17822e-05,-430.837,inf,0.560614806979,-410.296411892,100,
4.85161e-05,5.55556e-05,0.00152298,1.13532,100,-409.560665625,1.05861410264,50000,0.878205,500.0,-73715.7,1.00563,13.8546,0.581289199871,1,-409.560665625,0.8,4.64809e-12,6.27206e-05,-430.091,inf,1.05861410264,-409.560665625,100,
5.29454e-05,5.55556e-05,0.000513733,1.09482,100,-410.206128187,0.387970382818,50000,0.948599,500.0,-73835.3,0.995363,8.49583,0.573146424872,1,-410.206128187,0.8,1.6004e-12,6.11064e-05,-430.738,inf,0.387970382818,-410.206128187,100,
4.97727e-05,5.55556e-05,0.000873233,1.10256,100,-409.611751775,0.650675734713,50000,0.899697,500.0,-73727.0,1.00423,10.8996,0.573242973188,1,-409.611751775,0.8,2.67251e-12,6.09952e-05,-430.14,inf,0.650675734713,-409.611751775,100,
5.01224e-05,5.55555e-05,0.00109421,1.12969,100,-410.000349784,0.80623506893,50000,0.901714,500.0,-73796.1,0.999456,12.342,0.571513852734,1,-410.000349784,0.8,3.38087e-12,6.27948e-05,-430.524,inf,0.80623506893,-410.000349784,100,
4.7604e-05,5.55556e-05,0.00133693,1.12662,100,-409.587983419,0.951484323514,50000,0.862985,500.0,-73721.2,1.00713,13.1941,0.57671196979,1,-409.587983419,0.8,4.06809e-12,6.21469e-05,-430.12,inf,0.951484323514,-409.587983419,100,
4.98782e-05,5.55556e-05,0.00107535,1.11395,100,-409.804064172,0.78104049731,50000,0.899635,500.0,-73760.8,1.00203,11.8667,0.570345274208,1,-409.804064172,0.8,3.30552e-12,6.17607e-05,-430.346,inf,0.78104049731,-409.804064172,100,
5.08251e-05,5.55556e-05,0.000976032,1.1042,100,-409.869800328,0.708786559805,50000,0.917262,500.0,-73773.1,1.00264,11.4498,0.573218876227,1,-409.869800328,0.8,2.99663e-12,6.11833e-05,-430.398,inf,0.708786559805,-409.869800328,100,
4.64195e-05,5.55556e-05,0.00157244,1.16472,100,-409.701140195,1.09917115008,50000,0.838758,500.0,-73740.6,1.00384,14.1037,0.574696268504,1,-409.701140195,0.8,4.81617e-12,6.4459e-05,-430.219,inf,1.09917115008,-409.701140195,100,
5.09494e-05,5.55556e-05,0.0010342,1.15031,100,-409.729329518,0.74006812221,50000,0.921275,500.0,-73747.7,1.00456,11.6041,0.575028224555,1,-409.729329518,0.8,3.16302e-12,6.36156e-05,-430.256,inf,0.74006812221,-409.729329518,100,
4.9469e-05,5.55555e-05,0.00086498,1.10815,100,-409.978351061,0.663201975863,50000,0.892877,500.0,-73793.0,1.00274,11.1507,0.568619048752,1,-409.978351061,0.8,2.65514e-12,6.13957e-05,-430.504,inf,0.663201975863,-409.978351061,100,
5.06469e-05,5.55555e-05,0.000695867,1.12434,100,-410.144508253,0.502942885863,50000,0.915596,500.0,-73823.6,1.00433,9.85494,0.566836085177,1,-410.144508253,0.8,2.12924e-12,6.21937e-05,-430.68,inf,0.502942885863,-410.144508253,100,
5.28192e-05,5.55555e-05,0.000149378,1.13387,100,-410.502070846,0.128484700193,50000,0.948632,500.0,-73889.8,0.997776,4.8282,0.565164153601,1,-410.502070846,0.8,4.63101e-13,6.31334e-05,-431.056,inf,0.128484700193,-410.502070846,100,
5.31776e-05,5.55556e-05,0.000241658,1.09688,100,-410.298359821,0.188064842063,50000,0.952083,500.0,-73852.9,0.994659,5.82554,0.5680761341,1,-410.298359821,0.8,7.5389e-13,6.12653e-05,-430.837,inf,0.188064842063,-410.298359821,100,
1.2762e-11,5.55556e-05,0.298556,4.0766,100,-406.620678128,103.414201544,50000,2.39265e-07,500.0,-72487.6,1.04156,255.616,1.20055621854,1,-406.620678128,0.8,8.49393e-10,0.00021744,-424.499,nan,103.414201544,-406.620678128,100,nan
5.30565e-05,5.55556e-05,0.000126326,1.13246,100,-410.307271296,0.120366553694,50000,0.952025,500.0,-73854.9,0.996867,4.75659,0.56121397498,1,-410.307271296,0.8,3.92351e-13,6.3112e-05,-430.85,inf,0.120366553694,-410.307271296,100,
4.93829e-05,5.55556e-05,0.000928479,1.12166,100,-410.23294307,0.658330699092,50000,0.890189,500.0,-73838.6,1.00146,11.2017,0.580369597939,1,-410.23294307,0.8,2.85733e-12,6.22237e-05,-430.777,inf,0.658330699092,-410.23294307,100,
5.26481e-05,5.55556e-05,0.000411454,1.09572,100,-410.333573829,0.326811068212,50000,0.943986,500.0,-73858.6,0.996117,7.67304,0.573152750784,1,-410.333573829,0.8,1.27984e-12,6.11108e-05,-430.883,inf,0.326811068212,-410.333573829,100,
5.2744e-05,5.55556e-05,0.000256455,1.13283,100,-410.522820862,0.212826083996,50000,0.944548,500.0,-73893.2,0.994898,6.36885,0.566419935024,1,-410.522820862,0.8,7.99667e-13,6.32577e-05,-431.077,inf,0.212826083996,-410.522820862,100,
5.31882e-05,5.55556e-05,0.000294377,1.11158,100,-410.473740496,0.226962817563,50000,0.952007,500.0,-73884.3,0.99438,6.49146,0.573380635971,1,-410.473740496,0.8,9.18868e-13,6.21036e-05,-431.019,inf,0.226962817563,-410.473740496,100,
5.32855e-05,5.55556e-05,0.00017455,1.10383,100,-410.436776155,0.138600226663,50000,0.955317,500.0,-73878.0,0.996016,5.02627,0.56490423038,1,-410.436776155,0.8,5.43053e-13,6.15694e-05,-430.98,inf,0.138600226663,-410.436776155,100,
5.25902e-05,5.55556e-05,0.000485044,1.11314,100,-410.374608734,0.363849701253,50000,0.940006,500.0,-73865.7,0.99301,8.19174,0.571835077063,1,-410.374608734,0.8,1.5182e-12,6.22764e-05,-430.92,inf,0.363849701253,-410.374608734,100,
5.13049e-05,5.55556e-05,0.00134141,1.12635,100,-410.012377536,0.98493366289,50000,0.919832,500.0,-73797.3,0.99604,13.534,0.579622947486,1,-410.012377536,0.8,4.17315e-12,6.2824e-05,-430.545,inf,0.98493366289,-410.012377536,100,
5.10943e-05,5.55556e-05,0.000821505,1.1769,100,-410.23113586,0.627691570064,50000,0.912341,500.0,-73838.7,0.992,10.8005,0.57669686362,1,-410.23113586,0.8,2.57657e-12,6.59106e-05,-430.773,inf,0.627691570064,-410.23113586,100,
5.24439e-05,5.55556e-05,0.00045582,1.11943,100,-410.571943334,0.321103315875,50000,0.934399,500.0,-73901.6,0.989839,7.71844,0.574780057903,1,-410.571943334,0.8,1.43588e-12,6.28287e-05,-431.129,inf,0.321103315875,-410.571943334,100,
5.27529e-05,5.55556e-05,0.000268647,1.0588,100,-410.272948647,0.202800761583,50000,0.949064,500.0,-73848.1,0.999487,6.01647,0.564810845482,1,-410.272948647,0.8,8.30008e-13,5.88527e-05,-430.817,inf,0.202800761583,-410.272948647,100,
4.8966e-05,5.55556e-05,0.00126162,1.14283,100,-410.055829352,0.913657969033,50000,0.880132,500.0,-73805.5,0.998575,13.0523,0.58691736135,1,-410.055829352,0.8,3.90502e-12,6.35812e-05,-430.59,inf,0.913657969033,-410.055829352,100,
5.33476e-05,5.55556e-05,0.000172961,1.12222,100,-410.599486438,0.141115216654,50000,0.957284,500.0,-73907.3,0.996904,5.10389,0.564428035883,1,-410.599486438,0.8,5.37152e-13,6.25393e-05,-431.154,inf,0.141115216654,-410.599486438,100,
5.09667e-05,5.55556e-05,0.000822585,1.11922,100,-409.988412205,0.632030083184,50000,0.917618,500.0,-73794.9,1.00024,10.81,0.569080719821,1,-409.988412205,0.8,2.53764e-12,6.21639e-05,-430.52,inf,0.632030083184,-409.988412205,100,
5.18378e-05,5.55556e-05,0.000415183,1.08029,100,-410.356068358,0.304811676944,50000,0.934058,500.0,-73862.6,1.00105,7.3274,0.569815731901,1,-410.356068358,0.8,1.27874e-12,5.99533e-05,-430.919,inf,0.304811676944,-410.356068358,100,
5.20308e-05,5.55556e-05,0.000319712,1.09202,100,-410.062344495,0.25599198555,50000,0.930681,500.0,-73810.1,0.993729,6.84359,0.569483087545,1,-410.062344495,0.8,9.99258e-13,6.10508e-05,-430.606,inf,0.25599198555,-410.062344495,100,
5.04341e-05,5.55556e-05,0.000706541,1.11921,100,-410.144769155,0.535291303728,50000,0.906739,500.0,-73823.5,0.998816,10.0613,0.579807762705,1,-410.144769155,0.8,2.18586e-12,6.22522e-05,-430.67,inf,0.535291303728,-410.144769155,100,
5.28212e-05,5.55556e-05,0.00022482,1.09204,100,-410.44372451,0.173054950094,50000,0.949001,500.0,-73879.0,0.998128,5.58516,0.567871644609,1,-410.44372451,0.8,6.96495e-13,6.07824e-05,-430.995,inf,0.173054950094,-410.44372451,100,
5.23364e-05,5.55556e-05,0.000339067,1.13529,100,-410.470651376,0.244637183497,50000,0.933857,500.0,-73883.7,0.991297,6.74439,0.56972776261,1,-410.470651376,0.8,1.06496e-12,6.36255e-05,-431.027,inf,0.244637183497,-410.470651376,100,
5.25343e-05,5.55556e-05,0.000570589,1.11289,100,-410.383046904,0.415794939401,50000,0.936034,500.0,-73867.1,0.989867,8.78846,0.575138057985,1,-410.383046904,0.8,1.79732e-12,6.24599e-05,-430.924,inf,0.415794939401,-410.383046904,100,
5.1324e-05,5.55556e-05,0.000579384,1.11023,100,-410.120167542,0.459598547459,50000,0.919445,500.0,-73819.5,0.99525,9.14469,0.575769234502,1,-410.120167542,0.8,1.80533e-12,6.19739e-05,-430.664,inf,0.459598547459,-410.120167542,100,
5.40681e-05,5.55556e-05,0.000116272,1.05549,100,-410.489687578,0.0901640799201,50000,0.973095,500.0,-73887.7,0.999866,4.0579,0.563410731783,1,-410.489687578,0.8,3.58961e-13,5.8646e-05,-431.026,inf,0.0901640799201,-410.489687578,100,
5.13484e-05,5.55555e-05,0.000391866,1.10047,100,-410.073493191,0.32721494115,50000,0.919646,500.0,-73811.8,0.994996,7.67659,0.567537139975,1,-410.073493191,0.8,1.22166e-12,6.14445e-05,-430.621,inf,0.32721494115,-410.073493191,100,
5.30155e-05,5.55556e-05,0.000208062,1.14313,100,-410.631055341,0.157797641099,50000,0.949225,500.0,-73912.9,0.994704,5.39919,0.56628978786,1,-410.631055341,0.8,6.49025e-13,6.38454e-05,-431.185,inf,0.157797641099,-410.631055341,100,
4.98039e-05,5.55556e-05,0.00120247,1.1131,100,-409.917331074,0.902385224675,50000,0.899402,500.0,-73780.8,1.00327,12.9692,0.568480602477,1,-409.917331074,0.8,3.68719e-12,6.16373e-05,-430.452,inf,0.902385224675,-409.917331074,100,
4.96151e-05,5.55556e-05,0.00123837,1.13549,100,-409.983603912,0.907353902545,50000,0.893376,500.0,-73792.5,1.00034,12.9223,0.573434168844,1,-409.983603912,0.8,3.81955e-12,6.30616e-05,-430.53,inf,0.907353902545,-409.983603912,100,
5.29756e-05,5.55556e-05,0.000313383,1.06691,100,-410.584670398,0.231437776157,50000,0.949092,500.0,-73904.1,0.995314,6.43504,0.569995883685,1,-410.584670398,0.8,9.7636e-13,5.95521e-05,-431.144,inf,0.231437776157,-410.584670398,100,
5.03873e-05,5.55556e-05,0.000737029,1.13547,100,-410.253738475,0.524174241598,50000,0.90749,500.0,-73843.0,1.00057,9.87188,0.568813190596,1,-410.253738475,0.8,2.27218e-12,6.30455e-05,-430.793,inf,0.524174241598,-410.253738475,100,
5.08545e-05,5.55556e-05,0.000386354,1.09644,100,-410.231858189,0.299908646232,50000,0.914107,500.0,-73840.3,0.998608,7.35045,0.565357420575,1,-410.231858189,0.8,1.19578e-12,6.09985e-05,-430.77,inf,0.299908646232,-410.231858189,100,
5.08984e-05,5.55556e-05,0.000673731,1.11232,100,-410.376484102,0.515951472662,50000,0.913638,500.0,-73865.3,0.997234,9.74676,0.571477141334,1,-410.376484102,0.8,2.09097e-12,6.19668e-05,-430.918,inf,0.515951472662,-410.376484102,100,
5.2126e-05,5.55556e-05,0.000471453,1.13525,100,-410.743830419,0.350708753627,50000,0.932672,500.0,-73932.2,0.994036,7.99013,0.572575363442,1,-410.743830419,0.8,1.47262e-12,6.34479e-05,-431.319,inf,0.350708753627,-410.743830419,100,
5.28742e-05,5.55556e-05,0.000245978,1.12856,100,-410.374352165,0.209489981165,50000,0.948205,500.0,-73866.5,0.99629,6.19229,0.564484115583,1,-410.374352165,0.8,7.64855e-13,6.29312e-05,-430.926,inf,0.209489981165,-410.374352165,100,
5.18409e-05,5.55556e-05,0.000640185,1.11491,100,-410.156598649,0.462367821106,50000,0.932864,500.0,-73825.9,0.999709,9.32184,0.567506319518,1,-410.156598649,0.8,1.97703e-12,6.19572e-05,-430.698,inf,0.462367821106,-410.156598649,100,
4.95608e-05,5.55555e-05,0.00146007,1.13625,100,-410.170214026,1.06686013767,50000,0.891713,500.0,-73825.3,0.999573,14.2605,0.589020108279,1,-410.170214026,0.8,4.51024e-12,6.31517e-05,-430.701,inf,1.06686013767,-410.170214026,100,
5.32019e-05,5.55556e-05,0.000287556,1.08621,100,-410.589288562,0.212215855342,50000,0.952134,500.0,-73905.1,0.994257,6.17593,0.569459725665,1,-410.589288562,0.8,8.97802e-13,6.06938e-05,-431.142,inf,0.212215855342,-410.589288562,100,
5.15982e-05,5.55556e-05,0.000461424,1.11617,100,-410.019566038,0.349836997337,50000,0.930326,500.0,-73801.8,1.00168,8.0386,0.563757569748,1,-410.019566038,0.8,1.41938e-12,6.19053e-05,-430.572,inf,0.349836997337,-410.019566038,100,
5.29605e-05,5.55556e-05,0.000298963,1.11212,100,-410.507496904,0.243523035171,50000,0.94852,500.0,-73890.3,0.994997,6.70464,0.569907153984,1,-410.507496904,0.8,9.32029e-13,6.20952e-05,-431.054,inf,0.243523035171,-410.507496904,100,
5.10924e-05,5.55556e-05,0.000262103,1.12805,100,-410.414497802,0.222606615518,50000,0.918231,500.0,-73873.6,0.998443,6.33882,0.57156118218,1,-410.414497802,0.8,8.11484e-13,6.27674e-05,-430.971,inf,0.222606615518,-410.414497802,100,
5.01056e-05,5.55556e-05,0.000773163,1.12148,100,-410.121798426,0.590411304028,50000,0.898404,500.0,-73819.1,0.996122,10.4065,0.571545195144,1,-410.121798426,0.8,2.40492e-12,6.25471e-05,-430.677,inf,0.590411304028,-410.121798426,100,
5.29715e-05,5.55556e-05,0.000169316,1.05389,100,-410.611903516,0.135410833019,50000,0.951618,500.0,-73909.5,0.99804,4.91826,0.565199535149,1,-410.611903516,0.8,5.24634e-13,5.86643e-05,-431.172,inf,0.135410833019,-410.611903516,100,
5.22382e-05,5.55556e-05,0.000282145,1.10748,100,-410.409282631,0.232159876598,50000,0.938593,500.0,-73872.6,0.998198,6.50518,0.563390534447,1,-410.409282631,0.8,8.73964e-13,6.16378e-05,-430.959,inf,0.232159876598,-410.409282631,100,
4.80073e-05,5.55555e-05,0.00143828,1.16065,100,-409.804771842,1.04025283432,50000,0.864207,500.0,-73759.6,1.00009,13.7695,0.590647230452,1,-409.804771842,0.8,4.43837e-12,6.44748e-05,-430.34,inf,1.04025283432,-409.804771842,100,
4.9331e-05,5.55556e-05,0.0014875,1.15651,100,-409.888003396,1.07037528806,50000,0.889853,500.0,-73774.5,1.00213,14.2793,0.584610486,1,-409.888003396,0.8,4.57151e-12,6.41137e-05,-430.413,inf,1.07037528806,-409.888003396,100,
5.27837e-05,5.55556e-05,0.000385103,1.12679,100,-410.524633627,0.290817609336,50000,0.943396,500.0,-73893.2,0.992936,7.31582,0.573454378613,1,-410.524633627,0.8,1.20556e-12,6.3045e-05,-431.079,inf,0.290817609336,-410.524633627,100,
5.27567e-05,5.55556e-05,0.000158722,1.10682,100,-410.102050795,0.141921766544,50000,0.947171,500.0,-73817.8,0.997421,5.07875,0.563879881045,1,-410.102050795,0.8,4.92419e-13,6.16492e-05,-430.642,inf,0.141921766544,-410.102050795,100,
5.11853e-05,5.55556e-05,0.000725148,1.11183,100,-410.350432746,0.548030824776,50000,0.91743,500.0,-73860.4,0.995761,9.8944,0.582118649985,1,-410.350432746,0.8,2.25721e-12,6.20315e-05,-430.903,inf,0.548030824776,-410.350432746,100,
5.26087e-05,5.55556e-05,0.000220874,1.12273,100,-410.369675353,0.191101063296,50000,0.942809,500.0,-73865.8,0.995621,5.98522,0.567613812335,1,-410.369675353,0.8,6.8772e-13,6.26481e-05,-430.919,inf,0.191101063296,-410.369675353,100,
4.65536e-05,5.55556e-05,0.0010024,1.09241,100,-409.832307102,0.745335474954,50000,0.839822,500.0,-73766.2,1.00222,11.6588,0.571452650295,1,-409.832307102,0.8,3.08014e-12,6.0555e-05,-430.36,inf,0.745335474954,-409.832307102,100,
4.86029e-05,5.55556e-05,0.000939462,1.15584,100,-409.937751191,0.704955147478,50000,0.874993,500.0,-73785.4,1.00016,11.4381,0.582967706783,1,-409.937751191,0.8,2.89864e-12,6.4203e-05,-430.476,inf,0.704955147478,-409.937751191,100,
4.94249e-05,5.55556e-05,0.00133159,1.16093,100,-409.917024156,0.98758018782,50000,0.886929,500.0,-73780.2,0.996943,13.4986,0.601060536731,1,-409.917024156,0.8,4.1351e-12,6.4694e-05,-430.461,inf,0.98758018782,-409.917024156,100,
4.75566e-05,5.55556e-05,0.00123656,1.12461,100,-410.07913634,0.843340478494,50000,0.859557,500.0,-73809.9,1.00413,12.5725,0.580883436145,1,-410.07913634,0.8,3.78519e-12,6.22213e-05,-430.618,inf,0.843340478494,-410.07913634,100,
5.3742e-05,5.55556e-05,0.00011519,1.11259,100,-410.419049817,0.0980334557083,50000,0.964328,500.0,-73875.0,0.99687,4.25443,0.561637756395,1,-410.419049817,0.8,3.57761e-13,6.20045e-05,-430.958,inf,0.0980334557083,-410.419049817,100,
5.04963e-05,5.55555e-05,0.00050534,1.08714,100,-410.088541037,0.365992011283,50000,0.911683,500.0,-73814.1,1.00303,8.21009,0.56477111406,1,-410.088541037,0.8,1.5503e-12,6.02144e-05,-430.636,inf,0.365992011283,-410.088541037,100,
4.83194e-05,5.55556e-05,0.00124678,1.14364,100,-410.044834556,0.87634245597,50000,0.870831,500.0,-73803.6,1.00124,12.8334,0.575665127474,1,-410.044834556,0.8,3.83855e-12,6.34568e-05,-430.578,inf,0.87634245597,-410.044834556,100,
5.19153e-05,5.55556e-05,0.000337401,1.12518,100,-410.370520291,0.261527847885,50000,0.929372,500.0,-73865.5,0.994539,6.84138,0.569142671188,1,-410.370520291,0.8,1.05283e-12,6.28532e-05,-430.932,inf,0.261527847885,-410.370520291,100,
5.26275e-05,5.55556e-05,0.000488549,1.11516,100,-410.61879854,0.37157735947,50000,0.938954,500.0,-73909.8,0.991196,8.32376,0.57125008619,1,-410.61879854,0.8,1.53477e-12,6.25036e-05,-431.174,inf,0.37157735947,-410.61879854,100,
4.8604e-05,5.55556e-05,0.00157076,1.17811,100,-410.128487659,1.16092502755,50000,0.875845,500.0,-73817.4,1.00111,14.7789,0.613346027731,1,-410.128487659,0.8,4.83728e-12,6.5378e-05,-430.664,inf,1.16092502755,-410.128487659,100,
5.17836e-05,5.55556e-05,0.000432104,1.11309,100,-410.304492447,0.335517602368,50000,0.928864,500.0,-73853.2,0.996523,7.79792,0.567189780602,1,-410.304492447,0.8,1.34298e-12,6.20541e-05,-430.851,inf,0.335517602368,-410.304492447,100,
5.30568e-05,5.55556e-05,0.000271021,1.12679,100,-410.616681974,0.204702464307,50000,0.947923,500.0,-73910.2,0.992566,6.26322,0.56684418215,1,-410.616681974,0.8,8.4906e-13,6.30681e-05,-431.165,inf,0.204702464307,-410.616681974,100,
5.31272e-05,5.55556e-05,0.000208797,1.0528,100,-410.477959336,0.164276100655,50000,0.955739,500.0,-73885.3,0.999424,5.43967,0.564759084477,1,-410.477959336,0.8,6.45177e-13,5.85223e-05,-431.023,inf,0.164276100655,-410.477959336,100,
5.31511e-05,5.55556e-05,0.000305433,1.18484,100,-410.312524231,0.265326567567,50000,0.952974,500.0,-73855.1,0.996085,7.13672,0.568488967853,1,-410.312524231,0.8,9.5012e-13,6.60833e-05,-430.852,inf,0.265326567567,-410.312524231,100,
5.19155e-05,5.55556e-05,0.00036647,1.12016,100,-410.250609313,0.297478677507,50000,0.929347,500.0,-73843.8,0.994508,7.38791,0.569334238714,1,-410.250609313,0.8,1.14361e-12,6.25749e-05,-430.796,inf,0.297478677507,-410.250609313,100,
5.06538e-05,5.55556e-05,0.00112235,1.12055,100,-410.001099228,0.855500830571,50000,0.910566,500.0,-73796.1,0.998681,12.6807,0.573042620716,1,-410.001099228,0.8,3.47321e-12,6.23348e-05,-430.526,inf,0.855500830571,-410.001099228,100,
5.16015e-05,5.55556e-05,0.000951055,1.15896,100,-410.255073945,0.715804876887,50000,0.924564,500.0,-73842.5,0.995411,11.6088,0.577579613639,1,-410.255073945,0.8,2.96248e-12,6.46837e-05,-430.807,inf,0.715804876887,-410.255073945,100,
5.05452e-05,5.55556e-05,0.000932267,1.14038,100,-410.253391216,0.719829352741,50000,0.907891,500.0,-73842.2,0.997886,11.6985,0.579335031366,1,-410.253391216,0.8,2.88957e-12,6.34886e-05,-430.797,inf,0.719829352741,-410.253391216,100,
5.30101e-05,5.55556e-05,0.000275915,1.1127,100,-410.515322953,0.200121119336,50000,0.947684,500.0,-73891.9,0.99319,6.04352,0.570285428225,1,-410.515322953,0.8,8.63306e-13,6.22405e-05,-431.068,inf,0.200121119336,-410.515322953,100,
4.87536e-05,5.55556e-05,0.00128536,1.13617,100,-409.677024845,0.908061335395,50000,0.881514,500.0,-73737.3,1.0045,12.8519,0.572075941876,1,-409.677024845,0.8,3.93168e-12,6.28377e-05,-430.205,inf,0.908061335395,-409.677024845,100,
5.26953e-05,5.55556e-05,0.000152926,1.10506,100,-410.164743791,0.133887529217,50000,0.948111,500.0,-73829.1,0.999574,4.9242,0.561841684196,1,-410.164743791,0.8,4.72395e-13,6.14181e-05,-430.71,inf,0.133887529217,-410.164743791,100,
5.18244e-05,5.55556e-05,0.000460581,1.10365,100,-410.134764691,0.377483123628,50000,0.92912,500.0,-73822.6,0.996014,8.21935,0.569414338186,1,-410.134764691,0.8,1.43295e-12,6.15594e-05,-430.685,inf,0.377483123628,-410.134764691,100,
