optimgain,EpRewMean,TimestepsSoFar,SampleRenyi2,Step_size,TimeElapsed,surrgain,DiscEpRewMean,entropy,entloss,EpThisIter,EpLenMean,Var_J,ev_tdlam_before,J_hat,meankl,EpisodesSoFar
0.0128986,176.26556243,13850000,24.2242,1.0,43684.21664810181,0.0128986,62.836340395,0.545727,,100,500.0,0.27377697825431824,0.926950313151,63.94768524169922,0.00936774,27700
0.0131103,175.049674349,13900000,6.20136,1.0,43936.44516015053,0.0131103,62.5903860386,0.549787,,100,500.0,3.3611911476327805e-06,0.922892086208,64.70392608642578,0.00887036,27800
0.0068915,170.302069854,13950000,4.50588e+07,1.0,44235.10319399834,0.0068915,61.9671385444,0.554619,,100,500.0,0.020657986402511597,0.931595124304,62.9379997253418,0.00874744,27900
0.00683873,175.838226459,14000000,1.5011e+06,1.0,44554.83070230484,0.00683873,62.5233179852,0.532472,,100,500.0,0.02973194606602192,0.921157278121,63.23204040527344,0.00979124,28000
0.0117073,175.646279866,14050000,3.6592,1.0,44893.66436576843,0.0117073,62.5121384701,0.540269,,100,500.0,0.03379421308636665,0.914171345532,63.46992492675781,0.00988822,28100
0.00863551,175.685806217,14100000,5.01538,1.0,45200.50804710388,0.00863551,62.6802075216,0.517501,,100,500.0,0.09966790676116943,0.919417001307,63.46137619018555,0.010044,28200
0.00904316,176.792375604,14150000,216.54,1.0,45562.017323970795,0.00904316,62.7537882147,0.496577,,100,500.0,0.10140054672956467,0.910930216312,63.6727294921875,0.00904978,28300
0.00909822,175.542486648,14200000,4821.5,1.0,45887.85413527489,0.00909822,62.6569933684,0.491033,,100,500.0,0.02223169431090355,0.916860580444,63.10359191894531,0.00932724,28400
0.00908678,175.310644214,14250000,3.83802,1.0,46175.13546419144,0.00908678,62.5868837184,0.487325,,100,500.0,0.09825168550014496,0.91607221216,63.27214813232422,0.00900409,28500
0.00905055,175.966156175,14300000,7.34606,1.0,46460.25362753868,0.00905055,62.6653425832,0.514403,,100,500.0,0.12076693028211594,0.927619323134,63.44154739379883,0.00907701,28600
0.0142627,175.411714659,14350000,5.80159,1.0,46749.99009037018,0.0142627,62.4075777848,0.509931,,100,500.0,0.025728031992912292,0.929723128676,63.62630844116211,0.00991302,28700
