WReturnMean,InitialReturnMean,MaxIW,ReturnMeanIW,StdWReturnMean,MeanEntropy,InitialReturnMax,Iteration,MeanIW,Epsilon,InitialReturnStd,EmpiricalD2Arithmetic,OptimizationReturnMean,EpisodesSoFar,ESSRenyiHarmonic,EmpiricalD2Harmonic,InitialReturnMin,OptimizationReturnMax,ESSRenyiArithmetic,OptimizationReturnMin,InitialBound,MinTargetPdf,VarianceInitializer,Penalization,DivergenceHarmonic,TimeElapsed,EpLenMean,MinIW,LearnableVariance,TimestepsSoFar,StdIW,Weights,Bound,Inner Iteration,MinBehavPdf,EpThisIter,ReturnStepMax,MeanD2-0,ReturnStepMaxmin,EpRewMean
308740.8,533.96027,1772959.4,21729330000.0,,0.4189424,1079.6528,43,71322.4,1e-07,153.71144,1.0,454.09644,2150,50.0,1.0,79.863815,999.789,50.0,,-403916.03,-52.49592,-1.0,True,1.8914065e+17,156.7815363407135,54.42,0.077105395,,194072,289216.34,[-0.52   0.344 -1.217 -1.615],-41413600000000.0,1,-52.49592,50,10.0,1.0,10.0,533.9602916197829
259599.44,478.97452,3588.815,72767410.0,,0.4189424,1059.7487,44,140.92343,1e-07,173.73207,1.0,219.23059,2200,50.0,1.0,259.74396,800.0047,50.0,,-351297.75,-47.258427,-1.0,True,2216477900000.0,159.2241518497467,48.92,0.13384561,,196518,538.02026,[-0.603  0.252 -1.204 -1.604],-136591380000.0,1,-47.258427,50,10.0,1.0,10.0,478.9745481934278
252787.75,470.98965,20330.781,212475890.0,,0.4189424,979.7655,45,634.05054,1e-07,175.94473,1.0,221.3148,2250,50.0,1.0,249.6748,730.0907,50.0,,-331166.75,-44.73503,-1.0,True,2414165700000000.0,161.41908049583435,48.12,0.08677183,,198924,2957.774,[-0.808  0.29  -1.285 -2.051],-3851289400000.0,1,-44.73503,50,9.999999,1.0,9.999999,470.989604376315
210897.06,434.41754,5366.446,117102370.0,,0.4189424,1159.7942,46,572.8804,1e-07,148.9244,1.0,164.62129,2300,50.0,1.0,269.79626,889.9979,50.0,,-320726.12,-55.579742,-1.0,True,2.440951e+26,163.35081577301025,44.46,0.086816855,,201147,1202.919,[-1.114  0.515 -1.318 -1.728],-1.7159149e+18,1,-55.579742,50,10.0,1.0,10.0,434.41754487149257
281563.38,490.6222,16068.838,214705660.0,,0.4189424,1119.7578,47,1319.3416,1e-07,202.12186,1.0,240.79169,2350,50.0,1.0,249.83052,869.9273,50.0,,-383940.7,-47.577553,-1.0,True,2.242852e+25,166.16471934318542,50.08,0.6181066,,203651,3068.3013,[-1.284  0.66  -1.304 -1.281],-4.848449e+17,1,-47.577553,50,10.0,1.0,10.0,490.62219038497926
385955.8,586.5876,355.5971,14956711.0,,0.4189424,1069.6404,48,46.555885,1e-07,204.6238,1.0,546.66016,2400,50.0,1.0,39.927376,1029.713,50.0,,-479373.97,-51.48401,-1.0,True,139969600000.0,168.84404921531677,59.68,0.03453784,,206635,88.69644,[-1.148  0.856 -1.338 -1.346],-34964926000.0,1,-51.48401,50,10.0,1.0,10.0,586.5875546666517
612291.25,738.745,1631.3877,90513840.0,,0.4189424,1589.5767,49,78.173225,1e-07,257.96735,1.0,398.87216,2450,50.0,1.0,339.8728,1249.7039,50.0,,-818600.7,-71.5566,-1.0,True,35995358000000.0,172.16119170188904,74.9,0.14354308,,210380,247.40594,[-1.044  0.921 -1.343 -1.37 ],-1237862400000.0,1,-71.5566,50,10.0,1.0,10.0,738.7449404751148
625059.44,747.7129,59691.242,1105140400.0,,0.4189424,1509.6511,50,1569.8303,1e-07,256.8754,1.0,457.89923,2500,50.0,1.0,289.81363,1219.8375,50.0,,-811143.56,-54.204388,-1.0,True,80581720000000.0,175.35051369667053,75.8,0.020701677,,214170,8394.166,[-0.953  0.988 -1.361 -1.421],-1671525800000.0,1,-54.204388,50,10.0,1.0,10.0,747.7128632281069
763142.6,807.12476,7957.398,440822140.0,,0.4189424,1489.7026,51,269.2924,1e-07,334.2039,1.0,797.14026,2550,50.0,1.0,9.984565,1479.718,50.0,,-944341.44,-69.750755,-1.0,True,40026960000000.0,179.16046977043152,81.74,0.067568175,,218257,1126.6465,[-0.852  1.04  -1.383 -1.467],-1146824000000.0,1,-69.750755,50,10.0,1.0,10.0,807.1247750249026
824443.2,871.33,503078.72,13733915000.0,,0.4189424,1859.4845,52,16668.576,1e-07,255.3963,1.0,651.43225,2600,50.0,1.0,219.8977,1639.5868,50.0,,-1106763.1,-93.549225,-1.0,True,1.3573825e+16,183.09596991539001,88.16,0.13401292,,222665,80987.05,[-0.905  0.95  -1.409 -1.531],-32905758000000.0,1,-93.549225,50,10.0,1.0,10.0,871.3299724456676
852794.75,870.68524,43601.8,1874697100.0,,0.4189424,1489.2874,53,1527.9761,1e-07,307.7368,1.0,710.79175,2650,50.0,1.0,159.89355,1329.3938,50.0,,-1033892.6,-69.890625,-1.0,True,3.905164e+17,186.45752334594727,88.1,0.13258003,,227070,6264.1343,[-0.847  1.056 -1.43  -1.506],-113171790000000.0,1,-69.890625,50,10.0,1.0,10.0,870.6852883875512
754393.6,823.9242,966.5837,40018030.0,,0.4189424,1579.5854,54,52.898438,1e-07,274.85,1.0,803.95825,2700,50.0,1.0,19.965961,1559.6195,50.0,,-958117.8,-80.00223,-1.0,True,411390700.0,190.32469177246094,83.42,0.04249394,,231241,145.67514,[-0.931  0.977 -1.447 -1.551],-4172089300.0,1,-80.00223,50,10.0,1.0,10.0,823.9241779374381
1119479.5,985.30005,761238.25,27172962000.0,,0.4189424,2619.0857,55,26869.07,1e-07,385.56873,1.0,655.4856,2750,50.0,1.0,329.8145,2289.2712,50.0,,-1679567.2,-130.30194,-1.0,True,2.7916232e+18,194.97703957557678,99.56,0.047032554,,236219,122882.945,[-0.812  0.967 -1.47  -1.582],-935825400000000.0,1,-130.30194,50,10.0,1.0,10.0,985.3001054468014
1157596.4,1038.4657,642853.75,23919060000.0,,0.4189424,1899.5659,56,15371.815,1e-07,281.39908,1.0,398.8157,2800,50.0,1.0,639.64996,1259.916,50.0,,-1452218.6,-81.98653,-1.0,True,3.992719e+18,199.09125304222107,104.88,0.07118079,,241463,90282.36,[-0.77   1.081 -1.49  -1.561],-588728550000000.0,1,-81.98653,50,10.0,1.0,10.0,1038.4656915296712
