EmpiricalD2Harmonic,VarianceInitializer,ReturnStepMaxmin,MinBehavPdf,InitialReturnMean,LearnableVariance,ReturnStepMax,OptimizationReturnMax,MeanEntropy,InitialReturnMin,MeanIW,ESSRenyiHarmonic,EmpiricalD2Arithmetic,EpRewMean,ReturnMeanIW,MeanD2-0,StdIW,EpisodesSoFar,Bound,DivergenceHarmonic,ESSRenyiArithmetic,Weights,Penalization,StdWReturnMean,Inner Iteration,OptimizationReturnMean,EpLenMean,WReturnMean,MinIW,MaxIW,EpThisIter,InitialReturnStd,InitialBound,TimeElapsed,MinTargetPdf,Epsilon,Iteration,OptimizationReturnMin,InitialReturnMax,TimestepsSoFar
1.0,-1.0,10.0,-232.845,2555.7195,,10.0,4978.9087,0.4189424,19.959675,701.8438,50.0,1.0,2555.719463413235,5397184500.0,1.0,2830.4631,1900,-5010086300000000.0,6.0296767e+18,50.0,[-0.09   0.701 -1.394 -2.092],True,,1,2535.7598,256.62,8107206.5,0.15361728,17959.38,50,1255.1913,-10147551.0,140.5455286502838,-232.845,1e-07,38,,4998.868,165267
1.0,-1.0,10.0,-221.96507,1738.5372,,10.0,4998.4854,0.4189424,,1168.1782,50.0,1.0,1738.5372150083663,6188076500.0,1.0,4557.7856,1950,-5.732987e+21,7.897679e+30,50.0,[-0.03   0.719 -1.402 -2.091],True,,1,1738.5372,174.9,4515080.0,0.2234692,26931.031,50,1221.7072,-6555102.0,146.3402509689331,-221.96507,1e-07,39,,4998.4854,174012
1.0,-1.0,10.0,-132.55081,1251.0939,,10.0,2959.3584,0.4189424,259.74042,189.00543,50.0,1.0,1251.093911270182,448697400.0,1.0,912.2682,2000,-37464920000000.0,1960618700000000.0,50.0,[ 0.09   0.703 -1.422 -2.067],True,,1,991.35345,126.16,2168506.2,0.047372513,6442.426,50,776.7047,-3014614.2,151.84079813957214,-132.55081,1e-07,40,,3219.0989,180320
1.0,-1.0,10.0,-213.86275,1608.8961,,10.0,4728.694,0.4189424,269.83752,13.5323925,50.0,1.0,1608.8961578009598,51680652.0,1.0,12.225431,2050,-6.365786e+17,9.737012e+22,50.0,[ 0.05   0.597 -1.45  -2.111],True,,1,1339.0586,161.94,3788917.8,0.17641625,52.38609,50,1095.6145,-5828976.5,157.56724405288696,-213.86275,1e-07,41,,4998.5312,188417
1.0,-1.0,10.0,-221.0307,2663.6675,,10.0,4659.1084,0.4189424,339.68683,416.51352,50.0,1.0,2663.6675347946834,5527310300.0,1.0,1240.3014,2100,-300419100000000.0,2.1680477e+16,50.0,[-0.071  0.572 -1.47  -2.108],True,,1,2323.9807,267.4,8571389.0,0.10830116,6890.443,50,1215.016,-10611673.0,167.33957529067993,-221.0307,1e-07,42,,4998.7954,201787
1.0,-1.0,10.0,-212.77896,1789.5741,,10.0,4988.8896,0.4189424,9.979996,34934.504,50.0,1.0,1789.5739142663565,204056610000.0,1.0,88123.1,2150,-1.5189147e+24,5.5420547e+35,50.0,[-0.122  0.539 -1.484 -2.11 ],True,,1,1779.5939,179.98,4295995.0,0.73629415,437873.38,50,1045.6674,-6336332.0,174.59967637062073,-212.77896,1e-07,43,,4998.8696,210786
1.0,-1.0,10.0,-239.18355,3211.086,,10.0,4689.6206,0.4189424,309.696,789.2651,50.0,1.0,3211.086063162344,15014525000.0,1.0,4195.069,2200,-17643327000000.0,74622590000000.0,50.0,[-0.021  0.482 -1.509 -2.15 ],True,,1,2901.39,321.96,12947082.0,0.025490904,29324.05,50,1623.5789,-14987797.0,186.62228655815125,-239.18355,1e-07,44,,4999.3164,226884
1.0,-1.0,10.0,-222.85233,2780.554,,10.0,4679.519,0.4189424,319.72354,9.708816,50.0,1.0,2780.554151894003,121544150.0,1.0,17.86257,2250,-30947255000000.0,229993320000000.0,50.0,[ 0.021  0.46  -1.544 -2.173],True,,1,2460.8306,278.94,10294445.0,0.052661102,90.70653,50,1600.926,-12335095.0,197.4891107082367,-222.85233,1e-07,45,,4999.2427,240831
1.0,-1.0,10.0,-236.97076,3411.7686,,10.0,4689.6016,0.4189424,309.7613,125296.72,50.0,1.0,3411.76819207192,2480763800000.0,1.0,608212.5,2300,-4.3107584e+23,4.462108e+34,50.0,[-0.026  0.499 -1.554 -2.159],True,,1,3102.0066,342.0,13886757.0,0.18878533,4223715.0,50,1498.8647,-15927512.0,209.66711688041687,-236.97076,1e-07,46,,4999.363,257931
1.0,-1.0,10.0,-189.44537,2121.1504,,10.0,4519.2153,0.4189424,19.967314,221.93277,50.0,1.0,2121.1504469218444,752521400.0,1.0,670.63525,2350,-1216288600000000.0,5.2270102e+17,50.0,[-0.077  0.406 -1.596 -2.108],True,,1,2101.183,213.16,5282056.0,0.1371062,4735.872,50,884.74664,-6964398.0,218.43853211402893,-189.44537,1e-07,47,,4539.1826,268589
1.0,-1.0,10.0,-234.9474,3545.5503,,10.0,4589.793,0.4189424,409.7012,230875.62,50.0,1.0,3545.5505679765542,3043606000000.0,1.0,762997.7,2400,-4.1127027e+23,4.0610804e+34,50.0,[-0.016  0.397 -1.597 -2.121],True,,1,3135.8494,355.28,14958125.0,0.111720264,4248795.0,50,1545.0554,-16998988.0,233.19777464866638,-234.9474,1e-07,48,,4999.494,286353
1.0,-1.0,10.0,-222.40623,2629.022,,10.0,4989.363,0.4189424,9.979832,15208.82,50.0,1.0,2629.021681807437,302599100000.0,1.0,97840.64,2450,-2.2394415e+22,1.2042567e+32,50.0,[ 0.043  0.414 -1.602 -2.128],True,,1,2619.042,263.8,9605474.0,0.07945275,699036.7,50,1641.2554,-11646205.0,243.85843873023987,-222.40623,1e-07,49,,4999.343,299543
1.0,-1.0,9.999999,-217.1119,2494.3389,,9.999999,4659.2417,0.4189424,339.89166,690.8965,50.0,1.0,2494.338935074711,3509164300.0,1.0,1597.9048,2500,-7026473000000000.0,1.1857324e+19,50.0,[-0.068  0.459 -1.629 -2.106],True,,1,2154.4473,250.46,7674350.0,0.044243712,9846.787,50,1205.2482,-9714908.0,254.18327283859253,-217.1119,1e-07,50,,4999.1333,312066
1.0,-1.0,10.0,-235.89998,3668.6821,,10.0,4659.564,0.4189424,339.71338,86.29967,50.0,1.0,3668.682261768469,1643354100.0,1.0,221.38919,2550,-3457739400000000.0,2.8710874e+18,50.0,[-0.008  0.457 -1.63  -2.124],True,,1,3328.9688,367.54,15868317.0,0.020899888,1212.4924,50,1552.1237,-17909006.0,269.44481801986694,-235.89998,1e-07,51,,4999.2773,330443
1.0,-1.0,10.0,-234.52788,2686.126,,10.0,4979.3013,0.4189424,19.961567,1361.5856,50.0,1.0,2686.125960915129,13604812000.0,1.0,2376.5117,2600,-1.2759703e+17,3.9097454e+21,50.0,[-0.048  0.418 -1.643 -2.149],True,,1,2666.1643,269.54,9361887.0,0.05657692,9685.994,50,1465.133,-11402552.0,279.13608956336975,-234.52788,1e-07,52,,4999.2627,343920
1.0,-1.0,10.0,-243.66647,3399.4097,,10.0,4639.709,0.4189424,359.69336,48.755688,50.0,1.0,3399.409768099652,813920900.0,1.0,129.15001,2650,-3.331015e+17,2.6642325e+22,50.0,[ 0.014  0.417 -1.642 -2.158],True,,1,3039.7163,340.72,14132029.0,0.45489478,727.86707,50,1605.0055,-16172817.0,292.2185423374176,-243.66647,1e-07,53,,4999.4023,360956
1.0,-1.0,10.0,-227.79079,2946.6052,,10.0,4689.601,0.4189424,309.72913,3588.2368,50.0,1.0,2946.6051481336485,31802812000.0,1.0,7824.063,2700,-1.1197757e+19,3.010967e+25,50.0,[-0.044  0.439 -1.654 -2.162],True,,1,2636.8762,295.6,10622906.0,0.01999278,39772.348,50,1392.991,-12663629.0,302.9143822193146,-227.79079,1e-07,54,,4999.33,375736
1.0,-1.0,10.0,-234.12227,3391.4138,,10.0,4679.591,0.4189424,319.7316,10.871878,50.0,1.0,3391.413942266061,120480130.0,1.0,10.872645,2750,-86496410000000.0,1796560000000000.0,50.0,[ 0.019  0.437 -1.654 -2.159],True,,1,3071.6826,339.84,14332586.0,0.28048354,45.06773,50,1682.5271,-16373308.0,315.43354535102844,-234.12227,1e-07,55,,4999.3223,392728
1.0,-1.0,10.0,-231.71277,3501.9453,,10.0,4579.612,0.4189424,419.74402,17.268042,50.0,1.0,3501.9453751759906,187518260.0,1.0,47.42378,2800,-18784164000.0,83043230.0,50.0,[-0.037  0.431 -1.672 -2.181],True,,1,3082.2012,351.06,13916787.0,0.10257504,327.64514,50,1285.7546,-15957539.0,328.2969288825989,-231.71277,1e-07,56,,4999.356,410281
1.0,-1.0,10.0,-231.13757,3799.7314,,10.0,4219.9536,0.4189424,779.34607,9849.005,50.0,1.0,3799.731395800607,150508780000.0,1.0,46172.777,2850,-6360630000000000.0,9.714811e+18,50.0,[-0.006  0.429 -1.673 -2.183],True,,1,3020.3853,380.56,16693948.0,0.074359305,312848.06,50,1501.9949,-18734654.0,343.75501441955566,-231.13757,1e-07,57,,4999.3,429309
1.0,-1.0,10.0,-236.51883,2797.4373,,10.0,4689.8276,0.4189424,309.78635,25494.26,50.0,1.0,2797.437450350737,357365900000.0,1.0,75391.28,2900,-8.862049e+23,1.8854447e+35,50.0,[ 0.038  0.457 -1.687 -2.152],True,,1,2487.6511,280.6,10526984.0,0.3849465,427495.16,50,1643.572,-12567938.0,354.2748463153839,-236.51883,1e-07,58,,4999.614,443339
1.0,-1.0,10.0,-218.27223,3396.8918,,10.0,4479.76,0.4189424,519.7418,753.1189,50.0,1.0,3396.89166452027,6822494000.0,1.0,2074.3042,2950,-448129300000000.0,4.8214547e+16,50.0,[-0.033  0.368 -1.702 -2.2  ],True,,1,2877.1497,340.58,13269771.0,0.14418241,12989.556,50,1315.6359,-15310637.0,367.79544615745544,-218.27223,1e-07,59,,4999.5015,460368
1.0,-1.0,10.0,-237.77666,4281.403,,10.0,4519.748,0.4189424,479.64136,73.979095,50.0,1.0,4281.40284270956,1699695100.0,1.0,248.46043,3000,-5.244763e+17,6.6050355e+22,50.0,[ 0.014  0.385 -1.724 -2.171],True,,1,3801.7615,428.56,20134318.0,0.05194523,1762.1213,50,1343.0958,-22175102.0,382.3763165473938,-237.77666,1e-07,60,,4999.389,481796
1.0,-1.0,10.0,-229.4047,2872.5303,,10.0,4639.7725,0.4189424,359.70987,616.4228,50.0,1.0,2872.53043576643,8096412700.0,1.0,1991.5369,3050,-8244505400000000.0,1.6319974e+19,50.0,[-0.044  0.387 -1.744 -2.162],True,,1,2512.8206,288.24,9949318.0,0.028331913,13882.17,50,1303.0305,-11990165.0,395.44597148895264,-229.4047,1e-07,61,,4999.4824,496208
