WReturnMean,ReturnStepMax,Iteration,InitialReturnMax,VarianceInitializer,StdWReturnMean,Epsilon,EpLenMean,ReturnMeanIW,Penalization,OptimizationReturnMin,Weights,MeanEntropy,MinTargetPdf,InitialReturnMin,MeanD2-0,EpisodesSoFar,OptimizationReturnMax,MinBehavPdf,DivergenceHarmonic,MeanIW,EpRewMean,EpThisIter,MinIW,MaxIW,ESSRenyiArithmetic,Bound,EmpiricalD2Arithmetic,ReturnStepMaxmin,InitialBound,StdIW,ESSRenyiHarmonic,InitialReturnMean,EmpiricalD2Harmonic,LearnableVariance,OptimizationReturnMean,TimestepsSoFar,TimeElapsed,InitialReturnStd,Inner Iteration
15075692.0,10.0,51,4999.3887,-1.0,,1e-07,361.72,460267320000.0,True,,[-0.04   0.555 -1.591 -2.213],0.4189424,-243.62033,329.77438,1.0,2550,4669.6143,-243.62033,2.001838e+30,57081.586,3610.0011818959133,50,0.22342998,1862971.0,50.0,-2.8873714e+21,1.0,10.0,-17116470.0,280097.12,50.0,3610.0012,1.0,,3280.2266,289264,230.317373752594,1429.5398,1
10423261.0,10.0,52,4999.108,-1.0,,1e-07,274.14,30919298.0,True,,[ 0.022  0.55  -1.598 -2.217],0.4189424,-228.02478,9.981784,1.0,2600,4989.126,-228.02478,82907370000.0,3.3841467,2732.5955678812247,50,0.5434335,10.718744,50.0,-587568900000.0,1.0,10.0,-12463800.0,2.0877748,50.0,2732.5957,1.0,,2722.6138,302971,240.7435986995697,1719.3553,1
14802198.0,10.0,53,4999.587,-1.0,,1e-07,363.96,108733506000.0,True,,[-0.035  0.537 -1.616 -2.201],0.4189424,-232.17552,339.75397,1.0,2650,4659.833,-232.17552,1.6160125e+28,4921.1294,3632.003411783558,50,0.031559784,137400.88,50.0,-2.5944481e+20,1.0,10.0,-16843138.0,20155.664,50.0,3632.0034,1.0,,3292.2498,321169,252.95000004768372,1269.153,1
17258928.0,10.0,54,4999.2305,-1.0,,1e-07,394.42,2569796300000.0,True,,[-0.047  0.654 -1.654 -2.218],0.4189424,-241.14359,649.6042,1.0,2700,4349.6265,-241.14359,4.572095e+28,103624.69,3937.687755537202,50,0.08711676,3106872.5,50.0,-4.363333e+20,1.0,10.0,-19299580.0,461912.38,50.0,3937.6882,1.0,,3288.0835,340890,267.4266982078552,1324.2147,1
12367345.0,10.0,55,4999.129,-1.0,,1e-07,325.96,2546168300.0,True,,[-0.09   0.758 -1.675 -2.168],0.4189424,-225.06676,229.7731,1.0,2750,4769.356,-225.06676,814815500000.0,252.21617,3249.918822784274,50,0.05607456,3925.6365,50.0,-1844474400000.0,1.0,10.0,-14407909.0,674.25995,50.0,3249.9187,1.0,,3020.1455,357188,279.8324649333954,1343.6415,1
15880159.0,10.0,56,4999.356,-1.0,,1e-07,366.94,2528924000.0,True,,[-0.054  0.798 -1.678 -2.137],0.4189424,-244.05063,,1.0,2800,4999.356,-244.05063,4030844500000000.0,119.67294,3662.375133513539,50,0.11063962,2273.1287,50.0,-129565380000000.0,1.0,10.0,-17920912.0,412.063,50.0,3662.375,1.0,,3662.375,375535,293.74078607559204,1570.7219,1
12443138.0,10.0,57,4999.3574,-1.0,,1e-07,321.8,541105950000.0,True,,[-0.1    0.802 -1.791 -2.162],0.4189424,-230.94217,,1.0,2850,4999.3574,-230.94217,2.575491e+23,70568.46,3209.1991689842166,50,0.1804318,3384541.2,50.0,-1.0356499e+18,1.0,10.0,-14483887.0,473519.12,50.0,3209.199,1.0,,3209.199,391625,304.89976954460144,1464.3016,1
16775479.0,10.0,58,4999.434,-1.0,,1e-07,366.22,189869640000.0,True,,[-0.04   0.816 -1.794 -2.17 ],0.4189424,-247.89809,,1.0,2900,4999.434,-247.89809,4.1649584e+19,7710.7163,3657.2104272205415,50,0.01228866,303333.8,50.0,-1.3170664e+16,1.0,10.0,-18816296.0,42950.754,50.0,3657.2102,1.0,,3657.2102,409936,318.5518522262573,1843.9879,1
19672112.0,10.0,59,4999.454,-1.0,,1e-07,420.72,747244100.0,True,,[-0.026  0.701 -1.841 -2.165],0.4189424,-234.74817,,1.0,2950,4999.454,-234.74817,199540450.0,33.44583,4202.695735881588,50,0.02845018,807.6941,50.0,-29575279000.0,1.0,10.0,-21712950.0,117.568695,50.0,4202.696,1.0,,4202.696,430972,335.0774390697479,1417.5552,1
19170060.0,10.0,60,4999.358,-1.0,,1e-07,415.62,450522320000.0,True,,[-0.046  0.756 -1.85  -2.145],0.4189424,-234.27289,229.7957,1.0,3000,4769.562,-234.27289,3.997889e+28,32653.744,4151.37398471547,50,0.2629116,949887.8,50.0,-4.0803573e+20,1.0,10.0,-21210820.0,140177.39,50.0,4151.3735,1.0,,3921.5781,451753,349.29858326911926,1391.4581,1
