MeanEntropy,InitialReturnMean,Penalization,EpRewMean,WReturnMean,ESSRenyiArithmetic,StdIW,InitialReturnMax,EmpiricalD2Harmonic,Iteration,OptimizationReturnMin,EmpiricalD2Arithmetic,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,TimeElapsed,DivergenceHarmonic,EpThisIter,EpisodesSoFar,ReturnStepMaxmin,OptimizationReturnMax,ReturnStepMax,OptimizationReturnMean,VarianceInitializer,Epsilon,MinTargetPdf,Bound,MinBehavPdf,MeanIW,Inner Iteration,LearnableVariance,StdWReturnMean,Weights,InitialBound,MaxIW,InitialReturnMin,EpLenMean,MinIW,ESSRenyiHarmonic,MeanD2-0
0.4189424,2951.9663,True,2951.9660377589503,11666470.0,50.0,758086.06,4999.282,1.0,40,,1.0,1718.2454,179139,2591383600000.0,350.2812418937683,1.8382455e+35,50,2000,10.0,4999.282,10.0,2951.9663,-1.0,1.0,-224.32475,-8.749262e+23,-224.32475,112276.99,1,,,[-0.002  0.293 -1.537 -1.478],-13707157.0,5416410.0,,296.08,0.1124231,50.0,1.0
0.4189424,2271.046,True,2271.045944665416,6444502.0,50.0,1103.5535,4528.9814,1.0,41,,1.0,1134.395,190547,848082900.0,382.2635223865509,2.8802143e+20,50,2050,10.0,4528.9814,10.0,2271.046,-1.0,1.0,-188.08934,-2.8422863e+16,-188.08934,349.394,1,,,[-0.056  0.313 -1.561 -1.475],-8119293.0,6824.8867,,228.16,0.20096783,50.0,1.0
0.4189424,2467.5264,True,2467.526300134653,8833201.0,50.0,1501.73,4999.052,1.0,42,,1.0,1656.6578,202934,3841879600.0,414.4971742630005,1174821000000000.0,50,2100,10.0,4949.121,10.0,2417.5957,-1.0,1.0,-231.62401,-69942213000000.0,-231.62401,358.439,1,,,[-6.209e-04  3.410e-01 -1.564e+00 -1.470e+00],-10873694.0,9627.203,49.930458,247.74,0.08585976,50.0,1.0
0.4189424,1923.3728,True,1923.372875453732,6525777.5,50.0,14.36827,4998.9585,1.0,43,,1.0,1681.1943,212598,77957360.0,443.0694377422333,2841654000000.0,50,2150,10.0,4998.9585,10.0,1923.3728,-1.0,1.0,-229.65265,-3439607400000.0,-229.65265,7.550483,1,,,[-0.004  0.435 -1.634 -1.513],-8566189.0,77.597244,,193.28,0.085859105,50.0,1.0
0.4189424,2711.0928,True,2711.092733290207,9007715.0,50.0,5937.1455,4999.302,1.0,44,,1.0,1287.5138,226203,15927912000.0,478.66688871383667,2.5871544e+21,50,2200,10.0,4719.5283,10.0,2431.3196,-1.0,1.0,-214.59154,-1.0379689e+17,-214.59154,2336.5322,1,,,[-0.043  0.393 -1.641 -1.535],-11048415.0,35107.008,279.7733,272.1,0.11600596,50.0,1.0
0.4189424,2233.253,True,2233.2528819589643,7907272.5,50.0,3.9088452,4999.075,1.0,45,,1.0,1708.7582,237417,46993470.0,507.92762660980225,24065000000.0,50,2250,10.0,4989.0933,10.0,2223.2712,-1.0,1.0,-219.55592,-316585540000.0,-219.55592,4.4193497,1,,,[ 0.019  0.401 -1.648 -1.533],-9947782.0,24.94275,9.981882,224.28,0.6547686,50.0,1.0
0.4189424,2761.6494,True,2761.6491483609234,9992555.0,50.0,12192.7295,4999.122,1.0,46,,1.0,1538.132,251272,14132649000.0,538.6991450786591,8.449887e+27,50,2300,10.0,4969.1675,10.0,2731.695,-1.0,1.0,-219.44691,-1.8757169e+20,-219.44691,3006.0164,1,,,[-0.038  0.385 -1.667 -1.54 ],-12033109.0,82295.31,29.95438,277.1,0.19670147,50.0,1.0
0.4189424,3123.39,True,3123.390109706711,12555712.0,50.0,813620.3,4999.494,1.0,47,,1.0,1673.364,266929,2140414300000.0,569.3494875431061,1.8318416e+33,50,2350,10.0,4929.597,10.0,3053.4932,-1.0,1.0,-226.55772,-8.7347495e+22,-226.55772,170660.48,1,,,[ 0.015  0.393 -1.69  -1.563],-14596573.0,5629168.0,69.89714,313.14,0.075272575,50.0,1.0
0.4189424,3439.992,True,3439.99178335597,15150247.0,50.0,131.14609,4999.211,1.0,48,,1.0,1821.1818,284159,1151720700.0,615.762368440628,2.4536614e+18,50,2400,10.0,4989.2295,10.0,3430.0103,-1.0,1.0,-239.49557,-3196426600000000.0,-239.49557,54.866135,1,,,[ 0.015  0.298 -1.727 -1.635],-17190880.0,701.54407,9.981564,344.6,0.089160904,50.0,1.0
0.4189424,2799.6665,True,2799.6663374846275,9307433.0,50.0,1800.7101,4999.2563,1.0,49,,1.0,1212.1477,298205,3675089200.0,654.7387907505035,1.9293581e+30,50,2450,10.0,4249.436,10.0,2049.8462,-1.0,1.0,-230.22987,-2.8344685e+21,-230.22987,719.7394,1,,,[-0.044  0.305 -1.74  -1.648],-11348097.0,11160.256,749.82025,280.92,0.045364857,50.0,1.0
