Bound,VarRet,AvgEpLen,MaxNormIw,Delta,VarJ,MinVanillaIw,J,BatchSize,VarVanillaIw,AvgNormIw,VarDiscRet,VarNormIw,AvgRet,AvgVanillaIw,MaxVanillaIw,EpsThisIter,MinNormIw,eRenyi2,ESSRenyi,IterType,VanillaAvgRet,AvgDiscRet,ESSClassic
-452.703,3263.34754076,500.0,0.00749451,0.6,57.915,0.120979,-419.852,300,0.139027,0.00333333,3263.34754076,1.44909e-06,-418.488207908,1.03248,2.32137,100,0.000390577,1.13107,265.236407856,1,-418.488207908,-418.488207908,265.490603554
-465.094,2868.96892603,500.0,0.01,0.6,53.2943,1.0,-420.721,300,,0.01,2868.96892603,3.50449e-18,-420.72068624,1.0,1.0,100,0.01,1.0,300.0,2,-420.72068624,-420.72068624,100.0
-456.567,2936.38675394,500.0,0.005,0.6,53.6539,1.0,-422.978,300,,0.005,2936.38675394,2.1793e-19,-425.234376529,1.0,1.0,100,0.005,1.0,300.0,2,-425.234376529,-425.234376529,200.000000102
-444.593,2766.07276522,500.0,0.00779197,0.6,52.7932,0.0458279,-414.406,300,0.198567,0.00333333,2766.07276522,2.3731e-06,-413.460832009,0.964215,2.25394,100,0.000158429,1.21158,247.611208131,1,-413.460832009,-413.460832009,247.347724533
-468.646,2816.15962522,500.0,0.01,0.6,52.8015,1.0,-417.782,300,,0.01,2816.15962522,3.50449e-18,-417.782241797,1.0,1.0,100,0.01,1.0,300.0,2,-417.782241797,-417.782241797,100.0
-452.0,2748.54681611,500.0,0.005,0.6,52.5127,1.0,-416.034,300,,0.005,2748.54681611,2.1793e-19,-414.286096745,1.0,1.0,100,0.005,1.0,300.0,2,-414.286096745,-414.286096745,200.000000102
-443.749,2777.53877078,500.0,0.0118529,0.6,53.5787,0.292285,-412.029,300,0.182934,0.00333333,2777.53877078,2.00376e-06,-417.488827852,1.00717,3.58137,100,0.000967346,1.16676,257.122714784,1,-417.488827852,-417.488827852,254.293994467
-463.663,2698.1756461,500.0,0.01,0.6,51.6836,1.0,-418.197,300,,0.01,2698.1756461,3.50449e-18,-418.197165031,1.0,1.0,100,0.01,1.0,300.0,2,-418.197165031,-418.197165031,100.0
-444.884,2185.44707262,500.0,0.005,0.6,49.4695,1.0,-412.735,300,,0.005,2185.44707262,2.1793e-19,-407.272840473,1.0,1.0,100,0.005,1.0,300.0,2,-407.272840473,-407.272840473,200.000000102
-437.32,2431.9891345,500.0,0.00747964,0.6,52.422,0.0560756,-407.996,300,0.202565,0.00333333,2431.9891345,2.1508e-06,-412.110303755,1.02297,2.29543,100,0.000182722,1.20272,249.434827832,1,-412.110303755,-412.110303755,251.482444681
-473.702,2793.26611364,500.0,0.01,0.6,52.5864,1.0,-426.683,300,,0.01,2793.26611364,3.50449e-18,-426.683316628,1.0,1.0,100,0.01,1.0,300.0,2,-426.683316628,-426.683316628,100.0
-461.277,2971.30002785,500.0,0.005,0.6,53.4348,1.0,-428.03,300,,0.005,2971.30002785,2.1793e-19,-429.376012329,1.0,1.0,100,0.005,1.0,300.0,2,-429.376012329,-429.376012329,200.000000102
-449.333,3227.69648723,500.0,0.119133,0.6,155.009,6.15739e-06,-421.486,300,10.7503,0.00333333,3227.69648723,0.00011058,-425.509558664,1.03932,37.1453,100,1.97481e-08,1.0,299.999141696,1,-425.509558664,-425.509558664,27.4749434799
-462.563,2530.29044978,500.0,0.01,0.6,50.0498,1.0,-418.283,300,,0.01,2530.29044978,3.50449e-18,-418.283174874,1.0,1.0,100,0.01,1.0,300.0,2,-418.283174874,-418.283174874,100.0
-452.827,2924.7457094,500.0,0.005,0.6,51.9672,1.0,-418.875,300,,0.005,2924.7457094,2.1793e-19,-419.467378507,1.0,1.0,100,0.005,1.0,300.0,2,-419.467378507,-419.467378507,200.000000102
-442.554,2838.96686242,500.0,0.00667084,0.6,50.8835,0.0407856,-411.545,300,0.258834,0.00333333,2838.96686242,2.49873e-06,-416.841191023,1.07283,2.14699,100,0.000126723,1.25134,239.743743146,1,-416.841191023,-416.841191023,245.070755803
-467.817,2817.97691909,500.0,0.01,0.6,52.8185,1.0,-418.321,300,,0.01,2817.97691909,3.50449e-18,-418.320662423,1.0,1.0,100,0.01,1.0,300.0,2,-418.320662423,-418.320662423,100.0
-452.32,3657.13185921,500.0,0.005,0.6,56.6231,1.0,-417.321,300,,0.005,3657.13185921,2.1793e-19,-416.321038921,1.0,1.0,100,0.005,1.0,300.0,2,-416.321038921,-416.321038921,200.000000102
-443.985,2259.65640102,500.0,0.00874642,0.6,55.7586,0.014472,-412.195,300,0.220342,0.00333333,2259.65640102,2.53512e-06,-418.395828116,0.982716,2.57857,100,4.90886e-05,1.23756,242.412342367,1,-418.395828116,-418.395828116,244.419144835
-457.817,2759.49950783,500.0,0.01,0.6,52.2676,1.0,-411.865,300,,0.01,2759.49950783,3.50449e-18,-411.864726587,1.0,1.0,100,0.01,1.0,300.0,2,-411.864726587,-411.864726587,100.0
-448.907,2958.80974797,500.0,0.005,0.6,53.2735,1.0,-414.603,300,,0.005,2958.80974797,2.1793e-19,-417.341812473,1.0,1.0,100,0.005,1.0,300.0,2,-417.341812473,-417.341812473,200.000000102
-423.423,2982.41118559,500.0,0.160042,0.6,97.4489,2.20878e-06,-395.414,300,18.1522,0.00333333,2982.41118559,0.000231756,-414.460859995,0.932884,44.7901,100,7.89228e-09,1.0,299.999892712,1,-414.460859995,-414.460859995,13.7686988582
-464.266,3399.13423843,500.0,0.01,0.6,58.0098,1.0,-414.591,300,,0.01,3399.13423843,3.50449e-18,-414.590679206,1.0,1.0,100,0.01,1.0,300.0,2,-414.590679206,-414.590679206,100.0
-454.065,3489.454617,500.0,0.005,0.6,58.5556,1.0,-418.939,300,,0.005,3489.454617,2.1793e-19,-423.287485249,1.0,1.0,100,0.005,1.0,300.0,2,-423.287485249,-423.287485249,200.000000102
-446.812,4427.92910787,500.0,0.0462207,0.6,75.8954,0.0450216,-409.78,300,1.21077,0.00333333,4427.92910787,1.25638e-05,-423.072554508,1.03479,14.3485,100,0.000145027,1.46484,204.800283334,1,-423.072554508,-423.072554508,141.045657981
-457.188,2233.77335389,500.0,0.01,0.6,47.0259,1.0,-413.105,300,,0.01,2233.77335389,3.50449e-18,-413.104539194,1.0,1.0,100,0.01,1.0,300.0,2,-413.104539194,-413.104539194,100.0
-454.354,3513.16073268,500.0,0.005,0.6,53.6849,1.0,-419.215,300,,0.005,3513.16073268,2.1793e-19,-425.325334848,1.0,1.0,100,0.005,1.0,300.0,2,-425.325334848,-425.325334848,200.000000102
-440.994,2269.74219722,500.0,0.00824231,0.6,52.7523,0.0193541,-408.717,300,0.282584,0.00333333,2269.74219722,3.1958e-06,-409.162051234,0.991204,2.45094,100,6.50861e-05,1.26569,237.024869702,1,-409.162051234,-409.162051234,233.161254186
-453.626,2537.69670164,500.0,0.01,0.6,50.123,1.0,-409.824,300,,0.01,2537.69670164,3.50449e-18,-409.823966258,1.0,1.0,100,0.01,1.0,300.0,2,-409.823966258,-409.823966258,100.0
-445.202,3298.02014178,500.0,0.005,0.6,53.7562,1.0,-410.847,300,,0.005,3298.02014178,2.1793e-19,-411.870911977,1.0,1.0,100,0.005,1.0,300.0,2,-411.870911977,-411.870911977,200.000000102
-440.034,3885.54430915,500.0,0.0115224,0.6,56.0629,0.35966,-408.375,300,0.145096,0.00333333,3885.54430915,1.62408e-06,-418.11058457,0.996328,3.44401,100,0.00120328,1.16791,256.870161259,1,-418.11058457,-418.11058457,261.853221113
-449.446,2790.73978843,500.0,0.01,0.6,52.5627,1.0,-404.75,300,,0.01,2790.73978843,3.50449e-18,-404.749493559,1.0,1.0,100,0.01,1.0,300.0,2,-404.749493559,-404.749493559,100.0
-446.158,2963.88313822,500.0,0.005,0.6,53.73,1.0,-410.944,300,,0.005,2963.88313822,2.1793e-19,-417.139395977,1.0,1.0,100,0.005,1.0,300.0,2,-417.139395977,-417.139395977,200.000000102
-442.972,3205.05562278,500.0,0.00659377,0.6,56.937,0.149182,-411.86,300,0.173576,0.00333333,3205.05562278,1.86485e-06,-427.856240037,1.01695,2.01166,100,0.000488983,1.17093,256.205581627,1,-427.856240037,-427.856240037,257.008424521
-459.037,2910.58048003,500.0,0.01,0.6,53.6794,1.0,-408.44,300,,0.01,2910.58048003,3.50449e-18,-408.440262272,1.0,1.0,100,0.01,1.0,300.0,2,-408.440262272,-408.440262272,100.0
-446.25,3098.66592827,500.0,0.005,0.6,54.5775,1.0,-410.472,300,,0.005,3098.66592827,2.1793e-19,-412.504430759,1.0,1.0,100,0.005,1.0,300.0,2,-412.504430759,-412.504430759,200.000000102
-439.251,2440.67159657,500.0,0.00604682,0.6,53.0553,0.0985277,-408.266,300,0.121963,0.00333333,2440.67159657,1.3074e-06,-414.949456252,1.0181,1.84687,100,0.000322588,1.12508,266.646520936,1,-414.949456252,-414.949456252,268.510874532
-461.958,2717.58425567,500.0,0.01,0.6,51.8691,1.0,-416.269,300,,0.01,2717.58425567,3.50449e-18,-416.269501252,1.0,1.0,100,0.01,1.0,300.0,2,-416.269501252,-416.269501252,100.0
-445.185,2507.2162496,500.0,0.005,0.6,50.9684,1.0,-412.878,300,,0.005,2507.2162496,2.1793e-19,-409.485786895,1.0,1.0,100,0.005,1.0,300.0,2,-409.485786895,-409.485786895,200.000000102
-435.675,2721.71455885,500.0,0.0105836,0.6,51.0497,0.217101,-406.193,300,0.227171,0.00333333,2721.71455885,2.30984e-06,-410.785821296,1.04536,3.31908,100,0.000692272,1.20931,248.075630968,1,-410.785821296,-410.785821296,248.510518327
-471.003,2813.62173199,500.0,0.01,0.6,52.7777,1.0,-424.719,300,,0.01,2813.62173199,3.50449e-18,-424.718512716,1.0,1.0,100,0.01,1.0,300.0,2,-424.718512716,-424.718512716,100.0
-454.118,2738.08255242,500.0,0.005,0.6,52.5279,1.0,-421.389,300,,0.005,2738.08255242,2.1793e-19,-418.06000748,1.0,1.0,100,0.005,1.0,300.0,2,-418.06000748,-418.06000748,200.000000102
-443.777,2711.20313829,500.0,0.00884851,0.6,52.15,0.195055,-414.888,300,0.164591,0.00333333,2711.20313829,1.88387e-06,-413.387833632,0.985272,2.61546,100,0.000659903,1.16868,256.698855741,1,-413.387833632,-413.387833632,256.633347954
-453.582,2481.9452097,500.0,0.01,0.6,49.5694,1.0,-404.779,300,,0.01,2481.9452097,3.50449e-18,-404.778736063,1.0,1.0,100,0.01,1.0,300.0,2,-404.778736063,-404.778736063,100.0
-440.843,2476.01744053,500.0,0.005,0.6,49.5642,1.0,-406.334,300,,0.005,2476.01744053,2.1793e-19,-407.888830766,1.0,1.0,100,0.005,1.0,300.0,2,-407.888830766,-407.888830766,200.000000102
-434.735,2299.03868703,500.0,0.00582291,0.6,50.3564,0.146258,-405.01,300,0.109261,0.00333333,2299.03868703,1.17939e-06,-411.208760128,1.01457,1.77233,100,0.000480522,1.11295,269.554300426,1,-411.208760128,-411.208760128,271.298984743
-444.744,2363.53631008,500.0,0.01,0.6,48.3725,1.0,-398.767,300,,0.01,2363.53631008,3.50449e-18,-398.767234593,1.0,1.0,100,0.01,1.0,300.0,2,-398.767234593,-398.767234593,100.0
-433.565,2390.3674503,500.0,0.005,0.6,48.5228,1.0,-399.898,300,,0.005,2390.3674503,2.1793e-19,-401.029272146,1.0,1.0,100,0.005,1.0,300.0,2,-401.029272146,-401.029272146,200.000000102
-434.985,3202.04308278,500.0,0.00948959,0.6,51.0007,0.190854,-402.627,300,0.126493,0.00333333,3202.04308278,1.31709e-06,-418.177695487,1.03301,2.94085,100,0.000615852,1.11476,269.116931836,1,-418.177695487,-418.177695487,268.301877917
-462.962,3485.44535716,500.0,0.01,0.6,58.7417,1.0,-412.054,300,,0.01,3485.44535716,3.50449e-18,-412.054371251,1.0,1.0,100,0.01,1.0,300.0,2,-412.054371251,-412.054371251,100.0
-449.797,2501.76384285,500.0,0.005,0.6,54.4676,1.0,-413.8,300,,0.005,2501.76384285,2.1793e-19,-415.545600477,1.0,1.0,100,0.005,1.0,300.0,2,-415.545600477,-415.545600477,200.000000102
-441.56,2635.33385442,500.0,0.00890678,0.6,51.4066,0.272804,-409.596,300,0.106719,0.00333333,2635.33385442,1.14476e-06,-410.206428529,1.01775,2.71947,100,0.000893484,1.09391,274.244704793,1,-410.206428529,-410.206428529,272.063162857
-464.042,3281.68292727,500.0,0.01,0.6,56.9988,1.0,-414.636,300,,0.01,3281.68292727,3.50449e-18,-414.636331818,1.0,1.0,100,0.01,1.0,300.0,2,-414.636331818,-414.636331818,100.0
-446.408,2545.72096113,500.0,0.005,0.6,53.8548,1.0,-410.664,300,,0.005,2545.72096113,2.1793e-19,-406.692417681,1.0,1.0,100,0.005,1.0,300.0,2,-406.692417681,-406.692417681,200.000000102
-434.922,2981.44774004,500.0,0.0165545,0.6,53.3735,0.0614847,-401.818,300,0.319319,0.00333333,2981.44774004,3.66069e-06,-404.005470488,0.984486,4.8893,100,0.000208179,1.28665,233.163220399,1,-404.005470488,-404.005470488,225.841696477
-453.782,2220.51108767,500.0,0.01,0.6,46.8861,1.0,-407.069,300,,0.01,2220.51108767,3.50449e-18,-407.068641975,1.0,1.0,100,0.01,1.0,300.0,2,-407.068641975,-407.068641975,100.0
-439.623,2166.5092273,500.0,0.005,0.6,46.6026,1.0,-406.592,300,,0.005,2166.5092273,2.1793e-19,-406.115498169,1.0,1.0,100,0.005,1.0,300.0,2,-406.115498169,-406.115498169,200.000000102
-432.779,2258.12847812,500.0,0.00795015,0.6,45.9519,0.125646,-403.958,300,0.127856,0.00333333,2258.12847812,1.33251e-06,-409.997492204,1.03253,2.46263,100,0.000405626,1.14199,262.699691942,1,-409.997492204,-409.997492204,267.970411674
-452.447,2696.2819452,500.0,0.01,0.6,51.6655,1.0,-405.681,300,,0.01,2696.2819452,3.50449e-18,-405.681104077,1.0,1.0,100,0.01,1.0,300.0,2,-405.681104077,-405.681104077,100.0
-446.438,2646.39628238,500.0,0.005,0.6,51.6195,1.0,-410.147,300,,0.005,2646.39628238,2.1793e-19,-414.61351833,1.0,1.0,100,0.005,1.0,300.0,2,-414.61351833,-414.61351833,200.000000102
-436.512,2473.74230763,500.0,0.00609118,0.6,50.0653,0.208691,-405.22,300,0.103293,0.00333333,2473.74230763,1.08396e-06,-406.53611149,1.02898,1.88032,100,0.000676042,1.11527,268.993412897,1,-406.53611149,-406.53611149,273.415524804
-462.755,3081.87408382,500.0,0.01,0.6,55.2364,1.0,-410.879,300,,0.01,3081.87408382,3.50449e-18,-410.878599239,1.0,1.0,100,0.01,1.0,300.0,2,-410.878599239,-410.878599239,100.0
-449.399,2958.75793341,500.0,0.005,0.6,54.7128,1.0,-412.717,300,,0.005,2958.75793341,2.1793e-19,-414.554916889,1.0,1.0,100,0.005,1.0,300.0,2,-414.554916889,-414.554916889,200.000000102
-440.54,2635.81294179,500.0,0.0187866,0.6,53.04,0.219907,-409.096,300,0.15793,0.00333333,2635.81294179,1.71856e-06,-410.083964235,1.01048,5.69506,100,0.00072542,1.10221,272.179749343,1,-410.083964235,-410.083964235,259.93051421
-465.129,3210.41929305,500.0,0.01,0.6,56.3765,1.0,-415.203,300,,0.01,3210.41929305,3.50449e-18,-415.203135096,1.0,1.0,100,0.01,1.0,300.0,2,-415.203135096,-415.203135096,100.0
-448.209,2850.47444354,500.0,0.005,0.6,54.8217,1.0,-412.906,300,,0.005,2850.47444354,2.1793e-19,-410.609198567,1.0,1.0,100,0.005,1.0,300.0,2,-410.609198567,-410.609198567,200.000000102
-436.333,1941.83834625,500.0,0.0104996,0.6,51.0737,0.064631,-404.43,300,0.275876,0.00333333,1941.83834625,2.85151e-06,-405.557655689,1.03681,3.26584,100,0.000207788,1.22498,244.901958246,1,-405.557655689,-405.557655689,238.895241667
-456.574,3099.51587322,500.0,0.01,0.6,55.3942,1.0,-411.144,300,,0.01,3099.51587322,3.50449e-18,-411.143995372,1.0,1.0,100,0.01,1.0,300.0,2,-411.143995372,-411.143995372,100.0
-445.949,2830.60374391,500.0,0.005,0.6,54.2168,1.0,-413.156,300,,0.005,2830.60374391,2.1793e-19,-415.167788092,1.0,1.0,100,0.005,1.0,300.0,2,-415.167788092,-415.167788092,200.000000102
-438.437,3286.5562123,500.0,0.0141709,0.6,57.804,0.0703979,-408.693,300,0.283863,0.00333333,3286.5562123,2.94623e-06,-413.811064459,1.03466,4.39863,100,0.000226798,1.23404,243.103406804,1,-413.811064459,-413.811064459,237.289774482
-465.985,3196.53229885,500.0,0.01,0.6,56.2545,1.0,-415.807,300,,0.01,3196.53229885,3.50449e-18,-415.807018558,1.0,1.0,100,0.01,1.0,300.0,2,-415.807018558,-415.807018558,100.0
-448.096,2234.33452377,500.0,0.005,0.6,51.9468,1.0,-412.615,300,,0.005,2234.33452377,2.1793e-19,-409.422085883,1.0,1.0,100,0.005,1.0,300.0,2,-409.422085883,-409.422085883,200.000000102
-435.677,2933.57422115,500.0,0.0569604,0.6,80.6964,0.000568995,-396.899,300,1.87292,0.00333333,2933.57422115,1.99977e-05,-411.802746982,1.02011,17.4318,100,1.85926e-06,1.79167,167.441429688,1,-411.802746982,-411.802746982,107.38066335
-457.775,3194.81202922,500.0,0.01,0.6,56.2393,1.0,-409.614,300,,0.01,3194.81202922,3.50449e-18,-409.614236896,1.0,1.0,100,0.01,1.0,300.0,2,-409.614236896,-409.614236896,100.0
-445.088,2510.74303364,500.0,0.005,0.6,53.1626,1.0,-411.033,300,,0.005,2510.74303364,2.1793e-19,-412.452192227,1.0,1.0,100,0.005,1.0,300.0,2,-412.452192227,-412.452192227,200.000000102
-439.883,2998.78869396,500.0,0.00980854,0.6,57.5371,0.0280578,-408.123,300,0.278619,0.00333333,2998.78869396,3.57684e-06,-422.859560684,0.930325,2.73754,100,0.000100531,1.30467,229.942430843,1,-422.859560684,-422.859560684,227.127821746
-453.728,2648.07212704,500.0,0.01,0.6,51.2015,1.0,-408.957,300,,0.01,2648.07212704,3.50449e-18,-408.956944633,1.0,1.0,100,0.01,1.0,300.0,2,-408.956944633,-408.956944633,100.0
-443.808,2855.64821756,500.0,0.005,0.6,52.2459,1.0,-411.256,300,,0.005,2855.64821756,2.1793e-19,-413.556103147,1.0,1.0,100,0.005,1.0,300.0,2,-413.556103147,-413.556103147,200.000000102
-437.363,2848.2638083,500.0,0.0102006,0.6,51.8676,0.00180613,-401.417,300,0.414298,0.00333333,2848.2638083,4.8116e-06,-410.324829525,0.978116,2.99322,100,6.15513e-06,1.40483,213.548556755,1,-410.324829525,-410.324829525,209.555621862
-459.718,2567.78015546,500.0,0.01,0.6,50.4193,1.0,-410.529,300,,0.01,2567.78015546,3.50449e-18,-410.528622396,1.0,1.0,100,0.01,1.0,300.0,2,-410.528622396,-410.528622396,100.0
-443.566,2274.09415384,500.0,0.005,0.6,48.9875,1.0,-408.783,300,,0.005,2274.09415384,2.1793e-19,-407.038046085,1.0,1.0,100,0.005,1.0,300.0,2,-407.038046085,-407.038046085,200.000000102
-435.747,4867.59246848,500.0,0.011662,0.6,58.7773,0.0648568,-403.513,300,0.267827,0.00333333,4867.59246848,3.09641e-06,-412.072828137,0.980341,3.42982,100,0.000220525,1.26303,237.523299692,1,-412.072828137,-412.072828137,234.788058494
-443.452,2250.00015295,500.0,0.01,0.6,47.1964,1.0,-398.891,300,,0.01,2250.00015295,3.50449e-18,-398.891123112,1.0,1.0,100,0.01,1.0,300.0,2,-398.891123112,-398.891123112,100.0
-429.93,1890.60808561,500.0,0.005,0.6,45.275,1.0,-398.42,300,,0.005,1890.60808561,2.1793e-19,-397.949154376,1.0,1.0,100,0.005,1.0,300.0,2,-397.949154376,-397.949154376,200.000000102
-425.568,2316.99909339,500.0,0.00785017,0.6,47.443,0.032265,-398.579,300,0.107907,0.00333333,2316.99909339,1.19112e-06,-405.729666785,1.00329,2.3628,100,0.000107197,1.10043,272.621320098,1,-405.729666785,-405.729666785,271.041131934
-460.787,3534.7329948,500.0,0.01,0.6,59.1556,1.0,-412.533,300,,0.01,3534.7329948,3.50449e-18,-412.532849912,1.0,1.0,100,0.01,1.0,300.0,2,-412.532849912,-412.532849912,100.0
-444.175,2582.72816156,500.0,0.005,0.6,55.0844,1.0,-410.054,300,,0.005,2582.72816156,2.1793e-19,-407.574902279,1.0,1.0,100,0.005,1.0,300.0,2,-407.574902279,-407.574902279,200.000000102
-433.052,2560.40594804,500.0,0.00795307,0.6,52.049,0.0198078,-401.684,300,0.271721,0.00333333,2560.40594804,2.64555e-06,-404.82710587,1.06827,2.54881,100,6.18063e-05,1.26773,236.643494261,1,-404.82710587,-404.82710587,242.462297959
-445.899,1744.72388175,500.0,0.01,0.6,41.5605,1.0,-403.698,300,,0.01,1744.72388175,3.50449e-18,-403.697551847,1.0,1.0,100,0.01,1.0,300.0,2,-403.697551847,-403.697551847,100.0
-432.582,1915.71246173,500.0,0.005,0.6,42.5892,1.0,-402.309,300,,0.005,1915.71246173,2.1793e-19,-400.920517598,1.0,1.0,100,0.005,1.0,300.0,2,-400.920517598,-400.920517598,200.000000102
-428.005,2714.98941463,500.0,0.0320154,0.6,55.8539,0.167241,-394.736,300,0.83678,0.00333333,2714.98941463,8.00637e-06,-404.77848816,1.07762,10.3502,100,0.000517316,1.39547,214.98074121,1,-404.77848816,-404.77848816,174.60423122
-459.528,2713.38055358,500.0,0.01,0.6,51.829,1.0,-413.839,300,,0.01,2713.38055358,3.50449e-18,-413.839065778,1.0,1.0,100,0.01,1.0,300.0,2,-413.839065778,-413.839065778,100.0
-444.283,2525.75892296,500.0,0.005,0.6,50.9593,1.0,-411.976,300,,0.005,2525.75892296,2.1793e-19,-410.112711001,1.0,1.0,100,0.005,1.0,300.0,2,-410.112711001,-410.112711001,200.000000102
-438.579,2449.93509861,500.0,0.0299859,0.6,60.8187,0.064125,-408.709,300,0.480879,0.00333333,2449.93509861,5.2178e-06,-417.236637673,1.01193,9.10314,100,0.000211229,1.24534,240.898623434,1,-417.236637673,-417.236637673,204.354582257
-456.016,2647.17442861,500.0,0.01,0.6,51.1928,1.0,-411.611,300,,0.01,2647.17442861,3.50449e-18,-411.611122223,1.0,1.0,100,0.01,1.0,300.0,2,-411.611122223,-411.611122223,100.0
-446.308,2796.70394033,500.0,0.005,0.6,51.9364,1.0,-409.976,300,,0.005,2796.70394033,2.1793e-19,-408.341797049,1.0,1.0,100,0.005,1.0,300.0,2,-408.341797049,-408.341797049,200.000000102
-436.139,2714.62807718,500.0,0.0121221,0.6,52.4357,0.126035,-403.482,300,0.25425,0.00333333,2714.62807718,2.80057e-06,-405.606288238,1.00435,3.65247,100,0.000418297,1.21198,247.529497488,1,-405.606288238,-405.606288238,239.767735459
-449.789,2010.79603567,500.0,0.01,0.6,44.6171,1.0,-403.095,300,,0.01,2010.79603567,3.50449e-18,-403.095130362,1.0,1.0,100,0.01,1.0,300.0,2,-403.095130362,-403.095130362,100.0
-435.064,1818.79338024,500.0,0.005,0.6,43.5517,1.0,-402.046,300,,0.005,1818.79338024,2.1793e-19,-400.996976479,1.0,1.0,100,0.005,1.0,300.0,2,-400.996976479,-400.996976479,200.000000102
-431.122,2608.74086248,500.0,0.0122681,0.6,46.1152,0.126616,-401.794,300,0.189044,0.00333333,2608.74086248,2.00946e-06,-413.358349875,1.0224,3.76287,100,0.000412808,1.1484,261.23311279,1,-413.358349875,-413.358349875,254.183644806
-451.401,2984.85407328,500.0,0.01,0.6,54.36,1.0,-403.668,300,,0.01,2984.85407328,3.50449e-18,-403.66777747,1.0,1.0,100,0.01,1.0,300.0,2,-403.66777747,-403.66777747,100.0
-441.484,2268.26251887,500.0,0.005,0.6,51.1548,1.0,-407.732,300,,0.005,2268.26251887,2.1793e-19,-411.796168213,1.0,1.0,100,0.005,1.0,300.0,2,-411.796168213,-411.796168213,200.000000102
-432.1,2332.26248972,500.0,0.00937467,0.6,52.8761,0.249687,-402.96,300,0.116718,0.00333333,2332.26248972,1.31061e-06,-402.027527284,0.994745,2.79762,100,0.000836686,1.11811,268.309729638,1,-402.027527284,-402.027527284,268.441566458
-447.263,2337.2325366,500.0,0.01,0.6,48.1026,1.0,-403.88,300,,0.01,2337.2325366,3.50449e-18,-403.879686131,1.0,1.0,100,0.01,1.0,300.0,2,-403.879686131,-403.879686131,100.0
-435.714,2086.31851246,500.0,0.005,0.6,46.8081,1.0,-405.038,300,,0.005,2086.31851246,2.1793e-19,-406.195901199,1.0,1.0,100,0.005,1.0,300.0,2,-406.195901199,-406.195901199,200.000000102
-431.106,2395.76375693,500.0,0.00867733,0.6,50.2627,0.201209,-402.848,300,0.168097,0.00333333,2395.76375693,1.77982e-06,-412.118299262,1.0244,2.66673,100,0.000654718,1.18089,254.045300452,1,-412.118299262,-412.118299262,258.698829089
-449.121,2632.92053508,500.0,0.01,0.6,51.0548,1.0,-403.195,300,,0.01,2632.92053508,3.50449e-18,-403.194699568,1.0,1.0,100,0.01,1.0,300.0,2,-403.194699568,-403.194699568,100.0
-437.636,2273.0030654,500.0,0.005,0.6,49.3026,1.0,-404.715,300,,0.005,2273.0030654,2.1793e-19,-406.235352386,1.0,1.0,100,0.005,1.0,300.0,2,-406.235352386,-406.235352386,200.000000102
-432.685,1915.62436727,500.0,0.011553,0.6,46.8686,0.381058,-404.289,300,0.124521,0.00333333,1915.62436727,1.33532e-06,-411.514614585,1.0179,3.52797,100,0.00124785,1.11594,268.831462667,1,-411.514614585,-411.514614585,267.910385386
-441.466,2083.71178041,500.0,0.01,0.6,45.4189,1.0,-399.09,300,,0.01,2083.71178041,3.50449e-18,-399.090004383,1.0,1.0,100,0.01,1.0,300.0,2,-399.090004383,-399.090004383,100.0
-434.718,2020.68110168,500.0,0.005,0.6,45.1596,1.0,-401.868,300,,0.005,2020.68110168,2.1793e-19,-404.646046133,1.0,1.0,100,0.005,1.0,300.0,2,-404.646046133,-404.646046133,200.000000102
-432.607,2705.53496437,500.0,0.00525136,0.6,47.7017,0.375655,-403.325,300,0.0540618,0.00333333,2705.53496437,6.03156e-07,-410.584353897,0.997951,1.57218,100,0.00125475,1.05548,284.231159276,1,-410.584353897,-410.584353897,284.602093756
-453.558,2705.54899434,500.0,0.01,0.6,51.7542,1.0,-402.023,300,,0.01,2705.54899434,3.50449e-18,-402.023494668,1.0,1.0,100,0.01,1.0,300.0,2,-402.023494668,-402.023494668,100.0
-442.806,2424.26625186,500.0,0.005,0.6,50.5777,1.0,-406.365,300,,0.005,2424.26625186,2.1793e-19,-410.706283015,1.0,1.0,100,0.005,1.0,300.0,2,-410.706283015,-410.706283015,200.000000102
-434.086,2737.78327855,500.0,0.00778493,0.6,50.1624,0.083083,-402.45,300,0.123038,0.00333333,2737.78327855,1.49011e-06,-407.40705123,0.957833,2.237,100,0.000289135,1.13054,265.360892705,1,-407.40705123,-407.40705123,264.629147772
-450.65,2468.7262677,500.0,0.01,0.6,49.4372,1.0,-405.837,300,,0.01,2468.7262677,3.50449e-18,-405.836687702,1.0,1.0,100,0.01,1.0,300.0,2,-405.836687702,-405.836687702,100.0
-437.645,2359.71843356,500.0,0.005,0.6,48.8988,1.0,-404.83,300,,0.005,2359.71843356,2.1793e-19,-403.8234419,1.0,1.0,100,0.005,1.0,300.0,2,-403.8234419,-403.8234419,200.000000102
-431.91,2810.1359209,500.0,0.00890747,0.6,50.8577,0.255595,-402.891,300,0.111556,0.00333333,2810.1359209,1.23207e-06,-407.257091837,1.00302,2.6803,100,0.000849421,1.11134,269.944640903,1,-407.257091837,-407.257091837,270.144649028
-446.73,2293.26935434,500.0,0.01,0.6,47.648,1.0,-402.544,300,,0.01,2293.26935434,3.50449e-18,-402.543581022,1.0,1.0,100,0.01,1.0,300.0,2,-402.543581022,-402.543581022,100.0
