VarJ,J,AvgEpLen,AvgDiscRet,ESSRenyi,MinVanillaIw,IterType,BatchSize,VarRet,VarNormIw,VarDiscRet,AvgRet,VanillaAvgRet,AvgVanillaIw,eRenyi2,VarVanillaIw,Bound,AvgNormIw,MinNormIw,MaxVanillaIw,ESSClassic,MaxNormIw,EpsThisIter,Delta
21.4885,-92.465,42.28,-97.849994904,31.6156133629,1.61925e-07,1,100,62.6742232278,0.000235206,62.6742232278,-97.849994904,-97.849994904,0.936374,3.16299,2.06228,-102.312,0.01,1.72927e-09,7.92107,30.0431677046,0.084593,100,0.8
21.5998,-95.3971,45.23,-98.0277234167,58.2038314468,0.016191,1,100,65.0745965827,7.19396e-05,65.0745965827,-98.0277234167,-98.0277234167,0.943007,1.7181,0.639731,-102.613,0.01,0.000171695,4.97605,58.4043291846,0.0527679,100,0.8
8.30779,-98.3036,40.14,-99.2218224292,81.9041390715,0.0875913,1,100,34.8047283454,2.23306e-05,34.8047283454,-99.2218224292,-99.2218224292,1.00451,1.22094,0.225323,-104.47,0.01,0.000871983,2.25882,81.8952102999,0.0224869,100,0.8
82.2764,-88.1291,43.39,-98.3173446175,26.2814604315,8.36628e-06,1,100,79.293553034,0.000601525,79.293553034,-98.3173446175,-98.3173446175,1.05816,3.80496,6.73535,-99.1459,0.01,7.90641e-08,23.8865,14.3779433556,0.225736,100,0.8
9.91676,-96.3115,45.88,-97.6286262339,80.6671229908,0.0400113,1,100,49.8947135705,2.96244e-05,49.8947135705,-97.6286262339,-97.6286262339,1.03469,1.23966,0.317155,-102.594,0.01,0.000386698,3.18628,77.3226661551,0.0307945,100,0.8
39.71,-91.1486,44.32,-97.6506172188,28.5509159558,9.32132e-07,1,100,81.3119565723,0.000311674,81.3119565723,-97.6506172188,-97.6506172188,1.09715,3.50251,3.75173,-101.543,0.01,8.49594e-09,9.45491,24.4763780598,0.0861771,100,0.8
7.14442,-98.6686,40.19,-98.760441316,98.5773133025,0.577542,1,100,49.3760618018,1.41554e-06,49.3760618018,-98.760441316,-98.760441316,1.00116,1.01443,0.0141884,-104.236,0.01,0.0057687,1.20382,98.6179932666,0.0120242,100,0.8
12.9535,-97.1321,43.63,-98.5068044049,72.0191157916,0.000945616,1,100,41.8659012449,4.57881e-05,41.8659012449,-98.5068044049,-98.5068044049,0.979822,1.38852,0.439589,-103.587,0.01,9.6509e-06,3.67517,68.808820054,0.0375085,100,0.8
15.0634,-94.8286,46.85,-96.5027886227,71.7077272213,0.210132,1,100,93.4202674402,4.0938e-05,93.4202674402,-96.5027886227,-96.5027886227,1.06747,1.39455,0.466481,-101.521,0.01,0.00196852,4.26273,71.159904387,0.0399332,100,0.8
9.6663,-96.6396,43.69,-97.5072954338,83.7407897298,0.0663843,1,100,58.9339811194,1.8156e-05,58.9339811194,-97.5072954338,-97.5072954338,0.967128,1.19416,0.16982,-102.636,0.01,0.000686407,2.22085,84.7640868689,0.0229634,100,0.8
