Penalization,MinIW,OptimizationReturnMin,InitialReturnMin,Bound,TimestepsSoFar,InitialReturnMean,TimeElapsed,MeanEntropy,EmpiricalD2Arithmetic,InitialReturnStd,DivergenceHarmonic,ReturnMeanIW,OptimizationReturnMax,MaxIW,EpLenMean,MinBehavPdf,EpThisIter,Weights,StdWReturnMean,OptimizationReturnMean,StdIW,Iteration,EpRewMean,EpisodesSoFar,Inner Iteration,VarianceInitializer,ReturnStepMaxmin,WReturnMean,LearnableVariance,Epsilon,ReturnStepMax,InitialBound,ESSRenyiHarmonic,EmpiricalD2Harmonic,MeanD2-0,ESSRenyiArithmetic,MeanIW,MinTargetPdf,InitialReturnMax
True,1.0972854e-13,,29.94283,-inf,121541,1047.8456,191.53230023384094,0.4189424,35801876.0,522.1426,inf,386211.97,2299.7273,27.748272,105.82,-95.78274,50,[-0.182  0.421 -0.793 -1.575],,1017.90283,4.761865,19,1047.8456235282229,1900,2,-1.0,10.0,386211.97,,1.0,10.0,-inf,1.3965748e-06,35801876.0,35801876.0,1.3965748e-06,1.0620742,-104.68862,2329.6702
True,0.03206901,,9.979911,-105596960000.0,126710,1023.4498,206.04673218727112,0.4189424,1.0,605.7355,10628188000.0,142883840.0,3529.502,1755.2247,103.38,-141.33545,50,[-0.182  0.421 -0.793 -1.575],,1013.47,311.9869,20,1023.4499043358821,1950,1,-1.0,9.999999,1414365.1,,1.0,9.999999,-2437272.0,50.0,1.0,1.0,50.0,103.989525,-141.33545,3539.482
True,7.4113345e-06,,9.980573,-1.1065472e+16,131394,926.42505,221.91938257217407,0.4189424,320.29767,473.93747,9.27553e+20,1704402.8,2099.4883,125.91626,93.68,-90.391304,50,[-0.202  0.527 -0.838 -1.529],,916.44446,17.589207,20,926.4250750165129,2000,2,-1.0,9.999999,1704402.8,,1.0,9.999999,-1.1065472e+16,0.15610479,320.29767,320.29767,0.15610479,2.9088833,-93.26018,2109.4688
True,0.8612453,,49.918148,-7.962764e+17,136307,972.20825,241.11861658096313,0.4189424,1.0,466.21353,2.9659615e+24,1453196000.0,2329.7334,11448.56,98.26,-90.20225,50,[-0.202  0.527 -0.838 -1.529],,922.2902,1730.3927,21,972.2083207277165,2050,1,-1.0,10.0,1162544.1,,1.0,10.0,-1624907.5,50.0,1.0,1.0,50.0,451.39038,-90.20225,2379.6516
True,1.2616798e-09,,19.96923,-1.8744954e+23,141664,1061.0658,262.56841683387756,0.4189424,68714.66,457.67737,2.0223349e+35,101163.06,2239.4756,5.4804916,107.14,-92.32559,50,[-0.32   0.526 -0.86  -1.564],,1041.0966,0.91743326,21,1061.0658197897844,2100,2,-1.0,10.0,101163.06,,1.0,10.0,-1.8744954e+23,0.0007276468,68714.66,68714.66,0.0007276468,0.23867662,-96.20091,2259.4448
True,0.023102144,,9.981466,-1.6036277e+16,146412,939.2657,291.80900287628174,0.4189424,1.0,493.10648,4.4077095e+20,58568983000.0,3048.6035,2249213.2,94.96,-118.22418,50,[-0.32   0.526 -0.86  -1.564],,929.28424,314869.22,22,939.265698402187,2150,1,-1.0,9.999999,1125374.0,,1.0,9.999999,-1889205.8,50.0,1.0,1.0,50.0,45129.49,-118.22418,3058.585
True,1.1318478e-08,,,-1.6634042e+21,150922,891.64594,321.01155495643616,0.4189424,8628.608,528.01587,8.953136e+30,9969763.0,2609.3235,972.3826,90.2,-102.50952,50,[-0.308  0.644 -0.87  -1.526],,891.64594,136.07509,22,891.6459700241097,2200,2,-1.0,10.0,9969763.0,,1.0,10.0,-1.6634042e+21,0.005794677,8628.608,8628.608,0.005794677,19.932907,-103.21036,2609.3235
True,0.15954182,,209.83768,-982469400000000.0,155872,979.6381,355.972452878952,0.4189424,1.0,523.6308,2.7685706e+18,23560520000.0,2479.3013,223706.98,99.0,-118.71161,50,[-0.308  0.644 -0.87  -1.526],,769.8005,42548.176,23,979.6381011541583,2250,1,-1.0,10.0,1233880.0,,1.0,10.0,-1824330.0,50.0,1.0,1.0,50.0,10426.926,-118.71161,2689.139
True,9.043757e-10,,9.982306,-inf,159936,802.4629,383.89990162849426,0.4189424,2910502.0,566.6155,inf,737333.06,2349.2798,53.304913,81.28,-107.80397,50,[-0.225  0.721 -0.91  -1.562],,792.48065,7.8048024,23,802.4628805821533,2300,2,-1.0,10.0,737333.06,,1.0,10.0,-inf,1.7179167e-05,2910502.0,2910502.0,1.7179167e-05,2.1734376,-110.81075,2359.2622
True,0.26563346,,19.967855,-1.5106444e+20,164561,914.61597,413.39600253105164,0.4189424,1.0,549.67926,1.3854532e+29,4396280300.0,2209.5244,51589.934,92.5,-94.68213,50,[-0.225  0.721 -0.91  -1.562],,894.64813,7540.363,24,914.6159231609034,2350,1,-1.0,10.0,1138669.6,,1.0,10.0,-1544522.2,50.0,1.0,1.0,50.0,1689.7026,-94.68213,2229.4922
True,2.0042533e-13,,19.964567,-inf,169999,1077.2126,450.18163871765137,0.4189424,15258156.0,540.263,inf,8258869.0,2559.1086,96.538925,108.76,-113.16568,50,[-0.332  0.664 -0.924 -1.589],,1057.2482,14.9099655,24,1077.212653338736,2400,2,-1.0,9.999999,8258869.0,,1.0,9.999999,-inf,3.276936e-06,15258156.0,15258156.0,3.276936e-06,4.477414,-111.285416,2579.0732
True,0.03936889,,9.983248,-93756146000.0,174628,915.4668,477.48597145080566,0.4189424,1.0,446.57565,136754770000.0,268886100.0,1749.6145,6635.4287,92.58,-79.48134,50,[-0.332  0.664 -0.924 -1.589],,905.4835,1057.4534,25,915.4667592140452,2450,1,-1.0,9.999999,1037509.1,,1.0,9.999999,-1290312.8,50.0,1.0,1.0,50.0,287.298,-79.48134,1759.5978
True,1.7337481e-07,,9.983177,-1.6674453e+20,179384,940.90076,499.6096830368042,0.4189424,4769.5527,428.7398,1.3924849e+29,12523411.0,2329.398,536.7897,95.12,-97.19011,50,[-0.343  0.545 -0.937 -1.623],,930.91766,75.54011,25,940.9008145436218,2500,2,-1.0,10.0,12523411.0,,1.0,10.0,-1.6674453e+20,0.010483163,4769.5527,4769.5527,0.010483163,12.649897,-102.756195,2339.381
True,0.1390307,,89.83992,-566108900000000.0,184175,947.887,527.7356836795807,0.4189424,1.0,343.13705,3.4705576e+18,23997410000.0,1839.3002,942639.56,95.82,-84.70253,50,[-0.343  0.545 -0.937 -1.623],,858.0471,131978.7,26,947.8870840331306,2550,1,-1.0,10.0,1016232.94,,1.0,10.0,-1320100.2,50.0,1.0,1.0,50.0,21202.695,-84.70253,1929.1401
True,1.0504717e-09,,9.981333,-inf,189028,960.23804,555.4629304409027,0.4189424,3101982.0,555.03015,inf,515220.88,2938.6875,14.619077,97.06,-109.84912,50,[-0.312  0.66  -0.93  -1.586],,950.2567,2.0646973,26,960.2380668277395,2600,2,-1.0,10.0,515220.88,,1.0,10.0,-inf,1.6118727e-05,3101981.8,3101982.0,1.6118727e-05,0.39953205,-114.72712,2948.669
True,0.062279254,,19.965073,-3.236464e+17,194118,1007.6192,584.3059544563293,0.4189424,1.0,569.0301,3.2889993e+23,334051280000.0,2609.0437,7391277.5,101.8,-100.532074,50,[-0.312  0.66  -0.93  -1.586],,987.65405,1034510.7,27,1007.6191962594972,2650,1,-1.0,9.999999,1339091.6,,1.0,9.999999,-1903431.5,50.0,1.0,1.0,50.0,151611.14,-100.532074,2629.0088
True,7.2120414e-11,,19.965385,-inf,198686,903.32623,612.8882439136505,0.4189424,758700.56,322.8689,inf,82358530.0,2209.6025,2233.6055,91.36,-94.90838,50,[-0.432  0.63  -0.943 -1.575],,883.36096,312.5255,27,903.3263042364302,2700,2,-1.0,9.999999,82358530.0,,1.0,9.999999,-inf,6.590215e-05,758700.56,758700.56,6.590215e-05,46.744785,-104.41931,2229.5679
True,0.03047977,,9.981655,-5266185700000.0,203268,906.1322,637.0539910793304,0.4189424,1.0,400.689,78317690000000.0,272673900.0,2689.5889,3303.1206,91.64,-117.11686,50,[-0.432  0.63  -0.943 -1.575],,896.15063,646.21674,28,906.1322170442617,2750,1,-1.0,10.0,981627.25,,1.0,10.0,-1576666.8,50.0,1.0,1.0,50.0,306.91122,-117.11686,2699.5706
True,3.3773104e-14,,19.963907,-1.6690515e+23,208761,1088.2529,671.0028541088104,0.4189424,112146.75,410.88187,2.83363e+35,6584548.0,1939.6562,96.31822,109.86,-88.65536,50,[-0.325  0.639 -0.993 -1.614],,1068.2892,15.29935,28,1088.2530082887333,2800,2,-1.0,10.0,6584548.0,,1.0,10.0,-1.6690515e+23,0.0004458444,112146.75,112146.75,0.0004458444,3.7819364,-95.20806,1959.6201
True,0.04620739,,19.963314,-8430576000000000.0,214688,1175.0132,712.3362498283386,0.4189424,1.0,540.1489,1.1265039e+20,896214800.0,3099.0571,22213.283,118.54,-118.54908,50,[-0.325  0.639 -0.993 -1.614],,1155.0499,3187.2336,29,1175.0132019940856,2850,1,-1.0,9.999996,1672416.8,,1.0,9.999996,-2466733.0,50.0,1.0,1.0,50.0,897.4288,-118.54908,3119.0205
True,4.1016774e-15,,9.980703,-inf,220506,1153.1765,751.1985628604889,0.4189424,163163760.0,648.608,inf,143346.75,2858.5007,1.1371323,116.36,-112.613235,50,[-0.204  0.609 -0.996 -1.602],,1143.1958,0.2609177,29,1153.1765275267485,2900,2,-1.0,9.999999,143346.75,,1.0,9.999999,-inf,3.064406e-07,163163760.0,163163760.0,3.064406e-07,0.12824896,-119.608154,2868.4814
True,0.17181757,,19.962757,-30671098000000.0,225774,1043.2109,781.799332857132,0.4189424,1.0,540.6048,4630725300000000.0,378335680.0,2329.5217,1905.4093,105.36,-92.75612,50,[-0.204  0.609 -0.996 -1.602],,1023.24805,330.044,30,1043.2108775293127,2950,1,-1.0,9.999999,1380542.5,,1.0,9.999999,-1831257.4,50.0,1.0,1.0,50.0,119.49014,-92.75612,2349.4844
True,1.2843687e-07,,19.963774,-9.243545e+18,230980,1030.8368,815.2998034954071,0.4189424,2773.8127,397.47244,8.180431e+26,365669.12,1969.555,31.022343,104.12,-92.38486,50,[-0.21   0.487 -1.002 -1.628],,1010.87305,4.5557218,30,1030.8368256892757,3000,2,-1.0,10.0,365669.12,,1.0,10.0,-9.243545e+18,0.01802573,2773.8127,2773.8127,0.01802573,1.0161263,-95.00446,1989.5188
True,0.114285015,,9.979875,-7.5305326e+21,236402,1074.0444,844.9118196964264,0.4189424,1.0,534.7341,1.8070884e+32,576207900000.0,2609.3535,24976058.0,108.44,-119.449036,50,[-0.21   0.487 -1.002 -1.628],,1064.0646,3541841.5,31,1074.0443851327443,3050,1,-1.0,10.0,1439512.0,,1.0,10.0,-1999705.8,50.0,1.0,1.0,50.0,787326.6,-119.449036,2619.3335
