Inner Iteration,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,InitialReturnMin,Bound,ESSRenyiHarmonic,LearnableVariance,WReturnMean,TimestepsSoFar,MeanD2-0,InitialReturnStd,EpLenMean,MinBehavPdf,MinTargetPdf,MinIW,EpRewMean,MeanIW,ReturnMeanIW,EpThisIter,ESSRenyiArithmetic,Weights,InitialReturnMax,ReturnStepMaxmin,MeanEntropy,Iteration,StdWReturnMean,InitialBound,TimeElapsed,MaxIW,EpisodesSoFar,DivergenceHarmonic,ReturnStepMax,StdIW,VarianceInitializer,InitialReturnMean,Penalization
1,1.0,1.0,319.766,-2.1281029e+17,100.0,,7217663.5,709567,1.0,1128.8326,244.82,-212.88138,-212.88138,0.011267421,2437.90902125896,1787.3232,8132462600.0,100,100.0,[-0.065  0.394 -1.613 -1.749],4998.8994,10.0,0.4189424,54,,-8660421.0,153.03145241737366,51741.695,5400,2.1757493e+22,10.0,6987.1094,-1,2437.9092,True
1,1.0,1.0,279.802,-9313249000.0,100.0,,12589792.0,740585,1.0,1736.4805,310.18,-251.42656,-251.42656,0.022590581,3094.257285133012,2.6050665,37396164.0,100,100.0,[-0.003  0.403 -1.614 -1.749],4999.5293,10.0,0.4189424,55,,-14032919.0,161.07055401802063,18.906658,5500,41315444.0,10.0,2.726889,-1,3094.2576,True
1,1.0,1.0,,-1.358641e+20,100.0,,11476978.0,770885,1.0,1532.5343,303.0,-238.07791,-238.07791,0.06926398,3021.310401440995,11781.308,93693560000.0,100,100.0,[-0.028  0.387 -1.62  -1.757],4999.2617,10.0,0.4189424,56,,-12919950.0,171.42823386192322,513466.97,5600,8.8655813e+27,10.0,55028.9,-1,3021.3105,True
1,1.0,1.0,19.961184,-634829650000000.0,100.0,,9880489.0,797144,1.0,1740.6537,262.59,-231.8738,-231.8738,0.111076035,2617.367808643227,6.8001738,81756370.0,100,100.0,[ 0.03   0.409 -1.623 -1.764],4999.208,10.0,0.4189424,57,,-11323427.0,180.58077216148376,78.18676,5700,1.9356674e+17,10.0,11.343833,-1,2617.368,True
1,1.0,1.0,19.967443,-52657990000.0,100.0,,13417470.0,830292,1.0,1575.6046,331.48,-252.6,-252.6,0.09592024,3306.8021099000953,12.440391,156818800.0,100,100.0,[-0.028  0.39  -1.635 -1.768],4999.4453,10.0,0.4189424,58,,-14860550.0,192.60906434059143,195.90276,5800,1323646500.0,10.0,24.573778,-1,3306.8022,True
1,1.0,1.0,39.93007,-1767395100000000.0,100.0,,14229651.0,864173,1.0,1673.0332,338.81,-244.88687,-244.88687,0.016994081,3380.9187221790366,2615.4277,54201020000.0,100,100.0,[ 0.002  0.384 -1.638 -1.768],4999.4185,10.0,0.4189424,59,,-15672716.0,207.6837546825409,96235.0,5900,1.499975e+18,10.0,10933.915,-1,3380.9185,True
1,1.0,1.0,19.95982,-4.93654e+22,100.0,,12308307.0,894558,1.0,1767.0135,303.85,-250.6137,-250.6137,0.013469707,3030.836477997,18.479372,400344400.0,100,100.0,[ 0.013  0.451 -1.727 -1.712],4999.2754,10.0,0.4189424,60,,-13751287.0,219.743638753891,777.84296,6000,1.170411e+33,10.0,87.24909,-1,3030.8367,True
1,1.0,1.0,9.980109,-18527410000.0,100.0,,14317422.0,929470,1.0,1479.2502,349.12,-232.34572,-232.34572,0.167326,3482.7059145811113,10.368689,111993784.0,100,100.0,[-0.045  0.472 -1.738 -1.706],4999.2754,10.0,0.4189424,61,,-15760405.0,234.7077238559723,161.45534,6100,162875660.0,10.0,21.312544,-1,3482.706,True
1,1.0,1.0,,-3.3785556e+22,100.0,,16417688.0,966419,1.0,1676.4064,369.49,-240.56784,-240.56784,0.04881665,3688.814013277885,8625439.0,196506110000000.0,100,100.0,[-0.013  0.474 -1.739 -1.708],4999.341,10.0,0.4189424,62,,-17860710.0,254.1529085636139,843087940.0,6200,5.4819173e+32,10.0,83876950.0,-1,3688.8145,True
1,1.0,1.0,29.945757,-3.347441e+16,100.0,,11182431.0,995102,1.0,1732.4302,286.83,-239.13905,-239.13905,0.57834953,2860.2651586923253,1538.143,21642865000.0,100,100.0,[ 0.041  0.508 -1.83  -1.65 ],4999.287,10.0,0.4189424,63,,-12625417.0,269.76566076278687,41716.06,6300,5.3816348e+20,10.0,6011.2974,-1,2860.265,True
1,1.0,1.0,9.980021,-27220670000.0,100.0,,17842026.0,1034941,1.0,1420.2058,398.39,-240.43637,-240.43637,0.1193164,3978.0702547869546,14.042699,169102700.0,100,100.0,[-0.027  0.448 -1.873 -1.725],4999.4897,10.0,0.4189424,64,,-19285136.0,302.5179364681244,148.5015,6400,351401280.0,10.0,29.260124,-1,3978.0703,True
1,1.0,1.0,9.979741,-1630049700000000.0,100.0,,17939384.0,1074053,1.0,1637.7206,391.12,-239.99886,-239.99886,0.079891615,3906.0536870788333,64.23206,1352599900.0,100,100.0,[ 0.004  0.448 -1.874 -1.728],4999.421,10.0,0.4189424,65,,-19382454.0,341.2007451057434,3550.253,6500,1.2759787e+18,10.0,358.5739,-1,3906.0537,True
1,1.0,1.0,19.963722,-9.544442e+21,100.0,,15699602.0,1111085,1.0,1427.1864,370.32,-252.27603,-252.27603,0.040317565,3696.3145168312185,7402.1577,70100170000.0,100,100.0,[-0.036  0.405 -1.883 -1.747],4999.346,10.0,0.4189424,66,,-17142628.0,380.04763436317444,170716.58,6600,4.374913e+31,10.0,26325.9,-1,3696.3145,True
1,1.0,1.0,319.8159,-647373600000000.0,100.0,,19059140.0,1152430,1.0,1415.469,413.45,-243.2749,-243.2749,0.004458134,4129.841307914715,16.278038,303835040.0,100,100.0,[ 0.024  0.424 -1.883 -1.744],4999.368,10.0,0.4189424,67,,-20502182.0,428.5886604785919,345.3238,6700,2.0126595e+17,10.0,36.2411,-1,4129.8413,True
1,1.0,1.0,9.984063,-8.675845e+20,100.0,,16544352.0,1190875,1.0,1347.5565,384.45,-252.00429,-252.00429,0.012818023,3837.7653058385667,35325.01,341255750000.0,100,100.0,[-0.035  0.41  -1.896 -1.754],4999.428,10.0,0.4189424,68,,-17987426.0,485.7729637622833,1268692.4,6800,3.6146266e+29,10.0,141271.72,-1,3837.7654,True
1,1.0,1.0,19.965454,-52647407000000.0,100.0,,18489840.0,1230929,1.0,1576.6798,400.54,-238.0227,-238.0227,0.25404617,4000.49008059916,19.859167,411993760.0,100,100.0,[ 0.027  0.416 -1.896 -1.753],4999.332,10.0,0.4189424,69,,-19932860.0,532.6820108890533,261.4049,6900,1331130200000000.0,10.0,40.568882,-1,4000.4897,True
