TimestepsSoFar,MaxIW,TimeElapsed,EpThisIter,Weights,StdIW,EpLenMean,InitialBound,J_sample_variance,Bound,InitialReturnMax,MinIW,MeanIW,InitialReturnMin,InitialReturnStd,EpRewMean,EpisodesSoFar,Iteration,EmpiricalD2,InitialReturnMean,ReturnMeanIW
222904,1.0769384,538.7912538051605,100,[-0.823 -0.501 -0.466 -0.75   0.011],0.033720735,38.55,-1578569900000000.0,167.64095,-1578569900000000.0,31.79852,0.8936551,1.0044956,-17.110565,12.325001,-107.77047103530607,6200,62,1.0011379,-2.7465821e-06,201.68446
226543,1.1803381,547.7556011676788,100,[-0.823 -0.5   -0.467 -0.75   0.011],0.039669376,36.39,-1222979300000000.0,157.96692,-1222979300000000.0,42.3719,0.8877437,1.0060266,-14.157059,11.573591,-109.0139383988181,6300,63,1.0020086,-2.2888183e-07,218.68942
229837,1.0750021,555.8192141056061,100,[-0.823 -0.5   -0.469 -0.751  0.012],0.027028155,32.94,-1695222200000000.0,157.0999,-1695222200000000.0,34.623806,0.9290542,1.0050565,-12.587486,10.923699,-108.16668125939057,6400,64,1.0006696,4.005432e-06,245.85242
233329,1.1780385,563.8242657184601,100,[-0.822 -0.5   -0.47  -0.75   0.012],0.04889522,34.92,-1274044700000000.0,168.33704,-1274044700000000.0,49.558056,0.8485392,1.0049591,-14.019417,11.659187,-107.54794324340926,6500,65,1.0023746,1.3732911e-06,227.40617
236847,1.1152018,571.9016442298889,100,[-0.823 -0.499 -0.47  -0.752  0.012],0.038466956,35.18,-1515505100000000.0,207.15994,-1515505100000000.0,32.774338,0.89877874,1.0049917,-17.058075,11.684674,-107.70618938916172,6600,66,1.0012844,-3.7002565e-06,225.80482
240463,1.1920931,580.3459675312042,100,[-0.822 -0.5   -0.47  -0.751  0.013],0.06415577,36.16,-1546720500000000.0,262.77036,-1546720500000000.0,45.44537,0.7864293,1.0062869,-17.317802,12.933588,-106.75539696491427,6700,67,1.0043671,1.6021728e-06,216.27805
243860,1.0983678,588.6743350028992,100,[-0.822 -0.498 -0.471 -0.752  0.013],0.03690866,33.97,-1396732200000000.0,167.98439,-1396732200000000.0,35.209236,0.91856325,1.0056001,-15.796516,11.925051,-107.6769573972787,6800,68,1.0018129,-7.171631e-06,235.36404
247856,1.117129,597.7980034351349,100,[-0.821 -0.497 -0.472 -0.752  0.014],0.036966853,39.96,-1368501400000000.0,252.92133,-1368501400000000.0,52.271694,0.92556924,1.0056965,-18.674927,13.537872,-108.34748373536682,6900,69,1.0011795,-3.1661987e-06,193.47209
251604,1.0596642,607.1831676959991,100,[-0.821 -0.496 -0.47  -0.753  0.015],0.018254256,37.48,-1515505100000000.0,155.09146,-1515505100000000.0,26.775398,0.958712,1.0054379,-18.133224,11.401746,-107.76991405345261,7000,70,1.0004222,-7.743835e-06,208.76244
255233,1.1614218,615.806999206543,100,[-0.822 -0.497 -0.469 -0.753  0.015],0.04479826,36.29,-1695222200000000.0,192.25668,-1695222200000000.0,33.168884,0.8920321,1.0058076,-15.092583,11.0141115,-108.14456713031898,7100,71,1.002498,-4.5776366e-07,218.07687
259026,1.1270137,624.1611039638519,100,[-0.822 -0.496 -0.47  -0.755  0.016],0.033202376,37.93,-1368501400000000.0,227.79645,-1368501400000000.0,42.814205,0.93513036,1.0068425,-16.996086,12.513877,-108.17391310707563,7200,72,1.001071,4.959106e-07,206.16812
262735,1.1712718,632.6670324802399,100,[-0.822 -0.497 -0.469 -0.754  0.016],0.05179871,37.09,-1274044700000000.0,170.92621,-1274044700000000.0,37.87574,0.85466605,1.0051851,-16.026955,12.052156,-107.97978459553228,7300,73,1.0028049,4.8065185e-06,211.57558
266191,1.1081492,640.9189925193787,100,[-0.821 -0.495 -0.469 -0.755  0.016],0.025906926,34.56,-1695222200000000.0,157.36923,-1695222200000000.0,28.293118,0.95042586,1.0051196,-13.94001,10.541178,-107.83377894616042,7400,74,1.0006037,9.155273e-07,231.1032
270209,1.1202272,650.7792439460754,100,[-0.821 -0.494 -0.469 -0.756  0.016],0.040588602,40.18,-1411061800000000.0,195.4732,-1411061800000000.0,41.803776,0.9135587,1.0060405,-16.747826,11.347183,-109.12428830625963,7500,75,1.0017849,-1.6021728e-06,193.54362
273789,1.1963342,659.6210806369781,100,[-0.821 -0.495 -0.468 -0.756  0.016],0.051769875,35.8,-1454925000000000.0,331.43167,-1454925000000000.0,39.499397,0.89106154,1.0045254,-16.782188,12.402868,-108.00877456597948,7600,76,1.0027897,-5.340576e-06,221.3855
277325,1.1385713,668.3177540302277,100,[-0.822 -0.496 -0.466 -0.756  0.016],0.040467843,35.36,-1382545800000000.0,301.13885,-1382545800000000.0,58.69175,0.9310389,1.0051253,-16.464645,13.442111,-107.07289850147454,7700,77,1.0016919,-4.615784e-06,222.81699
281020,1.1736885,676.7197136878967,100,[-0.822 -0.497 -0.465 -0.755  0.016],0.03144365,36.95,-1354597400000000.0,237.5369,-1354597400000000.0,46.02571,0.9192064,1.005185,-16.683586,12.544349,-107.69689962184293,7800,78,1.0008302,3.6621093e-06,212.15804
284723,1.0699214,685.7390494346619,100,[-0.822 -0.497 -0.464 -0.757  0.016],0.0256521,37.03,-1248255500000000.0,172.67929,-1248255500000000.0,38.131985,0.9425775,1.0051117,-16.518806,11.938765,-108.3082583096019,7900,79,1.0008969,-1.6784668e-06,212.63702
288416,1.2705276,694.288162946701,100,[-0.822 -0.497 -0.464 -0.756  0.016],0.07492918,36.93,-1454925000000000.0,318.23495,-1454925000000000.0,57.411194,0.8353945,1.0059687,-17.00985,12.842379,-108.05653749919,8000,80,1.0054942,6.1416627e-06,212.99675
292024,1.1171445,702.4135773181915,100,[-0.823 -0.499 -0.463 -0.754  0.016],0.035716295,36.08,-1261085300000000.0,166.64061,-1261085300000000.0,36.73316,0.90961033,1.0060757,-15.779747,12.358571,-107.63334067133091,8100,81,1.0013993,1.2969971e-06,218.38113
295558,1.118172,710.1033256053925,100,[-0.823 -0.498 -0.463 -0.755  0.016],0.035844103,35.34,-1287135300000000.0,213.2473,-1287135300000000.0,40.396454,0.88756657,1.005165,-16.31604,11.758065,-109.21907105813237,8200,82,1.0015098,9.155273e-07,227.31477
299223,1.1469654,719.2150807380676,100,[-0.822 -0.498 -0.463 -0.753  0.015],0.04681044,36.65,-1594736400000000.0,237.61401,-1594736400000000.0,45.41124,0.8932873,1.0069957,-16.116158,12.025192,-107.59678545333021,8300,83,1.0030799,-1.0681152e-06,214.28476
