BatchSize,MinNormIw,MinVanillaIw,AvgNormIw,J,AvgEpLen,VarVanillaIw,MaxVanillaIw,ESSClassic,VarRet,Bound,MaxNormIw,AvgVanillaIw,VarDiscRet,VarJ,AvgDiscRet,VarNormIw,eRenyi2,AvgRet,ESSRenyi
100,0.0072701615,0.7767817,0.009999999,-7.492834,200.0,0.26071867,4.6452217,81.55953709240207,50.34329657220229,-9.700293,0.043476194,1.0684518,50.34329657220229,7.171965,-8.060981900013832,2.2838223e-05,1.2367349,-8.060981900013832,80.85807448351166
100,0.0072138,0.7101145,0.01,-8.328464,200.0,0.006301446,1.0540963,99.36030741906247,59.4281939286209,-10.286921,0.01070819,0.98438334,59.4281939286209,7.7058053,-8.346521581921174,6.502969e-07,1.0050325,-8.346521581921174,99.49926602666596
100,0.009050382,0.9047085,0.01,-7.8412733,200.0,0.018409122,1.7452172,98.20882808982745,49.41874891384733,-9.789395,0.017458532,0.9996357,49.41874891384733,6.954212,-7.906529274592437,1.8422543e-06,1.024299,-7.906529274592437,97.62774102778454
100,0.009401452,0.923127,0.01,-7.8445454,200.0,0.0075709135,1.3744206,99.22860227370633,57.2997727173526,-9.838655,0.0139975855,0.98189837,57.2997727173526,7.525688,-7.88124466474593,7.852632e-07,1.0153931,-7.88124466474593,98.48402186731566
100,1.0482957e-12,1.1355399e-10,0.01,-6.9362373,200.0,1.1593486,2.8754237,50.55190232177313,55.24061682708003,-9.815212,0.02654503,1.0832249,55.24061682708003,9.340264,-8.901579237674074,9.8804514e-05,2.093436,-8.901579237674074,47.76835779528449
100,4.711929e-33,4.5865147e-31,0.01,-5.453154,200.0,2.5343454,5.145294,27.411597772000086,47.22277866392643,-9.314035,0.05285988,0.97338367,47.22277866392643,9.181507,-7.7912328940980835,0.0002674839,3.7345037,-7.7912328940980835,26.777319504963213
100,0.009640977,0.9582109,0.010000002,-8.267257,200.0,0.0022789137,1.2347127,99.77212873306439,52.11613642441424,-10.199331,0.012422983,0.993894,52.11613642441424,7.194252,-8.27322949881615,2.3070008e-07,1.0039943,-8.27322949881615,99.60215456568807
100,,,0.010000002,-5.9927006,200.0,2.332779,4.9983172,27.575958740970645,50.0238233671911,-9.771275,0.053302243,0.9377311,50.0238233671911,11.599104,-8.769387555055904,0.00026528758,3.5747688,-8.769387555055904,27.973837220741263
100,0.008120424,0.8009122,0.009999999,-8.915444,200.0,0.099656604,2.9160042,90.7917933938671,49.75746244935987,-11.020631,0.029565277,0.98629355,49.75746244935987,7.332808,-9.142830068267338,1.0244571e-05,1.1247456,-9.142830068267338,88.90899359303872
100,0.0036520502,0.3666011,0.01,-6.6148906,200.0,0.049467813,1.2508001,95.3651856291017,43.11171210985535,-8.544259,0.012460368,1.0038228,43.11171210985535,6.416515,-6.804051082124196,4.909176e-06,1.0515435,-6.804051082124196,95.0983030695208
