ESSClassic,ReturnMeanIW,EpRewMean,LearnableVariance,OptimizationReturnMax,MaxIWNorm,EmpiricalD2,Bound,StdIW,InitialBound,MaxIW,TimestepsSoFar,InitialReturnStd,ReturnStepMaxmin,InitialReturnMean,VarianceInit,EpThisIter,OptimizationReturnMin,Iteration,InitialReturnMin,EpLenMean,MinIW,MinIWNorm,ESSRenyi,MeanEntropy,ReturnStepMax,InitialReturnMax,StdIWNorm,Weights,J_sample_variance,MeanIW,OptimizationReturnMean,EpisodesSoFar,TimeElapsed,MeanIWNorm
39.072582,687.2686,596.5825665499257,True,699.92163,0.054559592,1.2789518,473.81067,0.6050487,407.83328,2.7279797,84687,166.09886,10.0,596.5825,-1,50,,37,389.82263,60.68,0.38918865,0.007783773,39.094517,0.3899439,10.0,1089.7443,0.012100975,[-1.487  1.048 -1.671 -2.367 -1.068],277488.47,1.1441102,206.75992,1850,629.8957650661469,0.022882205
11.888175,1150.6674,598.5660819149866,True,909.92126,0.29762387,4.3152437,690.2258,3.0836658,376.91403,14.881194,87731,181.67325,10.0,598.5661,-1,50,,38,369.78757,60.88,0.006330452,0.00012660904,11.586831,0.286026,10.0,1279.7089,0.06167331,[-1.534  1.091 -1.68  -2.421 -1.029],2196247.0,1.7222453,228.77852,1900,650.1869163513184,0.034444906
1.5437664,8021.727,693.7671511468287,True,1629.7845,4.430845,77.44114,5522.3706,31.026825,409.75146,221.54225,91251,267.1284,10.0,693.7671,-1,50,,39,9.980807,70.4,2.9449471e-05,5.889894e-07,0.64565164,0.13519272,10.0,1639.7654,0.62053645,[-1.572  1.15  -1.686 -2.388 -1.133],2602248200.0,5.538005,683.7863,1950,674.3715829849243,0.1107601
32.41459,829.4134,631.5795220468651,True,979.9714,0.08548758,1.5965378,529.6345,0.8695482,394.32672,4.2743793,94460,194.50555,9.999999,631.57947,-1,50,,40,389.8084,64.18,0.33099204,0.006619841,31.317768,0.15447438,9.999999,1369.7798,0.017390965,[-1.607  1.123 -1.676 -2.312 -1.284],527802.3,1.1805586,241.77112,2000,692.4365010261536,0.023611166
49.778347,685.3375,671.5720892844712,True,889.97876,0.024119224,1.0070264,464.63092,0.06807877,451.6368,1.2059612,97869,194.2981,10.0,671.5721,-1,50,,41,379.8181,68.18,0.8150877,0.016301753,49.65113,0.15525067,10.0,1269.7969,0.0013615756,[-1.61   1.157 -1.663 -2.275 -1.264],193865.6,1.0202165,291.75397,2050,711.539409160614,0.02040433
8.221966,1572.0657,659.3780596113188,True,1079.844,0.6053652,6.9356933,919.9074,5.2917585,411.7453,30.268263,101217,211.6318,10.0,659.37805,-1,50,,42,349.86426,66.96,0.0071953353,0.0001439067,7.2090845,0.14194705,10.0,1429.7083,0.10583516,[-1.629  1.174 -1.667 -2.28  -1.264],3575314.2,2.3475447,309.5138,2100,730.3338847160339,0.046950884
9.736853,975.18445,639.3732806780496,True,989.9544,0.4159919,3.2669516,540.0985,3.0513387,398.658,20.799595,104465,203.62616,10.0,639.3733,-1,50,,43,399.8161,64.96,0.109789506,0.0021957902,15.304788,0.2111984,10.0,1389.7705,0.061026778,[-1.608  1.184 -1.676 -2.445 -1.277],1222332.2,1.5005339,239.55719,2150,747.764892578125,0.030010676
45.51608,653.91626,628.5735156288957,True,1299.8116,0.041516386,1.0875332,419.1356,0.33423507,403.43958,2.0758193,107659,213.57747,9.999999,628.5735,-1,50,,44,,63.88,0.46906966,0.009381393,45.975605,0.22021458,9.999999,1299.8116,0.006684702,[-1.636  1.179 -1.668 -2.456 -1.208],68713.414,1.0648919,628.5735,2200,765.9975488185883,0.021297839
33.36418,743.6557,611.3764134755291,True,1219.8713,0.08847434,1.4995455,402.24033,0.86210996,332.56967,4.423717,110767,219.70688,9.999999,611.3764,-1,50,,45,389.82013,62.16,0.18855946,0.0037711891,33.343437,0.2022306,9.999999,1609.6914,0.017242197,[-1.624  1.163 -1.663 -2.483 -1.199],522959.34,1.2209022,221.55629,2250,783.1701617240906,0.024418045
43.618687,653.9439,599.7872973347315,True,629.98865,0.03687034,1.2091887,461.62552,0.4229606,424.8937,1.8435171,113817,137.29056,10.0,599.7873,-1,50,,46,379.75964,61.0,0.25051343,0.0050102687,41.35004,0.16333807,10.0,1009.7483,0.008459211,[-1.579  1.1   -1.632 -2.497 -1.217],207185.28,1.1058117,220.02763,2300,803.2511947154999,0.022116233
26.94869,681.6116,584.1901010511627,True,659.922,0.08393095,1.8656887,437.99368,1.0029376,405.8333,4.1965475,116789,174.12361,10.0,584.19006,-1,50,,47,369.82126,59.44,0.057543788,0.0011508757,26.799755,0.12895156,10.0,1029.7433,0.02005875,[-1.593  1.11  -1.65  -2.525 -1.256],409846.44,1.0844133,214.36885,2350,821.716402053833,0.021688266
7.4540663,1516.0464,634.7745060035159,True,1060.0004,0.5375981,6.5866365,862.6919,4.0262046,380.19873,26.879906,120014,209.52509,10.0,634.77454,-1,50,,48,409.7933,64.5,0.032161646,0.0006432329,7.591128,0.16820732,10.0,1469.7937,0.08052409,[-1.63   1.138 -1.691 -2.444 -1.29 ],16723234.0,1.6852466,224.98122,2400,844.1208508014679,0.033704933
10.868296,965.39886,668.9748067318674,True,899.9834,0.3172888,3.462625,559.3601,2.4528503,450.76978,15.864439,123410,188.1523,10.0,668.9748,-1,50,,49,359.824,67.92,0.025694225,0.0005138845,14.439912,0.08312219,10.0,1259.8074,0.049057003,[-1.591  1.168 -1.687 -2.379 -1.251],1717826.8,1.2926692,309.15082,2450,865.0171399116516,0.025853386
47.988224,806.5643,767.1671584744232,True,1189.9795,0.03041055,1.0711153,523.376,0.21040745,493.5412,1.5205276,127297,256.19806,10.0,767.1672,-1,50,,50,389.8004,77.74,0.71234715,0.0142469425,46.680317,0.10281315,10.0,1579.7799,0.0042081485,[-1.615  1.211 -1.702 -2.333 -1.336],269689.0,1.027634,377.36673,2500,890.3241596221924,0.020552678
40.89282,730.8502,672.3602184284414,True,709.96204,0.055544443,1.2492187,508.27158,0.49383706,473.21753,2.7772222,130710,178.97511,9.999999,672.3602,-1,50,,51,439.78845,68.26,0.39076415,0.007815283,40.025017,0.1316452,9.999999,1149.7505,0.009876741,[-1.623  1.221 -1.708 -2.341 -1.316],317168.9,1.0464419,232.57178,2550,911.9503269195557,0.020928835
46.07255,727.23773,677.1534313203443,True,1069.9259,0.03671795,1.1245594,455.45068,0.31726956,420.85995,1.8358977,134147,204.04503,10.0,677.15344,-1,50,,52,409.78528,68.74,0.6171506,0.012343012,44.461857,0.10954217,10.0,1479.7112,0.006345391,[-1.615  1.229 -1.702 -2.325 -1.287],247089.34,1.0866627,267.36813,2600,933.5499658584595,0.021733252
37.2755,812.53735,684.1699512725733,True,949.89056,0.06050012,1.4359925,530.3218,0.6726289,448.66235,3.025006,137619,189.00554,10.0,684.1699,-1,50,,53,409.8133,69.44,0.1768438,0.003536876,34.819122,0.07163627,10.0,1359.7039,0.0134525765,[-1.642  1.244 -1.713 -2.323 -1.309],324228.0,1.1512425,274.35663,2650,956.6070313453674,0.023024848
23.242773,1068.6675,743.7722963467527,True,1319.7881,0.13311373,2.367014,716.97327,1.4010328,515.1782,6.6556864,141389,226.91158,10.0,743.7723,-1,50,,54,,75.4,0.16527438,0.0033054876,21.123661,0.1043167,10.0,1319.7881,0.028020658,[-1.676  1.276 -1.702 -2.293 -1.347],2534788.8,1.3057851,743.7723,2700,975.7830665111542,0.0261157
4.084045,1316.6461,661.9468513326011,True,1089.8005,1.1521543,7.4884825,800.1054,7.9785185,473.18787,57.60772,144750,192.14612,9.999999,661.9469,-1,50,,55,,67.22,0.024526915,0.00049053825,6.6769204,0.09647307,9.999999,1089.8005,0.15957037,[-1.676  1.295 -1.727 -2.378 -1.315],12762986.0,2.3795002,661.9469,2750,994.0114040374756,0.047590002
48.196186,679.55084,662.170157646545,True,1309.8154,0.03104841,1.0493926,447.14893,0.20004234,435.3034,1.5524205,148112,204.26015,10.0,662.17017,-1,50,,56,,67.24,0.5417601,0.0108352015,47.64661,0.08487284,10.0,1309.8154,0.0040008468,[-1.614  1.216 -1.701 -2.501 -1.322],51807.348,1.0340303,662.17017,2800,1020.4491488933563,0.020680606
29.29298,967.9857,655.1544453139622,True,779.99225,0.13233948,2.0592573,667.28955,1.2836393,445.61172,6.616974,151439,170.04175,10.0,655.1545,-1,50,,57,429.8034,66.54,0.17098765,0.003419753,24.2806,0.056975033,10.0,1209.7957,0.025672786,[-1.626  1.219 -1.697 -2.505 -1.334],534902.94,1.5267433,225.35106,2850,1043.428232908249,0.030534869
15.986629,884.2883,660.5635881694693,True,619.98694,0.22866665,2.7898364,574.8152,1.8790506,475.28143,11.433332,154793,155.69214,10.0,660.5636,-1,50,,58,449.74008,67.08,0.049010832,0.0009802167,17.922197,0.016356748,10.0,1069.727,0.03758101,[-1.678  1.253 -1.706 -2.44  -1.362],617382.56,1.288226,210.82352,2900,1061.3032178878784,0.02576452
5.5590224,1194.5825,715.1626060403789,True,859.9882,0.66211295,5.6333556,643.806,4.744409,483.10712,33.105648,158420,194.22563,10.0,715.16266,-1,50,,59,479.78473,72.54,0.044753186,0.0008950637,8.875705,-0.008894409,10.0,1339.773,0.09488819,[-1.657  1.276 -1.704 -2.447 -1.403],2486508.2,1.6779907,235.37787,2950,1078.266918182373,0.033559818
