MinIWNorm,J_sample_variance,OptimizationReturnMin,InitialReturnMax,Iteration,InitialReturnStd,EpThisIter,ESSClassic,VarianceInit,TimeElapsed,OptimizationReturnMax,EpLenMean,EpisodesSoFar,EmpiricalD2,MeanIWNorm,InitialReturnMean,OptimizationReturnMean,MeanIW,TimestepsSoFar,MaxIW,EpRewMean,Bound,InitialBound,MaxIWNorm,ESSRenyi,Weights,InitialReturnMin,StdIW,StdIWNorm,LearnableVariance,ReturnMeanIW,MinIW,MeanEntropy,ReturnStepMaxmin,ReturnStepMax
0.0039235763,7746756.0,,3899.1855,36,722.4666,50,32.06875,-1,1152.5107080936432,3869.241,143.28,1800,1.4438156,0.020878613,1422.4237,1392.4794,1.0439306,175828,4.6011615,1422.423828738917,931.3295,747.06506,0.09202323,34.630463,[-0.356  0.721 -1.327 -1.448 -1.259],29.944479,0.78061336,0.015612267,True,1742.833,0.19617882,0.12429794,10.0,10.0
9.23414e-05,56408936.0,,2489.1074,37,432.4838,50,8.789673,-1,1190.9196298122406,2059.4692,146.64,1850,10.198462,0.04563634,1456.0228,1026.3844,2.281817,183160,24.630468,1456.0227149076206,2289.5269,1024.8967,0.49260935,4.9027004,[-0.359  0.731 -1.332 -1.465 -1.295],429.6383,4.940802,0.098816045,True,3666.329,0.00461707,0.03563839,10.0,10.0
0.00016155002,80997600.0,,2409.7263,38,419.6797,50,6.2634206,-1,1234.8547546863556,2020.0073,154.52,1900,11.443942,0.05020574,1534.8326,1145.1136,2.510287,190886,39.300255,1534.8325815899452,2820.7144,1117.4558,0.7860051,4.369124,[-0.347  0.715 -1.331 -1.474 -1.383],389.71893,6.6334577,0.13266915,True,4232.6543,0.008077501,-0.053427286,10.0,10.0
0.0034120078,2329050.0,,2269.548,39,391.0617,50,23.43093,-1,1269.5127334594727,1809.8414,137.6,1950,2.0062995,0.023947818,1365.7245,906.0179,1.1973909,197766,6.925358,1365.7245522908688,1150.0211,972.6272,0.13850716,24.921503,[-0.334  0.711 -1.328 -1.472 -1.472],459.70663,1.2750562,0.025501125,True,1706.8195,0.1706004,-0.04269837,10.0,10.0
1.944122e-05,44674628.0,,2909.5479,40,438.7112,50,6.700634,-1,1310.7553565502167,2499.8542,143.28,2000,7.5372715,0.040621296,1422.4594,1012.7656,2.0310645,204930,34.514046,1422.4593324368823,1658.9971,918.51086,0.6902809,6.6337004,[-0.33   0.73  -1.339 -1.454 -1.462],409.69366,5.1630526,0.103261046,True,3042.5417,0.00097206107,-0.075702645,10.0,10.0
5.9192374e-05,489309280.0,,3908.7092,41,574.60944,50,6.0541716,-1,1349.4531121253967,3718.8865,160.38,2050,14.484048,0.05763475,1593.4108,1403.588,2.8817377,212949,36.863594,1593.410762497947,4054.1594,916.40247,0.73727185,3.4520736,[-0.361  0.769 -1.341 -1.434 -1.495],189.82275,7.764007,0.15528013,True,6630.712,0.0029596188,-0.11932875,10.0,10.0
0.0023836894,5410942.0,,3168.9175,42,535.2006,50,23.878048,-1,1375.5824694633484,2999.0723,154.16,2100,1.8820424,0.024523802,1531.1775,1361.3322,1.2261902,220657,7.5259986,1531.1775705970276,1224.7874,982.30475,0.15051997,26.566883,[-0.364  0.827 -1.345 -1.46  -1.538],169.84534,1.2825116,0.025650231,True,1977.7722,0.11918447,-0.07836151,10.0,10.0
0.004349765,3077074.0,,3479.3213,43,573.7455,50,25.772112,-1,1412.6931188106537,3089.6235,158.26,2150,2.0117416,0.02860394,1572.1595,1182.4618,1.4301969,228570,6.787639,1572.159534626255,1300.1975,969.5233,0.13575278,24.854086,[-0.372  0.837 -1.334 -1.474 -1.497],389.6978,1.3866873,0.027733743,True,2154.952,0.21748826,-0.041232616,10.0,10.0
0.00032560108,150317660.0,,3419.6577,44,572.1185,50,4.405759,-1,1446.8867275714874,3219.802,145.48,2200,10.2368555,0.039766833,1444.4424,1244.5867,1.9883418,235844,44.944397,1444.442463426779,1518.501,852.14044,0.89888793,4.884312,[-0.37   0.818 -1.309 -1.464 -1.46 ],199.8558,6.3964005,0.12792802,True,3413.5767,0.016280055,-0.04090694,10.0,10.0
0.0031446414,8620181.0,,2709.3894,45,467.3557,50,22.838749,-1,1479.0601270198822,2699.4075,131.3,2250,2.5215566,0.02724254,1302.676,1292.6942,1.3621271,242409,6.2946463,1302.6762117789906,1228.2002,833.39624,0.12589292,19.829021,[-0.383  0.79  -1.324 -1.494 -1.46 ],9.98198,1.4854443,0.029708887,True,1973.389,0.15723208,0.00020289421,10.0,10.0
