EmpiricalD2Harmonic,EpRewMean,EpLenMean,Weights,InitialReturnMax,Iteration,MeanD2-0,EpisodesSoFar,Penalization,Inner Iteration,OptimizationReturnMean,MinTargetPdf,ESSRenyiHarmonic,ReturnMeanIW,InitialReturnStd,InitialReturnMean,EmpiricalD2Arithmetic,ReturnStepMaxmin,LearnableVariance,DivergenceHarmonic,OptimizationReturnMax,WReturnMean,EpThisIter,MeanIW,OptimizationReturnMin,StdIW,MaxIW,InitialBound,VarianceInitializer,TimeElapsed,ESSRenyiArithmetic,ReturnStepMax,InitialReturnMin,Epsilon,MinIW,MinBehavPdf,StdWReturnMean,TimestepsSoFar,Bound,MeanEntropy
4110.1484,659.7303573949507,67.0,[-0.576  0.655 -1.091 -1.128],1009.8172,21,4110.1484,462,True,2,439.88037,-64.298096,0.0026763023,320537.84,247.0602,659.73035,4110.1484,9.999996,,2.1719515e+25,789.9672,320537.84,11,1.218796,,3.0153377,10.560579,-8.27282e+17,-1.0,25.53840661048889,0.0026763023,9.999996,219.84996,1.0,4.6664823e-07,-60.77284,,9794,-8.27282e+17,0.41894197
1.0,868.8072979052545,87.9090909090909,[-0.576  0.655 -1.091 -1.128],1439.5215,22,1.0,473,True,1,518.9676,-52.38556,11.0,58406990.0,286.69846,868.8074,1.0,10.0,,274895400000000.0,1089.6819,837022.1,11,70.11762,,165.93184,587.55,-1197751.4,-1.0,26.831720113754272,11.0,10.0,349.83966,1.0,1.1587377,-52.38556,,10761,-5980910000000.0,0.41894197
2668.9673,544.3283470257788,55.45454545454545,[-0.651  0.572 -1.119 -1.176],729.6749,22,2668.9673,484,True,2,214.4648,-42.83517,0.004121444,124626.086,117.60346,544.32837,2668.9673,9.999995,,1.6161492e+25,399.8114,124626.086,11,0.51557404,,0.89363015,3.099855,-3.725998e+17,-1.0,27.297715425491333,0.004121444,9.999995,329.86353,1.0,8.569038e-07,-38.20111,,11371,-3.725998e+17,0.41894197
1.0,663.415193039684,67.36363636363636,[-0.651  0.572 -1.119 -1.176],1569.7448,23,1.0,495,True,1,333.5281,-62.64459,11.0,68428070.0,355.57468,663.41516,1.0,9.999999,,1204981900.0,1239.8577,566553.06,11,66.493355,,156.35016,534.852,-995499.1,-1.0,28.633199453353882,11.0,9.999999,329.8871,1.0,0.05783735,-62.64459,,12112,-14958313000.0,0.41894197
8.092014,382.5828160139935,39.27272727272727,[-0.693  0.502 -1.132 -1.27 ],619.80505,23,8.092014,506,True,2,382.58282,-38.30255,1.3593649,824860600.0,238.56212,382.58282,8.092014,9.999999,,1748891100000.0,619.80505,129567.94,11,2706.9868,,3416.2449,9582.063,-151260940.0,-1.0,29.59750270843506,1.3593649,9.999999,,1.0,0.9315544,-37.97615,,12544,-89261990000.0,0.41894197
1.0,785.1740589576344,79.54545454545455,[-0.54   0.696 -1.144 -1.236],979.661,24,1.0,517,True,1,375.39835,-43.91825,11.0,1550873000.0,177.54034,785.174,1.0,9.999999,,3.0940897e+16,569.8853,648018.9,11,2131.0137,,6497.67,22672.668,-815088.1,-1.0,30.967339277267456,11.0,9.999999,409.7757,1.0,0.035930388,-43.91825,,13419,-29388950000000.0,0.41894197
65406.555,716.0883944647093,72.63636363636364,[-0.627  0.62  -1.141 -1.284],1439.3812,24,65406.55,528,True,2,266.22537,-67.41089,0.00016817886,297392.2,298.3022,716.0884,65406.55,9.999997,,1.733497e+32,989.5182,297392.2,11,1.1246055,,3.4910312,12.163316,-4.748498e+21,-1.0,32.349103689193726,0.00016817887,9.999997,449.863,1.0,2.9675684e-13,-59.200104,,14218,-4.748498e+21,0.41894197
1.0,624.3155408563402,63.45454545454545,[-0.627  0.62  -1.141 -1.284],1149.709,25,1.0,539,True,1,584.3785,-55.800575,11.0,311830000.0,272.16135,624.3155,1.0,9.99999,,1.1428773e+16,1109.772,463841.7,11,450.9071,,859.4586,2966.5964,-693943.6,-1.0,33.303098917007446,11.0,9.99999,39.93702,1.0,0.13073584,-55.800575,,14916,-24599381000000.0,0.41894197
59026.637,602.4819417264102,61.27272727272727,[-0.695  0.516 -1.148 -1.268],889.6885,25,59026.637,550,True,2,162.68672,-37.446808,0.00018635654,2048568.0,154.3601,602.4819,59026.637,9.999998,,6.196191e+33,449.89325,2048568.0,11,7.7349577,,22.171864,77.66018,-1.0846293e+22,-1.0,34.25121998786926,0.00018635654,9.999998,439.79523,1.0,1.6719669e-06,-37.538414,,15590,-1.0846293e+22,0.41894197
1.0,601.5481539757669,61.18181818181818,[-0.695  0.516 -1.148 -1.268],969.63544,26,1.0,561,True,1,181.75586,-36.13753,11.0,35112856.0,162.55934,601.5481,1.0,9.999998,,9.880477e+16,549.84314,388285.75,11,164.00278,,418.3622,1483.2891,-551952.9,-1.0,35.23707962036133,11.0,9.999998,419.7923,1.0,0.24713336,-36.13753,,16263,-51445720000000.0,0.41894197
