MeanEntropy,MaxIW,TimeElapsed,EmpiricalD2Harmonic,EmpiricalD2Arithmetic,InitialReturnMax,OptimizationReturnMean,InitialBound,LearnableVariance,Epsilon,EpisodesSoFar,EpThisIter,Weights,InitialReturnMin,Iteration,Inner Iteration,Penalization,ReturnStepMax,Bound,StdIW,EpLenMean,VarianceInitializer,InitialReturnStd,TimestepsSoFar,MinIW,WReturnMean,ESSRenyiHarmonic,OptimizationReturnMax,MeanIW,InitialReturnMean,EpRewMean,DivergenceHarmonic,MinBehavPdf,MeanD2-0,ESSRenyiArithmetic,ReturnStepMaxmin,OptimizationReturnMin,ReturnMeanIW,MinTargetPdf,StdWReturnMean
0.41894197,3426.013,98.18475365638733,1.0,1.0,2529.3171,638.07007,-2628641.5,,1.0,451,11,[-0.162  0.534 -1.029 -3.687],399.7475,21,1,True,9.999994,-5.5976846e+16,976.6647,104.81818181818181,-1.0,661.7553,22758,0.16996846,1514985.5,11.0,2129.5696,481.15222,1037.8175,1037.8175550556039,2.5264904e+21,-95.89401,1.0,11.0,9.999994,,586136900.0,-95.89401,
0.41894197,0.012168449,101.82531905174255,90269.945,90269.945,1819.4961,424.65985,-2.6260384e+22,,1.0,462,11,[-0.215  0.447 -1.028 -3.759],389.65558,21,2,True,9.999999,-2.6260384e+22,0.0038702814,82.45454545454545,-1.0,429.72662,23665,1.0027534e-09,2607.7178,0.00012185673,1429.8406,0.0020841039,814.3154,814.3154406651963,2.0764027e+33,-69.93948,90269.945,0.00012185673,9.999999,,2607.7178,-72.40094,
0.41894197,911.14417,104.83875799179077,1.0,1.0,2449.3833,457.42432,-2142124.2,,1.0,473,11,[-0.215  0.447 -1.028 -3.759],339.55444,22,1,True,9.999993,-1154223000000.0,258.41718,80.72727272727273,-1.0,680.1276,24553,0.7978902,1097748.9,11.0,2109.8289,96.60312,796.97876,796.9787893911599,1221259800000.0,-114.65265,1.0,11.0,9.999993,,77408930.0,-114.65265,
0.41894197,169.54877,109.32316994667053,101071160000000.0,101071160000000.0,3178.0151,638.14526,-inf,,1.0,484,11,[-0.097  0.408 -1.023 -3.76 ],349.57535,22,2,True,9.99999,-inf,48.732788,99.81818181818181,-1.0,845.7232,25651,5.254726e-12,4664860.0,1.0883421e-13,2828.4397,15.442229,987.72064,987.7206631273356,inf,-133.8258,101071160000000.0,1.0883421e-13,9.99999,,4664860.0,-145.49919,
0.41894197,37481.43,115.1543698310852,1.0,1.0,2369.2725,784.30707,-2890180.2,,1.0,495,11,[-0.097  0.408 -1.023 -3.76 ],449.81445,23,1,True,9.999988,-6.930364e+20,10898.485,124.45454545454545,-1.0,624.45557,27020,40.052128,1913000.9,11.0,1919.458,5823.6855,1234.1216,1234.1215145621852,5.029978e+29,-102.20743,1.0,11.0,9.999988,,12135487000.0,-102.20743,
0.41894197,0.012278538,119.03987455368042,70305.02,70305.02,1579.6123,499.01892,-9.852197e+21,,1.0,506,11,[ 0.021  0.424 -1.027 -3.799],369.70612,23,2,True,9.999999,-9.852197e+21,0.0033935672,87.9090909090909,-1.0,490.5678,27987,2.0642764e-10,2702.7874,0.00015646109,1209.9062,0.0019165381,868.725,868.7249619529165,5.1449144e+32,-79.96454,70305.02,0.00015646109,9.999999,,2702.7874,-83.58913,
0.41894197,10641.881,122.91123390197754,1.0,1.0,1589.1439,735.07495,-1242750.8,,1.0,517,11,[ 0.021  0.424 -1.027 -3.799],,24,1,True,9.999987,-2.125504e+22,3074.4045,74.54545454545455,-1.0,512.6442,28807,0.90027165,803139.4,11.0,1589.1439,1539.3036,735.07495,735.074933381113,2.337679e+33,-76.541855,1.0,11.0,9.999987,,2682049300.0,-76.541855,
0.41894197,2.8669407,127.16456961631775,423073.9,423073.9,1859.5476,507.23642,-2.3485749e+24,,1.0,528,11,[ 0.06   0.537 -1.032 -3.762],389.64343,24,2,True,9.999982,-2.3485749e+24,0.83354485,90.72727272727273,-1.0,433.4803,29805,9.2907415e-09,326249.88,2.6000185e-05,1469.9042,0.34703875,896.8798,896.8797877121037,1.5222767e+37,-84.19989,423073.9,2.6000185e-05,9.999982,,326249.88,-87.77762,
0.41894197,64131.76,130.61140513420105,1.0,1.0,1639.3751,371.7676,-1141284.9,,1.0,539,11,[ 0.06   0.537 -1.032 -3.762],349.6629,25,1,True,9.999941,-2617478400000000.0,18593.885,73.18181818181819,-1.0,391.12564,30610,0.16691417,673441.25,11.0,1289.7122,8058.7124,721.4305,721.4305079971673,3.1301517e+19,-73.974106,1.0,11.0,9.999941,,4316375000.0,-73.974106,
0.41894197,44.103077,134.4968011379242,2762199.8,2762199.8,1719.4736,300.91766,-inf,,1.0,550,11,[-0.018  0.443 -1.041 -3.789],369.68207,25,2,True,9.999999,-inf,12.6774645,68.0909090909091,-1.0,401.61588,31359,1.8152232e-19,1042516.2,3.9823335e-06,1349.7915,4.013425,670.5998,670.5997401449175,inf,-68.75176,2762199.8,3.9823335e-06,9.999999,,1042516.2,-71.85344,
