MinIW,MeanEntropy,StdIW,EpRewMean,DivergenceHarmonic,InitialReturnMax,StdWReturnMean,Weights,InitialReturnMin,Iteration,Epsilon,OptimizationReturnMean,InitialReturnMean,EmpiricalD2Arithmetic,EpThisIter,EpisodesSoFar,TimestepsSoFar,WReturnMean,InitialReturnStd,TimeElapsed,Penalization,ReturnStepMaxmin,InitialBound,EmpiricalD2Harmonic,ReturnStepMax,VarianceInitializer,MeanIW,LearnableVariance,Bound,ESSRenyiHarmonic,OptimizationReturnMax,OptimizationReturnMin,MinBehavPdf,EpLenMean,ESSRenyiArithmetic,MinTargetPdf,MeanD2-0,MaxIW,Inner Iteration,ReturnMeanIW
2.30519e-15,0.41894197,104.29534,421.63965952321064,inf,599.84686,,[-1.058  0.489 -0.871 -1.495],259.7743,21,1.0,161.86536,421.63965,1889823100.0,11,462,16388,8574860.0,95.34147,46.86079025268555,True,9.999989,-inf,1889823100.0,9.999989,-1.0,32.99214,,-inf,5.8206506e-09,340.07257,,-29.949524,43.18181818181818,5.8206506e-09,-33.55763,1889823100.0,362.80295,2,8574860.0
0.031521585,0.41894197,7136.573,383.4709041018523,5.404631e+19,529.8266,,[-1.058  0.489 -0.871 -1.495],299.7648,22,1.0,83.7061,383.47092,1.0,11,473,16821,152074.69,70.8855,48.19692850112915,True,9.999998,-200941.22,1.0,9.999998,-1.0,2337.7778,,-359247670000000.0,11.0,230.0618,,-21.569035,39.36363636363637,11.0,-21.569035,1.0,24903.191,1,335142620.0
0.00019088072,0.41894197,0.08928795,280.75447503929666,2.0101069e+17,419.91846,,[-1.236  0.348 -0.849 -1.392],159.8424,22,1.0,120.91206,280.75446,291.43674,11,484,17141,6551.1396,79.50272,49.36484432220459,True,9.999999,-33095010000000.0,291.43674,9.999999,-1.0,0.04736928,,-13762032000000.0,0.03774404,260.07605,,-20.980202,29.09090909090909,0.03774404,-21.911568,291.43674,0.23635666,2,4599.1123
5.5320153,0.41894197,5602.279,373.494784217646,2.4427644e+32,569.8894,,[-1.196  0.328 -0.85  -1.477],189.81473,23,1.0,183.68007,373.4948,1.0,11,495,17563,155035.86,124.64951,50.71700668334961,True,9.999999,-211571.84,1.0,9.999999,-1.0,4583.1343,,-8.83619e+20,11.0,380.07468,,-24.183035,38.36363636363637,11.0,-24.183035,1.0,17582.244,1,373859780.0
,0.41894197,0.2885209,438.8821759093162,inf,979.8386,,[-0.893  0.583 -0.911 -1.776],19.96421,23,1.0,418.91797,438.8822,inf,11,506,18057,36.49504,218.34497,51.771759271621704,True,9.999999,-inf,inf,9.999999,-1.0,0.09123943,,-inf,,959.8744,,-48.85003,44.90909090909091,,-82.10301,inf,1.0036227,2,36.49504
0.051500116,0.41894197,1956.7773,569.7962243717155,260525300000.0,989.8208,,[-0.893  0.583 -0.911 -1.776],389.7656,24,1.0,180.03062,569.79626,1.0,11,517,18695,355417.88,175.35718,52.9731171131134,True,9.999998,-525970.1,1.0,9.999998,-1.0,663.29694,,-87197640000.0,11.0,600.0552,,-56.29602,58.0,11.0,-56.29602,1.0,6847.914,1,145162510.0
1.50034375e-05,0.41894197,0.031431805,396.1601807211433,1.0087802e+26,579.8568,,[-0.944  0.449 -0.951 -1.977],319.73132,24,1.0,76.428856,396.1602,3354.7322,11,528,19142,4493.438,73.54492,53.992077112197876,True,9.999979,-5.87872e+17,3354.7322,9.999979,-1.0,0.01891564,,-5.87872e+17,0.0032789502,260.1255,,-27.231823,40.63636363636363,0.0032789502,-28.366901,3354.7322,0.103295974,2,4493.438
0.16086183,0.41894197,7.6143937,438.89278752335304,8315335000.0,559.8477,,[-0.944  0.449 -0.951 -1.977],339.6745,25,1.0,99.218285,438.89276,1.0,11,539,19636,198114.31,74.077095,54.92038321495056,True,9.999973,-252675.5,1.0,9.999973,-1.0,7.0046344,,-4976740000.0,11.0,220.17322,,-28.13944,44.90909090909091,11.0,-28.13944,1.0,22.501686,1,1400158.2
4.305211e-10,0.41894197,0.37024206,465.2448985493445,8.619611e+25,739.728,,[-0.873  0.543 -0.967 -2.014],,25,1.0,465.2449,465.2449,6008.034,11,550,20159,39330.48,181.97923,56.20071864128113,True,10.0,-8.843639e+17,6008.034,10.0,-1.0,0.22544502,,-8.843639e+17,0.0018308817,739.728,,-32.99954,47.54545454545455,0.0018308817,-41.9115,6008.034,0.9762092,2,39330.48
1.2414476,0.41894197,843.7144,475.22544868003246,7387238000000.0,719.7527,,[-0.873  0.543 -0.967 -2.014],379.68497,26,1.0,95.54048,475.22546,1.0,11,561,20693,238847.53,114.05379,57.68494367599487,True,10.0,-329027.62,1.0,10.0,-1.0,339.67682,,-245157460000.0,11.0,340.06772,,-26.880863,48.54545454545455,11.0,-26.880863,1.0,2979.9233,1,53310596.0
