MinTargetPdf,EmpiricalD2Arithmetic,Penalization,TimeElapsed,LearnableVariance,MeanIW,OptimizationReturnMean,MaxIW,ESSRenyiArithmetic,OptimizationReturnMax,ReturnStepMaxmin,StdWReturnMean,EpLenMean,TimestepsSoFar,VarianceInitializer,ESSRenyiHarmonic,ReturnStepMax,StdIW,Bound,InitialReturnStd,DivergenceHarmonic,ReturnMeanIW,Iteration,InitialBound,OptimizationReturnMin,EpThisIter,InitialReturnMax,Inner Iteration,WReturnMean,Epsilon,EmpiricalD2Harmonic,EpisodesSoFar,MinIW,Weights,EpRewMean,MeanEntropy,MeanD2-0,InitialReturnMin,MinBehavPdf,InitialReturnMean
-15.089096,54843290000.0,True,17.063425540924072,,0.37695825,33.627342,1.8604447,2.0057149e-10,59.99218,9.99993,,5.363636363636363,1896,-1.0,2.005715e-10,9.99993,0.6860533,-inf,19.194344,inf,189.22815,17,-inf,,11,69.97655,2,189.22815,1.0,54843286000.0,374,6.5395155e-11,[-0.422 -0.9    0.348  1.766],43.61170811617464,0.41894197,54843290000.0,9.984365,-4.3828,43.611706
-5.2363253,1.0,True,17.418169260025024,,1.3956176,29.086933,4.1286755,11.0,79.96866,9.999906,,5.909090909090909,1961,-1.0,11.0,9.999906,1.2017473,-35781.74,23.9095,330.34555,4176.944,18,-4717.787,,11,99.94541,1,2978.9097,1.0,1.0,385,0.44486997,[-0.422 -0.9    0.348  1.766],49.0636896303157,0.41894197,1.0,19.976757,-5.2363253,49.063686
-3.279299,1.4107579,True,17.935283660888672,,103562.63,10.009348,1139115.5,7.7972274,30.015526,9.998941,,4.0,2005,-1.0,7.7972274,9.998941,327470.56,-88243960000000.0,12.059762,4.117999e+22,165516700.0,18,-2499.3923,,11,49.980316,2,682.2121,1.0,1.4107579,396,0.2936778,[-0.193 -1.583  0.95   2.111],29.974138496317952,0.41894197,1.4107579,19.96479,-2.4012613,29.974138
-5.8259306,1.0,True,18.399635791778564,,830510.44,24.53818,9068238.0,11.0,59.987984,9.999858,,4.454545454545454,2054,-1.0,11.0,9.999858,2605069.0,-9.231532e+19,18.268934,1.1731333e+34,2979445200.0,19,-2377.9001,,11,69.97269,1,1525.5833,1.0,1.0,407,0.16084212,[-0.198 -1.293  0.944  2.519],34.522881502625914,0.41894197,1.0,9.984702,-5.8259306,34.522884
-15.367958,4584208.0,True,18.819457292556763,,1.420304,16.35936,7.51524,2.3995422e-06,29.996851,9.999899,,3.6363636363636362,2094,-1.0,2.3995422e-06,9.999899,2.2536595,-inf,8.811728,inf,1196.8931,19,-inf,,11,39.982693,2,1196.8931,1.0,4584208.0,418,1.9765911e-11,[-0.187 -0.961  0.975  2.892],26.345202256258744,0.41894197,4584208.0,9.985842,-3.692129,26.345203
-3.5920186,1.0,True,19.116309642791748,,214002.73,22.72013,2351335.5,11.0,50.000355,9.999611,,4.2727272727272725,2141,-1.0,11.0,9.999611,675884.06,-3.2783327e+17,15.426359,2.7386926e+29,192840350.0,20,-1934.2572,,11,59.988663,1,1307.8145,1.0,1.0,429,0.33106562,[-0.187 -0.961  0.975  2.892],32.70843920485818,0.41894197,1.0,9.988309,-3.5920186,32.70844
-31.203367,161960780000000.0,True,19.43978261947632,,0.18759216,17.272713,0.9362132,6.791768e-14,39.98864,9.999826,,3.727272727272727,2182,-1.0,6.791768e-14,9.999826,0.29648033,-inf,15.422032,inf,28.646915,20,-inf,,11,49.971737,2,28.646915,1.0,161960780000000.0,440,4.994225e-26,[-0.188 -0.66   0.994  3.29 ],27.255809780301547,0.41894197,161960780000000.0,9.983097,-2.8876562,27.25581
-1.9241099,1.0,True,19.74244999885559,,691285.75,14.537839,7595512.0,11.0,29.996685,9.999955,,4.454545454545454,2231,-1.0,11.0,9.999955,2183309.2,-2.9154304e+20,7.818029,4.4946976e+35,1105174400.0,21,-1687.7617,,11,49.980972,1,1252.8989,1.0,1.0,451,0.833948,[-0.188 -0.66   0.994  3.29 ],34.52212744193112,0.41894197,1.0,19.984287,-1.9241099,34.52213
-20.248363,1299579400000.0,True,20.12098789215088,,8.469227,20.90216,91.04097,8.464277e-12,39.988785,9.999516,,4.090909090909091,2276,-1.0,8.464277e-12,9.999516,26.11432,-inf,9.95681,inf,7515.678,21,-inf,,11,49.97538,2,7515.678,1.0,1299579400000.0,462,6.7392324e-18,[-0.132 -0.975  1.138  2.934],30.888754481561776,0.41894197,1299579400000.0,9.986593,-7.315234,30.888756
-3.957791,1.0,True,20.510226011276245,,2194038.2,7.277026,23743346.0,11.0,29.997839,9.999511,,3.727272727272727,2317,-1.0,11.0,9.999511,6815404.5,-4.448242e+18,9.614745,1.0469095e+32,1971488400.0,22,-1269.9318,,11,49.974148,1,835.1876,1.0,1.0,473,0.2331749,[-0.132 -0.975  1.138  2.934],27.253333781840805,0.41894197,1.0,19.976309,-3.957791,27.253334
-20.182476,13090916000000.0,True,20.935607433319092,,0.0072119157,13.628897,0.058002878,8.4027734e-13,29.976873,9.999463,,4.363636363636363,2365,-1.0,8.4027734e-13,9.999463,0.017179359,-inf,8.807537,inf,3.849925,22,-inf,,11,49.966362,2,3.849925,1.0,13090916000000.0,484,2.9210545e-16,[-0.127 -0.677  1.145  3.335],33.61838502817573,0.41894197,13090916000000.0,19.989489,-7.576213,33.618385
-4.9890523,1.0,True,21.27565884590149,,126.49343,29.976677,1317.0245,11.0,49.974243,9.998727,,4.0,2409,-1.0,11.0,9.998727,376.79977,-34714630.0,14.762491,6300970500.0,205091.23,23,-1551.2783,,11,49.974243,1,1116.5322,1.0,1.0,495,0.31672296,[-0.127 -0.677  1.145  3.335],29.97667582736692,0.41894197,1.0,,-4.9890523,29.976677
-10.620848,1092.1086,True,21.66508197784424,,1.8386002,14.549566,19.698946,0.010072258,39.997616,9.999442,,4.454545454545454,2458,-1.0,0.010072258,9.999442,5.648424,-64357505000000.0,10.753921,1.0564795e+22,6493.0547,23,-64357505000000.0,,11,59.973972,2,6493.0547,1.0,1092.1086,506,3.940528e-06,[-0.138 -0.539  1.135  3.543],34.52592067104171,0.41894197,1092.1086,19.976357,-4.9115067,34.525925
-3.758617,1.0,True,22.05352807044983,,0.8527905,10.911593,1.2687777,11.0,30.005465,9.999813,,4.090909090909091,2503,-1.0,11.0,9.999813,0.34138983,-1590.1548,10.834312,2.5996554,889.00195,24,-1506.2661,,11,49.98111,1,1071.4039,1.0,1.0,517,0.3051054,[-0.138 -0.539  1.135  3.543],30.887238463801904,0.41894197,1.0,19.975645,-3.758617,30.88724
-5.201351,1.7659264,True,22.343775987625122,,4191371.0,14.550329,41819844.0,6.2290254,30.011276,9.999913,,4.454545454545454,2552,-1.0,6.229025,9.999913,11932622.0,-6.4125944e+17,11.566922,2.1732383e+30,6720805400.0,24,-8330.323,,11,49.98832,2,3201.7515,1.0,1.7659265,528,0.38058376,[ 0.4   -0.766  1.946  3.574],34.52737289663175,0.41894197,1.7659264,19.977043,-5.3745937,34.52737
-5.2082376,1.0,True,22.60774564743042,,1075.9875,15.456174,11202.387,11.0,49.987946,9.99992,,3.5454545454545454,2591,-1.0,11.0,9.99992,3203.7542,-8.097215e+16,14.988041,1.6730916e+28,1002094.06,25,-1497.6206,,11,59.96756,1,871.6207,1.0,1.0,539,0.2737161,[ 0.392 -0.479  1.932  3.983],25.435788687836933,0.41894197,1.0,9.979614,-5.2082376,25.43579
-21.835804,221625190000.0,True,22.925259828567505,,0.56156677,18.177044,5.8442016,4.9633346e-11,29.995918,9.999641,,3.8181818181818183,2633,-1.0,4.9633346e-11,9.999641,1.6711857,-inf,9.354612,inf,497.54684,25,-inf,,11,39.984116,2,497.54684,1.0,221625190000.0,550,1.3458055e-16,[ 0.343 -0.719  1.89   3.549],28.165241807372524,0.41894197,221625190000.0,9.988196,-4.9253345,28.165241
-5.0445213,1.0,True,23.30894708633423,,43.423374,12.736847,404.65588,11.0,30.010078,9.999925,,4.2727272727272725,2680,-1.0,11.0,9.999925,114.91374,-1305918300.0,10.519448,9019550000000.0,65622.81,26,-1615.075,,11,49.978058,1,1180.2645,1.0,1.0,561,0.06401295,[ 0.343 -0.719  1.89   3.549],32.70482649240444,0.41894197,1.0,19.96798,-5.0445213,32.704826
-7.913474,28.580605,True,23.65418314933777,,0.70219433,19.089575,3.7738771,0.3848764,39.986034,9.999656,,3.909090909090909,2723,-1.0,0.38487643,9.999656,1.1015742,-325612830.0,12.396703,561221600000.0,520.29767,26,-326677730.0,,11,49.968384,2,518.54675,1.0,28.580603,572,0.00032800366,[ 0.346 -0.576  1.897  3.753],29.071923407939348,0.41894197,28.580605,9.982349,-4.5307794,29.071922
