EpThisIter,entloss,J_hat,EpisodesSoFar,meankl,DiscEpRewMean,Step_size,Var_J,EpLenMean,TimestepsSoFar,TimeElapsed,optimgain,surrgain,SampleRenyi2,entropy,EpRewMean,ev_tdlam_before
100,,62.779579162597656,14200,0.0108237,62.7131213764,1.0,0.18934470415115356,500.0,7100000,10802.28248667717,0.00475427,0.00475427,7372.23,0.528062,179.9437985,0.888447001576
100,,63.50691223144531,14300,0.0100329,63.0645860824,1.0,0.01803155057132244,500.0,7150000,10895.80497121811,0.00423688,0.00423688,28741.7,0.519795,180.998469347,0.919774673879
100,,62.84101104736328,14400,0.0105982,62.6947023828,1.0,0.0025310837663710117,500.0,7200000,10992.469571590424,0.0054709,0.0054709,58354.6,0.545351,179.669165776,0.875486344099
100,,62.7719841003418,14500,0.00922082,62.7317919242,1.0,0.055670078843832016,500.0,7250000,11087.764285564423,0.00478934,0.00478934,683.133,0.53786,179.638684739,0.870997428894
100,,64.00267791748047,14600,0.00990257,62.8401127747,1.0,0.00011724566138582304,500.0,7300000,11183.419484615326,0.00525954,0.00525954,5072.67,0.554444,179.533883611,0.864739790559
100,,63.21538543701172,14700,0.00923057,62.8300479321,1.0,0.021967284381389618,500.0,7350000,11277.805397987366,0.00496586,0.00496586,1033.18,0.550782,180.159213264,0.902129381895
100,,62.70390701293945,14800,0.00911,62.695132513,1.0,0.032280586659908295,500.0,7400000,11375.87764263153,0.00583083,0.00583083,4968.87,0.537354,179.327203317,0.882166676223
100,,62.18855285644531,14900,0.00999927,62.9030250575,1.0,0.0033833070192486048,500.0,7450000,11471.570372581482,0.0041358,0.0041358,19078.6,0.554936,180.327842078,0.895848579705
100,,62.765995025634766,15000,0.0102133,62.8042831695,1.0,0.06684020906686783,500.0,7500000,11566.825993537903,0.0042354,0.0042354,23836.3,0.534442,179.951368458,0.873372092843
100,,62.78775405883789,15100,0.00948059,62.8290176097,1.0,0.022651273757219315,500.0,7550000,11663.007315397263,0.00507902,0.00507902,85904.2,0.527041,180.133449009,0.883115872741
100,,62.743064880371094,15200,0.00989497,62.9405963144,1.0,0.03176392242312431,500.0,7600000,11760.13332080841,0.00546831,0.00546831,7919.37,0.532771,180.167052864,0.880916193128
100,,63.21794509887695,15300,0.00979434,62.7912624203,1.0,0.062465619295835495,500.0,7650000,11855.61134839058,0.00467272,0.00467272,13534.4,0.491471,180.176898853,0.894839413464
100,,63.3629264831543,15400,0.0105503,62.9985244685,1.0,0.010111456736922264,500.0,7700000,11951.035992145538,0.00498598,0.00498598,21169.4,0.454829,180.402614006,0.889433898032
100,,62.759281158447266,15500,0.0123664,62.9602459179,1.0,0.21548035740852356,500.0,7750000,12048.655359983444,0.00499283,0.00499283,43443.0,0.439703,180.729873158,0.910997599363
100,,62.7252197265625,15600,0.00953527,62.8730142247,1.0,0.03874208405613899,500.0,7800000,12146.004103899002,0.00472229,0.00472229,165088.0,0.434972,180.125445023,0.898373350501
100,,62.6467170715332,15700,0.00968138,62.874145134,1.0,0.07520616054534912,500.0,7850000,12242.174048662186,0.00491863,0.00491863,14140.9,0.436773,179.794149428,0.88990816474
100,,63.10688400268555,15800,0.0102571,62.7476838144,1.0,0.003716853680089116,500.0,7900000,12337.245295286179,0.00488112,0.00488112,5007.84,0.393555,179.479035212,0.897454857826
100,,62.64362335205078,15900,0.01162,62.967610877,1.0,0.10717236250638962,500.0,7950000,12433.317929983139,0.00614174,0.00614174,78264.0,0.415265,180.006351033,0.903725273907
100,,63.26058578491211,16000,0.00895017,62.9414186717,1.0,0.07752837240695953,500.0,8000000,12528.163481712341,0.00447266,0.00447266,3100.07,0.445645,180.162587133,0.89438676089
100,,63.59218215942383,16100,0.00939332,62.8724809187,1.0,0.032892320305109024,500.0,8050000,12625.36604642868,0.0044152,0.0044152,101100.0,0.449708,180.418406727,0.911548480392
100,,63.28142547607422,16200,0.00971994,62.9312301955,1.0,0.09118998050689697,500.0,8100000,12725.55370426178,0.00443033,0.00443033,27576.8,0.469481,180.990420781,0.93093188107
100,,63.0714111328125,16300,0.00997799,62.8239557015,1.0,0.03666679188609123,500.0,8150000,12824.175897598267,0.00506633,0.00506633,97614.8,0.443341,179.673267093,0.914370268583
100,,62.48294448852539,16400,0.00963446,62.8774604315,1.0,0.04947751760482788,500.0,8200000,12973.07067322731,0.00481653,0.00481653,12365.5,0.446448,179.64350199,0.902946792543
100,,63.95949172973633,16500,0.0104344,63.1119235427,1.0,0.06282278895378113,500.0,8250000,13071.756494283676,0.00477103,0.00477103,14069.2,0.426606,180.943376663,0.924014687538
100,,62.722835540771484,16600,0.0102044,63.0104583374,1.0,0.020925384014844894,500.0,8300000,13181.614020109177,0.00495224,0.00495224,36034.8,0.464106,180.418306411,0.912203490734
100,,62.31509780883789,16700,0.0103191,63.0115094204,1.0,0.02964433841407299,500.0,8350000,13286.519766330719,0.00496994,0.00496994,3875.12,0.41228,180.337545844,0.890658311546
100,,63.62092208862305,16800,0.0101273,63.0762749535,1.0,0.08755610138177872,500.0,8400000,13383.689735889435,0.00464165,0.00464165,16510.2,0.350098,180.402112528,0.905279912055
100,,63.280826568603516,16900,0.00992414,63.1573361908,1.0,0.014210999943315983,500.0,8450000,13482.533142089844,0.00442597,0.00442597,5243.09,0.31238,181.012532543,0.90543410182
