MaxIW,Weights,EpThisIter,EpisodesSoFar,J_sample_variance,InitialReturnMax,ReturnStepMax,InitialReturnMean,MinIW,EmpiricalD2,Bound,MeanIW,InitialReturnStd,MinD2w0t,MaxD2w0t,StdIW,ReturnStepMaxmin,TimestepsSoFar,MeanD2w0t,InitialReturnMin,Iteration,ReturnMeanIW,EntropyCoefficient,EpRewMean,MeanEntropy,StdD2w0t,EpLenMean,TimeElapsed,InitialBound
445.66898,[-0.991 -0.829 -0.366 -0.509 -0.64 ],100,3800,2131.5342,20.44461,100.0,-1.5830993e-06,4.2822104e-12,241139200.0,12.1816225,1.0761262,8.080799,,994689600.0,13.140573,98.622665,931757,12685494.0,-23.54852,38,4.598714,10.0,-84.42168859902392,0.7582909,52641936.0,447.46,1868.9539222717285,5.122862
96.06012,[-0.997 -0.797 -0.376 -0.517 -0.661],100,3900,2720.9849,30.407711,100.0,-2.861023e-06,9.892336e-06,7886.6235,18.592886,1.0014393,15.780104,,41210.234,3.5641267,98.53845,966528,774.28143,-47.369095,39,11.09492,10.0,-80.24264369506108,0.7497966,2714.5723,347.71,1936.7626540660858,8.646145
1975.3776,[-0.997 -0.757 -0.37  -0.511 -0.669],100,4000,79072.266,33.299953,100.0,3.8146973e-07,2.3934025e-28,inf,37.250275,0.3929912,16.609701,,inf,12.893014,98.405014,995449,inf,-43.79982,40,29.920633,10.0,-86.03818771866283,0.7329639,nan,289.21,1993.429955482483,13.166977
17.66832,[-1.045 -0.8   -0.334 -0.518 -0.686],100,4100,148.64474,24.55168,100.0,1.4305115e-07,0.0046444037,10.688811,9.747086,0.9976142,10.344901,,25.176949,1.3913281,98.54607,1034476,3.1843944,-32.01905,41,2.6431231,10.0,-88.5789539445311,0.71039623,3.4537685,390.27,2069.3823630809784,8.340411
82321.06,[-1.053 -0.77  -0.328 -0.504 -0.709],100,4200,801348740.0,22.558311,100.0,6.4849854e-07,9.04023e-27,8.782729e+24,2838.8901,16.575308,12.413187,,5.906516e+26,797.8244,98.46748,1069884,1.31527105e+23,-39.326057,42,2833.3464,10.0,-94.27725854463075,0.5543755,inf,354.08,2139.041626214981,10.04654
41.290592,[-1.011 -0.681 -0.271 -0.468 -0.865],100,4300,537.99054,25.102055,100.0,1.4781951e-06,0.0006356228,60.069656,16.967365,0.7736794,15.062526,,326.49136,1.6675708,98.30051,1099337,10.297763,-35.040916,43,11.513265,10.0,-103.00996374578706,0.5454101,25.846388,294.53,2199.324375629425,13.268792
1853.2822,[-1.038 -0.689 -0.279 -0.461 -0.874],100,4400,43756.07,27.265133,100.0,1.6784668e-06,8.230913e-11,1205935400000000.0,28.515154,0.7620483,15.192175,,5.5545176e+16,13.301972,98.54541,1135981,31099892000000.0,-46.426346,44,22.958513,10.0,-83.29015579562649,0.555664,818733300000000.0,366.44,2269.6558561325073,4.407975
1407.3436,[-1.026 -0.641 -0.261 -0.414 -0.863],100,4500,92548.99,29.013546,100.0,-3.33786e-07,2.2924017e-25,2.5908978e+34,43.845257,0.913047,9.543127,,2.0406015e+36,17.677368,98.69307,1184476,5.3452425e+32,-42.456806,45,38.33013,10.0,-74.42205326587151,0.5515126,inf,484.95,2363.162659406662,2.166368
23184.451,[-1.022 -0.637 -0.292 -0.428 -0.867],100,4600,74304940.0,24.128971,100.0,2.4414062e-06,4.6232313e-22,inf,867.1401,24.784935,13.771329,,inf,567.01874,98.514206,1219959,nan,-49.255898,46,861.3343,10.0,-86.18761327295454,0.5805804,nan,354.83,2431.3624110221863,8.723998
2008.4878,[-1.002 -0.641 -0.325 -0.411 -0.838],100,4700,2446186.8,25.436394,100.0,2.0885468e-06,,inf,152.88794,1.0275867,12.172831,,inf,29.517155,98.47583,1254324,nan,-38.983803,47,146.75986,10.0,-90.0651736228023,0.61280835,nan,343.65,2498.6591663360596,9.046353
