Iteration,TimeElapsed,InitialBound,InitialReturnMax,EpRewMean,Bound,TimestepsSoFar,MeanIW,EmpiricalD2,InitialReturnMean,StdIW,EpThisIter,InitialReturnMin,EpLenMean,EpisodesSoFar,InitialReturnStd,MinIW,MaxIW,ReturnMeanIW,J_sample_variance,Weights
76,1242.9233872890472,92.66523,3.7111678,-115.8239710176852,182.4855,348867,1.9292331,8948.082,3.0994414e-07,9.271236,100,-9.520172,40.89,7600,2.4234185,2.9489716e-05,109.3057,182.4855,786975.94,[-0.277 -1.289 -0.766 -0.559 -1.235]
77,1257.1009323596954,107.205154,4.3565645,-114.12667489344015,132.22984,352673,1.211565,280.1408,4.5776366e-07,3.8534527,100,-12.020453,38.06,7700,3.0013444,8.4790656e-05,42.62668,132.22984,181787.88,[-0.266 -1.278 -0.796 -0.544 -1.256]
78,1270.7219624519348,113.17729,4.658828,-113.81350848744856,246.42685,356499,2.0901124,1928.3419,-1.6212464e-07,12.935384,100,-9.183372,38.26,7800,3.313661,2.0363637e-05,128.34158,246.42685,2278525.8,[-0.279 -1.279 -0.816 -0.568 -1.255]
79,1285.9903447628021,99.93224,4.711122,-115.58554384920991,111.55556,360471,1.1085155,3.3525043,-2.0980835e-07,1.267403,100,-10.78511,39.72,7900,2.789357,0.014511693,8.300505,111.55556,17182.014,[-0.305 -1.313 -0.822 -0.556 -1.258]
80,1299.2571291923523,117.412025,4.240825,-114.34745047274617,486.61594,364214,3.9645112,20096079000000.0,-4.6253206e-07,38.387436,100,-10.784447,37.43,8000,3.3299615,6.6093735e-11,417.45364,486.61594,21918392.0,[-0.3   -1.32  -0.838 -0.559 -1.253]
81,1315.1668829917908,119.27822,5.0194707,-113.94051492746567,153.59528,367917,1.2665436,7.299508,9.012222e-07,1.9195246,100,-11.663284,37.03,8100,3.4639077,0.009234117,15.358736,153.59528,56972.383,[-0.258 -1.31  -0.861 -0.513 -1.279]
82,1328.3435413837433,122.41159,4.4367547,-115.35447587492256,352.06808,371604,2.788815,10940.09,-7.6293944e-08,17.131582,100,-16.628407,36.87,8200,3.8295197,1.1435893e-05,208.7295,352.06808,4670552.0,[-0.254 -1.31  -0.859 -0.532 -1.277]
83,1343.3666219711304,109.974396,4.3310437,-114.30327030353833,303.6211,375478,2.825015,49219.97,6.2465665e-07,23.48736,100,-10.681574,38.74,8300,3.5291493,6.406056e-07,321.78967,303.6211,6377063.5,[-0.259 -1.342 -0.86  -0.575 -1.261]
84,1359.7221496105194,85.04186,3.9052334,-115.47499396195703,141.3203,379693,1.6121463,157.76141,-3.7193297e-07,6.838555,100,-14.863588,42.15,8400,2.4605942,0.0005880036,106.6056,141.3203,378375.75,[-0.249 -1.352 -0.84  -0.546 -1.302]
85,1375.020115852356,106.86217,4.283108,-116.01567367359544,131.25728,383507,1.2153935,56.09283,7.1048737e-07,3.85472,100,-8.090404,38.14,8500,2.1798708,0.0030691167,70.03484,131.25728,182214.64,[-0.251 -1.394 -0.849 -0.54  -1.292]
86,1389.7085247039795,98.63195,4.085097,-115.30647402699523,867.04114,387444,8.410119,16772585000000.0,-2.8610229e-08,80.063805,100,-8.36391,39.37,8600,2.2572298,6.2960116e-11,828.30054,867.04114,66970696.0,[-0.268 -1.401 -0.865 -0.563 -1.296]
87,1405.6069254875183,90.905495,4.234414,-117.14634046869087,598.806,391533,6.168048,73339.65,-9.536743e-08,61.545277,100,-6.538164,40.89,8700,2.0262573,9.26845e-07,994.79565,598.806,34035630.0,[-0.214 -1.445 -0.83  -0.544 -1.282]
88,1421.5841972827911,85.98802,4.4950676,-116.7699423400098,256.7148,395792,2.8705888,51285.703,3.4332277e-07,24.08992,100,-12.055946,42.59,8800,2.791141,7.524515e-06,705.5049,256.7148,4578022.0,[-0.194 -1.452 -0.83  -0.586 -1.306]
89,1436.3886544704437,100.45839,3.6194544,-115.89667795203678,119.58051,399763,1.189017,8.781826,-1.2397766e-07,2.2289824,100,-13.04327,39.71,8900,2.7938497,0.009732099,18.569519,119.58051,52575.945,[-0.201 -1.438 -0.864 -0.586 -1.296]
90,1450.31041264534,114.77597,4.5083885,-114.93827436645101,409.32648,403567,3.4374876,3285176.0,-7.6293944e-08,32.179752,100,-11.0064945,38.04,9000,3.3378181,7.817492e-08,476.63858,409.32648,14910093.0,[-0.215 -1.437 -0.886 -0.59  -1.297]
91,1466.3519942760468,127.1626,4.6225395,-114.28945424935733,847.88934,407184,6.3775764,3043050500.0,5.9604645e-07,61.866882,100,-14.69373,36.17,9100,3.906188,1.0998214e-08,1521.9408,847.88934,66479316.0,[-0.214 -1.428 -0.922 -0.561 -1.312]
92,1482.076413154602,134.92787,5.323282,-114.89777837698188,605.7258,410726,4.34088,150541090.0,-6.580353e-07,38.96261,100,-14.367298,35.42,9200,3.9680338,5.8495507e-06,705.1501,605.7258,28975810.0,[-0.171 -1.409 -0.913 -0.513 -1.332]
93,1497.1381690502167,147.14561,5.41647,-114.18663506825716,358.66867,414099,2.3561304,168.68254,-7.4386594e-07,10.387802,100,-12.886831,33.73,9300,3.823367,0.0025850777,166.19489,358.66867,2538040.2,[-0.141 -1.425 -0.955 -0.52  -1.291]
94,1512.01060795784,146.0279,5.6740694,-114.0951439205459,182.73817,417469,1.2379236,1196.1847,2.8610229e-08,5.8749757,100,-13.466492,33.7,9400,3.7789147,3.90218e-05,55.841015,182.73817,770255.6,[-0.178 -1.398 -0.979 -0.512 -1.283]
95,1525.3414752483368,146.8727,5.046623,-114.88839913095835,343.97397,420853,2.3837929,7238.266,1.1062622e-06,18.336565,100,-11.9965,33.84,9500,3.9592829,3.087008e-05,197.56046,343.97397,6873471.5,[-0.174 -1.414 -0.978 -0.484 -1.283]
96,1538.181342124939,147.7359,4.4690876,-113.67201979525005,408.80273,424205,2.6521668,7539.753,-4.1007996e-07,23.373646,100,-14.783329,33.52,9600,3.9116066,2.112734e-06,648.5979,408.80273,12312603.0,[-0.17  -1.415 -1.002 -0.513 -1.277]
97,1552.3484914302826,156.41196,5.5653086,-113.13038165691623,195.59244,427507,1.2389877,21.458515,5.7220458e-08,2.6137698,100,-15.06973,33.02,9700,4.655267,0.00298313,24.020964,195.59244,177897.5,[-0.2   -1.439 -0.989 -0.509 -1.316]
98,1565.1284582614899,151.56038,5.0828614,-112.88415822461815,279.7284,430806,1.8135277,6911.8633,-4.1007996e-07,9.543521,100,-10.685508,32.99,9800,3.8729756,2.5882819e-06,117.35981,279.7284,2168216.5,[-0.182 -1.446 -0.988 -0.491 -1.323]
99,1579.2636845111847,157.33133,5.779216,-113.46204948512181,417.49753,434081,2.608344,39827.66,5.1498415e-07,16.800402,100,-15.563133,32.75,9900,4.33078,2.896917e-06,367.59787,417.49753,7375353.0,[-0.168 -1.411 -0.99  -0.503 -1.324]
100,1592.8066256046295,180.06721,6.2353835,-112.84137408487251,289.81934,437192,1.5718447,424.43683,1.1587143e-06,9.723959,100,-16.651814,31.11,10000,4.9890976,4.5511813e-05,133.006,289.81934,3287605.2,[-0.198 -1.382 -1.024 -0.478 -1.319]
