AvgEpLen,Bound,VarRet,VarDiscRet,VarJ,BatchSize,MaxNormIw,ESSClassic,MinNormIw,VanillaAvgRet,IterType,Delta,MinVanillaIw,VarNormIw,VarVanillaIw,AvgDiscRet,J,AvgNormIw,AvgRet,eRenyi2,EpsThisIter,AvgVanillaIw,MaxVanillaIw,ESSRenyi
500.0,-503.529,2049.78441031,2049.78441031,53.2562,200,0.0147127,164.464981384,0.000141476,-481.797823826,1,0.7,0.0282152,5.42875e-06,0.215922,-481.797823826,-470.819,0.005,-481.797823826,1.25361,100,0.997169,2.93421,159.539354943
500.0,-520.423,1787.76077302,1787.76077302,42.07,200,0.01,100.0,0.01,-480.239710776,2,0.7,1.0,3.50449e-18,,-480.239710776,-480.24,0.01,-480.239710776,1.0,100,1.0,1.0,200.0
500.0,-503.105,2461.70332708,2461.70332708,52.4666,200,0.015064,140.451135875,9.44974e-05,-477.623715644,1,0.7,0.0200241,1.06528e-05,0.478334,-477.623715644,-469.369,0.005,-477.623715644,1.40972,100,1.05951,3.19208,141.8723904
500.0,-509.808,1799.78508552,1799.78508552,42.2112,200,0.01,100.0,0.01,-472.575091826,2,0.7,1.0,3.50449e-18,,-472.575091826,-472.575,0.01,-472.575091826,1.0,100,1.0,1.0,200.0
500.0,-504.011,1661.71143892,1661.71143892,59.3758,200,0.0568959,112.312885665,0.000218038,-484.582416241,1,0.7,0.0463886,1.96166e-05,0.887936,-484.582416241,-470.842,0.005,-484.582416241,1.39802,100,1.06377,12.1049,143.059759616
500.0,-510.088,1880.22083512,1880.22083512,43.1442,200,0.01,100.0,0.01,-472.074886243,2,0.7,1.0,3.50449e-18,,-472.074886243,-472.075,0.01,-472.074886243,1.0,100,1.0,1.0,200.0
500.0,-498.665,1839.90871786,1839.90871786,45.2562,200,0.0145597,179.224707955,0.00232695,-474.172478568,1,0.7,0.459127,2.9125e-06,0.113385,-474.172478568,-470.47,0.005,-474.172478568,1.10025,100,0.986541,2.87275,181.776946728
500.0,-510.262,2212.48735306,2212.48735306,46.8013,200,0.01,100.0,0.01,-470.192993835,2,0.7,1.0,3.50449e-18,,-470.192993835,-470.193,0.01,-470.192993835,1.0,100,1.0,1.0,200.0
500.0,-498.422,1888.88968561,1888.88968561,54.9223,200,0.0162104,140.553584176,0.000174592,-473.909114378,1,0.7,0.0333664,1.06268e-05,0.388125,-473.909114378,-465.797,0.005,-473.909114378,1.32591,100,0.955554,3.09798,150.839844438
500.0,-512.802,2081.172713,2081.172713,45.3912,200,0.01,100.0,0.01,-475.403681922,2,0.7,1.0,3.50449e-18,,-475.403681922,-475.404,0.01,-475.403681922,1.0,100,1.0,1.0,200.0
