Iteration,EpLenMean,ReturnStepMaxmin,InitialReturnStd,ReturnStepMax,Bound,ReturnMeanIW,EpisodesSoFar,StdD2w0t,TimestepsSoFar,MeanD2w0t,MinIW,MaxIW,InitialReturnMean,MeanIW,InitialBound,MinD2w0t,Weights,EmpiricalD2,J_sample_variance,StdIW,InitialReturnMin,EpThisIter,TimeElapsed,EpRewMean,InitialReturnMax,MaxD2w0t
61,16.48,86.25343,2.918748,100.0,587.3319,1024.9911,6100,1.167684,101725,0.13509272,0.0036338237,79.077286,7.400513e-06,1.9548,386.30115,,[-0.707  0.642 -0.872  0.219 -0.551],14.838319,15982785.0,8.173331,-4.412224,100,610.724044084549,-107.95043879612797,7.547104,30.256899
62,16.4,86.192245,2.54579,100.0,424.07977,615.31854,6200,0.2224181,103365,0.040187847,0.13647285,5.4113307,-8.69751e-06,1.1024339,390.12488,,[-0.693  0.677 -0.892  0.209 -0.592],1.3129394,135005.3,0.6823495,-4.060135,100,621.9881935119629,-108.06868332917806,6.846855,2.4736073
63,16.45,86.27489,3.0069711,100.0,446.47256,679.93085,6300,0.30916625,105010,0.048840683,0.014247593,14.9227915,1.0299683e-05,1.2426502,382.45987,,[-0.709  0.705 -0.857  0.194 -0.609],3.4955497,923487.8,1.9290497,-4.529953,100,632.0169084072113,-107.57984930066968,8.678764,9.249313
64,16.7,86.38392,2.8960762,100.0,490.7674,717.865,6400,0.34544462,106680,0.053182423,0.0054018022,20.208475,5.9509275e-06,1.3314363,379.29895,,[-0.754  0.683 -0.848  0.176 -0.638],3.402465,1121299.2,2.1347628,-4.0969543,100,642.5947680473328,-108.27889461179814,8.871468,10.473861
65,16.1,85.93102,2.669819,100.0,537.05005,823.71045,6500,0.4384797,108290,0.06452495,0.014060817,54.464626,-3.4332274e-06,1.4659853,402.48352,,[-0.733  0.698 -0.871  0.204 -0.68 ],3.2529283,2804206.5,3.1637857,-3.7050247,100,653.36057472229,-108.0482396009499,8.309959,14.72806
66,16.08,85.97735,2.7366493,100.0,435.4803,691.4931,6600,0.36609387,109898,0.05904708,0.058167912,22.331703,1.0681152e-06,1.2268335,400.97205,,[-0.682  0.707 -0.863  0.248 -0.742],2.4102464,1461454.2,2.2918746,-3.893425,100,664.4827938079834,-107.62471960661834,8.167877,6.4463873
67,16.2,86.07291,2.9534142,100.0,412.75415,590.10626,6700,0.18738484,111518,0.034226377,0.33958697,2.8052855,3.0517577e-07,1.0393186,397.9818,,[-0.648  0.732 -0.831  0.277 -0.737],1.1950806,46257.305,0.42049506,-4.267929,100,674.6109342575073,-108.0121783722992,8.106949,1.2697203
68,16.73,86.41267,2.913939,100.0,398.69867,586.50214,6800,0.20498306,113191,0.037892636,0.22526656,3.4741426,-2.2888183e-07,1.0705763,374.8745,,[-0.654  0.722 -0.827  0.273 -0.742],1.2501309,80603.77,0.55271155,-4.567543,100,683.3972091674805,-108.23941483252625,8.503632,1.6216354
69,16.74,86.42701,3.1902518,100.0,469.0158,715.61224,6900,0.35296288,114865,0.056665197,0.018826881,17.808117,2.4414062e-06,1.331595,377.57443,,[-0.67   0.735 -0.807  0.269 -0.738],4.38897,1197109.5,2.232539,-4.405388,100,692.1015403270721,-108.25233995163882,8.878098,6.0163445
70,16.45,86.22794,2.6661308,100.0,457.18042,685.57965,7000,0.27999902,116510,0.047619425,0.07705458,8.81064,-4.119873e-06,1.2349625,385.70215,,[-0.633  0.77  -0.797  0.269 -0.72 ],1.849164,512956.28,1.3651234,-4.1386337,100,703.081859588623,-108.19458408743336,9.0030365,4.8483405
71,16.22,86.03488,2.5767372,100.0,815.0571,1369.2056,7100,2.5663188,118132,0.2105836,0.00089564815,99.8313,5.569458e-06,2.5859563,398.35547,,[-0.615  0.772 -0.797  0.304 -0.725],32.71246,34883280.0,11.791218,-4.163185,100,713.1398808956146,-108.22263634773934,8.173958,136.2108
72,16.43,86.22306,2.9791586,100.0,403.28146,590.7842,7200,0.19509028,119775,0.03587389,0.39823228,2.7170615,-1.2054444e-05,1.0597817,382.16653,,[-0.544  0.786 -0.808  0.279 -0.738],1.1726646,40769.43,0.39535338,-4.144966,100,726.0342447757721,-107.91929747175276,10.684235,1.4601195
73,16.12,85.94548,2.6308517,100.0,514.3661,769.10504,7300,0.37709537,121387,0.058453042,0.06424872,17.897545,2.2888183e-07,1.3750825,402.04984,,[-0.562  0.766 -0.826  0.281 -0.735],2.4964807,1176971.9,2.126605,-4.25795,100,736.4380836486816,-108.1236042389042,8.5241165,9.621947
74,16.63,86.38307,2.5046222,100.0,407.3168,617.08276,7400,0.23868342,123050,0.042119045,0.030975902,9.272908,3.8146973e-07,1.129112,377.98822,,[-0.544  0.792 -0.803  0.319 -0.725],2.3113003,391686.2,1.2916801,-3.9610977,100,748.4836986064911,-108.09636484032015,7.9193115,3.250255
75,16.26,86.11749,2.723483,100.0,399.7906,580.7222,7500,0.18229222,124676,0.03341205,0.37238982,1.8393972,-3.7384034e-06,1.0300523,388.12567,,[-0.517  0.815 -0.803  0.329 -0.72 ],1.0582595,16291.697,0.24526034,-4.1590424,100,758.6344068050385,-107.74030949627732,9.27404,1.2127006
76,16.12,85.97226,2.6541333,100.0,607.21985,948.8988,7600,1.2915494,126288,0.088561654,0.0011597448,65.54487,-9.918213e-07,1.7315825,397.5751,,[-0.517  0.83  -0.794  0.334 -0.739],11.643061,11066248.0,6.572765,-4.111191,100,768.5348987579346,-107.86011980757645,10.218712,96.02999
77,16.61,86.31884,2.8008268,100.0,418.73407,648.54736,7700,0.31354854,127949,0.052620072,0.043445878,7.8923364,-2.9754638e-06,1.1803806,379.5629,,[-0.5    0.873 -0.797  0.377 -0.757],2.269161,459597.53,1.3136632,-4.197357,100,780.4021191596985,-108.23104717605483,7.768326,5.9469557
78,16.96,86.56676,2.9080682,100.0,430.46774,635.69464,7800,0.22848909,129645,0.04233192,0.11665073,3.9986908,3.5858154e-06,1.181286,364.12616,,[-0.5    0.88  -0.763  0.361 -0.736],1.4484938,117111.27,0.6711781,-4.1212234,100,790.5233991146088,-108.44547387492341,9.057373,1.9133178
79,16.56,86.33039,2.7921672,100.0,1645.653,2943.2134,7900,10.466662,131301,0.74663216,0.00012441723,474.36465,1.4572143e-05,5.9042225,380.3272,,[-0.512  0.876 -0.789  0.367 -0.755],67.96281,497461570.0,46.350018,-4.099579,100,801.1564857959747,-108.01182438071538,9.309921,744.04895
80,16.03,85.95015,2.5555735,100.0,396.01868,581.0381,8000,0.17900296,132904,0.032572962,0.50560355,1.7000482,9.841919e-06,1.0154707,390.83948,,[-0.486  0.876 -0.802  0.449 -0.825],1.027056,8924.422,0.17655031,-4.4175262,100,812.7330367565155,-107.48304756176911,7.7748566,1.1205531
81,16.54,86.33814,2.9563212,100.0,400.66156,721.13965,8100,0.43706113,134558,0.06675954,0.007565119,25.374702,-9.460449e-06,1.3407922,356.6659,,[-0.483  0.886 -0.794  0.452 -0.835],5.338584,2511842.5,3.2508929,-4.6654205,100,820.5098690986633,-107.73615127576576,8.046646,7.4065437
82,16.14,85.947105,2.6257277,100.0,407.5384,601.9872,8200,0.20258941,136172,0.036721885,0.10576766,3.9119375,-5.645752e-06,1.0523185,394.27124,,[-0.462  0.906 -0.802  0.449 -0.826],1.2240534,82797.43,0.5351859,-3.5415497,100,830.1622314453125,-108.46420624080956,10.949318,1.867604
83,16.56,86.318275,3.1637332,100.0,404.95258,646.59033,8300,0.2415824,137828,0.043251123,0.118939206,6.929242,3.0517577e-07,1.181436,355.13956,,[-0.458  0.918 -0.789  0.431 -0.832],2.1058288,372852.16,1.2211396,-4.390541,100,840.0447552204132,-108.00258714018429,9.975624,2.365746
