EpisodesSoFar,Bound,InitialReturnMean,MinIWNorm,InitialReturnMax,ESSClassic,InitialReturnMin,MaxIW,InitialReturnStd,J_sample_variance,ReturnMeanIW,MeanIWNorm,EmpiricalD2,TimeElapsed,MaxIWNorm,TimestepsSoFar,EpRewMean,EpLenMean,MeanIW,StdIWNorm,MinIW,EpThisIter,Iteration,InitialBound,StdIW,ESSRenyi,Weights
4700,-0.31875953,-5.340576e-07,0.009995868,9.564041,100.0,-3.310089,1.0003963,2.6119626,6.891874,4.1836873e-05,0.010000136,1.0,259.51434659957886,0.010003963,80611,-108.47286143147969,16.18,1.0000137,1.5222987e-06,0.9995869,100,47,-0.31880188,0.00015222954,100.0,[ 0.562  0.617  0.938  0.117 -0.488]
4800,-0.1150809,1.9073486e-06,0.0024079725,5.777939,85.03412,-3.4767761,2.8264594,2.361328,7.0835505,0.097978525,0.010533193,1.2237653,264.1847393512726,0.028264593,82215,-108.20981112585801,16.04,1.0533193,0.004418903,0.24079725,100,48,-0.19259611,0.44189027,81.71502,[ 0.562  0.617  0.938  0.117 -0.488]
4900,38.339363,5.264282e-06,3.4549416e-07,7.8932266,1.0936636,-3.98703,1124.5625,2.6915383,341981.28,59.107822,0.117624715,6230.7715,269.1055929660797,11.245625,83870,-108.36618584338417,16.55,11.762473,1.1185844,3.4549415e-05,100,49,-0.2631023,111.85845,0.016049378,[ 0.569  0.62   0.936  0.144 -0.496]
5000,-0.19141302,3.3569336e-06,0.01,5.7424927,100.0,-3.8319168,1.0,2.1875293,4.83362,3.4049153e-06,0.010000002,1.0,275.96264576911926,0.01,85441,-107.76440594006415,15.71,1.0,1.8626451e-09,1.0,100,50,-0.19141302,,100.0,[ 0.489  0.522  0.928  0.129 -0.521]
5100,0.85270786,8.010864e-06,0.00050830335,7.146454,23.637196,-4.2744446,13.88117,2.8449905,51.400795,1.4761335,0.012372443,6.849054,280.87539982795715,0.1388117,87035,-107.66441767859804,15.94,1.2372444,0.022238137,0.05083034,100,51,-0.23820715,2.2238138,14.600556,[ 0.489  0.522  0.928  0.129 -0.521]
5200,-0.15307027,-1.9073486e-06,0.0034341163,8.115532,87.29624,-4.649269,2.175171,2.6718102,7.493979,0.1510736,0.009495264,1.264057,286.7718985080719,0.02175171,88708,-108.10867455899432,16.73,0.9495264,0.0036222262,0.34341162,100,52,-0.2705196,0.36222264,79.11035,[ 0.465  0.487  0.91   0.125 -0.463]
5300,-0.25740975,-9.155274e-06,0.00999972,7.722069,100.0,-4.6706467,1.0000362,2.9289749,8.665573,-7.4394047e-06,0.009999996,1.0,291.094172000885,0.010000362,90354,-107.8457695373905,16.46,0.9999995,1.231188e-07,0.99997205,100,53,-0.25741145,1.23142145e-05,100.0,[ 0.459  0.474  0.906  0.131 -0.463]
5400,-0.18377392,7.171631e-06,0.009998436,5.5138626,100.00002,-4.021652,1.0001469,2.4468048,6.0473332,2.1517277e-05,0.009999929,1.0,295.3168706893921,0.0100014685,92002,-108.25685131942397,16.48,0.9999931,5.6284483e-07,0.9998436,100,54,-0.18378827,5.628739e-05,100.0,[ 0.459  0.474  0.906  0.131 -0.463]
5500,60.085423,-9.155273e-07,5.351385e-12,7.498932,1.1456854,-4.099037,944.5044,2.5604086,501719.44,70.50715,0.10111442,1738.2933,299.813157081604,9.445044,93658,-108.38075431390885,16.56,10.111442,0.93924356,5.3513854e-10,100,55,-0.24996532,93.924355,0.05752769,[ 0.459  0.474  0.906  0.131 -0.463]
5600,-0.28235012,3.0517579e-06,0.01,8.470596,100.0,-4.2512054,1.0,3.0770109,9.563633,3.0845404e-06,0.010000002,1.0,306.3127338886261,0.01,95293,-107.73274319746837,16.35,1.0,1.8626451e-09,1.0,100,56,-0.28235012,,100.0,[ 0.642  0.369  1.091  0.161 -0.653]
5700,-0.016863912,-1.5258789e-07,0.0017206484,9.883522,67.880226,-3.362053,4.005881,2.6418965,17.56277,0.4073376,0.01114158,1.6579194,311.1224467754364,0.040058807,96909,-108.71348714194102,16.16,1.1141578,0.007664101,0.17206484,100,57,-0.3294509,0.7664101,60.316563,[ 0.642  0.369  1.091  0.161 -0.653]
5800,-0.20144626,-4.9591063e-06,0.0017333959,8.789856,77.270615,-3.6052933,3.8209193,2.738482,9.504723,0.13772348,0.010211455,1.3400261,315.9606647491455,0.038209192,98530,-108.30861533848909,16.21,1.0211456,0.005538272,0.17333959,100,58,-0.29300016,0.5538272,74.62541,[ 0.651  0.371  1.048  0.138 -0.636]
5900,-0.25081277,-2.9754638e-06,0.009999989,7.5242996,99.99998,-4.175209,1.0000017,2.9732406,8.929457,-2.7753413e-06,0.010000002,1.0,320.8905305862427,0.010000017,100147,-107.83483858196358,16.17,1.0,4.407823e-09,0.9999989,100,59,-0.25081295,4.0832444e-07,100.0,[ 0.653  0.379  1.051  0.122 -0.637]
6000,-0.26558018,1.9073486e-06,0.009992806,7.96978,99.99998,-4.1228943,1.0009282,2.950048,8.790613,7.918477e-05,0.009999997,1.0000001,325.52599692344666,0.010009281,101774,-107.72508606383161,16.27,0.9999997,2.7179478e-06,0.9992807,100,60,-0.26565737,0.00027179407,99.999985,[ 0.653  0.379  1.051  0.122 -0.637]
6100,-0.28421608,-1.4190674e-05,0.01,8.526054,100.0,-4.3730545,1.0,2.9720302,8.922185,-1.424551e-05,0.010000002,1.0,330.3376188278198,0.01,103417,-107.95538853961088,16.43,1.0,1.8626451e-09,1.0,100,61,-0.28421608,,100.0,[ 0.653  0.379  1.051  0.122 -0.637]
