MaxIW,Bound,ReturnStepMaxmin,MinIW,MeanIW,EpRewMean,ESSClassic,MaxIWNorm,ESSRenyi,TimestepsSoFar,InitialReturnMax,InitialReturnMean,ReturnStepMax,InitialReturnStd,InitialBound,Weights,ReturnMeanIW,MinIWNorm,StdIW,EmpiricalD2,MeanIWNorm,Iteration,J_sample_variance,TimeElapsed,EpLenMean,EpThisIter,EpisodesSoFar,StdIWNorm,InitialReturnMin
130.44052,6.712894,100.0,0.014058886,2.1430657,-152.47207975349872,2.6705792,1.3044052,4.3971434,188877,15.869202,5.41687e-06,100.0,5.2428885,-0.52896804,[ 0.416 -0.779  0.13  -0.129 -0.217],9.235495,0.00014058886,12.93763,22.742039,0.02143066,37,7489.207,357.4749517440796,63.49,100,3700,0.12937632,-6.692375
82.14006,7.487049,99.95651,0.0022297485,1.6509546,-159.11825567737407,3.8495798,0.8214006,4.1113644,196283,18.929405,-5.1116945e-06,100.0,6.7049627,-0.6309853,[ 0.418 -0.777  0.098 -0.133 -0.135],10.598928,2.2297485e-05,8.250952,24.322826,0.016509544,38,8856.981,370.27045226097107,74.06,100,3800,0.08250951,-8.453499
154.09753,33.142147,99.74238,0.012145029,2.1972284,-162.90857181840718,2.0136628,1.5409753,2.2220516,205088,26.85733,-9.613037e-06,100.0,8.748873,-0.895254,[ 0.377 -0.773  0.071 -0.171 -0.114],39.147858,0.00012145029,15.327262,45.003456,0.021972282,39,146302.58,384.8815987110138,88.05,100,3900,0.15327261,-13.121956
46.016148,5.2925663,99.481766,0.014755959,1.3267404,-174.25487972053733,7.6261106,0.46016148,6.314211,216753,33.72165,1.0681152e-06,100.0,10.397633,-1.1240541,[ 0.268 -0.692  0.057 -0.191 -0.13 ],9.765866,0.00014755958,4.6175227,15.837292,0.0132674035,40,6366.5537,404.66462874412537,116.65,100,4000,0.046175227,-19.18328
4.965194,1.6828543,99.43121,0.01980652,0.88764787,-175.04408377946882,49.848904,0.04965194,39.277855,230074,28.391209,2.4414062e-06,100.0,11.645701,-0.94637114,[ 0.227 -0.638  0.036 -0.201 -0.103],3.1928954,0.00019806519,0.8903342,2.545964,0.00887648,41,326.89914,425.36318373680115,133.21,100,4100,0.008903342,-23.081223
7.1577806,4.635854,99.3338,0.033976723,1.058077,-167.25864574567606,41.017815,0.0715778,22.451223,243295,26.50821,-4.196167e-07,100.0,12.827166,-0.96199805,[ 0.213 -0.627  0.022 -0.212 -0.124],6.6661253,0.00033976723,1.2687948,4.4541,0.010580769,42,713.0889,447.28385305404663,132.21,100,4200,0.012687948,-28.859932
65.779854,12.748092,99.18346,0.010983699,1.5739925,-173.5984021861011,5.193609,0.6577985,2.9760785,259605,33.1008,4.3869018e-06,100.0,12.859293,-1.1033556,[ 0.192 -0.627  0.015 -0.233 -0.112],19.143894,0.00010983699,6.724915,33.601265,0.015739923,43,23081.158,474.992418050766,163.1,100,4300,0.06724914,-31.51699
86.00347,9.519533,99.26071,0.022149717,1.9140058,-174.19824406173277,4.5961843,0.8600347,11.31542,278324,26.640762,1.9073487e-07,100.0,13.184828,-1.1378167,[ 0.162 -0.656  0.01  -0.265 -0.139],12.902027,0.00022149718,8.720219,8.837498,0.019140057,44,5123.585,505.1773610115051,187.19,100,4400,0.087202184,-34.134506
29.6329,4.757479,99.03483,0.04872946,1.3264432,-179.98084076706675,13.582323,0.296329,20.869284,299274,29.82094,1.8692017e-06,100.0,13.383953,-1.3093998,[ 0.117 -0.65   0.01  -0.272 -0.098],7.6237626,0.0004872946,3.3458228,4.7917314,0.013264432,45,820.5195,538.2791748046875,209.5,100,4500,0.03345823,-39.28205
21.29843,6.46251,99.00014,0.017367313,1.032498,-184.31310578479395,16.590439,0.2129843,15.353757,326789,27.655561,-2.307892e-06,100.0,13.116491,-1.0069834,[ 0.075 -0.662  0.012 -0.284 -0.112],9.032396,0.00017367312,2.315092,6.513064,0.010324981,46,2737.6338,581.4789302349091,275.15,100,4600,0.023150917,-30.20943
