MinIW,EpisodesSoFar,EpRewMean,TimestepsSoFar,StdD2w0t,EpLenMean,ReturnStepMaxmin,InitialReturnMax,Bound,MaxD2w0t,EpThisIter,ReturnMeanIW,InitialReturnStd,MinD2w0t,MeanD2w0t,TimeElapsed,InitialBound,StdIW,InitialReturnMin,MaxIW,InitialReturnMean,EmpiricalD2,Iteration,J_sample_variance,ReturnStepMax,MeanIW,Weights
0.90079194,5400,-120.99003683211875,254774,0.2989074,49.48,99.07687,-51.270744,-375.18634,1.0032552,100,-79.042404,9.36336,,0.09905513,790.2625732421875,-375.45654,0.03485743,-96.62394,1.0886904,-79.4731,1.0014206,54,98.759155,100.0,0.9941188,[-0.371 -0.689 -0.467 -0.247  0.003]
0.90128535,5500,-124.83297765959207,259720,0.29891402,49.46,99.13923,-56.598656,-378.8795,1.0050414,100,-81.9241,8.563385,,0.09904105,805.1972696781158,-379.13092,0.051350605,-98.62477,1.1512524,-82.3963,1.0026923,55,69.92135,100.0,0.9952037,[-0.369 -0.683 -0.463 -0.247  0.002]
0.83839166,5600,-122.2557781606936,264485,0.29398665,47.65,99.13403,-61.35755,-372.3844,1.0057995,100,-81.07599,8.005711,,0.09541838,819.1792051792145,-372.65915,0.052415676,-97.9487,1.1883026,-81.56302,1.0023582,56,64.01817,100.0,0.9943907,[-0.371 -0.682 -0.462 -0.246  0.005]
0.81191087,5700,-121.63437829688773,269333,0.2966356,48.48,99.22556,-61.944145,-375.02527,1.0109959,100,-79.393234,7.5818443,,0.09719657,833.5803799629211,-375.77313,0.071016446,-95.85435,1.1721641,-80.55817,1.0048652,57,95.70712,100.0,0.9834953,[-0.376 -0.681 -0.463 -0.247  0.003]
0.79171187,5800,-122.11033005152487,274361,0.302347,50.28,99.18932,-58.194115,-375.58963,1.0145309,100,-78.01287,8.436419,,0.1010954,849.9421789646149,-376.45782,0.08627846,-98.57008,1.2479529,-79.723206,1.0091577,58,107.58469,100.0,0.9759274,[-0.384 -0.684 -0.468 -0.245  0.001]
0.74399143,5900,-122.81375136671848,279148,0.29507983,47.87,99.19004,-55.690186,-386.9214,1.0110605,100,-80.76967,8.163796,,0.09601607,864.2640807628632,-387.53067,0.07479572,-98.39276,1.2168201,-81.87744,1.0056804,59,76.78478,100.0,0.98789275,[-0.385 -0.679 -0.469 -0.244  0.007]
0.696947,6000,-121.3194032554977,283985,0.29800075,48.37,99.14632,-57.106865,-379.2404,1.0269929,100,-77.52244,9.188779,,0.09751959,880.0547432899475,-380.75284,0.095302954,-97.75531,1.329555,-80.5076,1.0142578,60,107.56923,100.0,0.9609255,[-0.393 -0.687 -0.475 -0.244  0.006]
0.8102723,6100,-121.04722510173843,289007,0.30097464,50.22,99.00014,-38.071056,-381.30078,1.0067632,100,-78.25004,9.374758,,0.10057171,895.7594678401947,-381.79944,0.06595442,-97.71263,1.1656759,-79.016525,1.0035475,61,75.6585,100.0,0.9915888,[-0.391 -0.691 -0.472 -0.249  0.007]
0.7972134,6200,-122.0943120627156,293733,0.2935071,47.26,99.233986,-55.571877,-372.01672,1.013761,100,-80.3983,8.910521,,0.094827145,910.0026459693909,-372.86905,0.079495646,-97.04042,1.1976353,-81.77293,1.0063736,62,85.10532,100.0,0.98334897,[-0.397 -0.692 -0.474 -0.249  0.005]
0.85295874,6300,-120.64688398105547,298525,0.29483038,47.92,99.18913,-58.985825,-383.3758,1.0050446,100,-79.70964,9.250572,,0.09598813,925.0680773258209,-383.7334,0.04309053,-95.73689,1.115125,-80.350685,1.0025759,63,95.57846,100.0,0.9910002,[-0.405 -0.699 -0.478 -0.25   0.007]
0.798695,6400,-122.44669003402504,303218,0.292607,46.93,99.19921,-63.074005,-370.9321,1.0157182,100,-81.03195,7.9892635,,0.09417071,939.596747636795,-371.49973,0.06688078,-98.19394,1.2008649,-82.18939,1.0063297,64,77.20276,100.0,0.9849611,[-0.402 -0.702 -0.477 -0.251  0.005]
0.8659232,6500,-121.8996354804189,307983,0.29422504,47.65,99.16928,-59.016327,-380.5332,1.0061547,100,-80.62632,8.58544,,0.09549217,954.8017885684967,-380.9828,0.050704524,-97.851006,1.1963778,-81.40835,1.0026766,65,81.42717,100.0,0.99032533,[-0.406 -0.699 -0.475 -0.252  0.004]
0.59564227,6600,-124.11713316388645,313121,0.30661398,51.38,99.124115,-60.455128,-381.30136,1.0308166,100,-76.81351,8.316404,,0.10376254,970.2444472312927,-383.46414,0.120340206,-97.08969,1.2333624,-80.68124,1.0169852,66,99.92099,100.0,0.9519191,[-0.402 -0.697 -0.47  -0.252  0.003]
0.7974316,6700,-124.08402146164288,318174,0.3021806,50.53,99.139595,-53.556335,-389.83606,1.0115699,100,-80.13588,9.345268,,0.10132154,986.4845566749573,-390.43814,0.06473817,-98.59826,1.1848142,-81.262276,1.0044292,67,109.431915,100.0,0.98393667,[-0.409 -0.696 -0.474 -0.253 -0.008]
0.7661958,6800,-121.92431706166984,323262,0.30344346,50.88,99.0685,-50.871094,-374.54895,1.0143386,100,-77.93589,9.313996,,0.102131166,1002.3938183784485,-375.3318,0.08715761,-96.390335,1.2956154,-79.34831,1.008598,68,112.75084,100.0,0.97988635,[-0.412 -0.693 -0.475 -0.254 -0.011]
0.78644675,6900,-125.58816674853209,328344,0.30306998,50.82,99.12585,-53.36669,-392.11935,1.0154932,100,-80.95884,9.253285,,0.10193854,1018.1243805885315,-392.7764,0.078535296,-98.15587,1.3300729,-82.248116,1.0074366,69,118.93289,100.0,0.9821352,[-0.418 -0.689 -0.476 -0.251 -0.006]
0.8797351,7000,-122.03718262125157,333274,0.29828808,49.3,99.17068,-57.412197,-383.10785,1.0031887,100,-80.21344,8.821217,,0.09865451,1033.5325546264648,-383.25555,0.03160105,-97.0635,1.0717663,-80.47266,1.0012558,70,86.25166,100.0,0.99648064,[-0.417 -0.689 -0.477 -0.254 -0.003]
0.86011755,7100,-121.09795575066887,338472,0.30567458,51.98,99.14766,-57.052467,-381.03464,1.0049975,100,-77.38662,9.126281,,0.1041195,1049.4101746082306,-381.3822,0.05656657,-96.386856,1.217278,-77.999504,1.0030934,71,112.445816,100.0,0.9893693,[-0.415 -0.692 -0.477 -0.255 -0.004]
0.83912706,7200,-121.44708015843396,343396,0.29868877,49.24,99.08294,-55.24154,-387.80618,1.0129565,100,-79.03592,9.33213,,0.09872088,1064.4916660785675,-388.3685,0.0765229,-98.983505,1.4012494,-80.14462,1.0055467,72,81.51633,100.0,0.9880417,[-4.137e-01 -6.893e-01 -4.767e-01 -2.555e-01  1.780e-05]
0.9179407,7300,-121.11345351340469,348485,0.30259922,50.89,99.07704,-54.730335,-374.58255,1.0028136,100,-78.46649,9.646356,,0.101860724,1079.5458121299744,-374.70575,0.035076417,-95.73994,1.1235468,-78.722275,1.0012643,73,89.741875,100.0,0.9973516,[-0.417 -0.69  -0.475 -0.256  0.001]
0.7593284,7400,-123.25130483025897,353578,0.3034451,50.93,99.12296,-60.05264,-381.14404,1.0122758,100,-79.042465,8.399409,,0.10219231,1094.999211549759,-381.77173,0.08847293,-97.67633,1.2560422,-80.22926,1.0082849,74,110.57418,100.0,0.9821501,[-0.416 -0.687 -0.473 -0.256  0.002]
0.8279985,7500,-119.96892163211628,358390,0.29548252,48.12,99.144714,-59.107727,-375.30994,1.0058528,100,-79.00254,8.934091,,0.096422024,1109.4486351013184,-375.67007,0.055438045,-96.062675,1.1866993,-79.68661,1.0035603,75,112.31774,100.0,0.98956406,[-0.414 -0.686 -0.472 -0.259  0.006]
