VanillaAvgRet,VarDiscRet,AvgVanillaIw,VarJ,AvgNormIw,IterType,AvgEpLen,AvgRet,ESSRenyi,AvgDiscRet,delta,MinVanillaIw,VarNormIw,renyi2,SamplesThisIter,BatchSize,ESSClassic,EpsThisIter,VarRet,MaxNormIw,MaxVanillaIw,VarVanillaIw,MinNormIw,J,Bound
68.7711024415,87.4153497967,0.953547,249.565,8.51557e-07,1,7.66400980993,68.7711024415,nan,68.7711024415,0.7,2.84368e-14,5.05209e-12,nan,50000,100,36.8775969589,6524,87.4153497967,0.000127247,142.487,6.33473,2.53952e-20,13023.8,74.2399
68.189318486,89.9342367166,0.957576,264.663,8.44309e-07,1,7.59878419453,68.189318486,nan,68.189318486,0.7,3.42344e-17,5.53663e-12,nan,50000,100,44.1278515638,6580,89.9342367166,0.000142431,161.539,7.12179,3.0185e-23,12949.6,73.8645
68.4732871402,90.8061653845,0.945866,261.962,8.47917e-07,1,7.63125763126,68.4732871402,nan,68.4732871402,0.7,1.16162e-18,5.49127e-12,nan,50000,100,37.0567383582,6552,90.8061653845,0.000126364,140.961,6.83321,1.04133e-24,13005.1,74.3843
68.4430695835,86.4157075068,0.949728,259.055,8.474e-07,1,7.62660158633,68.4430695835,nan,68.4430695835,0.7,2.01334e-14,5.09817e-12,nan,50000,100,40.9876662157,6556,86.4157075068,0.00027211,304.969,6.40378,1.79641e-20,12962.8,73.9863
68.3974934404,90.3515385,0.945541,259.602,8.46883e-07,1,7.62195121951,68.3974934404,nan,68.3974934404,0.7,1.67843e-15,5.27743e-12,nan,50000,100,40.0406728815,6560,90.3515385,8.77561e-05,97.9792,6.57863,1.50331e-21,12981.9,74.1641
68.4602653196,87.9077348317,0.946863,258.299,8.47659e-07,1,7.62892889838,68.4602653196,nan,68.4602653196,0.7,1.17148e-24,5.42521e-12,nan,50000,100,43.227465495,6554,87.9077348317,0.000122838,137.214,6.76937,1.04875e-30,12987.8,74.1473
68.1449772986,91.7997938371,0.944449,271.073,8.43797e-07,1,7.59416767922,68.1449772986,nan,68.1449772986,0.7,2.03506e-19,5.46795e-12,nan,50000,100,45.3023917763,6584,91.7997938371,0.000127871,143.124,6.85024,1.81818e-25,12940.4,73.8455
68.458534854,90.429787226,0.938258,259.866,8.47659e-07,1,7.62892889838,68.458534854,nan,68.458534854,0.7,1.55116e-12,5.27248e-12,nan,50000,100,38.0940560587,6554,90.429787226,0.000133913,148.225,6.45977,1.40138e-18,12990.8,74.3641
68.0440860529,91.9517978842,0.951504,272.668,8.42517e-07,1,7.58265089475,68.0440860529,nan,68.0440860529,0.7,1.81834e-25,5.70958e-12,nan,50000,100,42.7210930589,6594,91.9517978842,9.72568e-05,109.838,7.2823,1.61006e-31,12945.4,74.1411
68.6876649766,89.1854083983,0.939966,257.486,8.50514e-07,1,7.65462339253,68.6876649766,nan,68.6876649766,0.7,1.12249e-18,5.10386e-12,nan,50000,100,40.9115311559,6532,89.1854083983,0.00019653,217.2,6.2339,1.01566e-24,13017.2,74.4701
68.6479507501,87.698334802,0.944386,249.084,8.49993e-07,1,7.64993880049,68.6479507501,nan,68.6479507501,0.7,3.7752e-16,4.80965e-12,nan,50000,100,38.4636225449,6536,87.698334802,0.000107811,119.783,5.93719,3.39786e-22,12983.6,74.1918
68.6253079859,88.3069362983,0.950702,253.683,8.49733e-07,1,7.64759865402,68.6253079859,nan,68.6253079859,0.7,5.88794e-17,5.20388e-12,nan,50000,100,43.7694981353,6538,88.3069362983,9.24694e-05,103.457,6.51405,5.26261e-23,13005.4,74.142
68.5583034033,89.2560277044,0.9415,263.083,8.48954e-07,1,7.64058679707,68.5583034033,nan,68.5583034033,0.7,3.13711e-15,5.28425e-12,nan,50000,100,39.3766719308,6544,89.2560277044,0.000135484,150.254,6.49913,2.82875e-21,13015.7,74.4141
68.6656001573,88.9164058525,0.940964,255.408,8.50253e-07,1,7.65228037955,68.6656001573,nan,68.6656001573,0.7,3.86531e-16,5.31773e-12,nan,50000,100,41.8211910097,6534,88.9164058525,0.000138223,152.969,6.51291,3.49269e-22,13030.3,74.3887
68.5562147457,91.1147270227,0.949671,258.234,8.48954e-07,1,7.64058679707,68.5562147457,nan,68.5562147457,0.7,1.21875e-19,5.3419e-12,nan,50000,100,48.6628526703,6544,91.1147270227,0.000139727,156.304,6.68458,1.08949e-25,13002.9,74.2756
68.2289420546,90.6597703825,0.945911,265.387,8.44823e-07,1,7.60340632603,68.2289420546,nan,68.2289420546,0.7,1.08718e-37,5.553e-12,nan,50000,100,44.6484937603,6576,90.6597703825,0.000195685,219.1,6.96141,9.66896e-44,12966.1,73.9612
68.5409514851,89.6513758536,0.938983,257.383,8.48695e-07,1,7.63825236786,68.5409514851,nan,68.5409514851,0.7,4.25238e-14,5.30232e-12,nan,50000,100,49.9936308938,6546,89.6513758536,0.000139297,154.116,6.4905,3.84349e-20,13008.6,74.2549
68.3154600035,87.7286274259,0.944841,260.908,8.45852e-07,1,7.61266747868,68.3154600035,nan,68.3154600035,0.7,1.18272e-13,5.43367e-12,nan,50000,100,42.734758948,6568,87.7286274259,0.000193813,216.495,6.77988,1.05881e-19,12966.1,74.1485
68.4364318333,89.3911053251,0.954682,257.671,8.474e-07,1,7.62660158633,68.4364318333,nan,68.4364318333,0.7,2.26138e-18,5.28831e-12,nan,50000,100,49.675150462,6556,89.3911053251,8.2705e-05,93.1755,6.71208,2.00726e-24,12974.8,74.3382
68.1449236933,89.445083313,0.947537,270.597,8.43797e-07,1,7.59416767922,68.1449236933,nan,68.1449236933,0.7,4.02183e-18,5.69153e-12,nan,50000,100,47.7894573594,6584,89.445083313,0.000191885,215.476,7.17706,3.5815e-24,12952.1,73.9617
68.5023233069,86.1417109025,0.946483,258.385,8.48176e-07,1,7.63358778626,68.5023233069,nan,68.5023233069,0.7,1.87469e-11,5.33097e-12,nan,50000,100,43.2575720073,6550,86.1417109025,0.000431685,481.719,6.63834,1.67997e-17,12975.0,74.326
68.2942222713,88.2204507127,0.964157,259.558,8.45594e-07,1,7.6103500761,68.2942222713,nan,68.2942222713,0.7,1.62186e-12,5.45289e-12,nan,50000,100,42.8762418241,6570,88.2204507127,9.40464e-05,107.233,7.08921,1.42242e-18,12953.6,73.9598
68.3087881508,91.1996676123,0.942829,269.691,8.45852e-07,1,7.61266747868,68.3087881508,nan,68.3087881508,0.7,1.59756e-22,5.73273e-12,nan,50000,100,42.8720741999,6568,91.1996676123,0.000106078,118.24,7.12259,1.43324e-28,12991.8,74.4099
68.4154371103,88.8571863232,0.947449,261.528,8.47142e-07,1,7.62427569381,68.4154371103,nan,68.4154371103,0.7,6.13018e-17,5.27879e-12,nan,50000,100,43.9777721296,6558,88.8571863232,0.000126211,141.155,6.60289,5.48117e-23,12972.2,74.1962
68.2706280541,88.0171515873,0.956474,262.022,8.45337e-07,1,7.60803408399,68.2706280541,nan,68.2706280541,0.7,9.50269e-15,5.35566e-12,nan,50000,100,39.2402153112,6572,88.0171515873,0.0001909,215.998,6.85645,8.39854e-21,12951.2,73.9966
68.3955543098,88.4222045917,0.945024,266.684,8.46884e-07,1,7.62195121951,68.3955543098,nan,68.3955543098,0.7,4.09816e-21,5.59115e-12,nan,50000,100,40.5596768911,6560,88.4222045917,0.000215613,240.599,6.96208,3.67257e-27,12982.9,74.0657
68.5198488331,88.1937343575,0.947023,259.862,8.48435e-07,1,7.63591936469,68.5198488331,nan,68.5198488331,0.7,8.46324e-27,5.27427e-12,nan,50000,100,40.3260864717,6548,88.1937343575,0.000115958,129.432,6.57121,7.5822e-33,12995.7,74.2789
68.3909603883,90.6437518974,0.941527,269.959,8.46883e-07,1,7.62195121951,68.3909603883,nan,68.3909603883,0.7,2.40071e-19,5.63156e-12,nan,50000,100,39.7313410338,6560,90.6437518974,0.000175151,194.726,6.96061,2.15939e-25,12999.3,74.0072
