MinNormIw,VarNormIw,AvgRet,MaxVanillaIw,Delta,Bound,VarVanillaIw,MinVanillaIw,MaxNormIw,ESSRenyi,IterType,AvgDiscRet,eRenyi2,EpsThisIter,AvgVanillaIw,VarDiscRet,VarJ,J,AvgEpLen,VanillaAvgRet,AvgNormIw,VarRet,BatchSize,ESSClassic
0.002,5.431875e-20,4999.850203067221,1.0,0.9,4925.328,,1.0,0.002,500.0,1,4999.850203067221,1.0,100,1.0,0.03037828319778622,0.1549457,4999.864,500.0,4999.850203067221,0.0020000003,0.03037828319778622,500,500.00000664260017
0.01,3.5044917e-18,4999.848545133208,1.0,0.9,4833.1816,,1.0,0.01,500.0,2,4999.848545133208,1.0,100,1.0,0.020605160301931397,0.14279884,4999.848,500.0,4999.848545133208,0.009999998,0.020605160301931397,500,100.0
0.005,2.179301e-19,4976.530823572651,1.0,0.9,4870.3384,,1.0,0.005,500.0,2,4976.530823572651,1.0,100,1.0,54365.74827335824,164.45966,4988.1895,497.68,4976.530823572651,0.0049999994,54365.74827335824,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.857896864625,1.0,0.9,4895.8545,,1.0,0.0033333334,500.0,2,4999.857896864625,1.0,100,1.0,0.017414756751510236,134.39339,4992.0796,500.0,4999.857896864625,0.0033333336,0.017414756751510236,500,299.999969473632
0.0025,5.434597e-20,4999.847577713907,1.0,0.9,4910.688,,1.0,0.0025,500.0,2,4999.847577713907,1.0,100,1.0,0.03189500713885152,116.436714,4994.0215,500.0,4999.847577713907,0.0024999997,0.03189500713885152,500,400.0
0.00018434218,3.42559e-07,4949.862813130972,1.5469811,0.9,4916.206,0.086329,0.092541255,0.0030815864,460.413863841536,1,4949.862813130972,1.0859795,100,1.004016,249986.166924418,124.501686,4993.88,495.01,4949.862813130972,0.002,249986.166924418,500,460.63056825082305
0.01,3.5044917e-18,4999.850565173516,1.0,0.9,4833.1846,,1.0,0.01,500.0,2,4999.850565173516,1.0,100,1.0,0.020344980665180694,0.1419349,4999.851,500.0,4999.850565173516,0.009999998,0.020344980665180694,500,100.0
0.005,2.179301e-19,4999.849733695318,1.0,0.9,4881.999,,1.0,0.005,500.0,2,4999.849733695318,1.0,100,1.0,0.020563038739172958,0.14230093,4999.85,500.0,4999.849733695318,0.0049999994,0.020563038739172958,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.8791200215,1.0,0.9,4903.635,,1.0,0.0033333334,500.0,2,4999.8791200215,1.0,100,1.0,0.016032876213773233,0.13775483,4999.86,500.0,4999.8791200215,0.0033333336,0.016032876213773233,500,299.999969473632
0.0025,5.434597e-20,4951.7542871628,1.0,0.9,4904.5,,1.0,0.0025,500.0,2,4951.7542871628,1.0,100,1.0,231364.90905032645,240.20142,4987.8335,495.2,4951.7542871628,0.0024999997,231364.90905032645,500,400.0
0.00016356654,2.3622196e-07,4999.853517775636,1.3323507,0.9,4921.5635,0.058940154,0.081703365,0.0026673076,474.6069726637598,1,4999.853517775636,1.0535033,100,0.99902296,0.017740731045089175,40.08813,4998.067,500.0,4999.853517775636,0.002,0.017740731045089175,500,472.17142320061186
0.01,3.5044917e-18,4999.874951466674,1.0,0.9,4833.2085,,1.0,0.01,500.0,2,4999.874951466674,1.0,100,1.0,0.017297189111433582,0.13085791,4999.875,500.0,4999.874951466674,0.009999998,0.017297189111433582,500,100.0
0.005,2.179301e-19,4999.8402320501455,1.0,0.9,4882.0063,,1.0,0.005,500.0,2,4999.8402320501455,1.0,100,1.0,0.019062002562044506,0.13529123,4999.8574,500.0,4999.8402320501455,0.0049999994,0.019062002562044506,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.8370627474305,1.0,0.9,4903.6255,,1.0,0.0033333334,500.0,2,4999.8370627474305,1.0,100,1.0,0.045596057766220235,0.16534698,4999.8506,500.0,4999.8370627474305,0.0033333336,0.045596057766220235,500,299.999969473632
0.0025,5.434597e-20,4999.8434550806405,1.0,0.9,4916.5156,,1.0,0.0025,500.0,2,4999.8434550806405,1.0,100,1.0,0.03100354153192816,0.16789927,4999.849,500.0,4999.8434550806405,0.0024999997,0.03100354153192816,500,400.0
0.002,5.431875e-20,4999.880346951198,1.0,0.9,4925.32,,1.0,0.002,500.0,1,4999.880346951198,1.0,100,1.0,0.01770884920689321,0.1619145,4999.8555,500.0,4999.880346951198,0.0020000003,0.01770884920689321,500,500.00000664260017
0.01,3.5044917e-18,4999.8354077638505,1.0,0.9,4833.169,,1.0,0.01,500.0,2,4999.8354077638505,1.0,100,1.0,0.0225286336191992,0.14932041,4999.8354,500.0,4999.8354077638505,0.009999998,0.0225286336191992,500,100.0
0.005,2.179301e-19,4999.873598924027,1.0,0.9,4882.0034,,1.0,0.005,500.0,2,4999.873598924027,1.0,100,1.0,0.020208135453851594,0.14668776,4999.8545,500.0,4999.873598924027,0.0049999994,0.020208135453851594,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.884342924115,1.0,0.9,4903.6396,,1.0,0.0033333334,500.0,2,4999.884342924115,1.0,100,1.0,0.02100316958236273,0.14653985,4999.8647,500.0,4999.884342924115,0.0033333336,0.02100316958236273,500,299.999969473632
0.0025,5.434597e-20,4999.884053841949,1.0,0.9,4916.5356,,1.0,0.0025,500.0,2,4999.884053841949,1.0,100,1.0,0.016267412581980025,0.14213686,4999.869,500.0,4999.884053841949,0.0024999997,0.016267412581980025,500,400.0
0.002,5.431875e-20,4999.872011630162,1.0,0.9,4925.335,,1.0,0.002,500.0,1,4999.872011630162,1.0,100,1.0,0.016147631348200762,0.13914788,4999.8706,500.0,4999.872011630162,0.0020000003,0.016147631348200762,500,500.00000664260017
0.01,3.5044917e-18,4999.856926640658,1.0,0.9,4833.191,,1.0,0.01,500.0,2,4999.856926640658,1.0,100,1.0,0.020271678133968084,0.14166906,4999.8574,500.0,4999.856926640658,0.009999998,0.020271678133968084,500,100.0
0.005,2.179301e-19,4999.847104762672,1.0,0.9,4882.001,,1.0,0.005,500.0,2,4999.847104762672,1.0,100,1.0,0.023685381885789475,0.14759901,4999.852,500.0,4999.847104762672,0.0049999994,0.023685381885789475,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.836213593861,1.0,0.9,4903.6216,,1.0,0.0033333334,500.0,2,4999.836213593861,1.0,100,1.0,0.04952965440478888,0.1758519,4999.8467,500.0,4999.836213593861,0.0033333336,0.04952965440478888,500,299.999969473632
0.0025,5.434597e-20,4999.87599678703,1.0,0.9,4916.521,,1.0,0.0025,500.0,2,4999.87599678703,1.0,100,1.0,0.02037972231129498,0.16851513,4999.8545,500.0,4999.87599678703,0.0024999997,0.02037972231129498,500,400.0
0.002,5.431875e-20,4999.864799980493,1.0,0.9,4925.322,,1.0,0.002,500.0,1,4999.864799980493,1.0,100,1.0,0.017550843410718175,0.16190596,4999.8574,500.0,4999.864799980493,0.0020000003,0.017550843410718175,500,500.00000664260017
0.01,3.5044917e-18,4999.864567634979,1.0,0.9,4833.198,,1.0,0.01,500.0,2,4999.864567634979,1.0,100,1.0,0.015217289271179565,0.122731596,4999.8647,500.0,4999.864567634979,0.009999998,0.015217289271179565,500,100.0
0.005,2.179301e-19,4999.877545774431,1.0,0.9,4882.02,,1.0,0.005,500.0,2,4999.877545774431,1.0,100,1.0,0.015191784990047339,0.1228688,4999.871,500.0,4999.877545774431,0.0049999994,0.015191784990047339,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.847658251444,1.0,0.9,4903.638,,1.0,0.0033333334,500.0,2,4999.847658251444,1.0,100,1.0,0.022708352664089614,0.13296978,4999.8633,500.0,4999.847658251444,0.0033333336,0.022708352664089614,500,299.999969473632
0.0025,5.434597e-20,4999.847507192957,1.0,0.9,4916.526,,1.0,0.0025,500.0,2,4999.847507192957,1.0,100,1.0,0.02507483452626953,0.13969043,4999.8594,500.0,4999.847507192957,0.0024999997,0.02507483452626953,500,400.0
0.002,5.431875e-20,4999.850084798856,1.0,0.9,4925.3223,,1.0,0.002,500.0,1,4999.850084798856,1.0,100,1.0,0.02136136063101967,0.14090452,4999.858,500.0,4999.850084798856,0.0020000003,0.02136136063101967,500,500.00000664260017
0.01,3.5044917e-18,4999.853417942906,1.0,0.9,4833.187,,1.0,0.01,500.0,2,4999.853417942906,1.0,100,1.0,0.016192954383494114,0.12662086,4999.8535,500.0,4999.853417942906,0.009999998,0.016192954383494114,500,100.0
0.005,2.179301e-19,4999.874949232367,1.0,0.9,4882.013,,1.0,0.005,500.0,2,4999.874949232367,1.0,100,1.0,0.018438182567816104,0.13137092,4999.8643,500.0,4999.874949232367,0.0049999994,0.018438182567816104,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.850203549958,1.0,0.9,4903.635,,1.0,0.0033333334,500.0,2,4999.850203549958,1.0,100,1.0,0.02031042683775103,0.13508992,4999.86,500.0,4999.850203549958,0.0033333336,0.02031042683775103,500,299.999969473632
0.0025,5.434597e-20,4999.8518586332575,1.0,0.9,4916.524,,1.0,0.0025,500.0,2,4999.8518586332575,1.0,100,1.0,0.015459775070617094,0.13237768,4999.8574,500.0,4999.8518586332575,0.0024999997,0.015459775070617094,500,400.0
0.002,5.431875e-20,4999.839591608567,1.0,0.9,4925.319,,1.0,0.002,500.0,1,4999.839591608567,1.0,100,1.0,0.025614004942036247,0.13835949,4999.8545,500.0,4999.839591608567,0.0020000003,0.025614004942036247,500,500.00000664260017
0.01,3.5044917e-18,4999.870363696243,1.0,0.9,4833.2036,,1.0,0.01,500.0,2,4999.870363696243,1.0,100,1.0,0.02097341911841342,0.14409184,4999.87,500.0,4999.870363696243,0.009999998,0.02097341911841342,500,100.0
0.005,2.179301e-19,4999.8758439034145,1.0,0.9,4882.022,,1.0,0.005,500.0,2,4999.8758439034145,1.0,100,1.0,0.019567918199073282,0.1416824,4999.873,500.0,4999.8758439034145,0.0049999994,0.019567918199073282,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.867100516395,1.0,0.9,4903.6465,,1.0,0.0033333334,500.0,2,4999.867100516395,1.0,100,1.0,0.02587823969736271,0.14808804,4999.8716,500.0,4999.867100516395,0.0033333336,0.02587823969736271,500,299.999969473632
0.0025,5.434597e-20,4999.843834789705,1.0,0.9,4916.531,,1.0,0.0025,500.0,2,4999.843834789705,1.0,100,1.0,0.027088120820758583,0.15261327,4999.8643,500.0,4999.843834789705,0.0024999997,0.027088120820758583,500,400.0
0.002,5.431875e-20,4999.8599247616485,1.0,0.9,4925.328,,1.0,0.002,500.0,1,4999.8599247616485,1.0,100,1.0,0.02131698842372508,0.15118411,4999.864,500.0,4999.8599247616485,0.0020000003,0.02131698842372508,500,500.00000664260017
0.01,3.5044917e-18,4999.8545142717885,1.0,0.9,4833.188,,1.0,0.01,500.0,2,4999.8545142717885,1.0,100,1.0,0.027106209336013837,0.16380857,4999.8545,500.0,4999.8545142717885,0.009999998,0.027106209336013837,500,100.0
0.005,2.179301e-19,4999.870287517075,1.0,0.9,4882.011,,1.0,0.005,500.0,2,4999.870287517075,1.0,100,1.0,0.014724744352135858,0.14410497,4999.8623,500.0,4999.870287517075,0.0049999994,0.014724744352135858,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.857282133195,1.0,0.9,4903.6357,,1.0,0.0033333334,500.0,2,4999.857282133195,1.0,100,1.0,0.020250493097894257,0.14328846,4999.861,500.0,4999.857282133195,0.0033333336,0.020250493097894257,500,299.999969473632
0.0025,5.434597e-20,4999.855052254341,1.0,0.9,4916.526,,1.0,0.0025,500.0,2,4999.855052254341,1.0,100,1.0,0.02278631661572261,0.14506535,4999.8594,500.0,4999.855052254341,0.0024999997,0.02278631661572261,500,400.0
0.002,5.431875e-20,4999.830889630912,1.0,0.9,4925.319,,1.0,0.002,500.0,1,4999.830889630912,1.0,100,1.0,0.07945729298500843,0.1808307,4999.8545,500.0,4999.830889630912,0.0020000003,0.07945729298500843,500,500.00000664260017
0.01,3.5044917e-18,4999.8703525801475,1.0,0.9,4833.2036,,1.0,0.01,500.0,2,4999.8703525801475,1.0,100,1.0,0.015747289754678234,0.12485566,4999.87,500.0,4999.8703525801475,0.009999998,0.015747289754678234,500,100.0
0.005,2.179301e-19,4999.823219068468,1.0,0.9,4881.9956,,1.0,0.005,500.0,2,4999.823219068468,1.0,100,1.0,0.03162760442412863,0.154941,4999.8467,500.0,4999.823219068468,0.0049999994,0.03162760442412863,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.862784417701,1.0,0.9,4903.6274,,1.0,0.0033333334,500.0,2,4999.862784417701,1.0,100,1.0,0.01602203191944193,0.14612155,4999.8525,500.0,4999.862784417701,0.0033333336,0.01602203191944193,500,299.999969473632
0.0025,5.434597e-20,4999.856182528384,1.0,0.9,4916.52,,1.0,0.0025,500.0,2,4999.856182528384,1.0,100,1.0,0.024734225850965973,0.14879546,4999.8535,500.0,4999.856182528384,0.0024999997,0.024734225850965973,500,400.0
0.002,5.431875e-20,4999.853723492665,1.0,0.9,4925.318,,1.0,0.002,500.0,1,4999.853723492665,1.0,100,1.0,0.017850242955288205,0.14576411,4999.8535,500.0,4999.853723492665,0.0020000003,0.017850242955288205,500,500.00000664260017
0.01,3.5044917e-18,4999.880939288353,1.0,0.9,4833.2144,,1.0,0.01,500.0,2,4999.880939288353,1.0,100,1.0,0.013270004576065818,0.11463613,4999.881,500.0,4999.880939288353,0.009999998,0.013270004576065818,500,100.0
0.005,2.179301e-19,4999.82618533875,1.0,0.9,4882.0024,,1.0,0.005,500.0,2,4999.82618533875,1.0,100,1.0,0.02336178237886763,0.13741092,4999.8535,500.0,4999.82618533875,0.0049999994,0.02336178237886763,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.82381742698,1.0,0.9,4903.619,,1.0,0.0033333334,500.0,2,4999.82381742698,1.0,100,1.0,0.03485165849511762,0.15582994,4999.844,500.0,4999.82381742698,0.0033333336,0.03485165849511762,500,299.999969473632
0.0025,5.434597e-20,4999.85131452841,1.0,0.9,4916.512,,1.0,0.0025,500.0,2,4999.85131452841,1.0,100,1.0,0.025753130651882505,0.156841,4999.8457,500.0,4999.85131452841,0.0024999997,0.025753130651882505,500,400.0
0.002,5.431875e-20,4999.843476583143,1.0,0.9,4925.31,,1.0,0.002,500.0,1,4999.843476583143,1.0,100,1.0,0.025286340879303666,0.15712044,4999.8457,500.0,4999.843476583143,0.0020000003,0.025286340879303666,500,500.00000664260017
0.01,3.5044917e-18,4999.867864752286,1.0,0.9,4833.201,,1.0,0.01,500.0,2,4999.867864752286,1.0,100,1.0,0.02069394681348795,0.14314368,4999.8677,500.0,4999.867864752286,0.009999998,0.02069394681348795,500,100.0
0.005,2.179301e-19,4999.849858945407,1.0,0.9,4882.0073,,1.0,0.005,500.0,2,4999.849858945407,1.0,100,1.0,0.02647492901361331,0.15307146,4999.8584,500.0,4999.849858945407,0.0049999994,0.02647492901361331,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.844268636973,1.0,0.9,4903.629,,1.0,0.0033333334,500.0,2,4999.844268636973,1.0,100,1.0,0.02015341729817832,0.14939168,4999.854,500.0,4999.844268636973,0.0033333336,0.02015341729817832,500,299.999969473632
0.0025,5.434597e-20,4999.859920752407,1.0,0.9,4916.522,,1.0,0.0025,500.0,2,4999.859920752407,1.0,100,1.0,0.018642046393384726,0.14614096,4999.8555,500.0,4999.859920752407,0.0024999997,0.018642046393384726,500,400.0
0.0019907285,1.054559e-11,4999.8637594051,1.0052146,0.9,4925.3223,2.6360142e-06,0.9952924,0.002010574,499.99785424199666,1,4999.8637594051,1.0000043,100,0.9999279,0.02256890192031465,0.14672628,4999.858,500.0,4999.8637594051,0.0020000003,0.02256890192031465,500,499.99857604491666
0.01,3.5044917e-18,4999.8468718156455,1.0,0.9,4833.18,,1.0,0.01,500.0,2,4999.8468718156455,1.0,100,1.0,0.023849684282724725,0.15367252,4999.8467,500.0,4999.8468718156455,0.009999998,0.023849684282724725,500,100.0
0.005,2.179301e-19,4999.868323935765,1.0,0.9,4882.0063,,1.0,0.005,500.0,2,4999.868323935765,1.0,100,1.0,0.01520878096396451,0.13946363,4999.8574,500.0,4999.868323935765,0.0049999994,0.01520878096396451,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.870117792131,1.0,0.9,4903.6367,,1.0,0.0033333334,500.0,2,4999.870117792131,1.0,100,1.0,0.02276691392059432,0.14323664,4999.862,500.0,4999.870117792131,0.0033333336,0.02276691392059432,500,299.999969473632
0.0025,5.434597e-20,4999.866074995405,1.0,0.9,4916.529,,1.0,0.0025,500.0,2,4999.866074995405,1.0,100,1.0,0.022004211878183688,0.14435391,4999.8623,500.0,4999.866074995405,0.0024999997,0.022004211878183688,500,400.0
0.001996377,6.74543e-13,4999.878476444463,1.0017859,0.9,4925.331,1.6863804e-07,0.99819785,0.002003553,499.9989867230923,1,4999.878476444463,1.000002,100,1.0000093,0.014811024493746036,0.14010766,4999.8667,500.0,4999.878476444463,0.002,0.014811024493746036,500,499.99987680881605
0.01,3.5044917e-18,4999.849373530564,1.0,0.9,4833.183,,1.0,0.01,500.0,2,4999.849373530564,1.0,100,1.0,0.03178314623216539,0.17737685,4999.8496,500.0,4999.849373530564,0.009999998,0.03178314623216539,500,100.0
0.005,2.179301e-19,4999.857041916767,1.0,0.9,4882.0024,,1.0,0.005,500.0,2,4999.857041916767,1.0,100,1.0,0.019266750232863603,0.15900819,4999.8535,500.0,4999.857041916767,0.0049999994,0.019266750232863603,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.834235011966,1.0,0.9,4903.622,,1.0,0.0033333334,500.0,2,4999.834235011966,1.0,100,1.0,0.025138543645636047,0.15884085,4999.847,500.0,4999.834235011966,0.0033333336,0.025138543645636047,500,299.999969473632
0.0025,5.434597e-20,4999.861368760056,1.0,0.9,4916.517,,1.0,0.0025,500.0,2,4999.861368760056,1.0,100,1.0,0.018736364264018274,0.15362029,4999.8506,500.0,4999.861368760056,0.0024999997,0.018736364264018274,500,400.0
0.002,5.431875e-20,4999.867549333338,1.0,0.9,4925.319,,1.0,0.002,500.0,1,4999.867549333338,1.0,100,1.0,0.01986152674154426,0.15119195,4999.8545,500.0,4999.867549333338,0.0020000003,0.01986152674154426,500,500.00000664260017
0.01,3.5044917e-18,4999.874497594347,1.0,0.9,4833.208,,1.0,0.01,500.0,2,4999.874497594347,1.0,100,1.0,0.013836188557703287,0.11704893,4999.8745,500.0,4999.874497594347,0.009999998,0.013836188557703287,500,100.0
0.005,2.179301e-19,4999.867310695542,1.0,0.9,4882.0195,,1.0,0.005,500.0,2,4999.867310695542,1.0,100,1.0,0.01587108095463451,0.121318765,4999.8706,500.0,4999.867310695542,0.0049999994,0.01587108095463451,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.825118923594,1.0,0.9,4903.631,,1.0,0.0033333334,500.0,2,4999.825118923594,1.0,100,1.0,0.034968669533296096,0.14770016,4999.856,500.0,4999.825118923594,0.0033333336,0.034968669533296096,500,299.999969473632
0.0025,5.434597e-20,4949.867282350479,1.0,0.9,4904.025,,1.0,0.0025,500.0,2,4949.867282350479,1.0,100,1.0,249986.61267235916,249.68025,4987.3584,495.01,4949.867282350479,0.0024999997,249986.61267235916,500,400.0
0.0012795174,1.2861126e-07,4999.847847231342,1.7440659,0.9,4916.6953,0.031450387,0.6327319,0.0035268692,485.69987359285784,1,4999.847847231342,1.0294423,100,0.9890165,0.02632980604145591,168.46019,4992.3203,500.0,4999.847847231342,0.0019999999,0.02632980604145591,500,484.4546138310811
0.01,3.5044917e-18,4999.8603696008995,1.0,0.9,4833.194,,1.0,0.01,500.0,2,4999.8603696008995,1.0,100,1.0,0.0206910269307205,0.14312509,4999.8604,500.0,4999.8603696008995,0.009999998,0.0206910269307205,500,100.0
0.005,2.179301e-19,4999.867820317193,1.0,0.9,4882.013,,1.0,0.005,500.0,2,4999.867820317193,1.0,100,1.0,0.017829520317013573,0.13812481,4999.8643,500.0,4999.867820317193,0.0049999994,0.017829520317013573,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.845073430694,1.0,0.9,4903.633,,1.0,0.0033333334,500.0,2,4999.845073430694,1.0,100,1.0,0.031378827411912384,0.15216911,4999.858,500.0,4999.845073430694,0.0033333336,0.031378827411912384,500,299.999969473632
0.0025,5.434597e-20,4999.838214504172,1.0,0.9,4916.519,,1.0,0.0025,500.0,2,4999.838214504172,1.0,100,1.0,0.025974007898578122,0.15448178,4999.8525,500.0,4999.838214504172,0.0024999997,0.025974007898578122,500,400.0
0.002,5.431875e-20,4999.8683240831815,1.0,0.9,4925.3213,,1.0,0.002,500.0,1,4999.8683240831815,1.0,100,1.0,0.01935960318725334,0.15154307,4999.857,500.0,4999.8683240831815,0.0020000003,0.01935960318725334,500,500.00000664260017
0.01,3.5044917e-18,4999.85319166964,1.0,0.9,4833.186,,1.0,0.01,500.0,2,4999.85319166964,1.0,100,1.0,0.02418220623779765,0.15471612,4999.8525,500.0,4999.85319166964,0.009999998,0.02418220623779765,500,100.0
0.005,2.179301e-19,4999.826204996551,1.0,0.9,4881.989,,1.0,0.005,500.0,2,4999.826204996551,1.0,100,1.0,0.03237533422359798,0.16787171,4999.84,500.0,4999.826204996551,0.0049999994,0.03237533422359798,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.837497263491,1.0,0.9,4903.6143,,1.0,0.0033333334,500.0,2,4999.837497263491,1.0,100,1.0,0.04496431389472402,0.18337752,4999.8394,500.0,4999.837497263491,0.0033333336,0.04496431389472402,500,299.999969473632
0.0025,5.434597e-20,4999.856375681237,1.0,0.9,4916.5103,,1.0,0.0025,500.0,2,4999.856375681237,1.0,100,1.0,0.015706456489551823,0.17078078,4999.8438,500.0,4999.856375681237,0.0024999997,0.015706456489551823,500,400.0
0.002,5.431875e-20,4999.878469706392,1.0,0.9,4925.315,,1.0,0.002,500.0,1,4999.878469706392,1.0,100,1.0,0.029635041278242534,0.17145464,4999.8506,500.0,4999.878469706392,0.0020000003,0.029635041278242534,500,500.00000664260017
0.01,3.5044917e-18,4999.856631903295,1.0,0.9,4833.19,,1.0,0.01,500.0,2,4999.856631903295,1.0,100,1.0,0.028005737947097865,0.16651131,4999.8564,500.0,4999.856631903295,0.009999998,0.028005737947097865,500,100.0
0.005,2.179301e-19,4999.868326874504,1.0,0.9,4882.011,,1.0,0.005,500.0,2,4999.868326874504,1.0,100,1.0,0.01769281475590937,0.15051615,4999.8623,500.0,4999.868326874504,0.0049999994,0.01769281475590937,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.8644266592655,1.0,0.9,4903.638,,1.0,0.0033333334,500.0,2,4999.8644266592655,1.0,100,1.0,0.01806199795897857,0.1451348,4999.8633,500.0,4999.8644266592655,0.0033333336,0.01806199795897857,500,299.999969473632
0.0025,5.434597e-20,4999.8702860452,1.0,0.9,4916.5312,,1.0,0.0025,500.0,2,4999.8702860452,1.0,100,1.0,0.03792259442133541,0.15871847,4999.8647,500.0,4999.8702860452,0.0024999997,0.03792259442133541,500,400.0
0.002,5.431875e-20,4999.870118509687,1.0,0.9,4925.33,,1.0,0.002,500.0,1,4999.870118509687,1.0,100,1.0,0.017793468791061313,0.15388088,4999.8657,500.0,4999.870118509687,0.0020000003,0.017793468791061313,500,500.00000664260017
0.01,3.5044917e-18,4999.86214406195,1.0,0.9,4833.196,,1.0,0.01,500.0,2,4999.86214406195,1.0,100,1.0,0.014776394240363075,0.120946854,4999.8623,500.0,4999.86214406195,0.009999998,0.014776394240363075,500,100.0
0.005,2.179301e-19,4999.885220249952,1.0,0.9,4882.023,,1.0,0.005,500.0,2,4999.885220249952,1.0,100,1.0,0.012134556105913321,0.11599308,4999.874,500.0,4999.885220249952,0.0049999994,0.012134556105913321,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.867763038879,1.0,0.9,4903.647,,1.0,0.0033333334,500.0,2,4999.867763038879,1.0,100,1.0,0.021302224887664898,0.12653355,4999.872,500.0,4999.867763038879,0.0033333336,0.021302224887664898,500,299.999969473632
0.0025,5.434597e-20,4999.865730391272,1.0,0.9,4916.5376,,1.0,0.0025,500.0,2,4999.865730391272,1.0,100,1.0,0.01828779407444922,0.12861913,4999.871,500.0,4999.865730391272,0.0024999997,0.01828779407444922,500,400.0
0.0019748302,4.969814e-11,4999.874792607989,1.0113919,0.9,4925.336,1.24299595e-05,0.9876305,0.0020223425,499.99362238435805,1,4999.874792607989,1.0000128,100,1.0002182,0.01016251177864209,0.12313732,4999.872,500.0,4999.874792607989,0.002,0.01016251177864209,500,499.9938960185752
0.01,3.5044917e-18,4999.871699709348,1.0,0.9,4833.205,,1.0,0.01,500.0,2,4999.871699709348,1.0,100,1.0,0.016271935595865976,0.12691325,4999.8716,500.0,4999.871699709348,0.009999998,0.016271935595865976,500,100.0
0.005,2.179301e-19,4999.862198747084,1.0,0.9,4882.016,,1.0,0.005,500.0,2,4999.862198747084,1.0,100,1.0,0.019526709618637006,0.13319847,4999.867,500.0,4999.862198747084,0.0049999994,0.019526709618637006,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.846605543876,1.0,0.9,4903.6353,,1.0,0.0033333334,500.0,2,4999.846605543876,1.0,100,1.0,0.03266254716485356,0.15065421,4999.8604,500.0,4999.846605543876,0.0033333336,0.03266254716485356,500,299.999969473632
0.0025,5.434597e-20,4999.84495144623,1.0,0.9,4916.523,,1.0,0.0025,500.0,2,4999.84495144623,1.0,100,1.0,0.03051175930284792,0.15690209,4999.8564,500.0,4999.84495144623,0.0024999997,0.03051175930284792,500,400.0
0.002,5.431875e-20,4999.887685887033,1.0,0.9,4925.3276,,1.0,0.002,500.0,1,4999.887685887033,1.0,100,1.0,0.018465734247751026,0.15332676,4999.8633,500.0,4999.887685887033,0.0020000003,0.018465734247751026,500,500.00000664260017
0.01,3.5044917e-18,4999.847897388676,1.0,0.9,4833.1816,,1.0,0.01,500.0,2,4999.847897388676,1.0,100,1.0,0.024315197815951674,0.15513504,4999.848,500.0,4999.847897388676,0.009999998,0.024315197815951674,500,100.0
0.005,2.179301e-19,4999.858982940396,1.0,0.9,4882.0024,,1.0,0.005,500.0,2,4999.858982940396,1.0,100,1.0,0.017045400557689862,0.14317603,4999.8535,500.0,4999.858982940396,0.0049999994,0.017045400557689862,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.859004941851,1.0,0.9,4903.63,,1.0,0.0033333334,500.0,2,4999.859004941851,1.0,100,1.0,0.014552621588752737,0.1359286,4999.855,500.0,4999.859004941851,0.0033333336,0.014552621588752737,500,299.999969473632
0.0025,5.434597e-20,4999.8610702856995,1.0,0.9,4916.5234,,1.0,0.0025,500.0,2,4999.8610702856995,1.0,100,1.0,0.015644075288191714,0.13317691,4999.857,500.0,4999.8610702856995,0.0024999997,0.015644075288191714,500,400.0
0.002,5.431875e-20,4999.865415659755,1.0,0.9,4925.323,,1.0,0.002,500.0,1,4999.865415659755,1.0,100,1.0,0.021328257513356888,0.1357319,4999.859,500.0,4999.865415659755,0.0020000003,0.021328257513356888,500,500.00000664260017
0.01,3.5044917e-18,4999.838668696362,1.0,0.9,4833.1724,,1.0,0.01,500.0,2,4999.838668696362,1.0,100,1.0,0.065522890406887,0.2547018,4999.839,500.0,4999.838668696362,0.009999998,0.065522890406887,500,100.0
0.005,2.179301e-19,4999.8803166516,1.0,0.9,4882.0083,,1.0,0.005,500.0,2,4999.8803166516,1.0,100,1.0,0.02281749804917342,0.2101552,4999.8594,500.0,4999.8803166516,0.0049999994,0.02281749804917342,500,200.00000010221265
0.0033333334,5.4391416e-20,4999.906421840251,1.0,0.9,4903.6504,,1.0,0.0033333334,500.0,2,4999.906421840251,1.0,100,1.0,0.015958095840181204,0.1876137,4999.8755,500.0,4999.906421840251,0.0033333336,0.015958095840181204,500,299.999969473632
