IterType,MaxNormIw,AvgNormIw,AvgRet,Bound,renyi2,VanillaAvgRet,VarJ,ESSClassic,MinNormIw,VarDiscRet,delta,J,AvgEpLen,MinVanillaIw,ESSRenyi,VarNormIw,EpsThisIter,AvgDiscRet,VarRet,VarVanillaIw,AvgVanillaIw,BatchSize,MaxVanillaIw,SamplesThisIter
1,0.00173984,5.52486e-05,60.7650066111,69.5849,nan,60.7650066111,181.361,0.847889448845,6.77295e-40,215.747035175,0.8,14017.2,500.0,2.15826e-35,nan,2.04224e-08,100,60.7650066111,215.747035175,20.7376,1.76055,100,55.4414,50000
1,0.00235931,5.52486e-05,60.1942739032,70.6101,nan,60.1942739032,183.92,0.973633065551,2.03732e-35,240.813747642,0.8,14268.4,500.0,7.75557e-31,nan,2.65069e-08,100,60.1942739032,240.813747642,38.4123,2.10318,100,89.8134,50000
1,0.00146201,5.52486e-05,65.2990600468,73.2463,nan,65.2990600468,140.664,1.21109375986,7.22253e-21,211.092254152,0.8,14570.4,500.0,2.49162e-16,nan,1.70218e-08,100,65.2990600468,211.092254152,20.2577,1.90596,100,50.4361,50000
1,0.00145971,5.52486e-05,61.0530313944,72.0417,nan,61.0530313944,108.376,1.70219878484,9.27078e-25,385.149673909,0.8,14234.5,500.0,2.71937e-20,nan,1.80012e-08,100,61.0530313944,385.149673909,15.4884,1.62059,100,42.8173,50000
1,0.00137239,5.52486e-05,62.8537899356,72.2512,nan,62.8537899356,157.156,0.900504851313,2.46409e-21,317.994017306,0.8,14354.4,500.0,5.88787e-17,nan,1.84139e-08,100,62.8537899356,317.994017306,10.5136,1.32015,100,32.7929,50000
1,0.00118656,5.52486e-05,64.5487501059,73.4863,nan,64.5487501059,104.166,1.2268138946,,334.93317158,0.8,14457.0,500.0,,nan,1.43342e-08,100,64.5487501059,334.93317158,11.3217,1.55271,100,33.3472,50000
1,0.000998799,5.52486e-05,65.4034920093,71.485,nan,65.4034920093,100.933,1.28865454352,4.01423e-22,222.143566773,0.8,14100.2,500.0,1.12154e-17,nan,1.31571e-08,100,65.4034920093,222.143566773,10.2704,1.5436,100,27.9056,50000
1,0.0017974,5.52486e-05,64.7113133841,73.2671,nan,64.7113133841,129.572,1.28341432488,1.62523e-22,318.650459684,0.8,14600.1,500.0,4.76862e-18,nan,1.77151e-08,100,64.7113133841,318.650459684,15.2511,1.62106,100,52.7378,50000
1,0.000854154,5.52486e-05,65.2427979546,72.7183,nan,65.2427979546,120.249,0.811873901166,2.66521e-23,303.197114367,0.8,14373.6,500.0,7.48013e-19,nan,1.44547e-08,100,65.2427979546,303.197114367,11.3859,1.5506,100,23.9726,50000
1,0.00109124,5.52486e-05,65.2774880958,72.9959,nan,65.2774880958,97.4513,1.34940563826,7.07644e-21,296.679584518,0.8,14370.5,500.0,1.97633e-16,nan,1.42024e-08,100,65.2774880958,296.679584518,11.0778,1.543,100,30.4764,50000
1,0.00101831,5.52486e-05,67.8651471028,74.6881,nan,67.8651471028,137.772,0.650713029434,4.46839e-18,242.920092461,0.8,14794.4,500.0,1.24109e-13,nan,1.57689e-08,100,67.8651471028,242.920092461,12.1649,1.53453,100,28.2835,50000
1,0.00128163,5.52486e-05,67.2772885133,72.6222,nan,67.2772885133,145.72,0.739698640302,3.44033e-31,193.530916136,0.8,14440.1,500.0,8.23151e-27,nan,1.47672e-08,100,67.2772885133,193.530916136,8.45387,1.32191,100,30.6649,50000
1,0.00102009,5.52486e-05,70.5978719968,75.6428,nan,70.5978719968,125.353,0.780070960641,1.11557e-27,170.674648908,0.8,14942.9,500.0,2.84263e-23,nan,1.20518e-08,100,70.5978719968,170.674648908,7.82536,1.40782,100,25.9934,50000
1,0.00125558,5.52486e-05,69.4564081296,72.5948,nan,69.4564081296,150.32,0.68619033009,1.13886e-19,88.6505150832,0.8,14504.9,500.0,2.86836e-15,nan,1.60206e-08,100,69.4564081296,88.6505150832,10.1627,1.39151,100,31.6233,50000
1,0.000985407,5.52486e-05,69.5953972931,72.7614,nan,69.5953972931,106.742,0.926263683243,3.47897e-17,137.313684009,0.8,14307.0,500.0,7.60465e-13,nan,1.07125e-08,100,69.5953972931,137.313684009,5.11857,1.20767,100,21.5399,50000
1,0.00098497,5.52486e-05,67.2899059828,71.6871,nan,67.2899059828,115.938,0.967252990955,1.31373e-18,137.578823577,0.8,14096.0,500.0,2.53819e-14,nan,1.05123e-08,100,67.2899059828,137.578823577,3.92404,1.06743,100,19.0301,50000
1,0.000677179,5.52486e-05,72.1703250645,74.1732,nan,72.1703250645,91.5632,1.18797755984,4.66182e-18,103.690708089,0.8,14461.9,500.0,8.96782e-14,nan,7.43285e-09,100,72.1703250645,103.690708089,2.75054,1.0628,100,13.0267,50000
1,0.00110852,5.52486e-05,70.5904151893,73.3946,nan,70.5904151893,135.354,0.865406830711,2.83442e-21,109.265509173,0.8,14601.4,500.0,6.81761e-17,nan,1.32055e-08,100,70.5904151893,109.265509173,7.63992,1.32889,100,26.6631,50000
