J,AvgDiscRet,MaxNormIw,VarDiscRet,MinNormIw,AvgVanillaIw,MaxVanillaIw,VarVanillaIw,ESSRenyi,AvgNormIw,IterType,Bound,BatchSize,VarNormIw,AvgRet,MinVanillaIw,VarRet,EpsThisIter,ESSClassic,eRenyi2,VarJ,AvgEpLen,VanillaAvgRet,Delta
-67.8096,-62.1427557367,0.005,1342.02056313,0.005,1.0,1.0,,500.0,0.005,2,-67.8096,500,2.1793e-19,-62.1427557367,1.0,1342.02056313,100,200.000000102,1.0,56.4403,90.06,-62.1427557367,1.0
-68.5435,-70.0113050494,0.00333333,3822.82390525,0.00333333,1.0,1.0,,500.0,0.00333333,2,-68.5435,500,5.43914e-20,-70.0113050494,1.0,3822.82390525,100,299.999969474,1.0,58.1918,98.97,-70.0113050494,1.0
-67.3378,-63.7207960916,0.0025,1333.54915879,0.0025,1.0,1.0,,500.0,0.0025,2,-67.3378,500,5.4346e-20,-63.7207960916,1.0,1333.54915879,100,400.0,1.0,53.6109,92.93,-63.7207960916,1.0
-69.9339,-80.3179802051,0.002,7368.4462676,0.002,1.0,1.0,,500.0,0.002,1,-69.9339,500,5.43187e-20,-80.3179802051,1.0,7368.4462676,100,500.000006643,1.0,61.5241,110.62,-80.3179802051,1.0
-69.4181,-69.4180630043,0.01,3839.79722438,0.01,1.0,1.0,,500.0,0.01,2,-69.4181,500,3.50449e-18,-69.4180630043,1.0,3839.79722438,100,100.0,1.0,61.6555,98.4,-69.4180630043,1.0
-72.1132,-74.8084319836,0.005,5013.43294256,0.005,1.0,1.0,,500.0,0.005,2,-72.1132,500,2.1793e-19,-74.8084319836,1.0,5013.43294256,100,200.000000102,1.0,66.2542,105.62,-74.8084319836,1.0
-71.1259,-69.1513018116,0.00333333,3837.69964361,0.00333333,1.0,1.0,,500.0,0.00333333,2,-71.1259,500,5.43914e-20,-69.1513018116,1.0,3837.69964361,100,299.999969474,1.0,64.7673,97.9,-69.1513018116,1.0
-69.239,-63.5781903055,0.0025,1324.46834248,0.0025,1.0,1.0,,500.0,0.0025,2,-69.239,500,5.4346e-20,-63.5781903055,1.0,1324.46834248,100,400.0,1.0,59.0304,92.13,-63.5781903055,1.0
-69.2292,-69.1901996784,0.002,3834.05005712,0.002,1.0,1.0,,500.0,0.002,1,-69.2292,500,5.43187e-20,-69.1901996784,1.0,3834.05005712,100,500.000006643,1.0,59.5551,98.06,-69.1901996784,1.0
-59.6154,-59.6154137678,0.01,68.013894375,0.01,1.0,1.0,,500.0,0.01,2,-59.6154,500,3.50449e-18,-59.6154137678,1.0,68.013894375,100,100.0,1.0,8.20571,87.3,-59.6154137678,1.0
-64.5215,-69.4275482374,0.005,3838.76453752,0.005,1.0,1.0,,500.0,0.005,2,-64.5215,500,2.1793e-19,-69.4275482374,1.0,3838.76453752,100,200.000000102,1.0,44.2484,98.32,-69.4275482374,1.0
-64.0016,-62.9619602059,0.00333333,1347.50488831,0.00333333,1.0,1.0,,500.0,0.00333333,2,-64.0016,500,5.43914e-20,-62.9619602059,1.0,1347.50488831,100,299.999969474,1.0,41.839,91.29,-62.9619602059,1.0
-64.8231,-67.2873069,0.0025,2579.61380799,0.0025,1.0,1.0,,500.0,0.0025,2,-64.8231,500,5.4346e-20,-67.2873069,1.0,2579.61380799,100,400.0,1.0,44.1968,96.72,-67.2873069,1.0
-63.6765,-59.0903847682,0.002,64.0977987658,0.002,1.0,1.0,,500.0,0.002,1,-63.6765,500,5.43187e-20,-59.0903847682,1.0,64.0977987658,100,500.000006643,1.0,39.7572,86.44,-59.0903847682,1.0
-62.8354,-62.8354334645,0.01,1355.03694296,0.01,1.0,1.0,,500.0,0.01,2,-62.8354,500,3.50449e-18,-62.8354334645,1.0,1355.03694296,100,100.0,1.0,36.6263,90.74,-62.8354334645,1.0
-68.553,-74.2706113182,0.005,4986.33898361,0.005,1.0,1.0,,500.0,0.005,2,-68.553,500,2.1793e-19,-74.2706113182,1.0,4986.33898361,100,200.000000102,1.0,56.3176,104.45,-74.2706113182,1.0
-67.5974,-65.6861632723,0.00333333,2591.61010121,0.00333333,1.0,1.0,,500.0,0.00333333,2,-67.5974,500,5.43914e-20,-65.6861632723,1.0,2591.61010121,100,299.999969474,1.0,54.5115,93.99,-65.6861632723,1.0
-66.4158,-62.871174892,0.0025,1347.88762678,0.0025,1.0,1.0,,500.0,0.0025,2,-66.4158,500,5.4346e-20,-62.871174892,1.0,1347.88762678,100,400.0,1.0,50.6598,91.22,-62.871174892,1.0
-66.2324,-65.4988094486,0.002,2600.37260062,0.002,1.0,1.0,,500.0,0.002,1,-66.2324,500,5.43187e-20,-65.4988094486,1.0,2600.37260062,100,500.000006643,1.0,50.6769,93.58,-65.4988094486,1.0
-59.0218,-59.0217688234,0.01,50.1917798306,0.01,1.0,1.0,,500.0,0.01,2,-59.0218,500,3.50449e-18,-59.0217688234,1.0,50.1917798306,100,100.0,1.0,7.0491,86.68,-59.0217688234,1.0
-66.5755,-74.1293237773,0.005,4997.65154331,0.005,1.0,1.0,,500.0,0.005,2,-66.5755,500,2.1793e-19,-74.1293237773,1.0,4997.65154331,100,200.000000102,1.0,50.5543,104.15,-74.1293237773,1.0
-66.7763,-67.1777126749,0.00333333,2588.09304567,0.00333333,1.0,1.0,,500.0,0.00333333,2,-66.7763,500,5.43914e-20,-67.1777126749,1.0,2588.09304567,100,299.999969474,1.0,50.5765,95.96,-67.1777126749,1.0
-65.6852,-62.4118153109,0.0025,1342.26346394,0.0025,1.0,1.0,,500.0,0.0025,2,-65.6852,500,5.4346e-20,-62.4118153109,1.0,1342.26346394,100,400.0,1.0,47.4791,90.07,-62.4118153109,1.0
-66.7577,-71.0479459329,0.002,3812.57430901,0.002,1.0,1.0,,500.0,0.002,1,-66.7577,500,5.43187e-20,-71.0479459329,1.0,3812.57430901,100,500.000006643,1.0,50.6251,100.81,-71.0479459329,1.0
-58.7515,-58.7514620498,0.01,53.1623645722,0.01,1.0,1.0,,500.0,0.01,2,-58.7515,500,3.50449e-18,-58.7514620498,1.0,53.1623645722,100,100.0,1.0,7.2547,86.16,-58.7514620498,1.0
-60.3091,-61.8666839042,0.005,1342.92528216,0.005,1.0,1.0,,500.0,0.005,2,-60.3091,500,2.1793e-19,-61.8666839042,1.0,1342.92528216,100,200.000000102,1.0,26.3342,89.54,-61.8666839042,1.0
-59.9807,-59.3240884146,0.00333333,54.8426297608,0.00333333,1.0,1.0,,500.0,0.00333333,2,-59.9807,500,5.43914e-20,-59.3240884146,1.0,54.8426297608,100,299.999969474,1.0,21.9235,87.04,-59.3240884146,1.0
-61.7616,-67.1042068069,0.0025,2600.83533376,0.0025,1.0,1.0,,500.0,0.0025,2,-61.7616,500,5.4346e-20,-67.1042068069,1.0,2600.83533376,100,400.0,1.0,31.8387,95.88,-67.1042068069,1.0
-62.4396,-65.1514674722,0.002,2608.04140558,0.002,1.0,1.0,,500.0,0.002,1,-62.4396,500,5.43187e-20,-65.1514674722,1.0,2608.04140558,100,500.000006643,1.0,36.4581,93.41,-65.1514674722,1.0
-62.2762,-62.2762119417,0.01,1346.11953885,0.01,1.0,1.0,,500.0,0.01,2,-62.2762,500,3.50449e-18,-62.2762119417,1.0,1346.11953885,100,100.0,1.0,36.5056,89.95,-62.2762119417,1.0
-64.2521,-66.2279240744,0.005,2598.43486653,0.005,1.0,1.0,,500.0,0.005,2,-64.2521,500,2.1793e-19,-66.2279240744,1.0,2598.43486653,100,200.000000102,1.0,44.2319,94.92,-66.2279240744,1.0
-62.847,-60.0370148742,0.00333333,54.7650598314,0.00333333,1.0,1.0,,500.0,0.00333333,2,-62.847,500,5.43914e-20,-60.0370148742,1.0,54.7650598314,100,299.999969474,1.0,36.4188,88.45,-60.0370148742,1.0
-61.5813,-57.7841411813,0.0025,57.9129731053,0.0025,1.0,1.0,,500.0,0.0025,2,-61.5813,500,5.4346e-20,-57.7841411813,1.0,57.9129731053,100,400.0,1.0,31.8415,84.54,-57.7841411813,1.0
-63.0645,-68.9969662331,0.002,3843.37749473,0.002,1.0,1.0,,500.0,0.002,1,-63.0645,500,5.43187e-20,-68.9969662331,1.0,3843.37749473,100,500.000006643,1.0,39.7605,97.67,-68.9969662331,1.0
-63.5846,-63.5846458843,0.01,1338.55263378,0.01,1.0,1.0,,500.0,0.01,2,-63.5846,500,3.50449e-18,-63.5846458843,1.0,1338.55263378,100,100.0,1.0,36.4028,92.23,-63.5846458843,1.0
-68.2116,-72.8384713739,0.005,5035.64284175,0.005,1.0,1.0,,500.0,0.005,2,-68.2116,500,2.1793e-19,-72.8384713739,1.0,5035.64284175,100,200.000000102,1.0,56.3616,102.29,-72.8384713739,1.0
-66.8633,-64.1667458914,0.00333333,1322.48870468,0.00333333,1.0,1.0,,500.0,0.00333333,2,-66.8633,500,5.43914e-20,-64.1667458914,1.0,1322.48870468,100,299.999969474,1.0,50.5748,93.62,-64.1667458914,1.0
-65.941,-63.17426991,0.0025,1330.90171485,0.0025,1.0,1.0,,500.0,0.0025,2,-65.941,500,5.4346e-20,-63.17426991,1.0,1330.90171485,100,400.0,1.0,47.4374,91.76,-63.17426991,1.0
-65.903,-65.7507408017,0.002,2597.6593097,0.002,1.0,1.0,,500.0,0.002,1,-65.903,500,5.43187e-20,-65.7507408017,1.0,2597.6593097,100,500.000006643,1.0,48.1102,94.01,-65.7507408017,1.0
-69.9417,-69.9417440738,0.01,3820.52292832,0.01,1.0,1.0,,500.0,0.01,2,-69.9417,500,3.50449e-18,-69.9417440738,1.0,3820.52292832,100,100.0,1.0,61.5005,99.16,-69.9417440738,1.0
-66.0563,-62.1709019944,0.005,1343.39298009,0.005,1.0,1.0,,500.0,0.005,2,-66.0563,500,2.1793e-19,-62.1709019944,1.0,1343.39298009,100,200.000000102,1.0,50.7073,89.39,-62.1709019944,1.0
-65.7621,-65.1735600795,0.00333333,2616.54296068,0.00333333,1.0,1.0,,500.0,0.00333333,2,-65.7621,500,5.43914e-20,-65.1735600795,1.0,2616.54296068,100,299.999969474,1.0,50.7719,93.35,-65.1735600795,1.0
-64.2863,-59.8591048869,0.0025,90.3918997396,0.0025,1.0,1.0,,500.0,0.0025,2,-64.2863,500,5.4346e-20,-59.8591048869,1.0,90.3918997396,100,400.0,1.0,44.2973,87.57,-59.8591048869,1.0
-65.3527,-69.6179991908,0.002,3830.87258489,0.002,1.0,1.0,,500.0,0.002,1,-65.3527,500,5.43187e-20,-69.6179991908,1.0,3830.87258489,100,500.000006643,1.0,48.2997,98.75,-69.6179991908,1.0
-62.0975,-62.0975183958,0.01,1347.85494854,0.01,1.0,1.0,,500.0,0.01,2,-62.0975,500,3.50449e-18,-62.0975183958,1.0,1347.85494854,100,100.0,1.0,36.5291,89.7,-62.0975183958,1.0
-69.4036,-76.7096163467,0.005,6225.00492191,0.005,1.0,1.0,,500.0,0.005,2,-69.4036,500,2.1793e-19,-76.7096163467,1.0,6225.00492191,100,200.000000102,1.0,61.6599,107.16,-76.7096163467,1.0
-67.1046,-62.5065731068,0.00333333,1334.39931642,0.00333333,1.0,1.0,,500.0,0.00333333,2,-67.1046,500,5.43914e-20,-62.5065731068,1.0,1334.39931642,100,299.999969474,1.0,54.6402,90.79,-62.5065731068,1.0
-65.7994,-61.8837895519,0.0025,1340.91139932,0.0025,1.0,1.0,,500.0,0.0025,2,-65.7994,500,5.4346e-20,-61.8837895519,1.0,1340.91139932,100,400.0,1.0,50.7558,89.39,-61.8837895519,1.0
-65.1484,-62.544507426,0.002,1333.81651914,0.002,1.0,1.0,,500.0,0.002,1,-65.1484,500,5.43187e-20,-62.544507426,1.0,1333.81651914,100,500.000006643,1.0,48.236,90.62,-62.544507426,1.0
-68.0767,-68.0766733602,0.01,2579.77200642,0.01,1.0,1.0,,500.0,0.01,2,-68.0767,500,3.50449e-18,-68.0766733602,1.0,2579.77200642,100,100.0,1.0,50.5369,97.86,-68.0766733602,1.0
-67.2091,-66.341533325,0.005,2603.29677569,0.005,1.0,1.0,,500.0,0.005,2,-67.2091,500,2.1793e-19,-66.341533325,1.0,2603.29677569,100,200.000000102,1.0,50.6594,95.28,-66.341533325,1.0
-66.7319,-65.7776312076,0.00333333,2596.79987376,0.00333333,1.0,1.0,,500.0,0.00333333,2,-66.7319,500,5.43914e-20,-65.7776312076,1.0,2596.79987376,100,299.999969474,1.0,50.6785,94.57,-65.7776312076,1.0
-66.479,-65.7201857232,0.0025,2612.27147301,0.0025,1.0,1.0,,500.0,0.0025,2,-66.479,500,5.4346e-20,-65.7201857232,1.0,2612.27147301,100,400.0,1.0,50.7244,93.93,-65.7201857232,1.0
-66.2503,-65.3354071389,0.002,2599.93346916,0.002,1.0,1.0,,500.0,0.002,1,-66.2503,500,5.43187e-20,-65.3354071389,1.0,2599.93346916,100,500.000006643,1.0,50.7284,93.73,-65.3354071389,1.0
-74.4628,-74.462758797,0.01,5007.03322356,0.01,1.0,1.0,,500.0,0.01,2,-74.4628,500,3.50449e-18,-74.462758797,1.0,5007.03322356,100,100.0,1.0,70.4057,104.97,-74.462758797,1.0
-66.6315,-58.8001794802,0.005,70.8563660482,0.005,1.0,1.0,,500.0,0.005,2,-66.6315,500,2.1793e-19,-58.8001794802,1.0,70.8563660482,100,200.000000102,1.0,50.7433,86.13,-58.8001794802,1.0
-68.0327,-70.835214345,0.00333333,3821.01397891,0.00333333,1.0,1.0,,500.0,0.00333333,2,-68.0327,500,5.43914e-20,-70.835214345,1.0,3821.01397891,100,299.999969474,1.0,54.6027,100.27,-70.835214345,1.0
-70.1631,-76.5542736864,0.0025,6232.24853134,0.0025,1.0,1.0,,500.0,0.0025,2,-70.1631,500,5.4346e-20,-76.5542736864,1.0,6232.24853134,100,400.0,1.0,61.5807,106.48,-76.5542736864,1.0
-70.8278,-73.486558226,0.002,5039.3302078,0.002,1.0,1.0,,500.0,0.002,1,-70.8278,500,5.43187e-20,-73.486558226,1.0,5039.3302078,100,500.000006643,1.0,63.5083,102.97,-73.486558226,1.0
-63.2092,-63.2091567045,0.01,1335.43836441,0.01,1.0,1.0,,500.0,0.01,2,-63.2092,500,3.50449e-18,-63.2091567045,1.0,1335.43836441,100,100.0,1.0,36.3605,92.04,-63.2091567045,1.0
-65.1855,-67.1617808679,0.005,2611.08984473,0.005,1.0,1.0,,500.0,0.005,2,-65.1855,500,2.1793e-19,-67.1617808679,1.0,2611.08984473,100,200.000000102,1.0,44.2429,95.9,-67.1617808679,1.0
-63.4365,-59.9385968709,0.00333333,83.5736444349,0.00333333,1.0,1.0,,500.0,0.00333333,2,-63.4365,500,5.43914e-20,-59.9385968709,1.0,83.5736444349,100,299.999969474,1.0,36.5876,87.99,-59.9385968709,1.0
-64.1919,-66.4579900508,0.0025,2594.87727593,0.0025,1.0,1.0,,500.0,0.0025,2,-64.1919,500,5.4346e-20,-66.4579900508,1.0,2594.87727593,100,400.0,1.0,40.5948,95.05,-66.4579900508,1.0
-63.4889,-60.6770601749,0.002,85.6722484116,0.002,1.0,1.0,,500.0,0.002,1,-63.4889,500,5.43187e-20,-60.6770601749,1.0,85.6722484116,100,500.000006643,1.0,36.569,88.96,-60.6770601749,1.0
-61.328,-61.3279795232,0.01,1342.24707544,0.01,1.0,1.0,,500.0,0.01,2,-61.328,500,3.50449e-18,-61.3279795232,1.0,1342.24707544,100,100.0,1.0,36.453,88.77,-61.3279795232,1.0
-63.3684,-65.4088836251,0.005,2608.02103641,0.005,1.0,1.0,,500.0,0.005,2,-63.3684,500,2.1793e-19,-65.4088836251,1.0,2608.02103641,100,200.000000102,1.0,44.2668,93.21,-65.4088836251,1.0
-64.9473,-68.1050574683,0.00333333,2563.71219819,0.00333333,1.0,1.0,,500.0,0.00333333,2,-64.9473,500,5.43914e-20,-68.1050574683,1.0,2563.71219819,100,299.999969474,1.0,46.4475,97.7,-68.1050574683,1.0
-64.0614,-61.4037358256,0.0025,1355.59700261,0.0025,1.0,1.0,,500.0,0.0025,2,-64.0614,500,5.4346e-20,-61.4037358256,1.0,1355.59700261,100,400.0,1.0,44.2255,88.74,-61.4037358256,1.0
-64.6051,-66.7798447193,0.002,2592.26633284,0.002,1.0,1.0,,500.0,0.002,1,-64.6051,500,5.43187e-20,-66.7798447193,1.0,2592.26633284,100,500.000006643,1.0,45.5979,95.62,-66.7798447193,1.0
-62.4511,-62.4511139569,0.01,1340.25480299,0.01,1.0,1.0,,500.0,0.01,2,-62.4511,500,3.50449e-18,-62.4511139569,1.0,1340.25480299,100,100.0,1.0,36.426,90.85,-62.4511139569,1.0
-66.8154,-71.1797842728,0.005,3819.36385931,0.005,1.0,1.0,,500.0,0.005,2,-66.8154,500,2.1793e-19,-71.1797842728,1.0,3819.36385931,100,200.000000102,1.0,50.7253,101.39,-71.1797842728,1.0
-65.9738,-64.2905195655,0.00333333,1335.71524802,0.00333333,1.0,1.0,,500.0,0.00333333,2,-65.9738,500,5.43914e-20,-64.2905195655,1.0,1335.71524802,100,299.999969474,1.0,46.4497,93.58,-64.2905195655,1.0
-65.2985,-63.2726823461,0.0025,1342.37204454,0.0025,1.0,1.0,,500.0,0.0025,2,-65.2985,500,5.4346e-20,-63.2726823461,1.0,1342.37204454,100,400.0,1.0,44.179,91.88,-63.2726823461,1.0
-64.721,-62.4110232697,0.002,1333.87972407,0.002,1.0,1.0,,500.0,0.002,1,-64.721,500,5.43187e-20,-62.4110232697,1.0,1333.87972407,100,500.000006643,1.0,42.7419,90.16,-62.4110232697,1.0
-59.6671,-59.6671285535,0.01,83.3804057596,0.01,1.0,1.0,,500.0,0.01,2,-59.6671,500,3.50449e-18,-59.6671285535,1.0,83.3804057596,100,100.0,1.0,9.08552,86.73,-59.6671285535,1.0
-61.2833,-62.8994057882,0.005,1328.81709367,0.005,1.0,1.0,,500.0,0.005,2,-61.2833,500,2.1793e-19,-62.8994057882,1.0,1328.81709367,100,200.000000102,1.0,26.4887,90.73,-62.8994057882,1.0
-61.2866,-61.2934037158,0.00333333,1340.7982037,0.00333333,1.0,1.0,,500.0,0.00333333,2,-61.2866,500,5.43914e-20,-61.2934037158,1.0,1340.7982037,100,299.999969474,1.0,30.17,88.1,-61.2934037158,1.0
-62.503,-66.1519752064,0.0025,2597.78695446,0.0025,1.0,1.0,,500.0,0.0025,2,-62.503,500,5.4346e-20,-66.1519752064,1.0,2597.78695446,100,400.0,1.0,36.47,94.86,-66.1519752064,1.0
-61.8948,-59.4620111117,0.002,70.4905400081,0.002,1.0,1.0,,500.0,0.002,1,-61.8948,500,5.43187e-20,-59.4620111117,1.0,70.4905400081,100,500.000006643,1.0,32.8555,87.53,-59.4620111117,1.0
-73.0275,-73.0274579549,0.01,5036.38689276,0.01,1.0,1.0,,500.0,0.01,2,-73.0275,500,3.50449e-18,-73.0274579549,1.0,5036.38689276,100,100.0,1.0,70.6118,102.47,-73.0274579549,1.0
-67.8047,-62.5820323294,0.005,1344.44457058,0.005,1.0,1.0,,500.0,0.005,2,-67.8047,500,2.1793e-19,-62.5820323294,1.0,1344.44457058,100,200.000000102,1.0,56.4428,90.03,-62.5820323294,1.0
-67.5152,-66.9360390408,0.00333333,3874.36140456,0.00333333,1.0,1.0,,500.0,0.00333333,2,-67.5152,500,5.43914e-20,-66.9360390408,1.0,3874.36140456,100,299.999969474,1.0,58.3315,94.49,-66.9360390408,1.0
-65.1965,-58.2402995931,0.0025,55.5746282216,0.0025,1.0,1.0,,500.0,0.0025,2,-65.1965,500,5.4346e-20,-58.2402995931,1.0,55.5746282216,100,400.0,1.0,50.8115,85.56,-58.2402995931,1.0
-64.6978,-62.7030735397,0.002,1342.35242506,0.002,1.0,1.0,,500.0,0.002,1,-64.6978,500,5.43187e-20,-62.7030735397,1.0,1342.35242506,100,500.000006643,1.0,48.2931,90.76,-62.7030735397,1.0
-62.398,-62.3980166732,0.01,1342.46603177,0.01,1.0,1.0,,500.0,0.01,2,-62.398,500,3.50449e-18,-62.3980166732,1.0,1342.46603177,100,100.0,1.0,36.456,90.51,-62.3980166732,1.0
-65.5758,-68.7536508751,0.005,3848.34723376,0.005,1.0,1.0,,500.0,0.005,2,-65.5758,500,2.1793e-19,-68.7536508751,1.0,3848.34723376,100,200.000000102,1.0,50.7893,97.53,-68.7536508751,1.0
-67.2727,-70.6663573186,0.00333333,3803.39452858,0.00333333,1.0,1.0,,500.0,0.00333333,2,-67.2727,500,5.43914e-20,-70.6663573186,1.0,3803.39452858,100,299.999969474,1.0,54.5947,100.97,-70.6663573186,1.0
-65.9722,-62.0707319105,0.0025,1356.20474012,0.0025,1.0,1.0,,500.0,0.0025,2,-65.9722,500,5.4346e-20,-62.0707319105,1.0,1356.20474012,100,400.0,1.0,50.756,90.05,-62.0707319105,1.0
-65.0153,-61.1875607461,0.002,1368.85735843,0.002,1.0,1.0,,500.0,0.002,1,-65.0153,500,5.43187e-20,-61.1875607461,1.0,1368.85735843,100,500.000006643,1.0,48.3284,88.47,-61.1875607461,1.0
-66.1495,-66.149472038,0.01,2607.26942471,0.01,1.0,1.0,,500.0,0.01,2,-66.1495,500,3.50449e-18,-66.149472038,1.0,2607.26942471,100,100.0,1.0,50.8055,94.6,-66.149472038,1.0
-66.3789,-66.6083081149,0.005,2609.74922311,0.005,1.0,1.0,,500.0,0.005,2,-66.3789,500,2.1793e-19,-66.6083081149,1.0,2609.74922311,100,200.000000102,1.0,50.8181,95.37,-66.6083081149,1.0
-65.1434,-62.6723808488,0.00333333,1347.58888298,0.00333333,1.0,1.0,,500.0,0.00333333,2,-65.1434,500,5.43914e-20,-62.6723808488,1.0,1347.58888298,100,299.999969474,1.0,46.5769,90.74,-62.6723808488,1.0
-64.5214,-62.655380927,0.0025,1347.16600844,0.0025,1.0,1.0,,500.0,0.0025,2,-64.5214,500,5.4346e-20,-62.655380927,1.0,1347.16600844,100,400.0,1.0,44.2904,90.73,-62.655380927,1.0
-63.9918,-61.8736420962,0.002,1348.02886622,0.002,1.0,1.0,,500.0,0.002,1,-63.9918,500,5.43187e-20,-61.8736420962,1.0,1348.02886622,100,500.000006643,1.0,42.8643,89.44,-61.8736420962,1.0
-57.953,-57.9529996927,0.01,53.0322909939,0.01,1.0,1.0,,500.0,0.01,2,-57.953,500,3.50449e-18,-57.9529996927,1.0,53.0322909939,100,100.0,1.0,7.24582,85.07,-57.9529996927,1.0
-66.1057,-74.2584962729,0.005,5004.11332091,0.005,1.0,1.0,,500.0,0.005,2,-66.1057,500,2.1793e-19,-74.2584962729,1.0,5004.11332091,100,200.000000102,1.0,50.6927,104.71,-74.2584962729,1.0
-66.3568,-66.858993974,0.00333333,2586.64386244,0.00333333,1.0,1.0,,500.0,0.00333333,2,-66.3568,500,5.43914e-20,-66.858993974,1.0,2586.64386244,100,299.999969474,1.0,50.6645,96.03,-66.858993974,1.0
-66.3164,-66.1950012159,0.0025,2603.0816808,0.0025,1.0,1.0,,500.0,0.0025,2,-66.3164,500,5.4346e-20,-66.1950012159,1.0,2603.0816808,100,400.0,1.0,50.6896,94.86,-66.1950012159,1.0
-66.9234,-69.3512769784,0.002,3833.09278221,0.002,1.0,1.0,,500.0,0.002,1,-66.9234,500,5.43187e-20,-69.3512769784,1.0,3833.09278221,100,500.000006643,1.0,53.0657,98.36,-69.3512769784,1.0
-70.2421,-70.2421357687,0.01,3806.66900419,0.01,1.0,1.0,,500.0,0.01,2,-70.2421,500,3.50449e-18,-70.2421357687,1.0,3806.66900419,100,100.0,1.0,61.3889,99.81,-70.2421357687,1.0
-71.6475,-73.0528558789,0.005,5030.80031066,0.005,1.0,1.0,,500.0,0.005,2,-71.6475,500,2.1793e-19,-73.0528558789,1.0,5030.80031066,100,200.000000102,1.0,66.1553,102.1,-73.0528558789,1.0
-69.6536,-65.6659544364,0.00333333,2596.31994312,0.00333333,1.0,1.0,,500.0,0.00333333,2,-69.6536,500,5.43914e-20,-65.6659544364,1.0,2596.31994312,100,299.999969474,1.0,61.5014,93.86,-65.6659544364,1.0
-68.5479,-65.2305377124,0.0025,2606.25698017,0.0025,1.0,1.0,,500.0,0.0025,2,-68.5479,500,5.4346e-20,-65.2305377124,1.0,2606.25698017,100,400.0,1.0,59.0384,93.44,-65.2305377124,1.0
-68.4598,-68.1072932731,0.002,2568.91660869,0.002,1.0,1.0,,500.0,0.002,1,-68.4598,500,5.43187e-20,-68.1072932731,1.0,2568.91660869,100,500.000006643,1.0,57.4204,98.13,-68.1072932731,1.0
-59.9654,-59.9654086672,0.01,54.3188846747,0.01,1.0,1.0,,500.0,0.01,2,-59.9654,500,3.50449e-18,-59.9654086672,1.0,54.3188846747,100,100.0,1.0,7.33319,88.64,-59.9654086672,1.0
-62.969,-65.9725769636,0.005,2584.36089262,0.005,1.0,1.0,,500.0,0.005,2,-62.969,500,2.1793e-19,-65.9725769636,1.0,2584.36089262,100,200.000000102,1.0,36.2652,94.34,-65.9725769636,1.0
-66.9883,-75.0268458724,0.00333333,6275.50985704,0.00333333,1.0,1.0,,500.0,0.00333333,2,-66.9883,500,5.43914e-20,-75.0268458724,1.0,6275.50985704,100,299.999969474,1.0,54.5894,104.04,-75.0268458724,1.0
-64.8886,-58.5896950684,0.0025,59.96655202,0.0025,1.0,1.0,,500.0,0.0025,2,-64.8886,500,5.4346e-20,-58.5896950684,1.0,59.96655202,100,400.0,1.0,47.5718,85.66,-58.5896950684,1.0
-65.4813,-67.8521628417,0.002,2590.83524181,0.002,1.0,1.0,,500.0,0.002,1,-65.4813,500,5.43187e-20,-67.8521628417,1.0,2590.83524181,100,500.000006643,1.0,48.2167,97.5,-67.8521628417,1.0
-69.5129,-69.5129222177,0.01,3858.9865171,0.01,1.0,1.0,,500.0,0.01,2,-69.5129,500,3.50449e-18,-69.5129222177,1.0,3858.9865171,100,100.0,1.0,61.8094,98.43,-69.5129222177,1.0
-64.1885,-58.8641193114,0.005,54.6324723789,0.005,1.0,1.0,,500.0,0.005,2,-64.1885,500,2.1793e-19,-58.8641193114,1.0,54.6324723789,100,200.000000102,1.0,44.335,86.67,-58.8641193114,1.0
-65.9335,-69.4235944378,0.00333333,3839.5178789,0.00333333,1.0,1.0,,500.0,0.00333333,2,-65.9335,500,5.43914e-20,-69.4235944378,1.0,3839.5178789,100,299.999969474,1.0,50.8284,98.91,-69.4235944378,1.0
-65.288,-63.3514750189,0.0025,1333.0593158,0.0025,1.0,1.0,,500.0,0.0025,2,-65.288,500,5.4346e-20,-63.3514750189,1.0,1333.0593158,100,400.0,1.0,47.6322,91.76,-63.3514750189,1.0
-65.3946,-65.8207688184,0.002,2596.89589267,0.002,1.0,1.0,,500.0,0.002,1,-65.3946,500,5.43187e-20,-65.8207688184,1.0,2596.89589267,100,500.000006643,1.0,48.2627,94.12,-65.8207688184,1.0
-62.9475,-62.9475356309,0.01,1343.94325296,0.01,1.0,1.0,,500.0,0.01,2,-62.9475,500,3.50449e-18,-62.9475356309,1.0,1343.94325296,100,100.0,1.0,36.4761,91.37,-62.9475356309,1.0
-63.3854,-63.8232890078,0.005,1349.13384465,0.005,1.0,1.0,,500.0,0.005,2,-63.3854,500,2.1793e-19,-63.8232890078,1.0,1349.13384465,100,200.000000102,1.0,36.5139,92.12,-63.8232890078,1.0
-64.6133,-67.0691501024,0.00333333,2580.60059123,0.00333333,1.0,1.0,,500.0,0.00333333,2,-64.6133,500,5.43914e-20,-67.0691501024,1.0,2580.60059123,100,299.999969474,1.0,41.7547,95.85,-67.0691501024,1.0
-65.0802,-66.4806355165,0.0025,2596.33034683,0.0025,1.0,1.0,,500.0,0.0025,2,-65.0802,500,5.4346e-20,-66.4806355165,1.0,2596.33034683,100,400.0,1.0,44.1683,94.53,-66.4806355165,1.0
