InitialReturnStd,InitialReturnMean,OptimizationReturnMin,EpLenMean,ReturnMeanIW,MaxIW,MeanIW,OptimizationReturnMax,EpRewMean,Iteration,StdIWNorm,ESSClassic,InitialReturnMax,EpThisIter,ReturnStepMaxmin,EpisodesSoFar,ESSRenyi,OptimizationReturnMean,MeanEntropy,TimeElapsed,Bound,MinIW,LearnableVariance,InitialReturnMin,MaxIWNorm,Weights,StdIW,TimestepsSoFar,ReturnStepMax,MinIWNorm,J_sample_variance,EmpiricalD2,MeanIWNorm,VarianceInit,InitialBound
1292.9108,4383.9863,,438.71,4691.112,2.953803,1.0330378,4989.5654,4383.986692411811,36,0.005859951,75.65571,4999.545,100,10.0,3600,75.311386,4374.007,0.4189424,425.85299158096313,3985.5327,0.21770227,,9.979488,0.02953803,[ 0.017  0.314 -2.104 -1.532],0.5859951,810327,10.0,0.0021770226,10526296.0,1.3278204,0.010330378,-1.0,3771.6702
872.1853,4682.6216,,468.54,4717.8745,1.8433504,1.0035605,4989.5786,4682.621743668467,37,0.0018531112,96.702736,4999.5586,100,10.0,3700,96.8294,4672.642,0.4189424,503.86373019218445,4095.6118,0.71453285,,9.980027,0.018433504,[ 0.013  0.337 -2.131 -1.557],0.18531112,857181,10.0,0.0071453284,1598290.9,1.0327442,0.010035605,-1.0,4070.3032
1271.7994,4513.076,,451.57,4587.4165,2.5075629,1.038478,4989.5215,4513.076078449917,38,0.0040379595,86.86647,4999.5024,100,10.0,3800,90.64887,4503.095,0.4189424,581.4258880615234,3944.2976,0.49238008,,9.980917,0.025075627,[ 0.009  0.341 -2.133 -1.561],0.40379596,902338,10.0,0.004923801,3504078.0,1.1031576,0.010384779,-1.0,3900.7642
1076.2693,4527.8687,,453.12,4801.798,3.5588095,1.0466868,4959.5635,4527.86838097969,39,0.006293409,73.44705,4999.488,100,10.0,3900,69.20506,4487.944,0.4189424,656.1815266609192,4065.7563,0.16291785,,39.924355,0.035588093,[ 0.003  0.34  -2.144 -1.565],0.6293409,947650,10.0,0.0016291785,10912906.0,1.444981,0.01046687,-1.0,3915.5583
1108.1571,4587.63,,459.01,5308.7266,16.137335,1.231734,4929.6455,4587.629964021716,40,0.021070642,25.469147,4999.539,100,10.0,4000,42.608288,4517.7363,0.4189424,746.0637292861938,4370.671,0.124095894,,69.89356,0.16137335,[ 0.009  0.36  -2.131 -1.604],2.1070642,993551,10.0,0.0012409589,51989876.0,2.3469613,0.012317342,-1.0,3975.3145
1256.0057,4430.967,,443.44,5049.2236,3.7641046,1.0924199,4999.5347,4430.966386746634,41,0.006018224,76.71658,4999.5347,100,10.0,4100,67.02799,4430.967,0.4189424,825.8736021518707,4301.3174,0.2098361,,,0.037641045,[-0.008  0.348 -2.148 -1.606],0.60182244,1037895,10.0,0.0020983608,10921493.0,1.491914,0.010924199,-1.0,3818.651
1349.0469,4402.801,,440.59,4729.6255,2.5512142,1.0602591,4989.5264,4402.800831330395,42,0.0048594004,82.640594,4999.5073,100,10.0,4200,77.32451,4392.82,0.4189424,904.2645530700684,4033.2969,0.23016897,,9.981125,0.025512142,[-1.676e-03  3.685e-01 -2.158e+00 -1.614e+00],0.48594004,1081954,10.0,0.0023016897,8114346.0,1.293251,0.010602591,-1.0,3790.4888
920.1846,4765.454,,476.72,6766.725,33.006268,1.4061819,4989.473,4765.45398223213,43,0.03780764,12.152194,4999.453,100,10.0,4300,13.963383,4755.474,0.4189424,988.8622736930847,5128.1255,0.009073646,,9.979844,0.33006266,[ 0.003  0.381 -2.161 -1.606],3.780764,1129626,10.0,9.073646e-05,360492670.0,7.161588,0.01406182,-1.0,4153.1484
1077.278,4651.073,,465.34,5622.844,8.543654,1.1886226,4999.571,4651.072835297797,44,0.016284544,34.75848,4999.571,100,10.0,4400,31.264761,4651.073,0.4189424,1079.9899411201477,4527.752,0.00608798,,,0.085436545,[ 0.004  0.36  -2.172 -1.662],1.6284544,1176160,10.0,6.0879796e-05,68336424.0,3.1984892,0.011886227,-1.0,4038.753
1060.9917,4683.3994,,468.54,5221.4985,5.7756557,1.0973878,4999.4897,4683.399560949664,45,0.009260471,58.407528,4999.4897,100,10.0,4500,58.43441,4683.3994,0.4189424,1157.6486659049988,4420.49,0.096165776,,,0.057756554,[ 0.004  0.392 -2.169 -1.646],0.92604715,1223014,10.0,0.00096165773,23015008.0,1.7113204,0.010973878,-1.0,4071.0894
983.1926,4715.1206,,471.73,4812.048,2.413664,1.0261512,4999.643,4715.120622682683,46,0.0039034304,87.359085,4999.643,100,10.0,4600,88.14276,4715.1206,0.4189424,1243.580691576004,4159.832,0.45836207,,,0.02413664,[-5.628e-04  3.987e-01 -2.211e+00 -1.693e+00],0.39034304,1270187,10.0,0.0045836205,4562585.0,1.1345232,0.010261511,-1.0,4102.792
1108.116,4635.2505,,463.74,5199.3726,5.5413404,1.0976093,4979.6455,4635.250589733377,47,0.008648714,61.694897,4999.6074,100,10.0,4700,56.605507,4615.289,0.4189424,1326.3863718509674,4385.508,0.11144805,,19.961994,0.055413403,[-1.721e-03  3.840e-01 -2.209e+00 -1.689e+00],0.8648714,1316561,10.0,0.0011144804,20130154.0,1.7666125,0.010976093,-1.0,4022.9265
1113.5426,4676.466,,467.82,7619.0854,35.466682,1.5957776,4999.571,4676.465275849321,48,0.047872376,10.000357,4999.571,100,10.0,4800,8.127191,4676.466,0.4189424,1412.4605219364166,5471.215,0.017941754,,,0.35466683,[ 0.009  0.373 -2.219 -1.71 ],4.787237,1363343,10.0,0.00017941753,581352100.0,12.304375,0.015957778,-1.0,4064.1455
978.8523,4762.8887,,476.46,5177.183,3.0831764,1.0900608,4989.556,4762.888379429368,49,0.0054141665,80.21202,4999.539,100,10.0,4900,67.23624,4752.906,0.4189424,1495.7804567813873,4430.4355,0.094159395,,9.982864,0.030831764,[ 1.382e-03  4.163e-01 -2.228e+00 -1.677e+00],0.54141665,1410989,10.0,0.0009415939,8168441.0,1.4872932,0.010900608,-1.0,4150.5723
1047.481,4716.608,,471.83,5319.696,3.2212577,1.1302876,4979.578,4716.607822730502,50,0.0058297897,78.98718,4999.5474,100,10.0,5000,69.54125,4696.6387,0.4189424,1584.639357805252,4585.427,0.12342079,,19.969398,0.032212578,[ 0.014  0.422 -2.226 -1.67 ],0.58297896,1458172,10.0,0.0012342079,9334801.0,1.4379954,0.011302875,-1.0,4104.2905
894.4707,4792.575,,479.41,7785.5527,61.736965,1.5812076,4689.7207,4792.574746750658,51,0.06361899,5.81798,4999.452,100,10.0,5100,7.6962047,4482.8433,0.4189424,1662.6881530284882,5578.413,0.0022837655,,309.73132,0.61736965,[ 0.02   0.451 -2.252 -1.689],6.361899,1506113,10.0,2.2837654e-05,900540700.0,12.993418,0.015812075,-1.0,4180.2695
