eRenyi2,J,VarVanillaIw,VarDiscRet,AvgDiscRet,VarNormIw,ESSRenyi,AvgRet,AvgVanillaIw,BatchSize,IterType,VanillaAvgRet,EpsThisIter,AvgEpLen,VarRet,AvgNormIw,Delta,ESSClassic,VarJ,MaxVanillaIw,MaxNormIw,MinNormIw,Bound,MinVanillaIw
1.0,-60.3542,,45.4579277151,-60.3542469597,3.50449e-18,500.0,-60.3542469597,1.0,500,2,-60.3542469597,100,89.0,45.4579277151,0.01,1.0,100.0,6.70845,1.0,0.01,0.01,-60.3542,1.0
1.0,-65.037,,3813.35474422,-69.7197264478,2.1793e-19,500.0,-69.7197264478,1.0,500,2,-69.7197264478,100,98.89,3813.35474422,0.005,1.0,200.000000102,43.955,1.0,0.005,0.005,-65.037,1.0
1.0,-62.8491,,43.2358048292,-58.4732986233,5.43914e-20,500.0,-58.4732986233,1.0,500,2,-58.4732986233,100,86.05,43.2358048292,0.00333333,1.0,299.999969474,36.2197,1.0,0.00333333,0.00333333,-62.8491,1.0
1.0,-62.7828,,1319.56643173,-62.5838618192,5.4346e-20,500.0,-62.5838618192,1.0,500,2,-62.5838618192,100,91.41,1319.56643173,0.0025,1.0,400.0,36.2009,1.0,0.0025,0.0025,-62.7828,1.0
1.0,-62.9803,,1322.03037436,-63.7704885665,5.43187e-20,500.0,-63.7704885665,1.0,500,1,-63.7704885665,100,93.1,1322.03037436,0.002,1.0,500.000006643,36.1984,1.0,0.002,0.002,-62.9803,1.0
1.0,-62.1541,,1331.59977502,-62.1541357724,3.50449e-18,500.0,-62.1541357724,1.0,500,2,-62.1541357724,100,90.51,1331.59977502,0.01,1.0,100.0,36.3082,1.0,0.01,0.01,-62.1541,1.0
1.0,-60.7452,,54.1011871818,-59.3361698849,2.1793e-19,500.0,-59.3361698849,1.0,500,2,-59.3361698849,100,87.38,54.1011871818,0.005,1.0,200.000000102,26.228,1.0,0.005,0.005,-60.7452,1.0
1.0,-60.5396,,45.4098534082,-60.1285396804,5.43914e-20,500.0,-60.1285396804,1.0,500,2,-60.1285396804,100,88.59,45.4098534082,0.00333333,1.0,299.999969474,21.7641,1.0,0.00333333,0.00333333,-60.5396,1.0
1.0,-60.1832,,36.3348282415,-59.1139115231,5.4346e-20,500.0,-59.1139115231,1.0,500,2,-59.1139115231,100,86.79,36.3348282415,0.0025,1.0,400.0,19.0953,1.0,0.0025,0.0025,-60.1832,1.0
1.0,-60.7063,,1317.73934862,-62.7988907911,5.43187e-20,500.0,-62.7988907911,1.0,500,1,-62.7988907911,100,91.22,1317.73934862,0.002,1.0,500.000006643,23.5311,1.0,0.002,0.002,-60.7063,1.0
1.0,-58.7327,,50.5417106491,-58.732667996,3.50449e-18,500.0,-58.732667996,1.0,500,2,-58.732667996,100,86.07,50.5417106491,0.01,1.0,100.0,7.07363,1.0,0.01,0.01,-58.7327,1.0
1.0,-62.288,,2591.11157015,-65.8432485121,2.1793e-19,500.0,-65.8432485121,1.0,500,2,-65.8432485121,100,94.6,2591.11157015,0.005,1.0,200.000000102,36.3354,1.0,0.005,0.005,-62.288,1.0
1.0,-61.8611,,1344.35318708,-61.0074891602,5.43914e-20,500.0,-61.0074891602,1.0,500,2,-61.0074891602,100,87.95,1344.35318708,0.00333333,1.0,299.999969474,36.3892,1.0,0.00333333,0.00333333,-61.8611,1.0
1.0,-62.8518,,2587.77453171,-65.8236776026,5.4346e-20,500.0,-65.8236776026,1.0,500,2,-65.8236776026,100,94.55,2587.77453171,0.0025,1.0,400.0,40.4543,1.0,0.0025,0.0025,-62.8518,1.0
1.0,-62.8238,,1325.16992975,-62.7120064354,5.43187e-20,500.0,-62.7120064354,1.0,500,1,-62.7120064354,100,91.28,1325.16992975,0.002,1.0,500.000006643,39.6437,1.0,0.002,0.002,-62.8238,1.0
1.0,-62.2918,,1325.52830826,-62.2917654125,3.50449e-18,500.0,-62.2917654125,1.0,500,2,-62.2917654125,100,90.51,1325.52830826,0.01,1.0,100.0,36.2253,1.0,0.01,0.01,-62.2918,1.0
1.0,-60.4957,,49.3940734281,-58.6995724384,2.1793e-19,500.0,-58.6995724384,1.0,500,2,-58.6995724384,100,86.31,49.3940734281,0.005,1.0,200.000000102,26.1498,1.0,0.005,0.005,-60.4957,1.0
1.0,-60.9712,,1329.19462013,-61.9223135068,5.43914e-20,500.0,-61.9223135068,1.0,500,2,-61.9223135068,100,89.93,1329.19462013,0.00333333,1.0,299.999969474,29.9159,1.0,0.00333333,0.00333333,-60.9712,1.0
1.0,-60.6172,,32.982860998,-59.5553127383,5.4346e-20,500.0,-59.5553127383,1.0,500,2,-59.5553127383,100,87.75,32.982860998,0.0025,1.0,400.0,26.0722,1.0,0.0025,0.0025,-60.6172,1.0
1.0,-61.7266,,2590.39435965,-66.1638630241,5.43187e-20,500.0,-66.1638630241,1.0,500,1,-66.1638630241,100,94.69,2590.39435965,0.002,1.0,500.000006643,32.5826,1.0,0.002,0.002,-61.7266,1.0
1.0,-62.5354,,1328.76286461,-62.5353681757,3.50449e-18,500.0,-62.5353681757,1.0,500,2,-62.5353681757,100,90.8,1328.76286461,0.01,1.0,100.0,36.2695,1.0,0.01,0.01,-62.5354,1.0
1.0,-62.181,,1328.28309744,-61.8266929407,2.1793e-19,500.0,-61.8266929407,1.0,500,2,-61.8266929407,100,89.46,1328.28309744,0.005,1.0,200.000000102,36.2679,1.0,0.005,0.005,-62.181,1.0
1.0,-60.8787,,40.8878536579,-58.2739281645,5.43914e-20,500.0,-58.2739281645,1.0,500,2,-58.2739281645,100,85.61,40.8878536579,0.00333333,1.0,299.999969474,29.8964,1.0,0.00333333,0.00333333,-60.8787,1.0
1.0,-61.1074,,1328.84521207,-61.7935499087,5.4346e-20,500.0,-61.7935499087,1.0,500,2,-61.7935499087,100,89.67,1328.84521207,0.0025,1.0,400.0,31.6132,1.0,0.0025,0.0025,-61.1074,1.0
1.0,-64.2681,,6182.1024819,-76.9111662386,5.43187e-20,500.0,-76.9111662386,1.0,500,1,-76.9111662386,100,107.22,6182.1024819,0.002,1.0,500.000006643,45.4261,1.0,0.002,0.002,-64.2681,1.0
1.0,-62.938,,1330.11110345,-62.9380512045,3.50449e-18,500.0,-62.9380512045,1.0,500,2,-62.9380512045,100,91.07,1330.11110345,0.01,1.0,100.0,36.2879,1.0,0.01,0.01,-62.938,1.0
1.0,-62.5626,,1326.84146467,-62.1871277507,2.1793e-19,500.0,-62.1871277507,1.0,500,2,-62.1871277507,100,90.15,1326.84146467,0.005,1.0,200.000000102,36.2675,1.0,0.005,0.005,-62.5626,1.0
1.0,-62.5431,,1333.60500459,-62.5041708836,5.43914e-20,500.0,-62.5041708836,1.0,500,2,-62.5041708836,100,90.95,1333.60500459,0.00333333,1.0,299.999969474,36.2902,1.0,0.00333333,0.00333333,-62.5431,1.0
1.0,-62.6501,,1316.01429595,-62.9711366265,5.4346e-20,500.0,-62.9711366265,1.0,500,2,-62.9711366265,100,91.37,1316.01429595,0.0025,1.0,400.0,36.242,1.0,0.0025,0.0025,-62.6501,1.0
1.0,-62.4068,,1330.52769959,-61.4336007734,5.43187e-20,500.0,-61.4336007734,1.0,500,1,-61.4336007734,100,89.01,1330.52769959,0.002,1.0,500.000006643,36.2556,1.0,0.002,0.002,-62.4068,1.0
1.0,-63.0381,,1329.84166443,-63.0380695863,3.50449e-18,500.0,-63.0380695863,1.0,500,2,-63.0380695863,100,91.56,1329.84166443,0.01,1.0,100.0,36.2842,1.0,0.01,0.01,-63.0381,1.0
1.0,-62.5502,,1327.97004094,-62.0623046716,2.1793e-19,500.0,-62.0623046716,1.0,500,2,-62.0623046716,100,90.01,1327.97004094,0.005,1.0,200.000000102,36.2747,1.0,0.005,0.005,-62.5502,1.0
1.0,-61.5188,,36.4621747026,-59.4560837138,5.43914e-20,500.0,-59.4560837138,1.0,500,2,-59.4560837138,100,87.63,36.4621747026,0.00333333,1.0,299.999969474,29.8563,1.0,0.00333333,0.00333333,-61.5188,1.0
1.0,-60.9185,,38.6959792952,-59.1176235712,5.4346e-20,500.0,-59.1176235712,1.0,500,2,-59.1176235712,100,86.79,38.6959792952,0.0025,1.0,400.0,26.0616,1.0,0.0025,0.0025,-60.9185,1.0
1.0,-60.3006,,42.3271197812,-57.8290950695,5.43187e-20,500.0,-57.8290950695,1.0,500,1,-57.8290950695,100,84.33,42.3271197812,0.002,1.0,500.000006643,23.5217,1.0,0.002,0.002,-60.3006,1.0
1.0,-63.0947,,1322.67062167,-63.0946555455,3.50449e-18,500.0,-63.0946555455,1.0,500,2,-63.0946555455,100,91.9,1322.67062167,0.01,1.0,100.0,36.1862,1.0,0.01,0.01,-63.0947,1.0
1.0,-61.3539,,53.4896296446,-59.6131535186,2.1793e-19,500.0,-59.6131535186,1.0,500,2,-59.6131535186,100,87.71,53.4896296446,0.005,1.0,200.000000102,26.1578,1.0,0.005,0.005,-61.3539,1.0
1.0,-62.8069,,2583.92797332,-65.7127494507,5.43914e-20,500.0,-65.7127494507,1.0,500,2,-65.7127494507,100,94.37,2583.92797332,0.00333333,1.0,299.999969474,36.2363,1.0,0.00333333,0.00333333,-62.8069,1.0
1.0,-62.7036,,1329.18201227,-62.3936468513,5.4346e-20,500.0,-62.3936468513,1.0,500,2,-62.3936468513,100,90.96,1329.18201227,0.0025,1.0,400.0,36.2465,1.0,0.0025,0.0025,-62.7036,1.0
1.0,-61.8087,,41.9817279912,-58.229465005,5.43187e-20,500.0,-58.229465005,1.0,500,1,-58.229465005,100,85.56,41.9817279912,0.002,1.0,500.000006643,32.597,1.0,0.002,0.002,-61.8087,1.0
1.0,-59.7875,,34.469318795,-59.787509346,3.50449e-18,500.0,-59.787509346,1.0,500,2,-59.787509346,100,88.08,34.469318795,0.01,1.0,100.0,5.84163,1.0,0.01,0.01,-59.7875,1.0
1.0,-63.3259,,2572.73920291,-66.8643726003,2.1793e-19,500.0,-66.8643726003,1.0,500,2,-66.8643726003,100,96.44,2572.73920291,0.005,1.0,200.000000102,36.0983,1.0,0.005,0.005,-63.3259,1.0
1.0,-61.4841,,33.3506086558,-57.8005476932,5.43914e-20,500.0,-57.8005476932,1.0,500,2,-57.8005476932,100,84.52,33.3506086558,0.00333333,1.0,299.999969474,29.7744,1.0,0.00333333,0.00333333,-61.4841,1.0
1.0,-60.8334,,41.4143995836,-58.881267186,5.4346e-20,500.0,-58.881267186,1.0,500,2,-58.881267186,100,86.53,41.4143995836,0.0025,1.0,400.0,26.0078,1.0,0.0025,0.0025,-60.8334,1.0
1.0,-60.3495,,43.6895977655,-58.4135684703,5.43187e-20,500.0,-58.4135684703,1.0,500,1,-58.4135684703,100,85.48,43.6895977655,0.002,1.0,500.000006643,23.4673,1.0,0.002,0.002,-60.3495,1.0
1.0,-59.5913,,37.0274436264,-59.5912931611,3.50449e-18,500.0,-59.5912931611,1.0,500,2,-59.5912931611,100,88.12,37.0274436264,0.01,1.0,100.0,6.05452,1.0,0.01,0.01,-59.5913,1.0
1.0,-61.0341,,1317.48153908,-62.4768446246,2.1793e-19,500.0,-62.4768446246,1.0,500,2,-62.4768446246,100,90.97,1317.48153908,0.005,1.0,200.000000102,25.9338,1.0,0.005,0.005,-61.0341,1.0
1.0,-60.1857,,46.0309206023,-58.4890720241,5.43914e-20,500.0,-58.4890720241,1.0,500,2,-58.4890720241,100,86.19,46.0309206023,0.00333333,1.0,299.999969474,21.564,1.0,0.00333333,0.00333333,-60.1857,1.0
1.0,-59.6838,,40.8954147847,-58.1779799493,5.4346e-20,500.0,-58.1779799493,1.0,500,2,-58.1779799493,100,85.68,40.8954147847,0.0025,1.0,400.0,18.964,1.0,0.0025,0.0025,-59.6838,1.0
1.0,-60.2372,,1320.78691399,-62.4506237541,5.43187e-20,500.0,-62.4506237541,1.0,500,1,-62.4506237541,100,90.9,1320.78691399,0.002,1.0,500.000006643,23.4616,1.0,0.002,0.002,-60.2372,1.0
1.0,-64.3505,,2598.54115562,-64.3505322716,3.50449e-18,500.0,-64.3505322716,1.0,500,2,-64.3505322716,100,91.9,2598.54115562,0.01,1.0,100.0,50.7204,1.0,0.01,0.01,-64.3505,1.0
1.0,-63.5354,,1328.93734048,-62.7202074446,2.1793e-19,500.0,-62.7202074446,1.0,500,2,-62.7202074446,100,91.19,1328.93734048,0.005,1.0,200.000000102,44.0995,1.0,0.005,0.005,-63.5354,1.0
1.0,-61.9526,,47.4266842095,-58.7869186474,5.43914e-20,500.0,-58.7869186474,1.0,500,2,-58.7869186474,100,86.34,47.4266842095,0.00333333,1.0,299.999969474,36.2929,1.0,0.00333333,0.00333333,-61.9526,1.0
1.0,-62.4306,,1320.51969,-63.8647829768,5.4346e-20,500.0,-63.8647829768,1.0,500,2,-63.8647829768,100,93.0,1320.51969,0.0025,1.0,400.0,36.2684,1.0,0.0025,0.0025,-62.4306,1.0
1.0,-61.6738,,42.4345717285,-58.64660449,5.43187e-20,500.0,-58.64660449,1.0,500,1,-58.64660449,100,86.22,42.4345717285,0.002,1.0,500.000006643,32.6038,1.0,0.002,0.002,-61.6738,1.0
1.0,-59.3329,,28.5763475969,-59.3329355125,3.50449e-18,500.0,-59.3329355125,1.0,500,2,-59.3329355125,100,87.75,28.5763475969,0.01,1.0,100.0,5.31889,1.0,0.01,0.01,-59.3329,1.0
1.0,-60.7725,,1328.36434231,-62.2120360494,2.1793e-19,500.0,-62.2120360494,1.0,500,2,-62.2120360494,100,90.65,1328.36434231,0.005,1.0,200.000000102,25.9568,1.0,0.005,0.005,-60.7725,1.0
1.0,-63.0438,,2565.14463507,-67.5863757136,5.43914e-20,500.0,-67.5863757136,1.0,500,2,-67.5863757136,100,97.13,2565.14463507,0.00333333,1.0,299.999969474,36.1384,1.0,0.00333333,0.00333333,-63.0438,1.0
1.0,-63.745,,2580.3811809,-65.8487843569,5.4346e-20,500.0,-65.8487843569,1.0,500,2,-65.8487843569,100,94.0,2580.3811809,0.0025,1.0,400.0,40.2444,1.0,0.0025,0.0025,-63.745,1.0
1.0,-62.8272,,42.6086772222,-59.1558468634,5.43187e-20,500.0,-59.1558468634,1.0,500,1,-59.1558468634,100,87.11,42.6086772222,0.002,1.0,500.000006643,36.1593,1.0,0.002,0.002,-62.8272,1.0
1.0,-62.4277,,1321.72864421,-62.4276889224,3.50449e-18,500.0,-62.4276889224,1.0,500,2,-62.4276889224,100,90.89,1321.72864421,0.01,1.0,100.0,36.1734,1.0,0.01,0.01,-62.4277,1.0
1.0,-60.4663,,39.768505814,-58.5048662226,2.1793e-19,500.0,-58.5048662226,1.0,500,2,-58.5048662226,100,86.22,39.768505814,0.005,1.0,200.000000102,26.0344,1.0,0.005,0.005,-60.4663,1.0
1.0,-62.4408,,2577.45983851,-66.3899219693,5.43914e-20,500.0,-66.3899219693,1.0,500,2,-66.3899219693,100,95.17,2577.45983851,0.00333333,1.0,299.999969474,36.1969,1.0,0.00333333,0.00333333,-62.4408,1.0
1.0,-61.7722,,42.7138784488,-59.7661801332,5.4346e-20,500.0,-59.7661801332,1.0,500,2,-59.7661801332,100,88.12,42.7138784488,0.0025,1.0,400.0,31.5369,1.0,0.0025,0.0025,-61.7722,1.0
1.0,-61.1476,,48.9753243145,-58.6493490656,5.43187e-20,500.0,-58.6493490656,1.0,500,1,-58.6493490656,100,85.61,48.9753243145,0.002,1.0,500.000006643,28.4063,1.0,0.002,0.002,-61.1476,1.0
1.0,-59.3271,,42.3109400676,-59.3271035479,3.50449e-18,500.0,-59.3271035479,1.0,500,2,-59.3271035479,100,87.38,42.3109400676,0.01,1.0,100.0,6.47208,1.0,0.01,0.01,-59.3271,1.0
1.0,-60.674,,1329.58955355,-62.020988052,2.1793e-19,500.0,-62.020988052,1.0,500,2,-62.020988052,100,89.97,1329.58955355,0.005,1.0,200.000000102,26.0942,1.0,0.005,0.005,-60.674,1.0
1.0,-60.1957,,41.256728451,-59.2390869012,5.43914e-20,500.0,-59.2390869012,1.0,500,2,-59.2390869012,100,87.07,41.256728451,0.00333333,1.0,299.999969474,21.6335,1.0,0.00333333,0.00333333,-60.1957,1.0
1.0,-59.7484,,42.6947469923,-58.4066185869,5.4346e-20,500.0,-58.4066185869,1.0,500,2,-58.4066185869,100,85.4,42.6947469923,0.0025,1.0,400.0,19.0309,1.0,0.0025,0.0025,-59.7484,1.0
1.0,-59.5145,,34.9049370653,-58.5784988925,5.43187e-20,500.0,-58.5784988925,1.0,500,1,-58.5784988925,100,86.12,34.9049370653,0.002,1.0,500.000006643,17.2299,1.0,0.002,0.002,-59.5145,1.0
1.0,-69.6359,,3812.30252152,-69.6359096323,3.50449e-18,500.0,-69.6359096323,1.0,500,2,-69.6359096323,100,98.96,3812.30252152,0.01,1.0,100.0,61.4343,1.0,0.01,0.01,-69.6359,1.0
1.0,-65.9925,,1339.93831485,-62.3491910274,2.1793e-19,500.0,-62.3491910274,1.0,500,2,-62.3491910274,100,90.39,1339.93831485,0.005,1.0,200.000000102,50.6323,1.0,0.005,0.005,-65.9925,1.0
1.0,-63.9597,,45.4217202644,-59.8939929575,5.43914e-20,500.0,-59.8939929575,1.0,500,2,-59.8939929575,100,88.51,45.4217202644,0.00333333,1.0,299.999969474,41.6214,1.0,0.00333333,0.00333333,-63.9597,1.0
1.0,-63.4441,,1322.70722728,-61.8972002243,5.4346e-20,500.0,-61.8972002243,1.0,500,2,-61.8972002243,100,89.75,1322.70722728,0.0025,1.0,400.0,40.3414,1.0,0.0025,0.0025,-63.4441,1.0
1.0,-64.7863,,3801.78572159,-70.1551180564,5.43187e-20,500.0,-70.1551180564,1.0,500,1,-70.1551180564,100,99.62,3801.78572159,0.002,1.0,500.000006643,45.4081,1.0,0.002,0.002,-64.7863,1.0
1.0,-63.526,,1325.51440063,-63.5260388172,3.50449e-18,500.0,-63.5260388172,1.0,500,2,-63.5260388172,100,92.89,1325.51440063,0.01,1.0,100.0,36.2251,1.0,0.01,0.01,-63.526,1.0
1.0,-64.0985,,2589.10707802,-64.6709631346,2.1793e-19,500.0,-64.6709631346,1.0,500,2,-64.6709631346,100,92.46,2589.10707802,0.005,1.0,200.000000102,44.0235,1.0,0.005,0.005,-64.0985,1.0
1.0,-62.7451,,48.3162675215,-60.0382560378,5.43914e-20,500.0,-60.0382560378,1.0,500,2,-60.0382560378,100,88.48,48.3162675215,0.00333333,1.0,299.999969474,36.2167,1.0,0.00333333,0.00333333,-62.7451,1.0
1.0,-61.6304,,44.6199477226,-58.2863616276,5.4346e-20,500.0,-58.2863616276,1.0,500,2,-58.2863616276,100,85.64,44.6199477226,0.0025,1.0,400.0,31.5992,1.0,0.0025,0.0025,-61.6304,1.0
1.0,-61.5744,,1333.97851994,-61.3501995014,5.43187e-20,500.0,-61.3501995014,1.0,500,1,-61.3501995014,100,89.14,1333.97851994,0.002,1.0,500.000006643,32.6029,1.0,0.002,0.002,-61.5744,1.0
1.0,-60.7973,,1329.59099772,-60.7973300409,3.50449e-18,500.0,-60.7973300409,1.0,500,2,-60.7973300409,100,87.58,1329.59099772,0.01,1.0,100.0,36.2808,1.0,0.01,0.01,-60.7973,1.0
1.0,-59.4651,,34.9016448779,-58.1328465743,2.1793e-19,500.0,-58.1328465743,1.0,500,2,-58.1328465743,100,85.33,34.9016448779,0.005,1.0,200.000000102,26.023,1.0,0.005,0.005,-59.4651,1.0
1.0,-61.708,,2584.42492914,-66.1938883632,5.43914e-20,500.0,-66.1938883632,1.0,500,2,-66.1938883632,100,95.21,2584.42492914,0.00333333,1.0,299.999969474,36.2545,1.0,0.00333333,0.00333333,-61.708,1.0
1.0,-61.0304,,43.643644796,-58.9973877224,5.4346e-20,500.0,-58.9973877224,1.0,500,2,-58.9973877224,100,86.7,43.643644796,0.0025,1.0,400.0,31.5907,1.0,0.0025,0.0025,-61.0304,1.0
1.0,-61.2139,,1332.34171436,-61.9478202873,5.43187e-20,500.0,-61.9478202873,1.0,500,1,-61.9478202873,100,90.16,1332.34171436,0.002,1.0,500.000006643,32.5932,1.0,0.002,0.002,-61.2139,1.0
1.0,-58.6503,,50.9171052053,-58.6503355913,3.50449e-18,500.0,-58.6503355913,1.0,500,2,-58.6503355913,100,85.97,50.9171052053,0.01,1.0,100.0,7.09985,1.0,0.01,0.01,-58.6503,1.0
1.0,-60.8335,,1317.5200977,-63.0167225035,2.1793e-19,500.0,-63.0167225035,1.0,500,2,-63.0167225035,100,92.21,1317.5200977,0.005,1.0,200.000000102,26.1179,1.0,0.005,0.005,-60.8335,1.0
1.0,-59.9297,,38.2134434739,-58.1219676921,5.43914e-20,500.0,-58.1219676921,1.0,500,2,-58.1219676921,100,85.37,38.2134434739,0.00333333,1.0,299.999969474,21.6565,1.0,0.00333333,0.00333333,-59.9297,1.0
1.0,-63.5822,,4965.32574669,-74.539664041,5.4346e-20,500.0,-74.539664041,1.0,500,2,-74.539664041,100,105.26,4965.32574669,0.0025,1.0,400.0,40.2579,1.0,0.0025,0.0025,-63.5822,1.0
1.0,-62.5629,,38.7315871548,-58.4859435892,5.43187e-20,500.0,-58.4859435892,1.0,500,1,-58.4859435892,100,86.11,38.7315871548,0.002,1.0,500.000006643,36.1715,1.0,0.002,0.002,-62.5629,1.0
1.0,-59.0286,,61.1474386806,-59.028610674,3.50449e-18,500.0,-59.028610674,1.0,500,2,-59.028610674,100,87.17,61.1474386806,0.01,1.0,100.0,7.78049,1.0,0.01,0.01,-59.0286,1.0
1.0,-60.698,,1319.55340565,-62.3674394549,2.1793e-19,500.0,-62.3674394549,1.0,500,2,-62.3674394549,100,90.76,1319.55340565,0.005,1.0,200.000000102,26.1961,1.0,0.005,0.005,-60.698,1.0
1.0,-60.9627,,1321.36515132,-61.4919664088,5.43914e-20,500.0,-61.4919664088,1.0,500,2,-61.4919664088,100,89.09,1321.36515132,0.00333333,1.0,299.999969474,29.8945,1.0,0.00333333,0.00333333,-60.9627,1.0
1.0,-61.3661,,1325.42437014,-62.5762228985,5.4346e-20,500.0,-62.5762228985,1.0,500,2,-62.5762228985,100,90.9,1325.42437014,0.0025,1.0,400.0,31.6036,1.0,0.0025,0.0025,-61.3661,1.0
1.0,-61.6202,,1326.37674908,-62.6367830031,5.43187e-20,500.0,-62.6367830031,1.0,500,1,-62.6367830031,100,91.18,1326.37674908,0.002,1.0,500.000006643,32.587,1.0,0.002,0.002,-61.6202,1.0
1.0,-62.7415,,1314.87990877,-62.7415077111,3.50449e-18,500.0,-62.7415077111,1.0,500,2,-62.7415077111,100,91.01,1314.87990877,0.01,1.0,100.0,36.0795,1.0,0.01,0.01,-62.7415,1.0
1.0,-61.4022,,39.0653404482,-60.0629865329,2.1793e-19,500.0,-60.0629865329,1.0,500,2,-60.0629865329,100,88.57,39.0653404482,0.005,1.0,200.000000102,25.9229,1.0,0.005,0.005,-61.4022,1.0
1.0,-62.0447,,1313.6867435,-63.3295891601,5.43914e-20,500.0,-63.3295891601,1.0,500,2,-63.3295891601,100,92.19,1313.6867435,0.00333333,1.0,299.999969474,29.7042,1.0,0.00333333,0.00333333,-62.0447,1.0
1.0,-61.9643,,1319.11591863,-61.7232633813,5.4346e-20,500.0,-61.7232633813,1.0,500,2,-61.7232633813,100,89.45,1319.11591863,0.0025,1.0,400.0,31.4365,1.0,0.0025,0.0025,-61.9643,1.0
1.0,-61.2917,,37.4240177934,-58.6012620232,5.43187e-20,500.0,-58.6012620232,1.0,500,1,-58.6012620232,100,86.0,37.4240177934,0.002,1.0,500.000006643,28.2812,1.0,0.002,0.002,-61.2917,1.0
1.0,-66.2455,,2578.30612851,-66.2454631315,3.50449e-18,500.0,-66.2454631315,1.0,500,2,-66.2454631315,100,95.31,2578.30612851,0.01,1.0,100.0,50.5225,1.0,0.01,0.01,-66.2455,1.0
1.0,-68.07,,3801.99561958,-69.8946186167,2.1793e-19,500.0,-69.8946186167,1.0,500,2,-69.8946186167,100,99.82,3801.99561958,0.005,1.0,200.000000102,56.2279,1.0,0.005,0.005,-68.07,1.0
1.0,-66.2478,,1324.23161144,-62.6032831687,5.43914e-20,500.0,-62.6032831687,1.0,500,2,-62.6032831687,100,90.59,1324.23161144,0.00333333,1.0,299.999969474,50.511,1.0,0.00333333,0.00333333,-66.2478,1.0
1.0,-65.166,,1323.63737079,-61.9206880812,5.4346e-20,500.0,-61.9206880812,1.0,500,2,-61.9206880812,100,89.67,1323.63737079,0.0025,1.0,400.0,47.3775,1.0,0.0025,0.0025,-65.166,1.0
1.0,-64.6357,,1323.84359099,-62.5144780771,5.43187e-20,500.0,-62.5144780771,1.0,500,1,-62.5144780771,100,91.25,1323.84359099,0.002,1.0,500.000006643,45.3756,1.0,0.002,0.002,-64.6357,1.0
1.0,-57.3143,,44.727826416,-57.3142606233,3.50449e-18,500.0,-57.3142606233,1.0,500,2,-57.3142606233,100,84.21,44.727826416,0.01,1.0,100.0,6.65436,1.0,0.01,0.01,-57.3143,1.0
1.0,-60.0077,,1328.91043526,-62.7011270052,2.1793e-19,500.0,-62.7011270052,1.0,500,2,-62.7011270052,100,91.16,1328.91043526,0.005,1.0,200.000000102,26.2146,1.0,0.005,0.005,-60.0077,1.0
1.0,-60.5125,,1318.78573269,-61.5220802666,5.43914e-20,500.0,-61.5220802666,1.0,500,2,-61.5220802666,100,88.83,1318.78573269,0.00333333,1.0,299.999969474,29.8973,1.0,0.00333333,0.00333333,-60.5125,1.0
1.0,-60.0952,,40.9974435688,-58.8433134848,5.4346e-20,500.0,-58.8433134848,1.0,500,2,-58.8433134848,100,86.3,40.9974435688,0.0025,1.0,400.0,26.097,1.0,0.0025,0.0025,-60.0952,1.0
1.0,-61.1571,,2601.67199596,-65.404496761,5.43187e-20,500.0,-65.404496761,1.0,500,1,-65.404496761,100,93.75,2601.67199596,0.002,1.0,500.000006643,32.6264,1.0,0.002,0.002,-61.1571,1.0
1.0,-66.7276,,2577.72255191,-66.7275939064,3.50449e-18,500.0,-66.7275939064,1.0,500,2,-66.7275939064,100,95.96,2577.72255191,0.01,1.0,100.0,50.5168,1.0,0.01,0.01,-66.7276,1.0
1.0,-64.4108,,1321.92141246,-62.0940819204,2.1793e-19,500.0,-62.0940819204,1.0,500,2,-62.0940819204,100,90.18,1321.92141246,0.005,1.0,200.000000102,43.9965,1.0,0.005,0.005,-64.4108,1.0
1.0,-62.1369,,36.1348271898,-57.5891631271,5.43914e-20,500.0,-57.5891631271,1.0,500,2,-57.5891631271,100,84.4,36.1348271898,0.00333333,1.0,299.999969474,36.2316,1.0,0.00333333,0.00333333,-62.1369,1.0
1.0,-61.181,,49.4621537428,-58.3130022724,5.4346e-20,500.0,-58.3130022724,1.0,500,2,-58.3130022724,100,85.65,49.4621537428,0.0025,1.0,400.0,31.6153,1.0,0.0025,0.0025,-61.181,1.0
1.0,-62.0881,,2579.23932448,-65.716721728,5.43187e-20,500.0,-65.716721728,1.0,500,1,-65.716721728,100,93.91,2579.23932448,0.002,1.0,500.000006643,36.2437,1.0,0.002,0.002,-62.0881,1.0
1.0,-60.0758,,42.2028725268,-60.0757823807,3.50449e-18,500.0,-60.0757823807,1.0,500,2,-60.0757823807,100,88.38,42.2028725268,0.01,1.0,100.0,6.46381,1.0,0.01,0.01,-60.0758,1.0
1.0,-58.9195,,40.5441506027,-57.7631361648,2.1793e-19,500.0,-57.7631361648,1.0,500,2,-57.7631361648,100,84.85,40.5441506027,0.005,1.0,200.000000102,6.5036,1.0,0.005,0.005,-58.9195,1.0
1.0,-61.6115,,2583.23203872,-66.9955532257,5.43914e-20,500.0,-66.9955532257,1.0,500,2,-66.9955532257,100,96.83,2583.23203872,0.00333333,1.0,299.999969474,29.9192,1.0,0.00333333,0.00333333,-61.6115,1.0
