VarNormIw,IterType,BatchSize,AvgDiscRet,ESSRenyi,VanillaAvgRet,AvgEpLen,AvgRet,VarDiscRet,VarVanillaIw,VarRet,EpsThisIter,J,MinNormIw,VarJ,MaxNormIw,MaxVanillaIw,Bound,MinVanillaIw,AvgVanillaIw,ESSClassic,AvgNormIw,eRenyi2
3.5044917e-18,1,100,4999.746408970721,100.0,4999.746408970721,500.0,4999.746408970721,0.0665954430476535,,0.0665954430476535,100,4999.7466,0.01,0.25676987,0.01,1.0,4578.936,1.0,1.0,100.0,0.009999998,1.0
7.832218e-06,1,100,4949.804988713027,94.24102991643737,4949.804988713027,495.01,4949.804988713027,249980.3449573739,0.072885685,249980.3449573739,100,4978.8447,0.001465873,209.8219,0.0146513125,1.413368,4545.367,0.14140835,0.9646699,92.8040647666958,0.01,1.061109
2.6139824e-07,1,100,4996.211980714545,99.81541198657183,4996.211980714545,499.66,4996.211980714545,1224.587866970015,0.0025786718,1224.587866970015,100,4997.0283,0.007665971,26.755466,0.010601341,1.0529494,4575.829,0.7614018,0.9932229,99.74186248942902,0.01,1.0018493
6.152498e-07,1,100,4994.5497377104975,99.53258198087755,4994.5497377104975,499.49,4994.5497377104975,2702.566821660821,0.0061668567,2702.566821660821,100,4997.265,0.0047781873,24.84703,0.010779839,1.0792412,4575.468,0.478376,1.0011663,99.39460059781712,0.01,1.0046961
1.5521445e-09,1,100,4999.513066158646,99.99896288993699,4999.513066158646,499.99,4999.513066158646,4.064514833870695,1.553172e-05,4.064514833870695,100,4999.5176,0.009762822,1.9677664,0.010033586,1.0036913,4578.705,0.9766059,1.0003315,99.9984326975294,0.010000002,1.0000104
2.9328105e-12,1,100,4999.776214404195,100.0,4999.776214404195,500.0,4999.776214404195,0.05224949729612546,2.9328351e-08,0.05224949729612546,100,4999.777,0.009992338,0.227446,0.010006013,1.0006032,4578.9663,0.9992357,1.0000019,100.0,0.010000002,1.0
1.06455516e-07,1,100,4997.847908244283,99.94374104199406,4997.847908244283,499.82,4997.847908244283,361.68254686935984,0.0010566425,361.68254686935984,100,4998.104,0.008543759,16.395699,0.01036296,1.0324376,4577.175,0.85119474,0.9962766,99.8947218749109,0.01,1.0005629
9.130909e-14,1,100,4999.7523627827395,100.0,4999.7523627827395,500.0,4999.7523627827395,0.04683910473696394,9.1296776e-10,0.04683910473696394,100,4999.753,0.009999385,0.21532702,0.010001194,1.0001224,4578.9424,0.9999416,1.0000031,99.99998092657461,0.01,1.0
4.596965e-11,1,100,4999.721535244607,99.99997615814777,4999.721535244607,500.0,4999.721535244607,0.05672814666701479,4.5968085e-07,0.05672814666701479,100,4999.7217,0.0099697495,0.23687641,0.010009839,1.0009658,4578.911,0.99695694,0.99998194,99.99995040805729,0.01,1.0000002
2.0601322e-12,1,100,4999.713547776249,100.0,4999.713547776249,500.0,4999.713547776249,0.06960388260762282,2.0601945e-08,0.06960388260762282,100,4999.7144,0.009996045,0.26249278,0.010003557,1.0003867,4578.904,0.9996355,1.000031,100.00001525831817,0.01,1.0
2.721476e-10,1,100,4999.741798819098,99.99967813595418,4999.741798819098,500.0,4999.741798819098,0.08052172213893108,2.7214066e-06,0.08052172213893108,100,4999.743,0.009923152,0.28184968,0.010048887,1.0048769,4578.932,0.99230355,0.99998826,99.99972915386208,0.01,1.0000032
2.6438239e-11,1,100,4999.710233126653,99.99998807907247,4999.710233126653,500.0,4999.710233126653,0.08911378678942812,2.643987e-07,0.08911378678942812,100,4999.7104,0.009983793,0.2969147,0.010010741,1.0010942,4578.9,0.9983994,1.0000201,99.99998474152001,0.01,1.0000001
3.5044917e-18,1,100,4999.73923522581,100.0,4999.73923522581,500.0,4999.73923522581,0.06751792679905406,,0.06751792679905406,100,4999.7393,0.01,0.25855318,0.01,1.0,4578.9287,1.0,1.0,100.0,0.009999998,1.0
1.2951769e-10,1,100,4999.750872533456,99.99995231630692,4999.750872533456,500.0,4999.750872533456,0.07579302534188416,1.2949248e-06,0.07579302534188416,100,4999.7515,0.009941576,0.2737029,0.010015153,1.0014126,4578.941,0.9940556,0.9998975,99.99988173236261,0.01,1.0000005
3.5044917e-18,1,100,4999.752486386058,100.0,4999.752486386058,500.0,4999.752486386058,0.06706766681978892,,0.06706766681978892,100,4999.7524,0.01,0.2576725,0.01,1.0,4578.942,1.0,1.0,100.0,0.009999998,1.0
5.820724e-07,1,100,4994.8830442455,99.61394674673838,4994.8830442455,499.52,4994.8830442455,2403.2098493283606,0.0058217086,2403.2098493283606,100,4997.0103,0.00566311,27.74512,0.0108102355,1.081115,4575.3853,0.5663589,1.0000846,99.42702229274413,0.010000002,1.0038755
4.6212062e-11,1,100,4999.716949114668,99.99998807907247,4999.716949114668,500.0,4999.716949114668,0.09030081925837231,4.621185e-07,0.09030081925837231,100,4999.718,0.0099626,0.29874036,0.010006206,1.0006127,4578.907,0.9962521,0.99999213,99.9999542232888,0.01,1.0000001
3.5044917e-18,1,100,4999.678374701538,100.0,4999.678374701538,500.0,4999.678374701538,0.18973241719096168,,0.18973241719096168,100,4999.6787,0.01,0.43339294,0.01,1.0,4578.868,1.0,1.0,100.0,0.009999998,1.0
3.5044917e-18,1,100,4999.746439760884,100.0,4999.746439760884,500.0,4999.746439760884,0.07547871323622143,,0.07547871323622143,100,4999.7466,0.01,0.27334997,0.01,1.0,4578.936,1.0,1.0,100.0,0.009999998,1.0
5.139208e-10,1,100,4999.725762377067,99.99972581938579,4999.725762377067,500.0,4999.725762377067,0.08737220451469553,5.138869e-06,0.08737220451469553,100,4999.727,0.009917613,0.2937367,0.010069235,1.0068897,4578.916,0.991728,0.99996644,99.99950407455209,0.01,1.0000027
3.5044917e-18,1,100,4999.72731446566,100.0,4999.72731446566,500.0,4999.72731446566,0.07488000182828168,,0.07488000182828168,100,4999.7275,0.01,0.27224797,0.01,1.0,4578.917,1.0,1.0,100.0,0.009999998,1.0
