eRenyi2,IterType,AvgDiscRet,VarDiscRet,AvgRet,EpsThisIter,ESSRenyi,MinNormIw,J,ESSClassic,Bound,VarJ,MaxNormIw,VarNormIw,Delta,AvgNormIw,AvgEpLen,VarRet,AvgVanillaIw,VarVanillaIw,VanillaAvgRet,BatchSize,MaxVanillaIw,MinVanillaIw
1.0,2,-431.60531946,2344.13963872,-431.60531946,100,300.0,0.01,-431.605,100.0,-523.547,48.1736,0.01,3.50449e-18,0.3,0.01,500.0,2344.13963872,1.0,,-431.60531946,300,1.0,1.0
1.0,2,-431.450090809,1788.20480184,-431.450090809,100,300.0,0.005,-431.528,200.000000102,-496.54,45.2274,0.005,2.1793e-19,0.3,0.005,500.0,1788.20480184,1.0,,-431.450090809,300,1.0,1.0
1.10475,1,-439.407763042,1948.62685431,-439.407763042,100,271.553791464,0.000406745,-428.984,271.638599403,-484.778,45.4889,0.00628739,1.16397e-06,0.3,0.00333333,500.0,1948.62685431,1.02315,0.109664,-439.407763042,300,1.92988,0.124848
1.0,2,-428.454723291,1824.24864948,-428.454723291,100,300.0,0.01,-428.455,100.0,-514.335,42.4971,0.01,3.50449e-18,0.3,0.01,500.0,1824.24864948,1.0,,-428.454723291,300,1.0,1.0
1.0,2,-434.180483924,2028.61878461,-434.180483924,100,300.0,0.005,-431.318,200.000000102,-495.527,43.7649,0.005,2.1793e-19,0.3,0.005,500.0,2028.61878461,1.0,,-434.180483924,300,1.0,1.0
1.09523,1,-434.222110468,2471.84704794,-434.222110468,100,273.914565399,0.000958953,-427.401,267.214348456,-482.608,46.4675,0.00929716,1.36783e-06,0.3,0.00333333,500.0,2471.84704794,0.989462,0.120524,-434.222110468,300,2.75976,0.284654
1.0,2,-423.351227202,1281.79188634,-423.351227202,100,300.0,0.01,-423.351,100.0,-503.945,35.6227,0.01,3.50449e-18,0.3,0.01,500.0,1281.79188634,1.0,,-423.351227202,300,1.0,1.0
1.0,2,-420.743472473,1459.2407325,-420.743472473,100,300.0,0.005,-422.047,200.000000102,-480.003,36.858,0.005,2.1793e-19,0.3,0.005,500.0,1459.2407325,1.0,,-420.743472473,300,1.0,1.0
1.09313,1,-423.783310198,1589.11655029,-423.783310198,100,274.440656673,0.000796376,-418.456,272.976499421,-469.411,40.2071,0.00635513,1.10363e-06,0.3,0.00333333,500.0,1589.11655029,0.983624,0.0961001,-423.783310198,300,1.87532,0.235
1.0,2,-430.805583775,1987.2195246,-430.805583775,100,300.0,0.01,-430.806,100.0,-521.601,44.3548,0.01,3.50449e-18,0.3,0.01,500.0,1987.2195246,1.0,,-430.805583775,300,1.0,1.0
1.0,2,-415.644033006,1897.92716253,-415.644033006,100,300.0,0.005,-423.225,200.000000102,-487.427,44.5041,0.005,2.1793e-19,0.3,0.005,500.0,1897.92716253,1.0,,-415.644033006,300,1.0,1.0
1.09786,1,-424.31379004,1772.38655337,-424.31379004,100,273.259721576,0.000468417,-418.489,271.479237961,-473.414,46.3442,0.0079864,1.1712e-06,0.3,0.00333333,500.0,1772.38655337,1.01869,0.109385,-424.31379004,300,2.4407,0.143151
1.0,2,-425.666975434,1726.68063098,-425.666975434,100,300.0,0.01,-425.667,100.0,-507.256,41.3451,0.01,3.50449e-18,0.3,0.01,500.0,1726.68063098,1.0,,-425.666975434,300,1.0,1.0
