AvgVanillaIw,AvgNormIw,AvgRet,MinVanillaIw,J,VarDiscRet,ESSClassic,MaxNormIw,VarVanillaIw,AvgDiscRet,eRenyi2,MaxVanillaIw,AvgEpLen,VarJ,ESSRenyi,BatchSize,Bound,VanillaAvgRet,VarNormIw,VarRet,MinNormIw
1.0,0.009999998,89.97566794968023,1.0,89.97566,23.060839535548897,100.0,0.01,,89.97566794968023,1.0,1.0,500.0,4.778099,100.0,100,81.74925,89.97566794968023,3.5044917e-18,23.060839535548897,0.01
1.0,0.009999998,89.83320498619314,1.0,89.8332,29.054567765681877,100.0,0.01,,89.83320498619314,1.0,1.0,500.0,5.3632097,100.0,100,81.6017,89.83320498619314,3.5044917e-18,29.054567765681877,0.01
1.0,0.009999998,91.05985062568989,1.0,91.059845,22.253366977471753,100.0,0.01,,91.05985062568989,1.0,1.0,500.0,4.6937013,100.0,100,82.659035,91.05985062568989,3.5044917e-18,22.253366977471753,0.01
1.0,0.009999998,89.87702189728213,1.0,89.87702,28.54661973121614,100.0,0.01,,89.87702189728213,1.0,1.0,500.0,5.316122,100.0,100,81.487434,89.87702189728213,3.5044917e-18,28.54661973121614,0.01
1.0,0.009999998,89.43086927471755,1.0,89.43086,28.90844439504158,100.0,0.01,,89.43086927471755,1.0,1.0,500.0,5.349706,100.0,100,81.065,89.43086927471755,3.5044917e-18,28.90844439504158,0.01
1.0,0.009999998,90.62198301616577,1.0,90.62198,19.04583453992133,100.0,0.01,,90.62198301616577,1.0,1.0,500.0,4.3422775,100.0,100,82.25218,90.62198301616577,3.5044917e-18,19.04583453992133,0.01
1.0,0.009999998,90.36724133909766,1.0,90.36725,23.92764183236295,100.0,0.01,,90.36724133909766,1.0,1.0,500.0,4.867069,100.0,100,81.98523,90.36724133909766,3.5044917e-18,23.92764183236295,0.01
1.0,0.009999998,89.55834468464809,1.0,89.558334,19.566279794584815,100.0,0.01,,89.55834468464809,1.0,1.0,500.0,4.401206,100.0,100,81.31649,89.55834468464809,3.5044917e-18,19.566279794584815,0.01
1.0,0.009999998,89.31183208917473,1.0,89.31183,24.471559987751572,100.0,0.01,,89.31183208917473,1.0,1.0,500.0,4.9220777,100.0,100,81.000305,89.31183208917473,3.5044917e-18,24.471559987751572,0.01
1.0,0.009999998,89.20639219138258,1.0,89.20639,26.928702101819113,100.0,0.01,,89.20639219138258,1.0,1.0,500.0,5.163275,100.0,100,80.95086,89.20639219138258,3.5044917e-18,26.928702101819113,0.01
1.0,0.009999998,89.91717983459401,1.0,89.91718,34.54021032763182,100.0,0.01,,89.91717983459401,1.0,1.0,500.0,5.847633,100.0,100,81.61565,89.91717983459401,3.5044917e-18,34.54021032763182,0.01
1.0,0.009999998,89.97762696907722,1.0,89.97763,29.065111887490605,100.0,0.01,,89.97762696907722,1.0,1.0,500.0,5.3641834,100.0,100,81.498856,89.97762696907722,3.5044917e-18,29.065111887490605,0.01
1.0,0.009999998,90.56300229564431,1.0,90.562996,23.285282660397932,100.0,0.01,,90.56300229564431,1.0,1.0,500.0,4.8012943,100.0,100,82.24289,90.56300229564431,3.5044917e-18,23.285282660397932,0.01
1.0,0.009999998,88.54564274891385,1.0,88.54565,73.65163112526143,100.0,0.01,,88.54564274891385,1.0,1.0,500.0,8.539035,100.0,100,80.23382,88.54564274891385,3.5044917e-18,73.65163112526143,0.01
