AvgNormIw,J,VanillaAvgRet,AvgVanillaIw,VarRet,EpsThisIter,BatchSize,VarDiscRet,eRenyi2,MinNormIw,Delta,AvgDiscRet,AvgRet,Bound,ESSClassic,VarNormIw,MaxNormIw,ESSRenyi,MinVanillaIw,VarJ,VarVanillaIw,AvgEpLen,IterType,MaxVanillaIw
0.00333333,2495.35,2559.96683462,1.0,365027.624064,100,500,365027.624064,1.0,0.00333333,1.0,2559.96683462,2559.96683462,2495.35,299.999969474,5.43914e-20,0.00333333,500.0,1.0,614.186,,278.02,2,1.0
0.0025,2492.53,2484.08394762,1.0,317919.921251,100,500,317919.921251,1.0,0.0025,1.0,2484.08394762,2484.08394762,2492.53,400.0,5.4346e-20,0.0025,500.0,1.0,601.354,,270.14,2,1.0
0.002,2497.78,2518.77592168,1.0,404574.121316,100,500,404574.121316,1.0,0.002,1.0,2518.77592168,2518.77592168,2497.78,500.000006643,5.43187e-20,0.002,500.0,1.0,607.88,,273.7,1,1.0
0.01,2430.67,2430.66718862,1.0,422932.497597,100,500,422932.497597,1.0,0.01,1.0,2430.66718862,2430.66718862,2430.67,100.0,3.50449e-18,0.01,500.0,1.0,647.073,,264.2,2,1.0
0.005,2512.01,2593.35602787,1.0,397876.373545,100,500,397876.373545,1.0,0.005,1.0,2593.35602787,2593.35602787,2512.01,200.000000102,2.1793e-19,0.005,500.0,1.0,642.586,,281.46,2,1.0
0.00333333,2509.48,2504.40180804,1.0,376233.913608,100,500,376233.913608,1.0,0.00333333,1.0,2504.40180804,2504.40180804,2509.48,299.999969474,5.43914e-20,0.00333333,500.0,1.0,632.019,,272.22,2,1.0
0.0025,2516.96,2539.39903311,1.0,465854.704731,100,500,465854.704731,1.0,0.0025,1.0,2539.39903311,2539.39903311,2516.96,400.0,5.4346e-20,0.0025,500.0,1.0,644.246,,275.91,2,1.0
0.002,2489.63,2380.32366511,1.0,318335.259378,100,500,318335.259378,1.0,0.002,1.0,2380.32366511,2380.32366511,2489.63,500.000006643,5.43187e-20,0.002,500.0,1.0,630.92,,258.79,1,1.0
0.01,2485.4,2485.39555913,1.0,457167.948422,100,500,457167.948422,1.0,0.01,1.0,2485.39555913,2485.39555913,2485.4,100.0,3.50449e-18,0.01,500.0,1.0,672.753,,269.96,2,1.0
0.005,2552.47,2619.55014236,1.0,414247.47885,100,500,414247.47885,1.0,0.005,1.0,2619.55014236,2619.55014236,2552.47,200.000000102,2.1793e-19,0.005,500.0,1.0,660.189,,284.59,2,1.0
