Delta,AvgNormIw,AvgRet,BatchSize,VarJ,AvgEpLen,VarVanillaIw,VarRet,IterType,AvgVanillaIw,eRenyi2,AvgDiscRet,MinNormIw,VarNormIw,MaxNormIw,VanillaAvgRet,ESSRenyi,VarDiscRet,MinVanillaIw,EpsThisIter,MaxVanillaIw,J,ESSClassic,Bound
1.0,0.005,-463.838685598,500,39.8156,500.0,,1538.8269861,2,1.0,1.0,-463.838685598,0.005,2.1793e-19,0.005,-463.838685598,500.0,1538.8269861,1.0,100,1.0,-466.095,200.000000102,-466.095
1.0,0.00333333,-464.909296709,500,40.3146,500.0,,1721.51336465,2,1.0,1.0,-464.909296709,0.00333333,5.43914e-20,0.00333333,-464.909296709,500.0,1721.51336465,1.0,100,1.0,-465.7,299.999969474,-465.7
1.0,0.0025,-467.859513797,500,39.5975,500.0,,1406.62381978,2,1.0,1.0,-467.859513797,0.0025,5.4346e-20,0.0025,-467.859513797,500.0,1406.62381978,1.0,100,1.0,-466.24,400.0,-466.24
1.0,0.002,-467.247647436,500,11.4786,500.0,3.55357e-12,1357.11348613,1,8.5339e-08,inf,-467.247647436,,0.00195177,0.987819,-467.247647436,,1357.11348613,,100,4.21498e-05,-449.586,1.02465849797,-449.586
1.0,0.01,-496.912596824,500,44.0691,500.0,,1961.70452792,2,1.0,1.0,-496.912596824,0.01,3.50449e-18,0.01,-496.912596824,500.0,1961.70452792,1.0,100,1.0,-496.913,100.0,-496.913
1.0,0.005,-493.829083506,500,44.6991,500.0,,2069.87058501,2,1.0,1.0,-493.829083506,0.005,2.1793e-19,0.005,-493.829083506,500.0,2069.87058501,1.0,100,1.0,-495.371,200.000000102,-495.371
1.0,0.00333333,-509.858062511,500,45.0283,500.0,,1966.3721857,2,1.0,1.0,-509.858062511,0.00333333,5.43914e-20,0.00333333,-509.858062511,500.0,1966.3721857,1.0,100,1.0,-500.2,299.999969474,-500.2
1.0,0.0025,-492.688925392,500,43.9166,500.0,,1605.78910751,2,1.0,1.0,-492.688925392,0.0025,5.4346e-20,0.0025,-492.688925392,500.0,1605.78910751,1.0,100,1.0,-498.322,400.0,-498.322
1.0,0.002,-499.069629687,500,281.785,500.0,497.515,1977.09072889,1,1.27619,inf,-499.069629687,,0.00122191,0.774658,-499.069629687,,1977.09072889,,100,494.304,-387.798,1.63470414491,-387.798
1.0,0.01,-470.0299241,500,39.6774,500.0,,1590.19763284,2,1.0,1.0,-470.0299241,0.01,3.50449e-18,0.01,-470.0299241,500.0,1590.19763284,1.0,100,1.0,-470.03,100.0,-470.03
1.0,0.005,-465.18910081,500,38.5455,500.0,,1399.49594296,2,1.0,1.0,-465.18910081,0.005,2.1793e-19,0.005,-465.18910081,500.0,1399.49594296,1.0,100,1.0,-467.609,200.000000102,-467.609
1.0,0.00333333,-464.190715747,500,37.165,500.0,,1176.16208058,2,1.0,1.0,-464.190715747,0.00333333,5.43914e-20,0.00333333,-464.190715747,500.0,1176.16208058,1.0,100,1.0,-466.47,299.999969474,-466.47
1.0,0.0025,-469.506195295,500,38.3677,500.0,,1755.24086596,2,1.0,1.0,-469.506195295,0.0025,5.4346e-20,0.0025,-469.506195295,500.0,1755.24086596,1.0,100,1.0,-467.229,400.0,-467.229
1.0,0.002,-469.318713117,500,88.9843,500.0,3.3029,1743.58778448,1,0.767153,inf,-469.318713117,1.02552e-13,2.24487e-05,0.0389339,-469.318713117,,1743.58778448,3.93366e-11,100,14.9341,-459.025,75.7466675485,-459.025
1.0,0.01,-456.800784549,500,40.2817,500.0,,1639.00616456,2,1.0,1.0,-456.800784549,0.01,3.50449e-18,0.01,-456.800784549,500.0,1639.00616456,1.0,100,1.0,-456.801,100.0,-456.801
1.0,0.005,-470.542192495,500,41.6863,500.0,,1776.23043671,2,1.0,1.0,-470.542192495,0.005,2.1793e-19,0.005,-470.542192495,500.0,1776.23043671,1.0,100,1.0,-463.671,200.000000102,-463.671
1.0,0.00333333,-459.162026398,500,40.9378,500.0,,1554.20421318,2,1.0,1.0,-459.162026398,0.00333333,5.43914e-20,0.00333333,-459.162026398,500.0,1554.20421318,1.0,100,1.0,-462.168,299.999969474,-462.168
1.0,0.0025,-463.47197383,500,39.3785,500.0,,1185.51529135,2,1.0,1.0,-463.47197383,0.0025,5.4346e-20,0.0025,-463.47197383,500.0,1185.51529135,1.0,100,1.0,-462.494,400.0,-462.494
1.0,0.002,-454.134692143,500,37.0399,500.0,109.735,1826.94649407,1,0.557792,inf,-454.134692143,5.17326e-31,0.00141079,0.836705,-454.134692143,,1826.94649407,1.4428e-28,100,233.354,-419.336,1.41646625916,-419.336
1.0,0.01,-456.806147208,500,36.8144,500.0,,1368.99322953,2,1.0,1.0,-456.806147208,0.01,3.50449e-18,0.01,-456.806147208,500.0,1368.99322953,1.0,100,1.0,-456.806,100.0,-456.806
1.0,0.005,-464.220302857,500,37.285,500.0,,1411.66334866,2,1.0,1.0,-464.220302857,0.005,2.1793e-19,0.005,-464.220302857,500.0,1411.66334866,1.0,100,1.0,-460.513,200.000000102,-460.513
1.0,0.00333333,-461.085492564,500,39.287,500.0,,1868.52654163,2,1.0,1.0,-461.085492564,0.00333333,5.43914e-20,0.00333333,-461.085492564,500.0,1868.52654163,1.0,100,1.0,-460.704,299.999969474,-460.704
