Delta,MaxNormIw,IterType,AvgRet,VarDiscRet,VarRet,Bound,AvgVanillaIw,EpsThisIter,MaxVanillaIw,ESSClassic,AvgDiscRet,eRenyi2,MinVanillaIw,J,ESSRenyi,BatchSize,VarJ,VarVanillaIw,AvgNormIw,MinNormIw,VanillaAvgRet,AvgEpLen,VarNormIw
0.8,0.0144552,1,-120.048035365,11249.0582464,11249.0582464,-119.748,1.06246,100,7.67903,247.834481743,-120.048035365,2.19081,3.94337e-14,-105.942,228.226515757,500,120.637,1.15085,0.002,7.42309e-17,-120.048035365,160.77,4.07806e-06
0.8,0.01,2,-98.4632216471,4708.59460066,4708.59460066,-119.318,1.0,100,1.0,100.0,-98.4632216471,1.0,1.0,-98.4632,500.0,500,68.2752,,0.01,0.01,-98.4632216471,136.56,3.50449e-18
0.8,0.005,2,-125.269276158,13126.0620764,13126.0620764,-126.614,1.0,100,1.0,200.000000102,-125.269276158,1.0,1.0,-111.866,500.0,500,94.9094,,0.005,0.005,-125.269276158,166.19,2.1793e-19
0.8,0.00333333,2,-103.317920409,8853.51010063,8853.51010063,-121.059,1.0,100,1.0,299.999969474,-103.317920409,1.0,1.0,-109.017,500.0,500,94.5679,,0.00333333,0.00333333,-103.317920409,139.89,5.43914e-20
0.8,0.0025,2,-105.237563138,8756.26656344,8756.26656344,-118.501,1.0,100,1.0,400.0,-105.237563138,1.0,1.0,-108.072,500.0,500,94.2188,,0.0025,0.0025,-105.237563138,142.46,5.4346e-20
0.8,0.0215816,1,-94.9456382369,4865.07230093,4865.07230093,-104.261,0.918865,100,9.9153,88.0425056423,-94.9456382369,4.98142,1.64687e-21,-83.4429,100.373004423,500,53.8976,3.95852,0.002,3.58459e-24,-94.9456382369,131.59,1.87538e-05
0.8,0.01,2,-101.297165901,7798.29541502,7798.29541502,-122.154,1.0,100,1.0,100.0,-101.297165901,1.0,1.0,-101.297,500.0,500,87.8653,,0.01,0.01,-101.297165901,137.71,3.50449e-18
0.8,0.005,2,-120.527010748,11373.7741667,11373.7741667,-125.66,1.0,100,1.0,200.000000102,-120.527010748,1.0,1.0,-110.912,500.0,500,97.8909,,0.005,0.005,-120.527010748,160.99,2.1793e-19
0.8,0.00333333,2,-116.436915986,10620.8180373,10620.8180373,-124.796,1.0,100,1.0,299.999969474,-116.436915986,1.0,1.0,-112.754,500.0,500,99.4991,,0.00333333,0.00333333,-116.436915986,155.63,5.43914e-20
0.8,0.0025,2,-108.687329458,9783.47279304,9783.47279304,-122.166,1.0,100,1.0,400.0,-108.687329458,1.0,1.0,-111.737,500.0,500,99.2449,,0.0025,0.0025,-108.687329458,146.6,5.4346e-20
0.8,0.0112018,1,-114.684492721,10596.4483778,10596.4483778,-114.519,0.965588,100,5.40817,170.57273942,-114.684492721,2.99368,1.35251e-13,-98.3805,167.01827957,500,121.228,1.80428,0.002,2.80142e-16,-114.684492721,154.05,7.74069e-06
0.8,0.01,2,-97.8587274437,5675.79964005,5675.79964005,-118.716,1.0,100,1.0,100.0,-97.8587274437,1.0,1.0,-97.8587,500.0,500,74.9603,,0.01,0.01,-97.8587274437,135.2,3.50449e-18
0.8,0.005,2,-96.5756807461,5731.27907305,5731.27907305,-111.965,1.0,100,1.0,200.000000102,-96.5756807461,1.0,1.0,-97.2172,500.0,500,75.146,,0.005,0.005,-96.5756807461,132.73,2.1793e-19
0.8,0.00333333,2,-133.822433221,15767.1706659,15767.1706659,-121.461,1.0,100,1.0,299.999969474,-133.822433221,1.0,1.0,-109.419,500.0,500,96.2577,,0.00333333,0.00333333,-133.822433221,174.88,5.43914e-20
0.8,0.0025,2,-106.274073974,8838.8511055,8838.8511055,-119.061,1.0,100,1.0,400.0,-106.274073974,1.0,1.0,-108.633,500.0,500,95.5962,,0.0025,0.0025,-106.274073974,144.34,5.4346e-20
0.8,0.0241777,1,-119.856401273,10410.3514044,10410.3514044,-113.083,0.933701,100,11.2874,75.5724383768,-119.856401273,6.22599,,-89.8089,80.3085093738,500,79.5397,4.90598,0.002,,-119.856401273,160.14,2.25097e-05
0.8,0.01,2,-95.0925469074,4721.57444717,4721.57444717,-115.948,1.0,100,1.0,100.0,-95.0925469074,1.0,1.0,-95.0926,500.0,500,68.3693,,0.01,0.01,-95.0925469074,131.54,3.50449e-18
0.8,0.005,2,-103.796651189,7800.67629493,7800.67629493,-114.193,1.0,100,1.0,200.000000102,-103.796651189,1.0,1.0,-99.4446,500.0,500,78.8508,,0.005,0.005,-103.796651189,140.89,2.1793e-19
0.8,0.00333333,2,-115.506557302,10511.0750071,10511.0750071,-116.84,1.0,100,1.0,299.999969474,-115.506557302,1.0,1.0,-104.799,500.0,500,87.584,,0.00333333,0.00333333,-115.506557302,155.13,5.43914e-20
0.8,0.0025,2,-118.879643043,11468.3406261,11468.3406261,-118.747,1.0,100,1.0,400.0,-118.879643043,1.0,1.0,-108.319,500.0,500,92.8914,,0.0025,0.0025,-118.879643043,159.03,5.4346e-20
0.8,0.00863816,1,-97.8541445678,6859.04192674,6859.04192674,-114.366,0.958112,100,4.13816,363.409473826,-97.8541445678,1.35715,0.0283369,-103.499,368.419610238,500,92.6598,0.345722,0.002,5.91516e-05,-97.8541445678,134.21,1.50645e-06
0.8,0.01,2,-121.364102978,12412.7683816,12412.7683816,-142.221,1.0,100,1.0,100.0,-121.364102978,1.0,1.0,-121.364,500.0,500,110.854,,0.01,0.01,-121.364102978,161.69,3.50449e-18
0.8,0.005,2,-128.652432031,14044.8539674,14044.8539674,-139.757,1.0,100,1.0,200.000000102,-128.652432031,1.0,1.0,-125.008,500.0,500,114.498,,0.005,0.005,-128.652432031,169.82,2.1793e-19
0.8,0.00333333,2,-104.65924815,7824.81544597,7824.81544597,-130.267,1.0,100,1.0,299.999969474,-104.65924815,1.0,1.0,-118.225,500.0,500,106.837,,0.00333333,0.00333333,-104.65924815,142.35,5.43914e-20
0.8,0.0025,2,-100.426589816,6820.4889959,6820.4889959,-124.204,1.0,100,1.0,400.0,-100.426589816,1.0,1.0,-113.776,500.0,500,101.528,,0.0025,0.0025,-100.426589816,137.36,5.4346e-20
0.8,0.0166751,1,-127.129141562,14165.075244,14165.075244,-120.029,0.970931,100,8.09521,199.777252016,-127.129141562,2.44155,3.17894e-05,-105.454,204.787900715,500,122.465,1.41953,0.002,6.54822e-08,-127.129141562,167.77,6.02319e-06
0.8,0.01,2,-116.931856707,11592.9599774,11592.9599774,-137.789,1.0,100,1.0,100.0,-116.931856707,1.0,1.0,-116.932,500.0,500,107.131,,0.01,0.01,-116.931856707,156.24,3.50449e-18
0.8,0.005,2,-106.551022976,8770.59676293,8770.59676293,-126.49,1.0,100,1.0,200.000000102,-106.551022976,1.0,1.0,-111.741,500.0,500,100.533,,0.005,0.005,-106.551022976,144.2,2.1793e-19
0.8,0.00333333,2,-111.743689325,9662.33506125,9662.33506125,-123.784,1.0,100,1.0,299.999969474,-111.743689325,1.0,1.0,-111.742,500.0,500,99.6318,,0.00333333,0.00333333,-111.743689325,149.9,5.43914e-20
