AvgDiscRet,ESSClassic,BatchSize,Bound,VanillaAvgRet,MinNormIw,AvgEpLen,AvgRet,VarDiscRet,J,VarVanillaIw,VarNormIw,AvgVanillaIw,Delta,VarJ,AvgNormIw,eRenyi2,MaxVanillaIw,VarRet,MaxNormIw,ESSRenyi,EpsThisIter,IterType,MinVanillaIw
-99.6066796757,303.134352885,500,-105.628,-99.6066796757,5.66057e-05,74.43,-99.6066796757,503.790311865,-97.7802,0.621797,2.60295e-06,0.977511,0.8,58.0574,0.002,1.71399,11.9488,503.790311865,0.0244475,291.716262024,100,1,0.0276664
-101.512989941,100.0,500,-115.067,-101.512989941,0.01,76.82,-101.512989941,964.679446994,-101.513,,3.50449e-18,1.0,0.8,30.9036,0.01,1.0,1.0,964.679446994,0.01,500.0,100,2,1.0
-102.991388345,200.000000102,500,-115.719,-102.991388345,0.005,71.53,-102.991388345,1276.47606952,-102.252,,2.1793e-19,1.0,0.8,33.3154,0.005,1.0,1.0,1276.47606952,0.005,500.0,100,2,1.0
-100.459874915,299.999969474,500,-112.651,-100.459874915,0.00333333,76.62,-100.459874915,627.254682083,-101.655,,5.43914e-20,1.0,0.8,30.784,0.00333333,1.0,1.0,627.254682083,0.00333333,500.0,100,2,1.0
-98.8124751055,400.0,500,-110.467,-98.8124751055,0.0025,89.31,-98.8124751055,303.464067054,-100.944,,5.4346e-20,1.0,0.8,28.06,0.0025,1.0,1.0,303.464067054,0.0025,500.0,100,2,1.0
-101.393725731,348.135704876,500,-108.281,-101.393725731,7.96233e-05,71.73,-101.393725731,319.155944772,-98.1427,0.442728,1.74838e-06,1.00642,0.8,36.5458,0.002,1.41692,4.79436,319.155944772,0.00952754,352.878888443,100,1,0.0400673
-94.4984736357,100.0,500,-100.915,-94.4984736357,0.01,98.09,-94.4984736357,925.423682854,-94.4985,,3.50449e-18,1.0,0.8,30.2683,0.01,1.0,1.0,925.423682854,0.01,500.0,100,2,1.0
-99.5834631146,200.000000102,500,-101.578,-99.5834631146,0.005,75.04,-99.5834631146,218.120399189,-97.041,,2.1793e-19,1.0,0.8,23.9274,0.005,1.0,1.0,218.120399189,0.005,500.0,100,2,1.0
-101.363533144,299.999969474,500,-103.364,-101.363533144,0.00333333,71.96,-101.363533144,199.518250592,-98.4818,,5.43914e-20,1.0,0.8,21.2526,0.00333333,1.0,1.0,199.518250592,0.00333333,500.0,100,2,1.0
-103.751469364,400.0,500,-110.321,-103.751469364,0.0025,84.37,-103.751469364,1264.34474309,-99.7992,,5.4346e-20,1.0,0.8,25.6298,0.0025,1.0,1.0,1264.34474309,0.0025,500.0,100,2,1.0
-101.180656914,449.235186325,500,-108.922,-101.180656914,0.000303093,87.53,-101.180656914,405.671898742,-99.019,0.113516,4.52916e-07,1.00127,0.8,24.5306,0.002,1.10726,2.15692,405.671898742,0.00430838,451.564740367,100,1,0.151739
-102.895111325,100.0,500,-111.049,-102.895111325,0.01,87.67,-102.895111325,350.216579392,-102.895,,3.50449e-18,1.0,0.8,18.6203,0.01,1.0,1.0,350.216579392,0.01,500.0,100,2,1.0
-105.129883585,200.000000102,500,-115.66,-105.129883585,0.005,70.84,-105.129883585,682.619561999,-104.012,,2.1793e-19,1.0,0.8,22.6385,0.005,1.0,1.0,682.619561999,0.005,500.0,100,2,1.0
