VarDiscRet,AvgRet,VanillaAvgRet,VarJ,ESSClassic,IterType,AvgNormIw,Bound,J,AvgDiscRet,Delta,VarVanillaIw,VarNormIw,AvgVanillaIw,VarRet,eRenyi2,MinNormIw,BatchSize,MaxVanillaIw,ESSRenyi,MinVanillaIw,MaxNormIw,EpsThisIter,AvgEpLen
65.0631951995,-98.0403152351,-98.0403152351,8.02574,100.0,2,0.01,-101.871,-98.0403,-98.0403152351,0.9,,3.50449e-18,1.0,65.0631951995,1.0,0.01,500,1.0,500.0,1.0,0.01,100,42.65
51.5274287888,-99.7566298008,-99.7566298008,7.64518,200.000000102,2,0.005,-101.607,-98.8985,-99.7566298008,0.9,,2.1793e-19,1.0,51.5274287888,1.0,0.005,500,1.0,500.0,1.0,0.005,100,42.98
48.1960883069,-99.3160053037,-99.3160053037,7.41008,299.999969474,2,0.00333333,-101.249,-99.0376,-99.3160053037,0.9,,5.43914e-20,1.0,48.1960883069,1.0,0.00333333,500,1.0,500.0,1.0,0.00333333,100,41.64
35.6746651442,-99.6361075584,-99.6361075584,7.07662,400.0,2,0.0025,-101.103,-99.1873,-99.6361075584,0.9,,5.4346e-20,1.0,35.6746651442,1.0,0.0025,500,1.0,500.0,1.0,0.0025,100,42.68
69.9615593459,-99.2218597847,-99.2218597847,67.5778,59.9648013535,1,0.002,-98.8479,-94.5604,-99.2218597847,0.9,9.56551,2.94117e-05,1.14057,69.9615593459,6.26305,6.90713e-23,500,40.5579,79.8332888071,3.93905e-20,0.0711184,100,41.39
75.2667075576,-99.1027238039,-99.1027238039,8.63215,100.0,2,0.01,-102.905,-99.1027,-99.1027238039,0.9,,3.50449e-18,1.0,75.2667075576,1.0,0.01,500,1.0,500.0,1.0,0.01,100,43.13
46.8181982045,-99.4644016361,-99.4644016361,7.77591,200.000000102,2,0.005,-101.972,-99.2836,-99.4644016361,0.9,,2.1793e-19,1.0,46.8181982045,1.0,0.005,500,1.0,500.0,1.0,0.005,100,43.04
52.9163100405,-99.8708960623,-99.8708960623,7.60584,299.999969474,2,0.00333333,-101.768,-99.4793,-99.8708960623,0.9,,5.43914e-20,1.0,52.9163100405,1.0,0.00333333,500,1.0,500.0,1.0,0.00333333,100,41.99
43.6782248316,-97.7210267045,-97.7210267045,7.40113,400.0,2,0.0025,-101.022,-99.0398,-97.7210267045,0.9,,5.4346e-20,1.0,43.6782248316,1.0,0.0025,500,1.0,500.0,1.0,0.0025,100,41.63
34.8167430301,-99.5294549751,-99.5294549751,7.66307,447.620785985,1,0.002,-100.83,-98.9502,-99.5294549751,0.9,0.12607,4.69003e-07,1.03692,34.8167430301,1.10701,0.000226056,500,3.05388,451.66768412,0.117201,0.00589026,100,43.26
46.2276161375,-99.3290054517,-99.3290054517,6.76501,100.0,2,0.01,-103.182,-99.329,-99.3290054517,0.9,,3.50449e-18,1.0,46.2276161375,1.0,0.01,500,1.0,500.0,1.0,0.01,100,42.81
50.2348213302,-98.7215467558,-98.7215467558,6.91673,200.000000102,2,0.005,-101.75,-99.0253,-98.7215467558,0.9,,2.1793e-19,1.0,50.2348213302,1.0,0.005,500,1.0,500.0,1.0,0.005,100,41.19
30.6799324005,-99.679308166,-99.679308166,6.48949,299.999969474,2,0.00333333,-101.468,-99.2433,-99.679308166,0.9,,5.43914e-20,1.0,30.6799324005,1.0,0.00333333,500,1.0,500.0,1.0,0.00333333,100,43.31
43.7412034928,-99.968243563,-99.968243563,6.51994,400.0,2,0.0025,-101.386,-99.4245,-99.968243563,0.9,,5.4346e-20,1.0,43.7412034928,1.0,0.0025,500,1.0,500.0,1.0,0.0025,100,41.63
27.7148635635,-100.102369629,-100.102369629,8.12733,388.54885435,1,0.002,-101.042,-99.025,-100.102369629,0.9,0.3068,1.14966e-06,1.03317,27.7148635635,1.32163,7.2973e-06,500,4.06271,378.320607354,0.00376969,0.00786453,100,42.07
42.4754497325,-98.4344684273,-98.4344684273,6.48465,100.0,2,0.01,-102.109,-98.4345,-98.4344684273,0.9,,3.50449e-18,1.0,42.4754497325,1.0,0.01,500,1.0,500.0,1.0,0.01,100,44.04
42.1689833576,-99.1862205939,-99.1862205939,6.48385,200.000000102,2,0.005,-101.545,-98.8103,-99.1862205939,0.9,,2.1793e-19,1.0,42.1689833576,1.0,0.005,500,1.0,500.0,1.0,0.005,100,41.88
44.4117698026,-99.2417785308,-99.2417785308,6.53637,299.999969474,2,0.00333333,-101.212,-98.9542,-99.2417785308,0.9,,5.43914e-20,1.0,44.4117698026,1.0,0.00333333,500,1.0,500.0,1.0,0.00333333,100,44.48
73.6340484322,-98.4577360198,-98.4577360198,7.09322,400.0,2,0.0025,-100.785,-98.83,-98.4577360198,0.9,,5.4346e-20,1.0,73.6340484322,1.0,0.0025,500,1.0,500.0,1.0,0.0025,100,46.45
59.0073880023,-98.6070340043,-98.6070340043,7.39649,479.12238865,1,0.002,-100.497,-98.7113,-98.6070340043,0.9,0.0421525,1.74649e-07,0.982559,59.0073880023,1.0431,0.000663436,500,1.54451,479.340208712,0.325933,0.00314385,100,44.15
44.6192144011,-99.9612465592,-99.9612465592,6.64628,100.0,2,0.01,-103.773,-99.9612,-99.9612465592,0.9,,3.50449e-18,1.0,44.6192144011,1.0,0.01,500,1.0,500.0,1.0,0.01,100,42.17
36.0894577903,-99.444555386,-99.444555386,6.32594,200.000000102,2,0.005,-102.399,-99.7029,-99.444555386,0.9,,2.1793e-19,1.0,36.0894577903,1.0,0.005,500,1.0,500.0,1.0,0.005,100,41.39
57.5261074576,-99.8405051458,-99.8405051458,6.75768,299.999969474,2,0.00333333,-101.984,-99.7488,-99.8405051458,0.9,,5.43914e-20,1.0,57.5261074576,1.0,0.00333333,500,1.0,500.0,1.0,0.00333333,100,42.13
51.5971786326,-99.6033179027,-99.6033179027,6.8574,400.0,2,0.0025,-101.656,-99.7124,-99.6033179027,0.9,,5.4346e-20,1.0,51.5971786326,1.0,0.0025,500,1.0,500.0,1.0,0.0025,100,40.24
56.82438654,-98.2596705587,-98.2596705587,10.9616,290.608714978,1,0.002,-100.788,-98.5429,-98.2596705587,0.9,0.666176,2.88788e-06,0.960583,56.82438654,1.66886,5.69009e-06,500,3.87902,299.60542668,0.0027329,0.00807639,100,41.35
49.7929535365,-99.0860020687,-99.0860020687,7.02104,100.0,2,0.01,-102.711,-99.086,-99.0860020687,0.9,,3.50449e-18,1.0,49.7929535365,1.0,0.01,500,1.0,500.0,1.0,0.01,100,41.77
53.6766025892,-98.3982379815,-98.3982379815,7.16489,200.000000102,2,0.005,-101.342,-98.7421,-98.3982379815,0.9,,2.1793e-19,1.0,53.6766025892,1.0,0.005,500,1.0,500.0,1.0,0.005,100,42.72
55.9409678809,-98.5917766646,-98.5917766646,7.25874,299.999969474,2,0.00333333,-100.86,-98.692,-98.5917766646,0.9,,5.43914e-20,1.0,55.9409678809,1.0,0.00333333,500,1.0,500.0,1.0,0.00333333,100,46.99
