Bound,J,AvgRet,eRenyi2,MinVanillaIw,VarRet,AvgNormIw,VarNormIw,AvgDiscRet,AvgEpLen,MaxVanillaIw,ESSRenyi,VarJ,BatchSize,VarVanillaIw,MinNormIw,MaxNormIw,ESSClassic,AvgVanillaIw,VarDiscRet
-9.405861,-7.5181556,-7.475159885928981,1.0010725,0.7933513,51.66720353043664,0.01,6.578791e-07,-7.475159885928981,200.0,1.0240072,99.89286231014677,7.215301,100,0.006470242,0.007999788,0.010325615,99.35290730247566,0.9917154,51.66720353043664
-11.0614195,-8.959924,-9.181707716363082,1.0071898,0.94522023,45.79662771745678,0.010000002,4.589557e-06,-9.181707716363082,200.0,1.699841,99.2861572840079,6.755695,100,0.047109254,0.009329648,0.016778015,95.65379363240467,1.013136,45.79662771745678
-10.620414,-8.723396,-8.822344724091382,1.00807,0.52534324,51.31936633060368,0.010000002,3.9101833e-06,-8.822344724091382,200.0,1.0698293,99.19946113573968,7.294699,100,0.038181115,0.0053163976,0.010826518,96.27319428454938,0.98815644,51.31936633060368
-9.198169,-7.2633257,-7.497754545790965,1.0237182,0.9075853,48.092089269579674,0.01,1.3540965e-05,-7.497754545790965,200.0,2.4494452,97.68312832580948,7.751544,100,0.13543585,0.009074975,0.024492081,88.1790908045456,1.0000968,48.092089269579674
-10.057622,-8.10249,-8.197498791842976,1.0061299,0.59672254,59.59091161276588,0.010000002,2.6366642e-06,-8.197498791842976,200.0,1.060134,99.3907485388972,7.820999,100,0.026117098,0.0059956657,0.010651868,97.45610510182696,0.9952565,59.59091161276588
-8.830332,-6.919801,-7.065595900626031,1.0105765,0.44869554,49.95512324216769,0.01,5.2950027e-06,-7.065595900626031,200.0,1.0810454,98.95342047555067,7.2538395,100,0.051497933,0.0045497743,0.010961805,95.019058728168,0.98619294,49.95512324216769
-9.773566,-7.7401757,-7.83563683790862,1.0016531,0.7105413,51.516303558596896,0.010000002,6.610022e-07,-7.83563683790862,200.0,1.030019,99.83496529296427,7.0260043,100,0.0067116143,0.00705143,0.010221936,99.34985621948634,1.0076556,51.516303558596896
-10.089265,-8.158827,-8.104150320860727,1.0003816,0.84348375,50.88391581443911,0.009999999,3.3817574e-07,-8.104150320860727,200.0,1.0141525,99.96185566187219,7.1470766,100,0.003327634,0.008503155,0.010223666,99.66633982517241,0.99196565,50.88391581443911
-10.03871,-8.308109,-8.39122144664106,1.0086893,0.39375556,60.06641501302529,0.01,6.298623e-06,-8.39122144664106,200.0,1.0727267,99.1385568916335,7.831899,100,0.059371453,0.004055652,0.011049002,94.13037554254298,0.97088104,60.06641501302529
-9.831059,-7.9589787,-7.9488786530103654,1.0027007,0.96522254,49.94954927911971,0.010000002,1.73363e-06,-7.9488786530103654,200.0,1.628247,99.73065876075924,7.0289307,100,0.017051209,0.009732583,0.016418027,98.31265868542046,0.99174345,49.94954927911971
