Delta,VanillaAvgRet,Bound,ESSRenyi,MaxNormIw,SamplesThisIter,AvgEpLen,VarDiscRet,VarNormIw,AvgNormIw,ESSClassic,VarJ,AvgRet,J,VarRet,IterType,eRenyi2,AvgVanillaIw,AvgDiscRet,MinVanillaIw,VarVanillaIw,EpsThisIter,MaxVanillaIw,MinNormIw,BatchSize
0.6,49.6771999611,20.3267,100.0,0.000119417,50000,5.9708621925,4791.40470046,2.11784e-22,0.000119417,8374.00049608,69.2158,49.6771999611,49.6772,4791.40470046,1,1.0,1.0,49.6771999611,1.0,,8374,1.0,0.000119417,100
0.6,49.4496469203,40.6374,100.0,0.000118963,50000,5.94813228646,3623.68882746,2.11783e-22,0.000118963,8405.99972331,60.1935,49.4496469203,49.4496,3623.68882746,1,1.0,1.0,49.4496469203,1.0,,8406,1.0,0.000118963,100
0.6,49.5207429185,39.8107,100.0,0.000119104,50000,5.95521676989,3796.71307698,4.76513e-22,0.000119104,8395.99952976,61.6138,49.5207429185,49.5207,3796.71307698,1,1.0,1.0,49.5207429185,1.0,,8396,1.0,0.000119104,100
0.6,49.4358274843,38.2194,100.0,0.000118934,50000,5.94671741199,3811.43238819,4.76513e-22,0.000118934,8408.00044701,61.7331,49.4358274843,49.4358,3811.43238819,1,1.0,1.0,49.4358274843,1.0,,8408,1.0,0.000118934,100
0.6,48.7506312724,42.1128,100.0,0.000117564,50000,5.87820362097,3482.70604604,2.11783e-22,0.000117564,8505.99941601,59.011,48.7506312724,48.7506,3482.70604604,1,1.0,1.0,48.7506312724,1.0,,8506,1.0,0.000117564,100
0.6,50.0122085259,42.4983,100.0,0.000120091,50000,6.00456346824,3798.80623248,5.29459e-23,0.000120091,8327.00029181,61.6307,50.0122085259,50.0122,3798.80623248,1,1.0,1.0,50.0122085259,1.0,,8327,1.0,0.000120091,100
0.6,50.2511322054,42.1839,100.0,0.000120569,50000,6.02845430432,3732.54105483,8.47135e-22,0.000120569,8293.99946392,61.0908,50.2511322054,50.2511,3732.54105483,1,1.0,1.0,50.2511322054,1.0,,8294,1.0,0.000120569,100
0.6,49.0490201923,40.6213,100.0,0.000118161,50000,5.9080704242,3536.45140338,2.11783e-22,0.000118161,8462.99948221,59.4646,49.0490201923,49.049,3536.45140338,1,1.0,1.0,49.0490201923,1.0,,8463,1.0,0.000118161,100
0.6,49.3722376771,37.4502,100.0,0.000118807,50000,5.94035879767,3573.36801234,2.11783e-22,0.000118807,8417.00006184,59.7741,49.3722376771,49.3722,3573.36801234,1,1.0,1.0,49.3722376771,1.0,,8417,1.0,0.000118807,100
0.6,49.1329636684,40.3452,100.0,0.000118329,50000,5.91645959058,3466.79536628,,0.000118329,8450.99988733,58.876,49.1329636684,49.133,3466.79536628,1,1.0,1.0,49.1329636684,1.0,,8451,1.0,0.000118329,100
0.6,49.9845254049,38.1792,100.0,0.000120034,50000,6.00168047053,3901.01062504,2.11784e-22,0.000120034,8330.99944312,62.4543,49.9845254049,49.9845,3901.01062504,1,1.0,1.0,49.9845254049,1.0,,8331,1.0,0.000120034,100
0.6,49.6555208425,37.5286,100.0,0.000119374,50000,5.96872388683,3963.02370374,,0.000119374,8376.99952469,62.9488,49.6555208425,49.6555,3963.02370374,1,1.0,1.0,49.6555208425,1.0,,8377,1.0,0.000119374,100
0.6,48.9086157642,41.9075,100.0,0.000117883,50000,5.89414122362,3647.54398659,8.47133e-22,0.000117883,8483.00003033,60.3913,48.9086157642,48.9086,3647.54398659,1,1.0,1.0,48.9086157642,1.0,,8483,1.0,0.000117883,100
0.6,49.2734270963,42.1623,100.0,0.00011861,50000,5.93049460325,3356.09926375,2.11783e-22,0.00011861,8430.99938891,57.9284,49.2734270963,49.2734,3356.09926375,1,1.0,1.0,49.2734270963,1.0,,8431,1.0,0.00011861,100
