ESSRenyi,VarRet,VarNormIw,MinNormIw,MinVanillaIw,AvgRet,AvgVanillaIw,MaxVanillaIw,AvgNormIw,BatchSize,VarDiscRet,EpsThisIter,AvgEpLen,eRenyi2,VarVanillaIw,Bound,IterType,Delta,J,MaxNormIw,VarJ,ESSClassic,AvgDiscRet,VanillaAvgRet
500.0,340.349907969,3.50449e-18,0.01,1.0,4661.75927467,1.0,1.0,0.01,500,340.349907969,100,500.0,1.0,,3946.9,2,0.3,4661.76,0.01,18.3561,100.0,4661.75927467,4661.75927467
500.0,20827.2826223,2.1793e-19,0.005,1.0,4646.31374718,1.0,1.0,0.005,500,20827.2826223,100,498.48,1.0,,4148.55,2,0.3,4654.04,0.005,102.653,200.000000102,4646.31374718,4646.31374718
500.0,163778.951608,5.43914e-20,0.00333333,1.0,4585.76180255,1.0,1.0,0.00333333,500,163778.951608,100,491.74,1.0,,4218.55,2,0.3,4631.28,0.00333333,249.215,299.999969474,4585.76180255,4585.76180255
500.0,421.605499379,5.4346e-20,0.0025,1.0,4662.24606742,1.0,1.0,0.0025,500,421.605499379,100,500.0,1.0,,4281.58,2,0.3,4639.02,0.0025,216.484,400.0,4662.24606742,4662.24606742
488.089058044,334.87349648,1.00575e-07,0.00039492,0.196627,4663.93473802,0.995778,1.38394,0.002,500,334.87349648,100,500.0,1.0244,0.024932,4331.76,1,0.3,4655.34,0.00277962,86.4903,487.760335553,4663.93473802,4663.93473802
500.0,11667.303729,3.50449e-18,0.01,1.0,4652.76312523,1.0,1.0,0.01,500,11667.303729,100,498.91,1.0,,3937.89,2,0.3,4652.76,0.01,107.474,100.0,4652.76312523,4652.76312523
500.0,263.750405665,2.1793e-19,0.005,1.0,4663.93652596,1.0,1.0,0.005,500,263.750405665,100,500.0,1.0,,4152.86,2,0.3,4658.35,0.005,77.0525,200.000000102,4663.93652596,4663.93652596
500.0,245.512733219,5.43914e-20,0.00333333,1.0,4663.3231704,1.0,1.0,0.00333333,500,245.512733219,100,500.0,1.0,,4247.28,2,0.3,4660.01,0.00333333,63.5969,299.999969474,4663.3231704,4663.3231704
500.0,263.332197771,5.4346e-20,0.0025,1.0,4663.33406955,1.0,1.0,0.0025,500,263.332197771,100,500.0,1.0,,4303.4,2,0.3,4660.84,0.0025,55.6837,400.0,4663.33406955,4663.33406955
498.358589474,3505.1066379,1.28957e-08,0.00153554,0.766764,4658.97547233,0.998691,1.11471,0.002,500,3505.1066379,100,499.42,1.00329,0.00321549,4341.35,1,0.3,4661.58,0.00223233,44.7984,498.396105014,4658.97547233,4658.97547233
500.0,29549.2338336,3.50449e-18,0.01,1.0,4646.66366669,1.0,1.0,0.01,500,29549.2338336,100,498.18,1.0,,3931.87,2,0.3,4646.66,0.01,171.037,100.0,4646.66366669,4646.66366669
500.0,271.39169504,2.1793e-19,0.005,1.0,4664.24095878,1.0,1.0,0.005,500,271.39169504,100,500.0,1.0,,4150.01,2,0.3,4655.45,0.005,121.813,200.000000102,4664.24095878,4664.24095878
500.0,255.208196975,5.43914e-20,0.00333333,1.0,4665.03172627,1.0,1.0,0.00333333,500,255.208196975,100,500.0,1.0,,4245.95,2,0.3,4658.65,0.00333333,99.9845,299.999969474,4665.03172627,4665.03172627
500.0,70010.4261617,5.4346e-20,0.0025,1.0,4637.53507707,1.0,1.0,0.0025,500,70010.4261617,100,497.18,1.0,,4295.93,2,0.3,4653.37,0.0025,157.825,400.0,4637.53507707,4637.53507707
492.068233209,28225.9871031,7.09805e-08,0.000828893,0.410941,4638.91650659,0.991543,1.24713,0.002,500,28225.9871031,100,497.52,1.01612,0.0174462,4334.83,1,0.3,4657.1,0.00251554,83.8596,491.299350613,4638.91650659,4638.91650659
500.0,179.051510476,3.50449e-18,0.01,1.0,4663.59312985,1.0,1.0,0.01,500,179.051510476,100,500.0,1.0,,3948.74,2,0.3,4663.59,0.01,13.314,100.0,4663.59312985,4663.59312985
500.0,8355.68610533,2.1793e-19,0.005,1.0,4652.92099214,1.0,1.0,0.005,500,8355.68610533,100,499.09,1.0,,4152.78,2,0.3,4658.26,0.005,65.2163,200.000000102,4652.92099214,4652.92099214
500.0,234.949076635,5.43914e-20,0.00333333,1.0,4662.18883505,1.0,1.0,0.00333333,500,234.949076635,100,500.0,1.0,,4246.84,2,0.3,4659.57,0.00333333,54.0038,299.999969474,4662.18883505,4662.18883505
500.0,239.557686555,5.4346e-20,0.0025,1.0,4666.26538967,1.0,1.0,0.0025,500,239.557686555,100,500.0,1.0,,4303.81,2,0.3,4661.24,0.0025,47.487,400.0,4666.26538967,4666.26538967
498.948762366,233.703016679,8.9654e-09,0.00165794,0.828067,4663.62992346,0.998909,1.10322,0.002,500,233.703016679,100,500.0,1.00211,0.00223646,4342.34,1,0.3,4662.38,0.00220885,38.0815,498.883808829,4663.62992346,4663.62992346
500.0,6920.57353801,3.50449e-18,0.01,1.0,4655.76358001,1.0,1.0,0.01,500,6920.57353801,100,499.17,1.0,,3940.88,2,0.3,4655.76,0.01,82.773,100.0,4655.76358001,4655.76358001
500.0,48911.7855702,2.1793e-19,0.005,1.0,4640.18885094,1.0,1.0,0.005,500,48911.7855702,100,497.35,1.0,,4142.48,2,0.3,4647.98,0.005,166.426,200.000000102,4640.18885094,4640.18885094
500.0,41138.112375,5.43914e-20,0.00333333,1.0,4637.72550694,1.0,1.0,0.00333333,500,41138.112375,100,497.08,1.0,,4231.82,2,0.3,4644.56,0.00333333,179.064,299.999969474,4637.72550694,4637.72550694
