VarVanillaIw,MinNormIw,VarDiscRet,delta,MinVanillaIw,Bound,AvgVanillaIw,AvgEpLen,J,VarNormIw,VanillaAvgRet,SamplesThisIter,MaxNormIw,MaxVanillaIw,AvgRet,AvgNormIw,BatchSize,renyi2,AvgDiscRet,EpsThisIter,VarRet,ESSRenyi,ESSClassic,VarJ,IterType
0.00350052,4.4411e-05,4.07994230748,0.7,0.795898,-435.689,0.995622,500.0,-73587.1,1.08993e-11,-408.909452713,50000,7.18412e-05,1.28748,-408.909452713,5.55556e-05,100,31.2848,-408.909452713,100,4.07994230748,2.589414498e-12,0.587505192612,29.6675,1
0.21983,6.39541e-11,136.165045759,0.7,1.19607e-06,-429.672,1.039,500.0,-72270.5,6.28508e-10,-405.406468324,50000,0.000208114,3.89216,-405.406468324,5.55556e-05,100,nan,-405.406468324,100,136.165045759,nan,2.29942138029,277.506,1
1.91102e+07,,8021.41208208,0.7,,-237.494,242.9,454.545454545,-40501.9,8.26192e-07,-366.914920951,50000,0.0319933,153869.0,-366.914920951,5.05051e-05,100,nan,-366.914920951,110,8021.41208208,nan,19.2512564359,1292.98,1
4560.01,,1703.88615858,0.7,,-359.086,3.84371,495.04950495,-54261.3,9.33848e-07,-387.485250902,50000,0.0995408,6955.78,-387.485250902,5.50055e-05,100,nan,-387.485250902,101,1703.88615858,nan,0.97735403963,4960.25,1
inf,,11240.1181939,0.7,,-136.392,1.3878e+17,450.45045045,-28145.1,4.72888e-06,-362.252653173,50000,0.0971851,2.69477e+20,-362.252653173,5.005e-05,100,nan,-362.252653173,111,11240.1181939,nan,9.99163643536,2112.73,1
2843.36,,22670.3893468,0.7,,-125.396,14.3148,375.939849624,-23229.4,2.42108e-08,-304.189048643,50000,0.00305277,1046.18,-304.189048643,4.17711e-05,100,nan,-304.189048643,133,22670.3893468,nan,4.58299775219,1833.34,1
4.73333e+11,,1085.53839197,0.7,,-366.133,11703.0,495.04950495,-48642.0,1.04564e-05,-405.059102382,50000,0.335048,7.12852e+07,-405.059102382,5.50055e-05,100,nan,-405.059102382,101,1085.53839197,nan,1.34490690544,2271.34,1
8.47347e+32,,11297.9847843,0.7,,-161.656,7.91828e+14,446.428571429,-32127.0,3.32521e-06,-360.585959893,50000,0.0810841,1.29436e+18,-360.585959893,4.96032e-05,100,nan,-360.585959893,112,11297.9847843,nan,9.80080735658,1820.2,1
1.26228e+10,,16746.5693413,0.7,,nan,2498.12,409.836065574,nan,4.19434e-06,-330.663039771,50000,0.0959915,5.26597e+06,-330.663039771,4.55373e-05,100,nan,-330.663039771,122,16746.5693413,nan,9.9994425011,nan,1
396.068,,26256.4684837,0.7,,-104.043,8.23586,333.333333333,-19698.4,8.00985e-09,-263.715046386,50000,0.000628076,139.664,-263.715046386,3.7037e-05,100,nan,-263.715046386,150,26256.4684837,nan,2.20463439859,1534.32,1
1.10241e+07,,19024.908074,0.7,,-119.93,189.984,406.504065041,-25010.6,6.23094e-07,-331.060356769,50000,0.0362336,152407.0,-331.060356769,4.51671e-05,100,nan,-331.060356769,123,19024.908074,nan,9.88718292635,1607.22,1
1.0013e+14,,18773.1658654,0.7,,-145.571,281680.0,393.700787402,-24898.1,2.4149e-06,-314.252631862,50000,0.071681,4.61569e+08,-314.252631862,4.37445e-05,100,nan,-314.252631862,127,18773.1658654,nan,9.30082621095,2012.73,1
6586.32,,22503.3311663,0.7,,-101.956,21.0004,373.134328358,-19333.4,2.56705e-08,-289.795122037,50000,0.00257653,1305.09,-289.795122037,4.14594e-05,100,nan,-289.795122037,134,22503.3311663,nan,1.34884692868,1678.41,1
592245.0,,16950.6513246,0.7,,nan,56.0602,396.825396825,nan,3.66358e-07,-306.080884052,50000,0.0217332,27632.5,-306.080884052,4.40917e-05,100,nan,-306.080884052,126,16950.6513246,nan,19.0236534171,nan,1
0.000447334,5.10804e-05,0.555417822801,0.7,0.920662,-436.958,1.00132,500.0,-73808.0,1.37702e-12,-410.056337319,50000,5.99362e-05,1.08028,-410.056337319,5.55556e-05,100,40.9229,-410.056337319,100,0.555417822801,1.68813254335e-16,0.56917642439,10.1345,1
0.00011797,5.3378e-05,0.168146273193,0.7,0.957598,-437.208,0.996662,500.0,-73854.6,3.66546e-13,-410.306147245,50000,6.01089e-05,1.07835,-410.306147245,5.55556e-05,100,40.9259,-410.306147245,100,0.168146273193,1.6831555914e-16,0.562043512523,5.5407,1
0.0015683,4.95344e-05,2.23177092748,0.7,0.88082,-437.165,0.987888,500.0,-73846.2,4.95983e-12,-410.296641095,50000,8.48853e-05,1.50943,-410.296641095,5.55556e-05,100,40.9278,-410.296641095,100,2.23177092748,1.67992267466e-16,0.593434665844,24.613,1
0.00062083,5.03906e-05,0.772179987709,0.7,0.909077,-436.67,1.00226,500.0,-73759.5,1.90752e-12,-409.791451205,50000,6.22503e-05,1.12303,-409.791451205,5.55556e-05,100,40.9243,-409.791451205,100,0.772179987709,1.68572582357e-16,0.567167319965,11.8898,1
0.000102922,5.3585e-05,0.138883709751,0.7,0.965834,-437.126,1.00135,500.0,-73839.9,3.16803e-13,-410.224504266,50000,5.77215e-05,1.04039,-410.224504266,5.55556e-05,100,40.9232,-410.224504266,100,0.138883709751,1.68763663603e-16,0.560431393747,4.99482,1
0.000209591,5.33557e-05,0.288140764553,0.7,0.957481,-437.359,0.996957,500.0,-73879.2,6.50841e-13,-410.445395156,50000,6.1043e-05,1.09543,-410.445395156,5.55556e-05,100,40.9218,-410.445395156,100,0.288140764553,1.69005902563e-16,0.570054621258,7.23575,1
0.000580875,5.17415e-05,0.718744109718,0.7,0.932449,-436.886,1.00118,500.0,-73795.9,1.78859e-12,-409.992822717,50000,6.15239e-05,1.10874,-409.992822717,5.55556e-05,100,40.9245,-409.992822717,100,0.718744109718,1.6855200255e-16,0.573983643875,11.5482,1
0.0184702,3.18123e-05,24.9853866391,0.7,0.558764,-435.767,0.975799,500.0,-73594.6,5.98694e-11,-409.330119686,50000,0.000165725,2.91086,-409.330119686,5.55556e-05,100,40.9442,-409.330119686,100,24.9853866391,1.65262276217e-16,0.63450682516,136.101,1
0.00141009,4.97881e-05,1.80665650872,0.7,0.886286,-436.79,0.988953,500.0,-73776.9,4.44989e-12,-409.907281318,50000,6.97562e-05,1.24174,-409.907281318,5.55556e-05,100,40.9361,-409.907281318,100,1.80665650872,1.66602918183e-16,0.579106302703,18.9998,1
0.000922273,4.81601e-05,1.19570314045,0.7,0.86694,-436.493,1.00007,500.0,-73727.1,2.84614e-12,-409.618820568,50000,7.00536e-05,1.26105,-409.618820568,5.55556e-05,100,40.9558,-409.618820568,100,1.19570314045,1.63352490712e-16,0.571424187051,15.1741,1
0.0333082,1.83686e-05,32.0243619349,0.7,0.337793,-434.822,1.02165,500.0,-73390.2,9.84924e-11,-408.494455884,50000,9.61482e-05,1.76813,-408.494455884,5.55556e-05,100,40.9708,-408.494455884,100,32.0243619349,1.60924271909e-16,0.668848820451,101.88,1
0.000334925,5.31423e-05,0.453735321563,0.7,0.952083,-436.86,0.995319,500.0,-73794.9,1.04347e-12,-409.980254785,50000,6.06556e-05,1.08669,-409.980254785,5.55556e-05,100,40.9463,-409.980254785,100,0.453735321563,1.64905211003e-16,0.565917600503,9.17319,1
0.00630246,4.24412e-05,9.12664689613,0.7,0.755751,-435.856,0.98928,500.0,-73615.2,1.98759e-11,-409.137686615,50000,0.000118116,2.1033,-409.137686615,5.55555e-05,100,40.958,-409.137686615,100,9.12664689613,1.62991462145e-16,0.590544634218,62.0045,1
0.000174898,5.31223e-05,0.236073721019,0.7,0.953428,-437.225,0.9971,500.0,-73854.8,5.42953e-13,-410.309118495,50000,6.14131e-05,1.10223,-410.309118495,5.55556e-05,100,40.9353,-410.309118495,100,0.236073721019,1.66733907866e-16,0.56864727235,6.54741,1
0.00052887,5.09072e-05,0.671530180008,0.7,0.91613,-436.945,0.999781,500.0,-73808.4,1.63303e-12,-410.060934977,50000,6.08058e-05,1.09427,-410.060934977,5.55555e-05,100,40.9281,-410.060934977,100,0.671530180008,1.67944204487e-16,0.584734120957,11.0978,1
0.822753,1.91793e-12,310.609397187,0.7,3.76957e-08,-423.78,1.09191,500.0,-70574.3,2.12985e-09,-403.414048322,50000,0.000308499,6.06338,-403.414048322,5.55556e-05,100,nan,-403.414048322,100,310.609397187,nan,0.750325079312,536.148,1
0.000612395,4.62974e-05,0.826438489061,0.7,0.833627,-437.026,1.00033,500.0,-73787.0,1.88887e-12,-409.9442816,50000,6.11351e-05,1.10079,-409.9442816,5.55556e-05,100,40.8835,-409.9442816,100,0.826438489061,1.75590913604e-16,0.569338571622,12.1955,1
0.000727228,5.08103e-05,0.886067270198,0.7,0.919642,-436.259,1.00553,500.0,-73682.3,2.21992e-12,-409.364564604,50000,6.00322e-05,1.08655,-409.364564604,5.55556e-05,100,40.8782,-409.364564604,100,0.886067270198,1.765257931e-16,0.570137133868,12.4719,1
