EpsThisIter,MaxVanillaIw,IterType,Bound,MinVanillaIw,J,AvgVanillaIw,AvgRet,MinNormIw,Delta,ESSClassic,VarVanillaIw,VarJ,VarNormIw,VanillaAvgRet,VarDiscRet,ESSRenyi,AvgEpLen,MaxNormIw,VarRet,AvgDiscRet,eRenyi2,AvgNormIw,BatchSize
100,1.22781,1,-112.06,0.765314,-106.367,1.00107,-106.403324373,0.00764496,0.8,99.2607778166,0.00753889,1.80663,7.5228e-07,-106.403324373,3.36081978357,99.3638591699,15.18,0.0122649,3.36081978357,-106.403324373,1.0064,0.01,100
100,1.61953,1,-111.914,0.864002,-106.278,1.00265,-106.351933684,0.00861722,0.8,98.4575060026,0.0159087,1.99374,1.58248e-06,-106.351933684,4.21080492544,98.7346566601,14.68,0.0161526,4.21080492544,-106.351933684,1.01282,0.01,100
100,1.3479,1,-112.503,0.87373,-106.787,1.01429,-106.831431486,0.00861421,0.8,99.1944630495,0.00843894,1.83047,8.20283e-07,-106.831431486,3.56720149803,99.2583026664,15.72,0.0132891,3.56720149803,-106.831431486,1.00747,0.01,100
100,1.20436,1,-112.154,0.751977,-106.462,1.00148,-106.534677533,0.00750863,0.8,98.91711935,0.0110908,1.79487,1.10579e-06,-106.534677533,3.68031993884,98.7035101686,15.23,0.0120258,3.68031993884,-106.534677533,1.01314,0.01,100
100,1.36188,1,-111.606,0.568486,-106.008,1.00629,-106.069209718,0.0056493,0.8,99.0475900525,0.00983539,1.75256,9.71273e-07,-106.069209718,3.29235026429,99.0055782791,15.14,0.0135337,3.29235026429,-106.069209718,1.01004,0.01,100
100,1.15215,1,-111.995,0.844978,-106.4,0.992441,-106.421234479,0.00851414,0.8,99.723000177,0.00276344,2.0422,2.8057e-07,-106.421234479,4.31738392053,99.5164642849,15.05,0.0116092,4.31738392053,-106.421234479,1.00486,0.01,100
100,1.3665,1,-112.092,0.804694,-106.454,0.997016,-106.499405463,0.00807103,0.8,99.430057475,0.00575548,1.83277,5.78998e-07,-106.499405463,3.38442463911,99.2149013103,14.85,0.0137059,3.38442463911,-106.499405463,1.00791,0.01,100
100,1.27951,1,-112.652,0.514444,-106.825,0.998189,-106.933847069,0.00515378,0.8,98.1418401613,0.0190555,2.06519,1.91247e-06,-106.933847069,4.48645152221,98.1252166219,15.15,0.0128183,4.48645152221,-106.933847069,1.01911,0.01,100
100,1.11113,1,-112.013,0.780177,-106.254,1.00671,-106.293476851,0.00774978,0.8,99.5335186582,0.0047976,1.85085,4.73387e-07,-106.293476851,3.82198163345,99.3978029322,15.25,0.0110373,3.82198163345,-106.293476851,1.00606,0.01,100
100,1.36247,1,-112.164,0.82005,-106.565,1.01083,-106.616055499,0.00811264,0.8,98.9687561474,0.0107545,1.79296,1.05253e-06,-106.616055499,3.10033859895,99.1478254539,15.07,0.0134787,3.10033859895,-106.616055499,1.00859,0.01,100
100,1.61277,1,-112.268,0.607658,-106.533,1.00432,-106.676701058,0.00605047,0.8,97.3736398827,0.0274798,2.1116,2.72442e-06,-106.676701058,5.25722509515,97.4455277394,16.13,0.0160584,5.25722509515,-106.676701058,1.02621,0.01,100
100,1.21387,1,-112.477,0.454835,-106.752,1.00381,-106.801460285,0.00453109,0.8,98.7064422845,0.0133385,1.90499,1.32374e-06,-106.801460285,3.93908899044,99.2137513445,15.33,0.0120926,3.93908899044,-106.801460285,1.00792,0.01,100
100,1.33021,1,-112.073,0.838172,-106.422,0.990159,-106.461092765,0.00846502,0.8,99.4318724003,0.00565841,1.8426,5.77144e-07,-106.461092765,3.48196850531,99.3274922076,15.55,0.0134343,3.48196850531,-106.461092765,1.00677,0.01,100
100,1.17204,1,-112.11,0.603601,-106.492,0.998723,-106.540944499,0.00604373,0.8,99.0273483976,0.00989622,1.8302,9.92154e-07,-106.540944499,3.34381420935,99.146009101,15.17,0.0117354,3.34381420935,-106.540944499,1.00861,0.01,100
100,1.24693,1,-112.324,0.804746,-106.643,1.00791,-106.701434769,0.00798429,0.8,99.2710130928,0.00753551,1.96653,7.41767e-07,-106.701434769,4.04335773982,99.0351969758,14.95,0.0123714,4.04335773982,-106.701434769,1.00974,0.01,100
100,1.05951,1,-111.996,0.845293,-106.45,0.992853,-106.456508521,0.00851377,0.8,99.845536263,0.00154044,1.63921,1.5627e-07,-106.456508521,2.75129064095,99.8786136548,14.79,0.0106714,2.75129064095,-106.456508521,1.00122,0.01,100
100,1.276,1,-112.089,0.782669,-106.454,1.00586,-106.505697662,0.00778109,0.8,99.2001503661,0.00824032,1.86944,8.14459e-07,-106.505697662,3.59390490675,99.1012658123,15.02,0.0126856,3.59390490675,-106.505697662,1.00907,0.01,100
100,1.37661,1,-112.648,0.740903,-106.773,1.00705,-106.838956098,0.00735714,0.8,98.5421007863,0.0151562,2.12669,1.49446e-06,-106.838956098,4.69973034762,98.8534048276,15.32,0.0136697,4.69973034762,-106.838956098,1.0116,0.01,100
100,1.25651,1,-111.856,0.51937,-106.255,0.988173,-106.320150024,0.00525586,0.8,98.5980154896,0.0140253,1.76613,1.43631e-06,-106.320150024,3.35937617393,98.9222524856,15.29,0.0127155,3.35937617393,-106.320150024,1.01089,0.01,100
100,1.17881,1,-112.257,0.685602,-106.51,0.992534,-106.580954308,0.00690759,0.8,98.7766281265,0.0123242,1.83348,1.25103e-06,-106.580954308,3.79384740828,98.7195166154,15.22,0.0118768,3.79384740828,-106.580954308,1.01297,0.01,100
100,1.37491,1,-112.329,0.735103,-106.677,0.993373,-106.738279332,0.00740007,0.8,98.6906642117,0.013224,1.6673,1.3401e-06,-106.738279332,2.88588032904,98.8945083809,15.31,0.0138408,2.88588032904,-106.738279332,1.01118,0.01,100
100,1.30393,1,-112.124,0.546741,-106.476,0.977573,-106.560005123,0.00559284,0.8,97.92728625,0.0204314,1.76871,2.13796e-06,-106.560005123,3.37832361074,98.5565704611,15.23,0.0133385,3.37832361074,-106.560005123,1.01465,0.01,100
100,1.27811,1,-111.956,0.428952,-106.286,0.99472,-106.343951322,0.00431229,0.8,98.8811813903,0.0113091,1.91192,1.14295e-06,-106.343951322,4.0921322135,99.1707758239,15.22,0.0128489,4.0921322135,-106.343951322,1.00836,0.01,100
100,1.15706,1,-112.2,0.629117,-106.524,0.995171,-106.584263506,0.0063217,0.8,98.980500794,0.0103038,1.81786,1.0404e-06,-106.584263506,3.5580842151,98.8859865207,15.23,0.0116268,3.5580842151,-106.584263506,1.01127,0.01,100
100,1.33737,1,-112.229,0.732178,-106.55,0.99052,-106.592874339,0.00739185,0.8,99.3058617844,0.00692746,1.83514,7.06069e-07,-106.592874339,3.62052300854,99.2843828629,14.95,0.0135016,3.62052300854,-106.592874339,1.00721,0.01,100
100,3.90192,1,-111.88,,-106.296,0.173552,-106.665566309,,0.8,10.5494529589,0.257975,3.31911,0.000856481,-106.665566309,3.73664774187,99.9996066109,15.11,0.224827,3.73664774187,-106.665566309,1.0,0.01,100
100,1.32529,1,-112.731,0.81379,-107.068,0.998711,-107.119284928,0.0081484,0.8,99.2931218261,0.00717271,2.15212,7.19123e-07,-107.119284928,4.57940941056,99.0827244168,15.68,0.01327,4.57940941056,-107.119284928,1.00926,0.01,100
100,1.59317,1,-112.409,0.73151,-106.734,1.00835,-106.802092051,0.00725449,0.8,98.6558806172,0.0139927,2.06682,1.37618e-06,-106.802092051,4.40002814435,98.8417337808,15.86,0.0157997,4.40002814435,-106.802092051,1.01172,0.01,100
100,1.39916,1,-112.582,0.581366,-106.635,1.00713,-106.742705576,0.00577252,0.8,97.8330964452,0.022693,2.33887,2.2373e-06,-106.742705576,6.58959455504,98.3211024949,16.69,0.0138926,6.58959455504,-106.742705576,1.01708,0.01,100
100,1.36681,1,-112.018,0.734361,-106.319,1.00586,-106.36273295,0.00730082,0.8,99.2508494268,0.00771388,1.77918,7.62426e-07,-106.36273295,3.24190354723,99.2198887157,15.5,0.0135884,3.24190354723,-106.36273295,1.00786,0.01,100
100,1.22384,1,-112.556,0.670772,-106.794,0.989884,-106.885047363,0.00677627,0.8,98.4194357746,0.0158949,2.26873,1.62215e-06,-106.885047363,5.65597500916,98.4294206133,16.2,0.0123635,5.65597500916,-106.885047363,1.01596,0.01,100
100,1.2958,1,-112.452,0.697688,-106.764,0.993397,-106.82258963,0.00702326,0.8,98.9575105099,0.010501,2.17982,1.06411e-06,-106.82258963,5.01652108142,98.9839540327,16.02,0.0130441,5.01652108142,-106.82258963,1.01026,0.01,100
100,1.14798,1,-112.542,0.762933,-106.868,0.99795,-106.891525925,0.007645,0.8,99.5965410756,0.00407514,1.97952,4.0919e-07,-106.891525925,4.08668629732,99.5716639679,15.57,0.0115034,4.08668629732,-106.891525925,1.0043,0.01,100
100,1.37419,1,-112.854,0.624185,-106.815,1.00602,-106.925674395,0.0062045,0.8,98.0324005937,0.0205184,2.0577,2.02735e-06,-106.925674395,5.55949910263,98.2463225007,16.25,0.0136597,5.55949910263,-106.925674395,1.01785,0.01,100
100,1.24024,1,-112.521,0.769764,-106.569,1.00169,-106.615463555,0.00768465,0.8,99.3279997457,0.00685694,2.20726,6.83381e-07,-106.615463555,5.19358888825,99.339466481,15.71,0.0123814,5.19358888825,-106.615463555,1.00665,0.01,100
100,1.13044,1,-112.142,0.764487,-106.409,1.00286,-106.442089502,0.00762307,0.8,99.3848425697,0.00628808,2.00153,6.25227e-07,-106.442089502,4.11674104188,99.4374156301,15.34,0.0112722,4.11674104188,-106.442089502,1.00566,0.01,100
