IterType,AvgEpLen,MaxVanillaIw,AvgDiscRet,VarNormIw,VarRet,MinVanillaIw,AvgRet,BatchSize,ESSRenyi,VarJ,MinNormIw,AvgNormIw,VarDiscRet,ESSClassic,eRenyi2,VarVanillaIw,EpsThisIter,MaxNormIw,VanillaAvgRet,AvgVanillaIw,Bound,J
2,101.86,1.0,21.43935703257504,2.179301e-19,1254.052154498701,1.0,21.43935703257504,500,500.0,34.56196,0.005,0.0049999994,1254.052154498701,200.00000010221265,1.0,,100,0.005,21.43935703257504,1.0,17.73272,24.599041
2,105.05,1.0,23.905331114123836,5.4391416e-20,1366.7001205274398,1.0,23.905331114123836,500,500.0,35.31955,0.0033333334,0.0033333336,1366.7001205274398,299.999969473632,1.0,,100,0.0033333334,23.905331114123836,1.0,18.761477,24.367804
2,103.61,1.0,17.47913923096783,5.434597e-20,1166.8230303873838,1.0,17.47913923096783,500,500.0,35.118217,0.0025,0.0024999997,1166.8230303873838,400.0,1.0,,100,0.0025,17.47913923096783,1.0,17.677425,22.645638
1,105.65,2187768.2,26.550966537978315,0.0019990231,1539.7149727068424,0.08548731,26.550966537978315,500,436.81088677951345,0.6597947,3.9065597e-08,0.0019999994,1539.7149727068424,1.0004877710868485,1.1446601,9572655000.0,100,0.9997562,26.550966537978315,4376.6035,151.77629,158.14584
2,103.79,1.0,19.34291813284309,3.5044917e-18,1465.1694113359495,1.0,19.34291813284309,500,500.0,38.085663,0.01,0.009999998,1465.1694113359495,100.0,1.0,,100,0.01,19.34291813284309,1.0,5.922223,19.342918
2,96.09,1.0,18.0872532844668,2.179301e-19,724.6649806311409,1.0,18.0872532844668,500,500.0,32.929653,0.005,0.0049999994,724.6649806311409,200.00000010221265,1.0,,100,0.005,18.0872532844668,1.0,9.22522,18.715084
2,109.08,1.0,23.8025602115361,5.4391416e-20,1546.8883238050441,1.0,23.8025602115361,500,500.0,35.20132,0.0033333334,0.0033333336,1546.8883238050441,299.999969473632,1.0,,100,0.0033333334,23.8025602115361,1.0,12.66247,20.410912
2,109.81,1.0,28.491927774716682,5.434597e-20,1352.2327677644405,1.0,28.491927774716682,500,500.0,35.724945,0.0025,0.0024999997,1352.2327677644405,400.0,1.0,,100,0.0025,28.491927774716682,1.0,15.720818,22.431166
1,105.03,2803422.8,21.759764914595074,0.0019992995,1389.812251000093,0.27369735,21.759764914595074,500,449.25620496851633,0.5170683,9.761265e-08,0.0020000006,1389.812251000093,1.0003496032288766,1.1129507,15718349000.0,100,0.99982524,21.759764914595074,5607.8257,153.1075,159.43932
2,105.42,1.0,22.4488109084568,3.5044917e-18,1670.4452227873992,1.0,22.4488109084568,500,500.0,40.666214,0.01,0.009999998,1670.4452227873992,100.0,1.0,,100,0.01,22.4488109084568,1.0,5.339287,22.44881
2,107.81,1.0,26.374214590397646,2.179301e-19,1721.3566542724902,1.0,26.374214590397646,500,500.0,41.02187,0.005,0.0049999994,1721.3566542724902,200.00000010221265,1.0,,100,0.005,26.374214590397646,1.0,12.3132515,24.411512
2,102.7,1.0,20.973354092099438,5.4391416e-20,1047.6343412587848,1.0,20.973354092099438,500,500.0,38.343304,0.0033333334,0.0033333336,1047.6343412587848,299.999969473632,1.0,,100,0.0033333334,20.973354092099438,1.0,13.387273,23.265461
