MinNormIw,MaxNormIw,AvgNormIw,Bound,IterType,VarJ,VarVanillaIw,VarNormIw,VarDiscRet,VanillaAvgRet,AvgRet,EpsThisIter,ESSClassic,ESSRenyi,AvgVanillaIw,AvgEpLen,VarRet,Delta,AvgDiscRet,MinVanillaIw,MaxVanillaIw,eRenyi2,J,BatchSize
0.00373643,0.0143446,0.01,-609.298,1,44.2567,0.0395566,3.92272e-06,1944.98748635,-491.31932623,-491.31932623,100,96.2616749412,96.9086330346,1.00419,500.0,1944.98748635,0.2,-491.31932623,0.375209,1.44048,1.0319,-487.657,100
0.00351376,0.0125963,0.01,-616.578,1,42.1393,0.0278573,2.89291e-06,1931.27195021,-490.029976535,-490.029976535,100,97.2157726176,97.602228539,0.981299,500.0,1931.27195021,0.2,-490.029976535,0.344805,1.23607,1.02457,-486.746,100
0.00419728,0.0161532,0.01,-611.383,1,40.5723,0.0547821,5.41319e-06,1657.23971023,-494.300674706,-494.300674706,100,94.913565599,96.145363821,1.00599,500.0,1657.23971023,0.2,-494.300674706,0.422241,1.625,1.04009,-489.783,100
0.00296718,0.0137971,0.01,-612.28,1,39.1498,0.038269,4.08074e-06,1713.56803532,-490.21441575,-490.21441575,100,96.1169611237,97.69724667,0.968398,500.0,1713.56803532,0.2,-490.21441575,0.287341,1.33611,1.02357,-486.97,100
0.00793313,0.0144066,0.01,-605.042,1,39.6455,0.00961533,9.3935e-07,1662.53929732,-486.515647418,-486.515647418,100,99.078606436,99.1541421927,1.01174,500.0,1662.53929732,0.2,-486.515647418,0.802626,1.45757,1.00853,-485.444,100
0.00415221,0.0188293,0.01,-604.957,1,41.8474,0.0732265,6.78384e-06,1818.05859714,-489.0084175,-489.0084175,100,93.7066605172,95.8169038329,1.03895,500.0,1818.05859714,0.2,-489.0084175,0.431395,1.95628,1.04366,-483.689,100
0.00778744,0.0253191,0.01,-617.052,1,53.4759,0.0443638,4.45243e-06,2379.97612683,-489.946019391,-489.946019391,100,95.778202923,97.0965850013,0.998196,500.0,2379.97612683,0.2,-489.946019391,0.777339,2.52734,1.0299,-486.537,100
0.00455451,0.0129933,0.01,-592.673,1,39.254,0.031745,3.06905e-06,1500.99085502,-481.143132103,-481.143132103,100,97.0512225031,97.3642637071,1.01704,500.0,1500.99085502,0.2,-481.143132103,0.463209,1.32147,1.02707,-478.139,100
0.00596628,0.0199292,0.01,-602.866,1,43.4871,0.049384,4.85081e-06,1627.54087437,-486.481165285,-486.481165285,100,95.4177357306,97.1262193882,1.00899,500.0,1627.54087437,0.2,-486.481165285,0.601991,2.01083,1.02959,-483.22,100
0.00524305,0.0130138,0.01,-603.811,1,46.0203,0.0233198,2.3642e-06,2136.05808679,-480.313859131,-480.313859131,100,97.7130018864,97.8288993006,0.993162,500.0,2136.05808679,0.2,-480.313859131,0.52072,1.29248,1.02219,-477.666,100
0.00355175,0.0598615,0.01,-595.455,1,68.877,0.558901,4.83139e-05,2040.3607642,-484.872578356,-484.872578356,100,67.6449374326,86.9266165801,1.07555,500.0,2040.3607642,0.2,-484.872578356,0.38201,6.43842,1.1504,-469.315,100
0.00600819,0.0128865,0.01,-598.096,1,40.2876,0.0181395,1.86971e-06,1725.95003725,-482.685491795,-482.685491795,100,98.1826328931,98.3094070174,0.984977,500.0,1725.95003725,0.2,-482.685491795,0.591792,1.26929,1.0172,-480.685,100
0.00595513,0.0131727,0.01,-597.016,1,41.2142,0.0205214,2.0611e-06,1821.50553118,-477.257214694,-477.257214694,100,98.0003472737,98.0549748364,0.997822,500.0,1821.50553118,0.2,-477.257214694,0.594216,1.3144,1.01984,-474.819,100
0.00646245,0.0159793,0.01,-594.612,1,47.8893,0.0341362,3.33161e-06,2097.74550463,-476.938484824,-476.938484824,100,96.8070181931,97.3764022817,1.01223,500.0,2097.74550463,0.2,-476.938484824,0.654151,1.61748,1.02694,-473.744,100
0.00534537,0.0132595,0.01,-597.155,1,39.3241,0.0250216,2.59452e-06,1779.40641189,-477.063935372,-477.063935372,100,97.4957637516,97.7027426648,0.98204,500.0,1779.40641189,0.2,-477.063935372,0.524937,1.30214,1.02351,-474.29,100
0.00476864,0.0169557,0.01,-601.34,1,50.8874,0.0554344,5.71694e-06,2551.17461463,-477.61071263,-477.61071263,100,94.6434113409,95.3404103796,0.984709,500.0,2551.17461463,0.2,-477.61071263,0.469572,1.66964,1.04887,-471.76,100
0.00409415,0.0221194,0.01,-577.031,1,38.8898,0.0367031,3.6272e-06,1422.26441981,-466.12593247,-466.12593247,100,96.5335752409,97.7004668155,1.00592,500.0,1422.26441981,0.2,-466.12593247,0.411841,2.22504,1.02354,-463.608,100
0.00639871,0.0132838,0.01,-587.588,1,43.3298,0.0270593,2.75986e-06,1798.32989905,-471.379468863,-471.379468863,100,97.3404266323,97.8054253825,0.990181,500.0,1798.32989905,0.2,-471.379468863,0.633588,1.31534,1.02244,-468.904,100
0.00502116,0.0135903,0.01,-606.843,1,43.4397,0.0384353,3.98255e-06,2306.80789187,-475.656750446,-475.656750446,100,96.2068846376,96.7830952447,0.982391,500.0,2306.80789187,0.2,-475.656750446,0.493274,1.3351,1.03324,-471.16,100
0.00699774,0.013048,0.01,-589.244,1,43.8702,0.0135294,1.3368e-06,2026.10317495,-470.880161153,-470.880161153,100,98.6938468442,98.6942315944,1.00602,500.0,2026.10317495,0.2,-470.880161153,0.703985,1.31265,1.01323,-469.329,100
0.00576298,0.0150708,0.01,-587.0,1,40.6707,0.0219076,2.15172e-06,1652.33065093,-471.335146025,-471.335146025,100,97.9142350521,98.1854793873,1.00903,500.0,1652.33065093,0.2,-471.335146025,0.581503,1.52069,1.01848,-469.217,100
0.00718955,0.0122617,0.01,-586.583,1,33.4874,0.0067297,6.86406e-07,1165.92278946,-470.147385632,-470.147385632,100,99.3250525645,99.1358504703,0.990164,500.0,1165.92278946,0.2,-470.147385632,0.711883,1.21411,1.00872,-469.095,100
0.00427357,0.0134023,0.01,-589.594,1,39.7663,0.0331986,3.49328e-06,1785.08341876,-470.547706552,-470.547706552,100,96.6572489417,97.1485583089,0.974862,500.0,1785.08341876,0.2,-470.547706552,0.416614,1.30654,1.02935,-467.0,100
0.00509723,0.0154844,0.01,-576.965,1,42.2229,0.0367167,3.72269e-06,1689.92479667,-469.9809903,-469.9809903,100,96.4455493983,97.1380399641,0.993124,500.0,1689.92479667,0.2,-469.9809903,0.506218,1.5378,1.02946,-466.917,100
0.00529812,0.0138548,0.01,-585.274,1,46.0582,0.0267817,2.66167e-06,2039.40047042,-465.160415271,-465.160415271,100,97.4326194071,97.4737218831,1.00309,500.0,2039.40047042,0.2,-465.160415271,0.531452,1.38977,1.02592,-462.075,100
0.00647615,0.0130244,0.01,-594.637,1,50.5962,0.0185295,1.84702e-06,2518.44790166,-472.250604705,-472.250604705,100,98.2042936942,98.3593886307,1.0016,500.0,2518.44790166,0.2,-472.250604705,0.648653,1.30453,1.01668,-470.276,100
0.00640696,0.0125683,0.01,-592.546,1,40.2348,0.021827,2.08739e-06,1806.80898585,-472.431586194,-472.431586194,100,97.9753101401,97.7690391345,1.02257,500.0,1806.80898585,0.2,-472.431586194,0.65516,1.2852,1.02282,-469.746,100
0.00609849,0.015732,0.01,-596.929,1,45.2936,0.0301513,2.96915e-06,2095.10552531,-468.484370306,-468.484370306,100,97.1444915067,97.4481200137,1.00771,500.0,2095.10552531,0.2,-468.484370306,0.614553,1.58533,1.02619,-465.214,100
