BatchSize,MinVanillaIw,ESSClassic,AvgVanillaIw,VarNormIw,VarJ,MinNormIw,eRenyi2,VarDiscRet,J,VarRet,VarVanillaIw,MaxNormIw,AvgRet,AvgDiscRet,ESSRenyi,AvgNormIw,AvgEpLen,Bound,MaxVanillaIw
100,1.0,100.0,1.0,3.5044917e-18,7.568249,0.01,1.0,57.85696604255701,6.7055225e-08,57.85696604255701,,0.01,-8.51796405794023,3.552713678800501e-17,100.0,0.009999998,200.0,-1.2783833,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.2787614,0.01,1.0,39.821054587976356,4.4703484e-08,39.82105458797635,,0.01,-7.604150158629022,1.0835776720341528e-15,100.0,0.009999998,200.0,-1.1873964,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.4883533,0.01,1.0,56.64185153759689,-1.3411045e-07,56.641851537596914,,0.01,-9.507151491496282,7.105427357601002e-16,100.0,0.009999998,200.0,-1.2133745,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.7424717,0.01,1.0,60.55138299999187,2.2351742e-08,60.551382999991866,,0.01,-8.848843441088736,-5.151434834260726e-16,100.0,0.009999998,200.0,-1.2688211,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.111012,0.01,1.0,51.07727006471316,3.3527613e-08,51.07727006471315,,0.01,-7.614593722367501,-1.4122036873231992e-15,100.0,0.009999998,200.0,-1.3793933,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.6487193,0.01,1.0,44.65198755005359,-6.3329935e-08,44.65198755005359,,0.01,-7.654751570059452,-5.417888360170764e-16,100.0,0.009999998,200.0,-1.3390183,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.9164605,0.01,1.0,48.3206335150081,,48.3206335150081,,0.01,-7.562798541634452,1.483257960899209e-15,100.0,0.009999998,200.0,-1.3614566,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.23002,0.01,1.0,52.80120991771718,2.9802322e-08,52.80120991771718,,0.01,-8.522627686384348,2.842170943040401e-16,100.0,0.009999998,200.0,-1.2775202,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.038216,0.01,1.0,50.03685535657295,-2.2351742e-08,50.03685535657295,,0.01,-8.388764955367902,-3.1974423109204507e-16,100.0,0.009999998,200.0,-1.2850674,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.079412,0.01,1.0,50.62431544150675,-8.940697e-08,50.62431544150676,,0.01,-7.758127919939656,7.460698725481052e-16,100.0,0.009999998,200.0,-1.2999036,1.0
