Bound,ReturnMeanIW,LearnableVariance,ESSRenyi,OptimizationReturnMin,StdIW,MinIW,MeanIW,EpThisIter,TimeElapsed,TimestepsSoFar,MeanIWNorm,InitialReturnMin,Iteration,J_sample_variance,OptimizationReturnMax,MeanEntropy,Weights,InitialReturnMax,ESSClassic,MaxIWNorm,MaxIW,EpLenMean,EpisodesSoFar,StdIWNorm,ReturnStepMaxmin,ReturnStepMax,InitialReturnMean,EpRewMean,OptimizationReturnMean,MinIWNorm,VarianceInit,InitialReturnStd,InitialBound,EmpiricalD2
169.53696,566.0432,True,90.96329,,0.30258325,0.36449748,1.0608906,100,170.88450241088867,113662,0.010608906,230.15015,34,159273.67,1030.405,0.6725758,[-0.202  0.206 -0.217  0.008  0.001  0.12  -0.132 -0.49   0.     0.  0.    -0.747],1260.5552,92.47712,0.021215688,2.121569,55.12,3400,0.0030258326,9.359817,9.359817,510.27585,510.27586243702376,280.12573,0.0036449747,-1,196.38475,132.10934,1.0993446
251.33249,613.94037,True,84.133766,,0.4807644,0.17111671,1.0751659,100,181.5038411617279,119504,0.010751659,230.06946,35,224006.28,878.59766,0.6749935,[-0.2    0.202 -0.223  0.006 -0.002  0.112 -0.147 -0.511  0.     0.  0.    -0.746],1108.6671,83.33706,0.030107206,3.0107207,58.42,3500,0.0048076436,9.359954,9.359954,540.55475,540.5547224056013,310.48526,0.001711167,-1,225.4048,207.95456,1.1885834
235.99023,561.48016,True,87.014595,,0.38888454,0.25001413,1.0686531,100,191.87939071655273,124982,0.010686531,202.63986,36,154677.62,809.4343,0.6725836,[-0.206  0.206 -0.228  0.004 -0.005  0.111 -0.146 -0.524  0.     0.  0.    -0.744],1012.0742,88.306114,0.02315403,2.315403,54.78,3600,0.0038888452,9.359626,9.359626,507.19547,507.19545907336664,304.55557,0.0025001413,-1,202.63057,203.57321,1.1492325
238.35434,592.39606,True,88.900055,,0.47523504,0.37251523,1.0517651,100,201.4129979610443,130817,0.010517651,231.10455,37,204797.27,881.61115,0.6659606,[-0.202  0.215 -0.237  0.004 -0.008  0.113 -0.138 -0.535  0.     0.  0.    -0.746],1112.7157,83.04515,0.0456169,4.56169,58.35,3700,0.00475235,9.359632,9.359632,540.26886,540.2688374976028,309.16428,0.0037251522,-1,214.44312,206.45416,1.1248587
271.70963,662.6618,True,76.19308,,0.8791114,0.25336868,1.106108,100,210.96079635620117,136864,0.011061077,248.81805,38,603929.7,888.7049,0.6646742,[-0.209  0.213 -0.24   0.002 -0.011  0.122 -0.146 -0.553  0.     0.  0.    -0.753],1137.523,61.286774,0.0847475,8.4747505,60.47,3800,0.008791113,9.359942,9.359942,559.1986,559.1986686552947,310.3806,0.0025336868,-1,213.52728,217.9418,1.3124552
237.99475,693.12726,True,76.824875,,0.6706995,0.2352064,1.1063712,100,219.78796887397766,143077,0.011063712,248.53607,39,454955.3,1081.2063,0.660425,[-0.203  0.215 -0.245  0.002 -0.011  0.127 -0.141 -0.571  0.     0.  0.    -0.754],1329.7424,73.126274,0.045209106,4.5209107,62.13,3900,0.0067069945,9.359952,9.359952,575.6786,575.678593531414,327.14252,0.002352064,-1,233.52061,176.75589,1.3016617
294.42972,637.72943,True,90.33866,,0.46698734,0.40760314,1.0695554,100,229.34011149406433,149252,0.010695552,239.04428,40,278094.03,848.60535,0.6693175,[-0.205  0.215 -0.248  0.004 -0.009  0.129 -0.14  -0.597  0.     0.  0.    -0.759],1087.6497,83.98877,0.04553441,4.553441,61.75,4000,0.0046698735,9.359965,9.359965,571.3474,571.3473727091351,332.30313,0.0040760315,-1,216.40416,245.05246,1.1069458
373.4809,782.64856,True,59.66008,,1.5073718,0.055564348,1.2399479,100,238.82486391067505,155650,0.012399481,231.02747,41,1013433.4,822.442,0.64151734,[-0.221  0.217 -0.25   0.004 -0.009  0.134 -0.148 -0.603  0.     0.  0.    -0.75 ],1053.4695,40.357384,0.12684521,12.684521,63.98,4100,0.015073717,9.359975,9.359975,592.1611,592.1611312489912,361.13367,0.00055564346,-1,221.74005,276.12024,1.6761627
304.04272,742.2354,True,84.49368,,0.60003394,0.20134163,1.0845371,100,250.73874974250793,162603,0.0108453715,211.40053,42,385745.22,1131.2284,0.6229313,[-0.214  0.255 -0.273  0.009 -0.008  0.118 -0.139 -0.597  0.     0.  0.    -0.777],1342.6289,76.563835,0.04865314,4.865314,69.53,4200,0.0060003395,9.359951,9.359951,644.30005,644.3000551449553,432.89954,0.0020134163,-1,286.30884,241.51141,1.1835204
303.9963,661.34796,True,91.7871,,0.30247736,0.51611274,1.0650506,100,263.7126748561859,169241,0.010650506,257.22552,43,156117.77,883.98395,0.61834073,[-0.228  0.256 -0.273  0.007 -0.008  0.118 -0.139 -0.597  0.     0.  0.    -0.796],1141.2095,92.536255,0.023034662,2.3034663,66.38,4300,0.0030247734,9.359811,9.359811,614.62476,614.6247255958681,357.39917,0.0051611275,-1,223.92424,272.2618,1.0894777
