VarRet,AvgVanillaIw,MinNormIw,Delta,VarVanillaIw,J,AvgRet,VarDiscRet,IterType,VarJ,AvgDiscRet,Bound,AvgNormIw,MaxVanillaIw,ESSClassic,ESSRenyi,AvgEpLen,MinVanillaIw,EpsThisIter,eRenyi2,VanillaAvgRet,BatchSize,MaxNormIw,VarNormIw
4949.46946786,0.979534,0.000201658,0.7,0.151253,-74.4469,-78.7589273246,4949.46946786,1,60.0055,-78.7589273246,-103.653,0.01,1.93018,86.5004910863,87.425410311,109.92,0.0197531,100,1.14383,-78.7589273246,100,0.0197051,1.57639e-05
6117.72999484,1.04517,0.00252611,0.7,0.203082,-78.1333,-83.9144751437,6117.72999484,1,59.1713,-83.9144751437,-108.351,0.01,2.7991,84.4558929013,81.6701881218,116.12,0.264021,100,1.22444,-83.9144751437,100,0.0267814,1.85909e-05
6020.13293401,1.04842,5.99227e-05,0.7,0.346607,-76.132,-84.2452698517,6020.13293401,1,51.2872,-84.2452698517,-107.211,0.01,3.08697,76.2090543507,77.1992791575,116.48,0.00628239,100,1.29535,-84.2452698517,100,0.0294442,3.15333e-05
4902.05812101,0.918659,0.000611492,0.7,0.198349,-73.6911,-79.9397193678,4902.05812101,1,47.1908,-79.9397193678,-103.666,0.01,2.55864,81.1241343829,82.9988061624,111.39,0.0561752,100,1.20484,-79.9397193678,100,0.0278519,2.35029e-05
8311.23946136,1.08417,0.00132077,0.7,0.364019,-80.7244,-89.3955244915,8311.23946136,1,66.1069,-89.3955244915,-112.451,0.01,2.78383,76.5349672889,74.0805358139,122.1,0.143195,100,1.34988,-89.3955244915,100,0.025677,3.09689e-05
4963.51415812,1.03559,0.00229899,0.7,0.143963,-75.1195,-78.5700995305,4963.51415812,1,56.3637,-78.5700995305,-104.231,0.01,2.1351,88.2694055338,87.990650255,109.58,0.238082,100,1.13648,-78.5700995305,100,0.0206172,1.34238e-05
8275.40452371,0.996647,0.00299358,0.7,0.242302,-82.6543,-89.5385690029,8275.40452371,1,70.6001,-89.5385690029,-112.905,0.01,3.82678,80.5479812691,81.4912240565,122.09,0.298354,100,1.22713,-89.5385690029,100,0.0383965,2.43935e-05
4955.30066947,0.978238,0.000463889,0.7,0.211882,-73.1786,-79.8521748514,4955.30066947,1,47.9504,-79.8521748514,-103.307,0.01,1.94193,82.021037056,82.1555795197,111.67,0.0453794,100,1.2172,-79.8521748514,100,0.0198513,2.21414e-05
3756.07206453,0.943601,0.000250643,0.7,0.257819,-72.3058,-77.2774803902,3756.07206453,1,41.7271,-77.2774803902,-102.868,0.01,1.77095,77.7203615804,79.8377245499,108.6,0.0236507,100,1.25254,-77.2774803902,100,0.018768,2.8956e-05
7249.50616522,0.931313,0.000643698,0.7,0.347924,-76.6068,-84.9311791895,7249.50616522,1,62.9024,-84.9311791895,-108.332,0.01,2.32419,71.5755121788,74.0924836468,116.64,0.0599485,100,1.34966,-84.9311791895,100,0.0249561,4.01137e-05
2629.98041411,0.988679,0.00679891,0.7,0.0289906,-71.7384,-72.9275942475,2629.98041411,1,43.831,-72.9275942475,-99.5722,0.01,1.55656,97.1476071251,96.1987835658,103.17,0.672194,100,1.03951,-72.9275942475,100,0.0157438,2.96584e-06
4929.55699317,1.02822,0.00740353,0.7,0.0828238,-76.3567,-79.4633668898,4929.55699317,1,58.5937,-79.4633668898,-104.864,0.01,2.57269,92.8025500984,91.7648945519,111.0,0.761246,100,1.08974,-79.4633668898,100,0.0250208,7.834e-06
3758.58053286,1.03887,4.25946e-07,0.7,0.473559,-67.189,-75.4222277108,3758.58053286,1,23.8942,-75.4222277108,-100.113,0.01,2.05328,69.7157322558,68.7971403197,106.23,4.42503e-05,100,1.45355,-75.4222277108,100,0.0197645,4.38784e-05
6054.30907013,0.982469,0.00313115,0.7,0.0847281,-79.6934,-82.4277337445,6054.30907013,1,67.0576,-82.4277337445,-108.193,0.01,1.82369,92.0046954753,91.8145712123,114.01,0.307626,100,1.08915,-82.4277337445,100,0.0185623,8.77788e-06
4905.17029487,0.915033,6.14262e-07,0.7,0.572713,-69.3729,-80.8843107487,4905.17029487,1,24.6075,-80.8843107487,-102.656,0.01,2.18929,59.6241884679,67.3216975074,112.83,5.6207e-05,100,1.48541,-80.8843107487,100,0.0239258,6.84012e-05
