MinNormIw,VarJ,MaxVanillaIw,VarVanillaIw,AvgRet,AvgNormIw,AvgEpLen,VanillaAvgRet,eRenyi2,AvgDiscRet,Bound,ESSRenyi,AvgVanillaIw,VarRet,BatchSize,MaxNormIw,J,VarDiscRet,ESSClassic,VarNormIw,MinVanillaIw
8.337878e-09,0.08774396,71.17302,51.637337,4999.932870105482,0.010000002,500.0,4999.932870105482,3.8778195,5.366018740460276e-13,0.017247513,25.78768790477864,1.547633,0.0048575780761642325,100,0.45988303,0.048777007,0.004857578076164232,4.475600686475626,0.0021558963,1.2903976e-06
0.0011564726,34.729782,1.236743,0.04507356,4970.010761259419,0.01,497.02,4970.010761259419,1.0399752,-5.95719029661268e-13,-227.68163,96.15614222191248,1.0057414,89455.4555045507,100,0.012296829,26.45469,89455.4555045507,95.77491841168808,4.456042e-06,0.11631123
3.1451756e-17,0.06814034,24.811087,16.030565,4999.917571280832,0.01,500.0,4999.917571280832,5.451584,-3.2741809263825415e-13,0.017973073,18.34329298159681,1.6497412,0.006551335616660219,100,0.15039381,0.056354698,0.006551335616660219,14.638876407792424,0.0005890025,5.188726e-15
0.0008118031,25.14518,1.3032004,0.088131145,4984.226012539727,0.01,498.46,4984.226012539727,1.0624298,1.1232259566895665e-12,-101.54165,94.12386714236841,0.9800268,18076.17380654907,100,0.0132976,12.481508,18076.17380654907,91.67225293345409,9.176003e-06,0.07955888
0.0011422783,15.025345,1.2433459,0.06378852,4985.823697659661,0.01,498.61,4985.823697659661,1.0489191,-1.0459189070388675e-13,-93.46535,95.33623874882643,0.98995537,15624.977485385725,100,0.012559615,12.210553,15624.977485385729,93.94624932639346,6.5089553e-06,0.11308045
0.0015478741,0.16122827,36.773216,13.83121,4999.920809898384,0.01,500.0,4999.920809898384,2.7368932,4.5474735088646414e-14,-0.0030432437,36.53777971284467,1.374969,0.0060599728339016945,100,0.2674476,0.024449946,0.006059972833901692,12.131726632316889,0.0007316011,0.21282789
0.0034647007,18.801294,1.3591211,0.051482033,4995.312547374005,0.010000003,499.55,4995.312547374005,1.0552725,-4.5474735088646414e-14,-36.661053,94.76225694502888,0.95673066,2117.1870394621046,100,0.014205891,2.7223432,2117.187039462105,94.72551046054652,5.6244016e-06,0.33147854
1.6754094e-10,0.07405833,4.3799386,1.2526848,4999.926703439415,0.010000002,500.0,4999.926703439415,2.1891775,2.7284841053187846e-13,-0.013625432,45.67925597653515,0.9179091,0.005464938213795223,100,0.047716476,0.020014275,0.005464938213795222,40.454745945902324,0.00014867657,1.5378735e-08
0.0019386502,28.217796,1.3796983,0.09452939,4990.119378707626,0.010000002,499.05,4990.119378707626,1.0679963,-3.8198777474462985e-13,-70.755394,93.63328638613989,0.9331457,8139.596279470653,100,0.014785455,6.6904535,8139.596279470655,90.29556403080767,1.08559525e-05,0.1809043
0.0018807971,4.911109,1.2717521,0.05922689,4997.317039127074,0.01,499.75,4997.317039127074,1.0521977,-3.0013325158506633e-13,-20.127556,95.03917419345483,1.0068203,677.0606386885067,100,0.012631372,2.1112921,677.0606386885066,94.53200695030958,5.842719e-06,0.18936247
