renyi2,VarDiscRet,IterType,VanillaAvgRet,ESSClassic,EpsThisIter,VarNormIw,SamplesThisIter,MinVanillaIw,MinNormIw,VarRet,J,AvgEpLen,Bound,AvgVanillaIw,AvgNormIw,MaxVanillaIw,BatchSize,delta,ESSRenyi,AvgDiscRet,MaxNormIw,AvgRet,VarJ,VarVanillaIw
nan,145488.627734,1,642.636872574,9.23972347513,719,1.12975e-07,50000,,,145488.627734,297044.0,69.5410292072,1443.05,1964.73,7.72678e-06,8.92661e+06,100,0.5,nan,642.636872574,0.0351061,642.636872574,4832.0,7.30454e+09
nan,148966.446052,1,700.385166587,8.62814383787,661,5.47789e-08,50000,,,148966.446052,253710.0,75.6429652042,1219.4,17.4859,8.40477e-06,49124.3,100,0.5,nan,700.385166587,0.0236121,700.385166587,6295.37,237103.0
nan,119339.656189,1,677.63007534,9.19701016551,682,1.29007e-07,50000,,,119339.656189,257891.0,73.3137829912,1146.46,54.2605,8.14598e-06,253148.0,100,0.5,nan,677.63007534,0.0380044,677.63007534,8062.64,5.72392e+06
nan,297644.326216,1,772.599119424,5.97381393317,599,1.45598e-07,50000,,,297644.326216,nan,83.4724540902,nan,1.55903e+08,9.27472e-06,5.14822e+11,100,0.5,nan,772.599119424,0.0306269,772.599119424,nan,4.11398e+19
nan,141841.464242,1,662.178950329,9.61065671714,699,5.58333e-08,50000,,,141841.464242,268777.0,71.530758226,1203.4,25.9603,7.94786e-06,81102.3,100,0.5,nan,662.178950329,0.0248299,662.178950329,12841.0,595676.0
nan,121946.536891,1,644.187032187,7.70789084625,718,4.62028e-08,50000,,,121946.536891,273747.0,69.6378830084,1301.82,446.028,7.73754e-06,932596.0,100,0.5,nan,644.187032187,0.0161784,644.187032187,6441.04,1.53528e+08
nan,282983.551269,1,806.287079256,9.99999710355,574,9.67626e-07,50000,,,282983.551269,480219.0,87.1080139373,2207.96,2.21001e+21,9.67867e-06,2.2832e+25,100,0.5,nan,806.287079256,0.0999919,806.287079256,10369.9,inf
nan,204952.98309,1,635.339566674,5.15962159142,728,7.45265e-08,50000,,,204952.98309,331391.0,68.6813186813,1600.48,4023.55,7.63126e-06,1.17639e+07,100,0.5,nan,635.339566674,0.022312,635.339566674,10709.9,2.07175e+10
nan,312491.563517,1,736.793119254,9.92203424837,628,6.96947e-07,50000,,,312491.563517,447166.0,79.6178343949,2185.51,1.05821e+07,8.84643e-06,1.05765e+11,100,0.5,nan,736.793119254,0.0884176,736.793119254,10180.9,9.97258e+17
nan,437982.628459,1,842.743351622,4.68030626761,549,2.51589e-07,50000,,,437982.628459,623666.0,91.0746812386,3191.25,8.3681e+10,1.01194e-05,2.82139e+14,100,0.5,nan,842.743351622,0.0341187,842.743351622,19500.7,1.72043e+25
nan,222121.768088,1,803.125609711,9.99999118105,576,9.62109e-07,50000,,,222121.768088,340967.0,86.8055555556,1543.78,1.50166e+09,9.64506e-06,1.55506e+13,100,0.5,nan,803.125609711,0.09988,803.125609711,11292.2,2.33217e+22
nan,308909.006005,1,864.15475961,9.96170718286,535,8.69806e-07,50000,,,308909.006005,435843.0,93.4579439252,2057.65,437891.0,1.03842e-05,3.8522e+09,100,0.5,nan,864.15475961,0.0913516,864.15475961,12945.3,1.5467e+15
nan,283234.567704,1,861.657064993,9.99070891148,537,8.29233e-07,50000,,,283234.567704,387846.0,93.1098696462,1769.7,9309.56,1.03455e-05,8.05158e+07,100,0.5,nan,861.657064993,0.0894757,861.657064993,14310.5,6.71473e+11
nan,222616.386802,1,791.702161462,5.35506361493,584,3.39927e-08,50000,,,222616.386802,330966.0,85.6164383562,1479.78,59.8523,9.51294e-06,84787.2,100,0.5,nan,791.702161462,0.0134761,791.702161462,15945.5,1.34561e+06
nan,139455.545763,1,842.885061076,2.99710335172,548,9.10633e-09,50000,,,139455.545763,270508.0,91.2408759124,1223.04,7.2992,1.01379e-05,3482.44,100,0.5,nan,842.885061076,0.00483676,842.885061076,10652.3,4720.63
nan,410777.39267,1,991.070284058,6.68318733802,467,5.57751e-08,50000,,,410777.39267,414674.0,107.066381156,1919.4,45.8154,1.18963e-05,61633.5,100,0.5,nan,991.070284058,0.0160035,991.070284058,13792.8,827260.0
nan,351723.565329,1,1006.8463226,9.87445589234,459,9.28082e-07,50000,,,351723.565329,464924.0,108.932461874,2127.91,5.84865e+10,1.21036e-05,4.20499e+14,100,0.5,nan,1006.8463226,0.087021,1006.8463226,13830.9,2.16704e+25
